PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-09,15:52:37.98,1,1,"Osterhus, Eric",10109310,Right,FOR_RAM,"Dieguez, Matthew",10131275,Right,FOR_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.38785,-1.746451,-1.011029,2039.691762,198.809624,12:45,6.44345,0.75674,5.68952,-14.25422,26.75627,8.50516,3.62715,0.52313,74.36932,-4.596264,0.509256,0.460913,,,,,,,,,,,,-4.62957,14.62379,-0.67682,50,6.288,1.77751,-121.94947,-3.99372,-6.71778,32.10981,-10.95399,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,a98bbeb0-344d-11f1-88e4-1b61a7fd0218,81.77779,,,10.01853,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:52:37.98,2026-04-09T15:52:37.9852288-04:00,2026-04-09T19:52:37.9852288Z,,v3,471298,471298,,,,Undefined,FOR_RAM,60832d5f-c4fb-4c6a-9f34-9113b8cb89dc,54.79859,-123.20648,16.05491,6.43595,-3.5649,-5.47699,-0.75155,2.04049,-3.35889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-09,15:52:57.42,1,2,"Osterhus, Eric",10109310,Right,FOR_RAM,"Dieguez, Matthew",10131275,Right,FOR_RAM,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.03611,-1.646313,-2.547565,2149.241974,354.823352,5:45,6.05744,1.26584,5.5412,-55.10538,-3.99347,0.52547,-0.07524,-1.07287,68.67012,-11.643024,-2.453587,0.514556,,,,,,,,,,,,-1.10142,-1.01728,-1.04531,50,5.87796,4.8175,-108.70773,-4.88149,-1.29582,22.04962,-33.37087,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,b513dce0-344d-11f1-88e4-1b61a7fd0218,73.25238,,,6.36599,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:52:57.42,2026-04-09T15:52:57.4216192-04:00,2026-04-09T19:52:57.4216192Z,,v3,471298,471298,,,,Undefined,FOR_RAM,e4e70943-4397-487f-a490-726637b9383b,54.95762,-109.70869,11.02481,6.06518,-3.36658,-16.68544,-1.26533,4.87633,-0.64791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-09,15:53:21.36,1,3,"Osterhus, Eric",10109310,Right,FOR_RAM,"Dieguez, Matthew",10131275,Right,FOR_RAM,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.0446,-0.678474,-2.139034,1981.011042,202.875271,12:45,6.34764,0.74733,6.17429,-18.19241,23.5636,9.15847,4.20455,-0.46587,72.8714,-4.283253,-0.488173,0.465083,,,,,,,,,,,,-5.485,12.84402,-0.58948,50,6.28686,4.10249,-120.04117,-1.79877,-7.67527,32.09866,-14.2012,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,c34bb1c0-344d-11f1-88e4-1b61a7fd0218,81.04447,,,10.1732,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:53:21.36,2026-04-09T15:53:21.3658624-04:00,2026-04-09T19:53:21.3658624Z,,v3,471298,471298,,,,Undefined,FOR_RAM,cd0f5f09-0e13-4e45-9c7f-12e4e7223b39,54.31239,-121.1888,16.04933,6.3421,-1.29102,-7.1006,-0.74107,4.3769,-3.83763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-09,15:53:44.88,1,4,"Osterhus, Eric",10109310,Right,FOR_RAM,"Dieguez, Matthew",10131275,Right,FOR_RAM,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.93774,-2.9425,-2.030925,2010.228523,191.113813,12:15,6.35329,0.74319,5.77635,-14.4895,27.27061,4.97473,2.40374,-0.73279,73.46198,-5.853716,-1.140971,0.465106,,,,,,,,,,,,-3.29882,15.44237,-0.5782,50,6.10137,4.07055,-121.01789,-6.47765,-4.67761,33.24429,-10.27739,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,d155bfe0-344d-11f1-88e4-1b61a7fd0218,81.04048,,,10.47576,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:53:44.88,2026-04-09T15:53:44.8808960-04:00,2026-04-09T19:53:44.8808960Z,,v3,471298,471298,,,,Undefined,FOR_RAM,b14ce8df-5948-4695-b54b-254b6ed9b5dd,54.70827,-122.30444,16.62215,6.34436,-6.07992,-5.13869,-0.73923,4.25157,-2.3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-09,15:54:04.52,1,5,"Osterhus, Eric",10109310,Right,FOR_RAM,"Dieguez, Matthew",10131275,Right,FOR_RAM,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,83.03685,-5.076434,-2.713853,2014.173534,188.82461,12:15,6.34902,0.79903,6.05025,-16.12024,25.671,3.71055,0.28875,-1.40587,74.05446,-8.224511,-2.047075,0.46528,,,,,,,,,,,,-2.89103,15.53611,-0.58975,50,5.94427,5.52641,-119.70083,-10.98726,-4.07111,29.43756,-10.29612,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,dd0d5280-344d-11f1-88e4-1b61a7fd0218,81.01027,,,8.98238,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:54:04.52,2026-04-09T15:54:04.5244416-04:00,2026-04-09T19:54:04.5244416Z,,v3,471298,471298,,,,Undefined,FOR_RAM,25923d4c-f2a8-48c4-a765-6ff86f0fb025,54.44216,-120.78833,14.71878,6.34314,-10.6069,-5.14806,-0.79668,5.67681,-2.03555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-09,15:54:37.02,2,1,"Osterhus, Eric",10109310,Right,FOR_RAM,"Forney, Colden",1000306564,Right,FOR_RAM,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.23755,0.173094,-1.496662,2243.446704,354.381319,5:45,6.06614,0.96321,5.78528,-52.40007,-2.15039,0.38685,1.86056,-0.39726,68.44475,-9.454007,-1.427229,0.510197,,,,,,,,,,,,-0.68311,-0.6037,-0.8401,50,6.04929,2.83724,-109.13421,-1.29351,-0.81061,22.08847,-32.89043,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,f09663f0-344d-11f1-88e4-1b61a7fd0218,73.87818,,,6.7928,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:54:37.02,2026-04-09T15:54:37.0285056-04:00,2026-04-09T19:54:37.0285056Z,,v3,471298,471298,,,,Undefined,FOR_RAM,b66ae33f-bfd9-43e9-92e3-016e59c326b0,54.71182,-110.08374,11.04424,6.07451,0.12037,-16.44522,-0.96281,2.87209,-0.40531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-09,15:54:51.77,2,2,"Osterhus, Eric",10109310,Right,FOR_RAM,"Forney, Colden",1000306564,Right,FOR_RAM,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.73135,-0.145295,0.468769,2319.596904,17.822616,6:30,6.28701,0.86026,5.32435,-57.13275,-5.20933,-2.27725,1.3896,1.11038,68.00375,-10.525309,0.062866,0.518624,,,,,,,,,,,,1.29638,-2.00756,-0.90095,50,6.23286,-0.79926,-108.33823,-2.1654,1.51238,22.17826,-34.51613,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,f93ff340-344d-11f1-88e4-1b61a7fd0218,72.67773,,,6.7276,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:54:51.77,2026-04-09T15:54:51.7710848-04:00,2026-04-09T19:54:51.7710848Z,,v3,471298,471298,,,,Undefined,FOR_RAM,075ea99f-a457-4fc5-84b5-e6f7ce08d74e,55.17334,-109.39215,11.08913,6.29679,-0.52517,-17.25806,-0.86126,-0.87113,0.75619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-09,15:55:09.25,2,3,"Osterhus, Eric",10109310,Right,FOR_RAM,"Forney, Colden",1000306564,Right,FOR_RAM,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.07976,-2.811003,-1.097713,2098.683751,193.200922,12:30,6.41237,0.81001,5.87731,-16.08399,26.35765,5.71843,2.45882,0.26695,72.72094,-6.01774,-0.071854,0.468886,,,,,,,,,,,,-3.31776,15.04406,-0.72436,50,6.17595,2.05197,-119.88539,-6.19948,-4.61045,32.9063,-11.26829,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,039fe520-344e-11f1-88e4-1b61a7fd0218,80.38717,,,10.35882,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:55:09.25,2026-04-09T15:55:09.2570624-04:00,2026-04-09T19:55:09.2570624Z,,v3,471298,471298,,,,Undefined,FOR_RAM,68f72b06-2541-4de5-9994-dd519cb178a5,54.6087,-121.14379,16.45315,6.40479,-5.76856,-5.63415,-0.80621,2.22828,-2.30523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-09,15:55:24.73,2,4,"Osterhus, Eric",10109310,Right,FOR_RAM,"Forney, Colden",1000306564,Right,FOR_RAM,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.8242,-0.244034,-1.710593,2238.756585,29.593605,7:00,6.2758,0.95637,5.31922,-56.15873,-3.27366,-3.12583,1.36678,-0.90993,66.80531,-10.507697,-2.267106,0.523405,,,,,,,,,,,,0.88756,-0.86398,-0.79915,50,6.21395,3.35284,-108.15955,-2.31409,1.01138,25.54317,-33.15857,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,0ce6ecf0-344e-11f1-88e4-1b61a7fd0218,72.0139,,,8.01889,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:55:24.73,2026-04-09T15:55:24.7344640-04:00,2026-04-09T19:55:24.7344640Z,,v3,471298,471298,,,,Undefined,FOR_RAM,e2ecbb74-fdb5-48fd-8212-6d5b2fe9ffd2,55.17415,-109.37466,12.77159,6.28652,-0.73671,-16.57929,-0.95751,3.30473,0.50569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-09,15:55:39.83,2,5,"Osterhus, Eric",10109310,Right,FOR_RAM,"Forney, Colden",1000306564,Right,FOR_RAM,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,73.28193,0.885225,-0.033257,2186.967054,26.823831,7:00,6.25499,0.89557,5.32494,-59.54936,-5.2402,-3.68984,2.12327,0.55688,66.19986,-9.974266,-0.690367,0.530406,,,,,,,,,,,,1.82307,-2.25563,-0.88986,50,6.29276,0.20323,-106.14928,-0.30419,2.03056,22.2018,-34.68636,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260409-FordhamUniversity-Private-2,15df5f90-344e-11f1-88e4-1b61a7fd0218,71.06343,,,7.08207,,,,,,,6639756f-9df6-461d-abc3-68e87a7fcacb,2026-04-09,19:55:39.83,2026-04-09T15:55:39.8367744-04:00,2026-04-09T19:55:39.8367744Z,,v3,471298,471298,,,,Undefined,FOR_RAM,95211326-1b67-4e09-ad5c-507259ecb691,55.17102,-107.22537,11.1009,6.26676,1.37702,-17.34318,-0.89732,0.10481,1.01528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
