PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-28,15:04:51.19,1,1,"Chavez, Caden",1000258549,Left,FOR_RAM,"Link, Peter",836328,Right,SAC_PIO,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.14591,-2.792113,2.307561,1997.670537,137.185301,10:30,5.07119,-2.17021,6.05885,-25.21403,13.64627,-11.34694,0.3816,-0.97884,77.1801,-7.530276,0.26406,0.448667,,,,,,,,,,,,6.54717,8.32327,1.99683,50,4.84075,-4.51401,-123.34426,-6.77202,9.95558,27.50113,-19.51775,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,2295b400-4335-11f1-a27e-053988b4ee35,84.00974,,,7.9658,,,,,,,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:04:51.19,2026-04-28T15:04:51.1907328-04:00,2026-04-28T19:04:51.1907328Z,,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,c6ce6d13-5c2d-4dfe-b5b4-38a88184ffa4,54.43698,-124.32961,13.75057,5.07086,-6.07272,-9.75887,2.16495,-4.87071,4.97779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-28,15:05:08.35,1,2,"Chavez, Caden",1000258549,Left,FOR_RAM,"Link, Peter",836328,Right,SAC_PIO,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.76568,-0.838234,2.470617,2051.664006,139.655507,10:45,5.06019,-1.99327,6.07239,-23.82001,14.67619,-11.22505,2.29877,-0.64115,76.9219,-5.368613,0.450656,0.446561,75.73752,10.35221,-18.080875,990.686479,,,,137.27321,129.61719,-20.306324,1.422256,6.66953,8.26768,1.80804,50,4.98279,-4.91867,-124.29817,-2.51395,10.20689,29.97803,-19.5214,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,2cd6d340-4335-11f1-a27e-053988b4ee35,84.4061,8.6583,,8.84379,,,,2.60986,2.40291,0.6699,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:05:08.35,2026-04-28T15:05:08.3577344-04:00,2026-04-28T19:05:08.3577344Z,GroundBall,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,82bcbac1-250e-43e4-afc5-517c405e0e23,54.42445,-125.36072,14.98902,5.05964,-1.82204,-9.7607,1.98879,-5.28045,5.10345,113.225825,2.60986,103.87732,-12.40949,1.59372,-0.32548,0.05042,-0.00799,0.00131,-0.00013,2.40291,19.9612,-16.58347,1.13648,-0.17248,0.03927,-0.0056,0.00063,-6E-05,0.6699,-33.91397,-0.4069,0.36252,-0.09815,0.02328,-0.00429,0.00068,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-04-28,15:05:44.56,2,1,"Chavez, Caden",1000258549,Left,FOR_RAM,"Donohue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.38795,-0.765679,2.041253,1873.344412,146.797455,11:00,5.12147,-2.0722,6.13928,-24.8499,15.08938,-8.825,2.34255,-0.92038,75.17591,-5.512576,0.450641,0.454853,,,,,,,,,,,,5.24382,8.50831,1.92074,50,5.0505,-3.99565,-122.20045,-2.33138,7.7061,30.39463,-19.67061,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,4271d4c0-4335-11f1-a27e-053988b4ee35,82.86723,,,9.21205,,,,,,,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:05:44.56,2026-04-28T15:05:44.5687808-04:00,2026-04-28T19:05:44.5687808Z,,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,ab11af88-d0ac-4e71-b7c3-cfa07d3a2ff7,54.35285,-123.27837,15.19732,5.1208,-1.63378,-9.83531,2.06729,-4.26894,3.85305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-28,15:05:59.92,2,2,"Chavez, Caden",1000258549,Left,FOR_RAM,"Donohue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.6893,-2.150938,2.742811,1970.18808,146.956301,11:00,5.0717,-1.97678,6.15122,-22.88316,15.68095,-9.22922,1.1742,-0.20973,76.86552,-6.509298,1.079756,0.446954,,,,,,,,,,,,5.70953,9.26768,1.77275,50,4.89635,-5.57468,-124.06092,-5.30931,8.69718,30.05057,-18.05683,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,4b89b640-4335-11f1-a27e-053988b4ee35,84.33175,,,8.82379,,,,,,,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:05:59.92,2026-04-28T15:05:59.9220224-04:00,2026-04-28T19:05:59.9220224Z,,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,1a6a764d-a5b8-4bcd-b95f-70d8249b5733,54.3439,-125.10869,15.02528,5.0705,-4.67972,-9.02842,1.9724,-5.87792,4.34859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-28,15:06:14.78,2,3,"Chavez, Caden",1000258549,Left,FOR_RAM,"Donohue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,1,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,73.66623,1.900526,0.777361,2190.86711,322.75562,4:45,5.34048,-1.87798,5.3119,-65.33763,-11.64351,10.35355,1.68033,-0.28551,66.67969,-9.975372,2.6196,0.527394,,,,,,,,,,,,-4.95359,-6.03331,1.79954,50,5.46507,-1.83459,-106.74774,1.39915,-5.58439,22.31324,-38.97565,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,5472bf90-4335-11f1-a27e-053988b4ee35,71.46929,,,6.98654,,,,,,,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:06:14.78,2026-04-28T15:06:14.7861504-04:00,2026-04-28T19:06:14.7861504Z,,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,5e675cc1-e1b8-4d6b-b44c-905d340dc244,55.18888,-107.8269,11.15662,5.35182,3.28418,-19.48783,1.88174,-1.5645,-2.79219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-28,15:06:33.74,2,4,"Chavez, Caden",1000258549,Left,FOR_RAM,"Donohue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.07517,-0.728124,2.243411,2088.527737,157.691496,11:15,5.18188,-1.82573,6.36261,-20.87273,16.9995,-6.37666,2.77187,-0.29155,76.99788,-4.754073,1.089841,0.442927,,,,,,,,,,,,4.04575,9.48737,1.66593,50,5.11933,-4.62702,-124.73243,-2.12416,6.22906,30.40055,-17.56685,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,5fbd86a0-4335-11f1-a27e-053988b4ee35,85.09861,,,9.07729,,,,,,,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:06:33.74,2026-04-28T15:06:33.7420000-04:00,2026-04-28T19:06:33.7420000Z,,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,2001f793-ccdc-4760-ab76-528c517e51a4,54.12947,-125.73486,15.20028,5.17983,-1.54491,-8.78343,1.82189,-4.83242,3.11453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.27835,3.05085,1.87817,1.172681,-2.40508,2.4422,0.22163,-2.9047,5.28029,3.51893,77.56009,5.99643,47.21895,-2.80982,76.32122,-6.66987,5.31986,16.39023,-13.49843,3.53461,39.11157,-1.5911,High,High,High,,,High,High,High
7,2026-04-28,15:07:07.58,3,1,"Chavez, Caden",1000258549,Left,FOR_RAM,"Rudolph, Will",1000236032,Right,SAC_PIO,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.01969,-1.600863,3.510386,2060.675489,159.50824,11:15,5.11831,-1.94636,6.22912,-19.54166,18.75005,-6.44193,2.00974,0.75952,76.82708,-5.376157,2.350172,0.445373,,,,,,,,,,,,4.52347,10.6643,1.68681,50,4.98878,-7.36757,-124.42582,-3.97918,6.91803,30.65467,-15.86447,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,73e17880-4335-11f1-a27e-053988b4ee35,84.63117,,,9.19261,,,,,,,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:07:07.58,2026-04-28T15:07:07.5842560-04:00,2026-04-28T19:07:07.5842560Z,,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,ef2817ea-066b-4138-816e-2dc0bc3221cf,54.26294,-125.47168,15.32733,5.11531,-3.43793,-7.93223,1.9422,-7.6036,3.45902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-28,15:07:24.69,3,2,"Chavez, Caden",1000258549,Left,FOR_RAM,"Rudolph, Will",1000236032,Right,SAC_PIO,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.80674,2.582762,1.169375,1240.874037,67.610567,8:15,5.02542,-2.03456,6.00742,-49.67944,-3.69756,-14.17564,3.28041,-2.13233,69.54215,-6.719614,-1.380707,0.48805,,,,,,,,,,,,7.59162,-2.19543,1.94945,50,5.20343,-1.7632,-115.22197,3.57203,9.67913,31.66773,-34.97319,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,7e2270b0-4335-11f1-a27e-053988b4ee35,77.23061,,,10.2646,,,,,,,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:07:24.69,2026-04-28T15:07:24.6916096-04:00,2026-04-28T19:07:24.6916096Z,,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,96eee47f-b1bb-4f8a-9d35-373fcf2c6718,54.48099,-116.44702,15.83387,5.03907,4.92495,-17.48659,2.0249,-2.13762,4.83957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-28,15:07:41.36,3,3,"Chavez, Caden",1000258549,Left,FOR_RAM,"Rudolph, Will",1000236032,Right,SAC_PIO,Undefined,1,Top,2,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.93662,2.098377,1.607977,2246.243209,321.031274,4:45,5.34332,-1.85885,5.41688,-66.62728,-11.65579,11.14788,1.7584,0.57684,65.62966,-10.050457,3.593446,0.53363,85.18356,17.981614,-57.715736,4031.085392,55.04389,19.05905,-95.23741,191.81708,128.18008,-63.459563,2.013503,-5.05937,-6.16055,1.70774,50,5.48315,-3.37177,-105.5914,1.74298,-5.53974,23.03143,-38.91951,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,881521d0-4335-11f1-a27e-053988b4ee35,70.63404,19.23756,,7.30695,,,,3.06107,1.93198,-0.18843,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:07:41.36,2026-04-28T15:07:41.3687296-04:00,2026-04-28T19:07:41.3687296Z,LineDrive,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,71ec7ebe-32aa-42a7-8644-561d99c6b015,55.08323,-106.69438,11.51572,5.35505,3.60685,-19.45976,1.86286,-3.10647,-2.76987,,3.06106,63.47248,-16.07325,3.63806,-1.02784,0.48203,-0.25273,0.08315,-0.01134,1.93199,38.56791,-23.7819,2.9827,-0.51935,-0.10427,0.15644,-0.06275,0.00911,-0.18843,-100.46197,10.95459,-2.35339,0.41615,0.02697,-0.07699,0.03234,-0.00472,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2026-04-28,15:08:06.20,3,4,"Chavez, Caden",1000258549,Left,FOR_RAM,"Rudolph, Will",1000236032,Right,SAC_PIO,Undefined,1,Top,2,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.11709,-1.716803,4.753585,1975.620686,159.940179,11:15,5.20513,-1.82331,6.44849,-19.43627,18.19497,-6.14193,2.00219,2.04232,77.65435,-5.457485,3.646021,0.441515,,,,,,,,,,,,4.7067,10.43371,1.48825,50,5.07413,-10.1159,-124.54993,-4.22744,7.28482,28.44354,-16.02524,FOR_RAM,SAC_PIO,FordhamUniversity,D1,A10,20260428-FordhamUniversity-1,96d9f470-4335-11f1-a27e-053988b4ee35,85.37066,,,8.46274,,,,,,,13ca75c8-bb5c-4445-823c-d5e13dddedc7,2026-04-28,19:08:06.20,2026-04-28T15:08:06.2098432-04:00,2026-04-28T19:08:06.2098432Z,,v3,471298,471423,4e64d94106064b97a0d56267f0d32905,"McAndrews, Thomas",836274,Right,FOR_RAM,63818ce9-e6f4-4b8b-a5d4-2d7a599c6a25,54.04584,-125.47048,14.22177,5.20255,-3.7088,-8.01262,1.81946,-10.35167,3.64241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
