PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-09-04,13:47:26.81,,,,,Undefined,FOR_RAM,"Beaudreau, Bradley",1000297368,Left,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.71905,3.810885,-0.755925,2992.7998,306.967047,4:15,4.37425,-0.39397,21.99617,-59.01869,-6.67929,10.75595,1.92706,0.01294,47.54289,-11.606976,2.016793,0.520698,,,,,,,,,,,,-11.68745,-8.16741,0.17587,50,3.20784,1.94538,-75.96154,10.46328,-6.66167,11.42791,-36.82933,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,92bf9a00-92f1-11f1-884b-8d6b77d225c8,72.3883,,,3.17616,,,,,,,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,17:47:26.81,2026-09-04T13:47:26.8130304-04:00,2026-09-04T17:47:26.8130304Z,,v3,471298,,,,,Undefined,FOR_RAM,1b4537f3-c3e3-42e6-b1f7-8d0946d69f97,38.51004,-74.21282,5.71395,4.37776,4.8276,-18.41467,0.39556,0.926,-3.33083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
2,2026-09-04,14:07:10.45,,,,,Undefined,FOR_RAM,"Beaudreau, Bradley",1000297368,Left,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,49.08784,3.337679,-0.699551,2715.51325,299.906527,4:00,4.34356,-0.41028,21.91915,-58.14157,-2.20347,6.41567,1.66636,-0.32949,46.19426,-11.818893,0.950925,0.538301,,,,,,,,,,,,-6.92555,-2.84347,0.23429,50,3.29397,1.4203,-73.45562,9.35704,-3.70692,10.35259,-33.69601,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,732d1190-a88b-11f1-884b-8d6b77d225c8,70.02111,,,2.89358,,,,,,,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:07:10.45,2026-09-04T14:07:10.4586752-04:00,2026-09-04T18:07:10.4586752Z,,v3,471298,,,,,Undefined,FOR_RAM,3da9eb84-d3c6-4371-9921-f77883193cfb,38.58579,-71.82892,5.1763,4.34826,4.06241,-16.84801,0.4117,0.83783,-1.85346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
3,2026-09-04,14:11:00.00,,,,,Undefined,FOR_RAM,"Beaudreau, Bradley",1000297368,Left,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.75307,4.547632,-1.249842,3082.647646,317.652893,4:30,4.31468,-0.38109,21.83286,-58.54239,-6.19807,6.81118,2.40019,-0.62633,47.81228,-10.664843,0.495614,0.520722,,,,,,,,,,,,-7.21662,-6.47386,0.10342,50,3.06198,2.17313,-75.71505,11.07942,-4.14644,10.1268,-35.89372,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,fc2faf20-a88b-11f1-884b-8d6b77d225c8,72.38491,,,2.94079,,,,,,,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:11:00.00,2026-09-04T14:11:00.0001536-04:00,2026-09-04T18:11:00.0001536Z,,v3,471298,,,,,Undefined,FOR_RAM,22c120a5-eb0e-43b1-897b-170e7db4aa1d,38.67352,-74.18467,5.0634,4.32645,5.65513,-17.94686,0.38448,1.54651,-2.07322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-09-04,14:11:11.21,,,,,Undefined,FOR_RAM,"Chavez, Carson",1000156814,Right,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,GroundBall,Undefined,0,0,,51.93603,3.749896,0.016744,3279.34119,323.533605,4:45,4.35209,-0.42097,21.9307,-52.7855,-2.58083,2.94697,2.38875,-0.16453,48.35967,-10.075472,0.774249,0.509969,56.46755,-7.916046,-34.500806,,,,,28.84185,28.84185,-26.58884,0.280975,-3.07957,-3.59079,0.40736,50,3.25468,0.23208,-77.77066,9.9599,-1.83545,12.19231,-34.31421,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,029dcd60-a88c-11f1-884b-8d6b77d225c8,73.91129,3.22562,,3.57636,,,,,,,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:11:11.21,2026-09-04T14:11:11.2110000-04:00,2026-09-04T18:11:11.2110000Z,GroundBall,v3,471298,,,,,Undefined,FOR_RAM,ee6a7c71-5976-4f50-bd50-77f44ec9b094,38.57396,-75.95825,6.09616,4.3561,4.85903,-17.15711,0.42157,-0.04076,-0.91773,,6.65375,68.04151,,,,,,,,3.22897,-11.48011,,,,,,,,0.24428,-46.76504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,Estimated,Estimated,,,
5,2026-09-04,14:11:15.77,,,,,Undefined,FOR_RAM,"Chavez, Carson",1000156814,Right,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,FlyBall,Undefined,0,0,,51.53687,4.622697,-0.804247,3467.948608,312.722855,4:30,4.3218,-0.39086,21.90504,-57.35137,-6.74429,8.64922,2.54945,-0.19208,48.46255,-10.317869,1.416594,0.512008,83.99853,29.46904,-2.426354,2554.585322,109.87826,51.33202,5.17193,313.94304,312.6402,12.455407,4.419884,-9.29709,-8.06371,0.18015,50,3.02002,1.83075,-76.91924,11.49038,-5.50499,10.58077,-36.94871,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,05599200-a88c-11f1-884b-8d6b77d225c8,73.61686,62.76732,,3.07432,,,,,,,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:11:15.77,2026-09-04T14:11:15.7750000-04:00,2026-09-04T18:11:15.7750000Z,LineDrive,v3,471298,,,,,Undefined,FOR_RAM,664d899f-c584-4684-8685-7c212d3178ce,38.60133,-75.33496,5.29038,4.32631,5.95797,-18.47436,0.39256,1.00648,-2.7525,228.864419,5.95387,107.143,-16.41271,3.04815,-0.4959,0.07548,-0.01732,0.00349,-0.00027,3.29782,60.60471,-16.93791,0.82162,0.03472,-0.08711,0.03652,-0.00624,0.00038,0.29269,-4.52553,10.30546,-2.74144,0.56715,-0.09932,0.01897,-0.00285,0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2026-09-04,14:11:20.56,,,,,Undefined,FOR_RAM,"Chavez, Carson",1000156814,Right,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,LineDrive,Undefined,0,0,,47.88263,4.182822,-0.960834,2579.418773,321.010404,4:45,4.33264,-0.39829,21.91598,-63.14834,-4.8167,5.00425,1.78932,-0.60472,45.50061,-12.213399,0.325788,0.549697,77.71066,18.381347,-21.265094,795.724572,101.73935,17.89405,-41.82202,182.92483,181.9334,-24.279513,2.025111,-5.47882,-5.55815,0.1785,50,3.08032,1.59698,-71.43484,10.62507,-2.81245,8.73363,-35.02723,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,083f25c0-a88c-11f1-884b-8d6b77d225c8,68.56947,18.27436,,2.38203,,,,3.50514,1.91596,0.54759,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:11:20.56,2026-09-04T14:11:20.5600000-04:00,2026-09-04T18:11:20.5600000Z,LineDrive,v3,471298,,,,,Undefined,FOR_RAM,0aa07069-dec6-44ee-bd84-31b48743bc02,38.5902,-70.02599,4.36681,4.33855,4.97469,-17.51362,0.39952,1.1433,-1.40623,73.814068,3.50515,100.79563,-10.81642,0.75316,-0.40348,0.36705,-0.27472,0.10635,-0.01552,1.91596,35.94075,-21.26656,1.85282,-0.26773,0.04765,0.01475,-0.01049,0.0016,0.54759,-39.22798,0.08309,0.46044,-0.02754,-0.02927,0.03742,-0.01666,0.00253,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-09-04,14:11:25.50,,,,,Undefined,FOR_RAM,"Chavez, Carson",1000156814,Right,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,50.76361,4.410543,-1.147732,3081.68986,306.280628,4:15,4.35137,-0.39143,21.99207,-56.29385,-5.52327,8.74079,2.52216,-0.40626,48.78675,-10.200841,1.101613,0.512835,,,,,,,,,,,,-9.45579,-6.37874,0.10579,50,3.06856,2.29675,-75.3789,11.1376,-5.55182,7.4044,-35.91923,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,0b2296a0-a88c-11f1-884b-8d6b77d225c8,73.49822,,,1.97687,,,,,,,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:11:25.50,2026-09-04T14:11:25.5080000-04:00,2026-09-04T18:11:25.5080000Z,,v3,471298,,,,,Undefined,FOR_RAM,74d5d4ff-6efa-46f0-9f0f-0c2bd58387a5,38.51516,-74.24218,3.7022,4.35511,5.62332,-17.95961,0.39297,1.44444,-2.77591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-09-04,14:11:36.95,,,,,Undefined,FOR_RAM,"Young, Caden",10264258,Right,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,GroundBall,Undefined,0,0,,49.79821,4.459864,-1.090315,2979.262308,309.638464,4:15,4.32429,-0.3839,21.90938,-60.82775,-5.79418,8.95327,2.15578,-0.3454,46.2787,-11.439507,1.20984,0.533931,71.27596,-39.529686,-77.014159,,,,,4.73754,3.32893,-32.754663,0.03792,-9.61922,-6.84827,0.12063,50,3.05222,2.12411,-74.59603,11.04488,-5.23839,11.77454,-35.90344,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,12098e60-a88c-11f1-884b-8d6b77d225c8,70.59421,2.53209,,3.51951,,,,3.29474,2.53209,0.42675,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:11:36.95,2026-09-04T14:11:36.9560000-04:00,2026-09-04T18:11:36.9560000Z,GroundBall,v3,471298,,,,,Undefined,FOR_RAM,71f8f1d8-2af9-4430-be26-29dc0048635c,38.59587,-72.7737,5.88727,4.33162,5.48813,-17.95172,0.38664,1.31337,-2.6192,,3.29434,18.1831,,,,,,,,2.53354,-66.77407,,,,,,,,0.42846,-78.84855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-09-04,14:11:41.43,,,,,Undefined,FOR_RAM,"Young, Caden",10264258,Right,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,GroundBall,Undefined,0,0,,49.28963,3.497538,-3.06484,3012.570163,,,3.94047,-0.6071,21.96025,,,,1.86551,-0.3279,46.69266,-10.120071,3.92486,0.532818,92.08471,-3.244942,-25.909522,,,,,40.16904,32.76098,-21.447865,0.295131,-29.16116,2.38665,-0.16237,50,2.88332,6.18454,-73.50065,9.17191,-15.89751,8.99184,-30.87295,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,14bdd8f0-a88c-11f1-884b-8d6b77d225c8,70.74168,2.12819,,2.59697,,,,2.896,2.12819,0.30548,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:11:41.43,2026-09-04T14:11:41.4360000-04:00,2026-09-04T18:11:41.4360000Z,GroundBall,v3,471298,,,,,Undefined,FOR_RAM,6800133b-e027-4207-9df6-449a4256327b,38.54735,-72.08596,4.49592,3.94425,4.31463,-15.43647,0.61389,3.68337,-7.94875,231.667256,2.89738,121.2273,-14.80308,,,,,,,2.1233,-7.4225,0.82365,,,,,,,0.29592,-58.48578,26.24733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Medium,Medium,,,
10,2026-09-04,14:11:46.55,,,,,Undefined,FOR_RAM,"Young, Caden",10264258,Right,FOR_RAM,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,GroundBall,Undefined,0,0,,50.62491,4.227777,-1.166535,3061.220368,323.18832,4:45,4.32814,-0.38759,21.94157,-60.21633,-7.57859,6.71595,2.05678,-0.58437,47.48257,-11.473667,0.561035,0.52218,84.56779,-18.875578,-37.134524,,,,,9.37269,5.12698,-21.871056,0.059517,-7.34103,-8.57748,0.11822,50,3.09494,2.09464,-75.72058,10.9491,-4.17204,11.06753,-37.04879,FOR_RAM,,FordhamUniversity,,,20260904-FordhamUniversity-BP-1,17ba5010-a88c-11f1-884b-8d6b77d225c8,72.18289,2.39364,,3.14234,,,,3.11676,2.39364,0.73491,568bcc58-7a80-4f8d-8682-9863113bc81a,2026-09-04,18:11:46.55,2026-09-04T14:11:46.5560000-04:00,2026-09-04T18:11:46.5560000Z,GroundBall,v3,471298,,,,,Undefined,FOR_RAM,7a62caea-544b-4dbc-b7b3-fd7b225e516f,38.56471,-74.03029,5.53377,4.33506,5.29086,-18.5244,0.38947,1.45747,-2.08602,,3.11471,93.77733,,,,,,,,2.39451,-40.21788,,,,,,,,0.73646,-71.01211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
