PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-09-25,15:21:29.01,1,1,"Curran, Tommy",1000559344,Left,FOR_RAM,"Caron, Michael",1000322224,Right,FOR_RAM,Undefined,1,Top,0,0,0,Cutter,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.69595,-0.333005,1.435852,1978.755101,144.128065,10:45,5.90942,-1.79281,6.39658,-34.39998,8.90646,-5.66252,2.7364,-0.9439,73.70206,-6.719973,0.409301,0.473639,,,,,,,,,,,,3.27209,5.08941,1.69226,50,5.86951,-2.68162,-114.62172,-1.62569,4.44832,16.83932,-25.25511,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,42351470-b916-11f1-93a8-090a75922668,79.58049,,,4.99389,,,,,,,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:21:29.01,2026-09-25T15:21:29.0143744-04:00,2026-09-25T19:21:29.0143744Z,,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,eeb720e4-c8f7-4223-a579-a5bbdbfc980a,54.10369,-115.22302,8.41966,5.91146,-0.72387,-12.62755,1.79085,-2.84047,2.22416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-09-25,15:21:44.31,1,2,"Curran, Tommy",1000559344,Left,FOR_RAM,"Caron, Michael",1000322224,Right,FOR_RAM,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,74.54708,0.141807,1.877325,1265.169739,123.878121,10:15,5.80983,-1.69201,6.51735,-39.94545,8.67764,-10.8528,2.61123,-0.87324,69.08184,-7.315434,-0.094486,0.501872,,,,,,,,,,,,6.15075,4.97366,1.56551,50,5.8025,-3.20482,-108.45623,-0.76685,7.39209,17.36952,-26.19657,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,4b4d1d00-b916-11f1-93a8-090a75922668,75.10375,,,5.46524,,,,,,,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:21:44.31,2026-09-25T15:21:44.3199488-04:00,2026-09-25T19:21:44.3199488Z,,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,41ee8a28-622b-4344-be2f-ab6d7c859b30,53.98158,-109.09202,8.68476,5.81302,0.19205,-13.09828,1.68777,-3.4754,3.69604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-09-25,15:22:01.44,1,3,"Curran, Tommy",1000559344,Left,FOR_RAM,"Caron, Michael",1000322224,Right,FOR_RAM,Undefined,1,Top,0,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.44642,-1.266851,0.794502,2160.867701,145.162735,10:45,5.8434,-2.02627,6.1677,-36.24742,7.01347,-4.04677,1.65233,-1.6296,73.92373,-7.962859,0.063173,0.47339,,,,,,,,,,,,2.28965,4.33382,1.9681,50,5.72888,-1.45855,-115.58285,-3.63072,3.13473,19.10915,-26.24063,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,557e5dc0-b916-11f1-93a8-090a75922668,79.62236,,,5.52269,,,,,,,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:22:01.44,2026-09-25T15:22:01.4408704-04:00,2026-09-25T19:22:01.4408704Z,,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,8268eb08-e531-4750-bbcf-bcacc8fe7b2d,54.33168,-116.2968,9.55458,5.84622,-2.65033,-13.12032,2.02478,-1.57567,1.56737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-09-25,15:22:19.77,1,4,"Curran, Tommy",1000559344,Left,FOR_RAM,"Caron, Michael",1000322224,Right,FOR_RAM,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,caron no good challenge,69.13278,2.699283,-0.073468,2277.916552,311.691817,4:30,5.89612,-1.71042,5.66166,-66.77157,-7.79016,10.77209,2.85075,-0.88125,63.75412,-9.484176,1.854104,0.55275,,,,,,,,,,,,-5.46709,-4.11225,1.70977,50,6.08239,-0.23802,-100.39376,2.76638,-5.5741,16.40481,-36.36678,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,607ed560-b916-11f1-93a8-090a75922668,68.19072,,,5.37866,,,,,,,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:22:19.77,2026-09-25T15:22:19.7780000-04:00,2026-09-25T19:22:19.7780000Z,,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,1c72fead-f1dd-4e3c-8de3-d96a6585a715,54.84031,-101.1816,8.20241,5.90759,4.51289,-18.18339,1.71477,0.02968,-2.78705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7767,,,1.183594,,,,-3.64394,4.38771,4.36397,82.18752,7.998,42.59379,-3.5248,81.81514,-7.98076,4.44984,20.18088,-14.54003,4.36467,33.5525,-1.05924,High,High,High,,,High,High,High
5,2026-09-25,15:22:55.84,2,1,"Curran, Tommy",1000559344,Left,FOR_RAM,"Palmer, Owen",10100501,Left,FOR_RAM,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.72976,2.225268,1.090192,2196.936991,313.917015,4:30,5.93996,-1.52072,5.87159,-67.75177,-9.99079,12.27091,2.3623,0.51459,64.21068,-10.168455,3.295036,0.547002,,,,,,,,,,,,-5.93969,-5.18386,1.42546,50,6.0811,-2.33676,-101.2823,1.98028,-6.12924,17.55767,-37.52333,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,75f75ac0-b916-11f1-93a8-090a75922668,68.90737,,,5.51908,,,,,,,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:22:55.84,2026-09-25T15:22:55.8466560-04:00,2026-09-25T19:22:55.8466560Z,,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,fa84cca6-c79a-4614-a26d-fad1afa32cd0,54.63082,-102.08191,8.77884,5.952,3.68917,-18.76166,1.52552,-2.05762,-3.06462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-09-25,15:23:11.64,2,2,"Curran, Tommy",1000559344,Left,FOR_RAM,"Palmer, Owen",10100501,Left,FOR_RAM,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.1936,0.270875,1.139,2152.750872,307.069591,4:15,5.89693,-1.45742,6.45979,-65.96763,-8.79512,13.95741,0.64849,0.75208,64.28176,-11.864082,3.680643,0.544208,,,,,,,,,,,,-7.05288,-4.29638,1.37081,50,5.88665,-2.40787,-100.70201,-1.19935,-7.19943,17.25857,-36.55971,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,7f6d13b0-b916-11f1-93a8-090a75922668,69.26106,,,4.91184,,,,,,,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:23:11.64,2026-09-25T15:23:11.6402176-04:00,2026-09-25T19:23:11.6402176Z,,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,61f32fc0-8aa7-471a-a4ca-30d6cefbf399,54.04383,-101.39268,8.62929,5.90537,0.26374,-18.27986,1.4614,-2.11975,-3.59971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-09-25,15:23:29.12,2,3,"Curran, Tommy",1000559344,Left,FOR_RAM,"Palmer, Owen",10100501,Left,FOR_RAM,Undefined,1,Top,1,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78434,0.935204,3.213111,1920.975947,170.228069,11:45,5.89544,-1.53242,6.86722,-22.433,15.94867,-2.54299,4.87984,1.18733,76.55314,-3.369494,2.749633,0.445896,,,,,,,,,,,,2.22417,8.56,1.3288,50,5.94636,-6.74008,-121.6803,1.46019,3.33663,23.74304,-19.33269,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,89bd7530-b916-11f1-93a8-090a75922668,84.53194,,,7.2312,,,,,,,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:23:29.12,2026-09-25T15:23:29.1252736-04:00,2026-09-25T19:23:29.1252736Z,,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,d5ac35ec-f9ac-491a-a17c-d3d37f6388dd,53.62851,-122.38627,11.87152,5.8944,2.03502,-9.66635,1.53069,-6.83929,1.66832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-09-25,15:23:45.03,2,4,"Curran, Tommy",1000559344,Left,FOR_RAM,"Palmer, Owen",10100501,Left,FOR_RAM,Undefined,1,Top,1,2,1,Cutter,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,77.00717,0.032987,1.897964,2049.356801,164.7713,11:30,5.90067,-1.68449,6.07401,-40.62939,6.09339,-1.26579,2.54543,-0.03315,70.84048,-7.493157,1.669935,0.491967,68.59809,45.715765,-10.780114,,106.44059,77.34359,-27.75606,192.04883,192.04883,-16.234302,4.590342,1.18323,3.54642,1.5383,50,5.88149,-3.66382,-111.89279,-1.11734,1.50046,20.14071,-27.67683,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,9343cff0-b916-11f1-93a8-090a75922668,76.61582,77.34623,,6.16669,,,,1.13193,2.58763,0.02812,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:23:45.03,2026-09-25T15:23:45.0314240-04:00,2026-09-25T19:23:45.0314240Z,FlyBall,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,5859da27-e705-4ebe-828b-7fe1cea2a163,54.42521,-112.68652,10.07035,5.90403,-0.02662,-13.83842,1.68386,-3.72295,0.75023,166.973465,1.13438,68.94943,-15.81652,3.90268,-0.48587,-0.05115,0.03152,-0.00462,0.00023,2.58656,72.04428,-19.28045,1.02742,0.02556,-0.09201,0.03624,-0.00617,0.00038,0.028,-13.13745,-0.10035,0.30844,-0.10547,0.01754,-0.00016,-0.00034,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-09-25,15:24:18.73,3,1,"Curran, Tommy",1000559344,Left,FOR_RAM,"Rubin, Jack",10076675,Right,FOR_RAM,Undefined,1,Top,2,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.92307,-0.924423,3.425443,1996.973136,165.168008,11:30,5.93072,-1.63139,6.56413,-22.73934,15.01761,-3.66768,3.18672,1.20697,77.87055,-5.240803,2.760638,0.442252,,,,,,,,,,,,2.84441,8.49441,1.39675,50,5.85711,-7.24293,-123.28505,-2.59166,4.38757,23.9952,-19.07116,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,a757e350-b916-11f1-93a8-090a75922668,85.2284,,,7.05252,,,,,,,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:24:18.73,2026-09-25T15:24:18.7366400-04:00,2026-09-25T19:24:18.7366400Z,,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,f76e3303-4d63-41bc-81f5-61233b2c4381,53.93265,-124.04811,11.9976,5.92989,-1.98519,-9.53558,1.6293,-7.38245,2.19379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-09-25,15:24:37.09,3,2,"Curran, Tommy",1000559344,Left,FOR_RAM,"Rubin, Jack",10076675,Right,FOR_RAM,Undefined,1,Top,2,1,0,Cutter,Slider,InPlay,Undefined,LineDrive,Out,1,0,,79.06473,-1.403764,2.226042,1975.403864,195.28636,12:30,5.85478,-1.88671,6.03842,-35.23994,8.73276,2.05252,1.61711,0.34651,73.56035,-7.899135,2.595463,0.477269,101.91651,16.053645,-23.932238,1365.827459,99.97878,23.79714,-45.87202,266.2399,262.29885,-27.327033,2.64341,-0.52169,5.20831,1.71189,50,5.72586,-4.53965,-114.9376,-3.86388,-0.70576,19.05397,-25.12825,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20260925-FordhamUniversity-Private-2,b244abe0-b916-11f1-93a8-090a75922668,78.9753,25.92653,,5.50438,,,,2.1947,1.46112,0.11266,19664ea5-8cf3-4660-9b31-69759f333a4e,2026-09-25,19:24:37.09,2026-09-25T15:24:37.0936832-04:00,2026-09-25T19:24:37.0936832Z,LineDrive,v3,471298,471298,,"Chavez, Carson",1000156814,Right,FOR_RAM,da73f709-02cf-49a9-983d-dea58adbe7be,54.46218,-115.67496,9.52699,5.85657,-2.89146,-12.56413,1.88704,-4.51234,-0.35288,,2.19475,131.29559,-25.98739,5.98677,-1.33608,0.25398,-0.03015,0.00068,0.00017,1.46086,41.34888,-19.85159,2.77497,-1.09146,0.52827,-0.19007,0.03727,-0.00292,0.11261,-58.26921,7.44982,-1.71611,0.31926,-0.01839,-0.01511,0.00487,-0.00047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
