PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-13,13:01:35.86,1,1,"Grine, Jackson",837362,Right,ASH_UNI,"Montes de Oca, Chris",1000276620,Left,CED_UNI,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.05632,-0.923844,-2.869664,2258.829061,237.472818,2:00,5.67696,1.59499,6.62227,-18.97899,16.32788,23.33316,3.24826,0.90942,79.01835,-4.627764,1.372728,0.427662,,,,,,,,,,,,-13.1489,9.29481,-1.4078,50,5.60623,5.51017,-129.02508,-2.54487,-21.46891,34.70165,-16.99792,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,4ba09e60-1efe-11f1-b6be-a9efe8137b86,88.13601,,,10.03798,,,,,,,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:01:35.86,2026-03-13T13:01:35.8600000-04:00,2026-03-13T17:01:35.8600000Z,,v3,,,,"King, Nate",807037,Right,ASH_UNI,980b028b-e99a-49e2-bdac-bb8d444a05e5,53.87086,-130.06199,17.35082,5.67468,-2.03696,-8.49896,-1.58203,6.15168,-10.73446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-13,13:02:14.75,1,2,"Grine, Jackson",837362,Right,ASH_UNI,"Montes de Oca, Chris",1000276620,Left,CED_UNI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.77397,-2.000406,-2.629807,2294.31414,216.612716,1:15,5.72235,1.54271,6.44541,-20.7597,13.87072,9.33713,2.1517,-0.09718,80.68162,-5.973405,-0.937761,0.423546,65.24026,69.916348,-93.752973,4278.754653,,,,,61.52982,,,-5.79851,8.30729,-1.36025,50,5.5711,5.60911,-130.13155,-5.13076,-9.73615,32.60766,-18.22552,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,62d29390-1efe-11f1-b6be-a9efe8137b86,88.99259,83.87173,,9.09236,,,,3.36896,2.35305,0.06415,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:02:14.75,2026-03-13T13:02:14.7500000-04:00,2026-03-13T17:02:14.7500000Z,,v3,,,,"King, Nate",807037,Right,ASH_UNI,2dcc6bac-6397-4e8e-aa2d-67f891eb843b,54.05098,-131.1427,16.30383,5.72144,-4.56559,-9.11276,-1.53887,5.91102,-4.86807,,3.36896,-2.15068,4.96,-1.94134,0.51876,-0.1192,0.02377,-0.00328,0.00016,2.35305,89.86711,-30.1014,4.0199,-0.74281,0.1088,-0.01183,-0.00057,0.00037,0.06415,-32.78718,-3.12031,2.37343,-0.76164,0.19765,-0.04353,0.00717,-0.00047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
3,2026-03-13,13:02:46.59,1,3,"Grine, Jackson",837362,Right,ASH_UNI,"Montes de Oca, Chris",1000276620,Left,CED_UNI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.65394,-1.13463,-2.678635,2298.377142,220.470565,1:15,5.73544,1.58442,6.44583,-18.50804,15.19839,11.94721,3.14933,0.1171,81.86267,-4.691895,-0.514282,0.417857,66.67186,45.360283,-128.8425,4092.231622,,,,,46.1067,,,-7.08355,8.64808,-1.39943,50,5.64653,5.67122,-131.52776,-3.11215,-12.24474,31.33952,-17.2248,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,75d11840-1efe-11f1-b6be-a9efe8137b86,90.20411,39.37743,,8.79127,,,,0.70147,3.05189,-0.05355,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:02:46.59,2026-03-13T13:02:46.5910000-04:00,2026-03-13T17:02:46.5910000Z,,v3,,,,"King, Nate",807037,Right,ASH_UNI,5a439f23-f491-47be-b1cd-93bafb8ab6f2,54.05047,-132.48936,15.66976,5.73391,-2.58364,-8.6124,-1.57921,6.04693,-6.12237,30.881814,0.70147,-43.09299,0.10745,0.99525,0.43133,-2.07586,3.47996,-2.81402,0.89298,3.05189,69.57749,-28.97918,3.32156,0.43893,-3.38947,5.60038,-4.41749,1.36575,-0.05355,-53.51519,7.65958,-0.59221,0.19788,-0.32377,0.56654,-0.49424,0.16882,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-03-13,13:03:10.29,1,4,"Grine, Jackson",837362,Right,ASH_UNI,"Montes de Oca, Chris",1000276620,Left,CED_UNI,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,84.95572,-1.630623,-2.59364,1480.399036,238.471227,2:00,5.48833,1.84563,6.12318,-29.28907,9.33961,13.11186,1.53823,0.53901,77.48406,-7.100201,-0.229904,0.447328,,,,,,,,,,,,-7.52914,5.69941,-1.65372,50,5.3483,5.06843,-123.2577,-4.418,-11.5101,25.93533,-23.46117,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,83ec1650-1efe-11f1-b6be-a9efe8137b86,84.26123,,,7.47165,,,,,,,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:03:10.29,2026-03-13T13:03:10.2900000-04:00,2026-03-13T17:03:10.2900000Z,,v3,,,,"King, Nate",807037,Right,ASH_UNI,7e396741-64f6-46e5-a4ac-af16b2dfa8e8,54.37396,-124.17464,12.96766,5.48984,-3.58853,-11.73058,-1.8401,5.47537,-5.75505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-13,13:03:44.58,2,1,"Grine, Jackson",837362,Right,ASH_UNI,"Henderson, Eli",10923238,Left,CED_UNI,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.75927,-0.686504,-3.424415,2174.448421,245.352002,2:15,5.59982,1.51448,6.47707,-26.16997,9.4293,17.49308,2.78745,-0.17599,79.22407,-5.667948,-0.254376,0.42943,98.02046,17.889537,40.871572,3204.497165,78.77387,24.83315,76.77672,249.02331,217.19177,49.096046,2.372771,-10.35882,5.57201,-1.2805,50,5.54013,6.99668,-128.58067,-2.31492,-16.87836,33.30335,-23.09517,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,98674ff0-1efe-11f1-b6be-a9efe8137b86,87.77326,25.6124,,9.5352,,,,1.77263,2.73237,0.35026,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:03:44.58,2026-03-13T13:03:44.5880000-04:00,2026-03-13T17:03:44.5880000Z,LineDrive,v3,,,,"King, Nate",807037,Right,ASH_UNI,65f484fd-5f82-4155-a4f1-645ce6dc065a,54.01845,-129.6173,16.65167,5.60099,-1.59604,-11.54759,-1.50646,7.52205,-8.43918,,1.77263,103.45437,-22.10299,4.76302,-1.06581,0.197,-0.03359,0.00436,-0.00026,2.73237,44.16149,-23.94635,3.01879,-0.61626,0.12044,-0.01898,0.00235,-0.00016,0.35026,89.52539,-2.56335,-1.6592,0.7078,-0.21508,0.04589,-0.00684,0.00048,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-03-13,13:04:10.73,2,2,"Grine, Jackson",837362,Right,ASH_UNI,"Henderson, Eli",10923238,Left,CED_UNI,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.72576,-0.035079,-2.022854,1513.156552,266.456549,3:00,5.48165,1.80719,6.24075,-37.53915,2.25638,13.90749,2.32102,1.09954,75.88698,-7.034489,0.491645,0.454034,,,,,,,,,,,,-7.80012,1.63626,-1.66284,50,5.46107,3.74921,-121.52338,-1.2594,-11.50609,26.82965,-29.76034,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,a7f713b0-1efe-11f1-b6be-a9efe8137b86,83.01675,,,7.83878,,,,,,,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:04:10.73,2026-03-13T13:04:10.7320000-04:00,2026-03-13T17:04:10.7320000Z,,v3,,,,"King, Nate",807037,Right,ASH_UNI,b228be31-8d98-4c6b-af8c-00e16a020ce3,54.25562,-122.45932,13.41483,5.4869,-0.22122,-14.88017,-1.80063,4.1506,-5.75304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-13,13:04:32.82,2,3,"Grine, Jackson",837362,Right,ASH_UNI,"Henderson, Eli",10923238,Left,CED_UNI,Undefined,1,Top,1,0,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.42466,0.064493,-2.286134,1465.411843,265.355256,2:45,5.47468,1.83735,6.11565,-37.62215,2.18902,11.56524,2.39918,0.68632,76.47647,-6.906555,-0.200991,0.454123,,,,,,,,,,,,-6.61386,1.49504,-1.66799,50,5.46008,4.39526,-121.19582,-1.06643,-9.82633,23.92941,-29.95285,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,b51e62f0-1efe-11f1-b6be-a9efe8137b86,83.00043,,,6.94819,,,,,,,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:04:32.82,2026-03-13T13:04:32.8280000-04:00,2026-03-13T17:04:32.8280000Z,,v3,,,,"King, Nate",807037,Right,ASH_UNI,c314bc68-4143-4849-97c6-5260b479485c,54.38308,-122.05816,11.96471,5.47906,0.01298,-14.97643,-1.83276,4.74938,-4.91317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-13,13:04:58.92,2,4,"Grine, Jackson",837362,Right,ASH_UNI,"Henderson, Eli",10923238,Left,CED_UNI,Undefined,1,Top,1,0,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.71708,-1.319945,-2.056543,2266.907501,227.393399,1:30,5.65992,1.68846,6.39865,-22.27332,10.56386,10.27111,2.58897,0.65234,83.27079,-5.536191,-0.195483,0.412434,78.01263,50.057626,-64.737504,4487.46699,31.94967,89.52407,-105.25782,237.08461,95.30857,-79.246709,4.664739,-5.97394,6.24713,-1.54535,50,5.55503,4.36046,-133.1595,-3.75,-10.62964,30.996,-21.05833,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,c4ab6790-1efe-11f1-b6be-a9efe8137b86,91.39028,92.87207,,8.4463,,,,0.33034,2.36763,-0.5439,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:04:58.92,2026-03-13T13:04:58.9230000-04:00,2026-03-13T17:04:58.9230000Z,FlyBall,v3,,,,"King, Nate",807037,Right,ASH_UNI,2a832fe3-3f86-4a57-8e80-e29b73441a44,54.09803,-134.11002,15.498,5.66012,-3.10423,-10.52917,-1.68406,4.68643,-5.31482,,0.34261,31.12485,-10.7453,2.17928,-0.31528,0.18822,-0.10694,0.02419,-0.00185,2.35259,88.07285,-27.06511,5.79287,-3.2478,1.41252,-0.36692,0.04984,-0.00272,-0.52975,-66.7549,6.59943,-3.22717,2.4024,-1.13969,0.30144,-0.04044,0.00214,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2026-03-13,13:05:21.58,2,5,"Grine, Jackson",837362,Right,ASH_UNI,"Henderson, Eli",10923238,Left,CED_UNI,Undefined,1,Top,1,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.90057,-1.819496,-1.812261,2304.741296,212.198199,1:00,5.61251,1.74595,6.19737,-18.44103,15.4269,8.94969,2.39472,0.81824,82.08551,-5.345261,-0.196967,0.418857,,,,,,,,,,,,-5.18776,8.91071,-1.61387,50,5.46628,3.79254,-131.83242,-4.71908,-9.00424,31.62474,-16.70796,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,d22c4880-1efe-11f1-b6be-a9efe8137b86,89.98881,,,8.81506,,,,,,,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:05:21.58,2026-03-13T13:05:21.5840000-04:00,2026-03-13T17:05:21.5840000Z,,v3,,,,"King, Nate",807037,Right,ASH_UNI,39fb4400-1490-4821-aeb3-d9a7450fa069,54.29774,-132.85938,15.81237,5.61072,-4.17652,-8.35398,-1.74178,4.08494,-4.50212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-13,13:05:52.34,3,1,"Grine, Jackson",837362,Right,ASH_UNI,"Wilde, Kaden",10311046,Right,CED_UNI,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.55161,2.319962,0.042898,2221.846564,49.646537,7:45,5.54572,1.9384,5.6722,-52.43326,-2.58303,-5.51166,3.34037,1.51908,67.78155,-7.397535,-0.942811,0.508165,,,,,,,,,,,,2.83496,-1.73512,-1.93836,50,5.70869,0.12471,-110.7304,2.82953,3.38321,26.9123,-34.24469,ASH_UNI,CED_UNI,AshlandUniversity,D2,Team,20260313-AshlandUniversity-1,e4884ba0-1efe-11f1-b6be-a9efe8137b86,74.17359,,,8.77006,,,,,,,829537cc-9e18-4ad7-94fd-c494c1548479,2026-03-13,17:05:52.34,2026-03-13T13:05:52.3440000-04:00,2026-03-13T17:05:52.3440000Z,,v3,,,,"King, Nate",807037,Right,ASH_UNI,e3ac343d-2437-493d-9408-f565f5b58a38,54.82339,-111.89655,13.45615,5.55394,4.3134,-17.12235,-1.94059,-0.02189,1.6916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
