PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,18:05:39.35,1,1,"Guerrero, JT",833476,Right,GRA_CAN,"Trosky, Jabin",695748,Right,SAN_AZT,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.8896,-2.43224,-3.257578,2094.235665,219.190716,1:15,6.00418,1.09299,5.7,-17.97072,17.99308,13.65812,2.23515,-0.80761,80.72783,-5.838723,-0.819375,0.431623,,,,,,,,,,,,-7.88792,10.22209,-0.82802,50,5.7887,6.73081,-128.71669,-6.01902,-13.14998,28.29041,-15.13278,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,3cb6ff30-2a42-11f1-9496-bfc3e5543986,87.32731,,,8.16177,,,,,,,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:05:39.35,2026-03-27T18:05:39.3535488-07:00,2026-03-28T01:05:39.3535488Z,,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,f4674894-fddb-40cb-a391-143e69c0b35b,54.79722,-129.76678,14.14521,6.00169,-5.45732,-7.56639,-1.08691,7.21891,-6.57499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,18:06:12.82,1,2,"Guerrero, JT",833476,Right,GRA_CAN,"Trosky, Jabin",695748,Right,SAN_AZT,Undefined,1,Top,0,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.14165,-0.903556,-1.310752,2334.911193,73.015683,8:30,5.99364,1.41376,5.52674,-39.46845,0.29043,-2.84949,1.85962,-0.04927,77.83938,-8.09097,-1.819482,0.453825,,,,,,,,,,,,1.11236,0.67146,-1.29781,50,5.8883,2.91198,-122.27105,-3.32396,1.69276,22.93014,-31.15225,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,50acb520-2a42-11f1-9496-bfc3e5543986,83.055,,,6.30227,,,,,,,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:06:12.82,2026-03-27T18:06:12.8230400-07:00,2026-03-28T01:06:12.8230400Z,,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,6e697321-a397-409d-8219-267d7ba63f15,54.97451,-123.20041,11.46507,5.99743,-2.06135,-15.57613,-1.41444,2.84338,0.84638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,18:06:33.13,1,3,"Guerrero, JT",833476,Right,GRA_CAN,"Trosky, Jabin",695748,Right,SAN_AZT,Undefined,1,Top,0,0,2,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,85.79621,-1.260423,-2.523844,2334.146011,132.133737,10:30,5.83532,1.25616,5.83114,-35.66628,2.09697,-1.13095,1.69019,-1.18562,79.52743,-7.790872,-2.726601,0.442289,66.13276,-28.578154,1.845264,,,,,5.33843,5.33843,13.700414,0.037891,-0.06043,1.68354,-1.04938,50,5.71096,5.53882,-124.65036,-3.96481,-0.09585,23.1854,-29.50412,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,5ce2eda0-2a42-11f1-9496-bfc3e5543986,85.22131,1.76311,,6.26878,,,,1.9515,1.76311,1.16016,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:06:33.13,2026-03-27T18:06:33.1377664-07:00,2026-03-28T01:06:33.1377664Z,GroundBall,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,17b170c7-daa0-4ebe-b664-82bb188479e1,54.66996,-125.51598,11.5927,5.83843,-2.86328,-14.75206,-1.25624,5.54239,-0.04793,,1.95001,85.37738,,,,,,,,1.76393,-46.53117,,,,,,,,1.16011,2.75061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2026-03-27,18:07:04.01,2,1,"Guerrero, JT",833476,Right,GRA_CAN,"Justice, Zach",822154,Right,SAN_AZT,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.5064,0.863237,0.432707,2011.963981,215.536605,1:15,6.00967,1.29069,5.56875,-16.27623,16.24564,10.8393,5.45976,2.59818,84.76955,-2.229687,2.365493,0.410449,,,,,,,,,,,,-5.22579,8.21646,-1.33449,50,6.07334,-1.55919,-135.61938,1.53041,-9.68438,31.03622,-16.94739,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,6f40ec90-2a42-11f1-9496-bfc3e5543986,91.83219,,,8.73685,,,,,,,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:07:04.01,2026-03-27T18:07:04.0193024-07:00,2026-03-28T01:07:04.0193024Z,,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,02f2536c-faac-4359-a4b5-f479881fcadc,54.92392,-136.74157,15.51811,6.00693,2.14318,-8.47369,-1.28445,-1.20903,-4.84219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,18:07:25.52,2,2,"Guerrero, JT",833476,Right,GRA_CAN,"Justice, Zach",822154,Right,SAN_AZT,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.38801,-1.989791,-2.959327,2015.596539,220.959874,1:15,5.86485,1.18709,5.91621,-17.2654,15.71269,12.6632,2.57623,-0.50651,83.88294,-5.270395,-0.688633,0.413318,,,,,,,,,,,,-7.32764,8.95937,-0.95681,50,5.69536,6.35892,-133.9023,-5.18658,-13.21984,30.62003,-16.01042,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,7c033870-2a42-11f1-9496-bfc3e5543986,91.19482,,,8.50507,,,,,,,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:07:25.52,2026-03-27T18:07:25.5208448-07:00,2026-03-28T01:07:25.5208448Z,,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,e0532224-6956-40cc-b21b-c7855086820d,54.58066,-134.94572,15.31001,5.86281,-4.641,-8.00521,-1.18118,6.8094,-6.60992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,18:07:40.68,2,3,"Guerrero, JT",833476,Right,GRA_CAN,"Justice, Zach",822154,Right,SAN_AZT,Undefined,1,Top,1,1,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.39214,-0.214643,-1.450586,2360.612773,105.523521,9:30,5.94199,1.33328,5.57354,-36.72337,2.23102,-3.45162,2.68117,-0.30954,77.9727,-6.956824,-2.066788,0.44921,,,,,,,,,,,,1.31394,1.59681,-1.20609,50,5.89964,3.28484,-123.91647,-1.77739,2.03212,25.99735,-29.70444,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,851bdd40-2a42-11f1-9496-bfc3e5543986,83.90823,,,7.41944,,,,,,,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:07:40.68,2026-03-27T18:07:40.6802944-07:00,2026-03-28T01:07:40.6802944Z,,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,c4aa7c6d-3ea6-411e-8657-5f7b35bc41cc,54.92389,-124.94522,12.99867,5.94672,-0.60194,-14.85222,-1.33448,3.20443,1.01606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,18:07:57.21,2,4,"Guerrero, JT",833476,Right,GRA_CAN,"Justice, Zach",822154,Right,SAN_AZT,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.96283,-2.049848,-4.255635,2294.904824,209.178734,1:00,5.99281,1.09152,5.54697,-13.05678,19.55773,10.26111,2.98304,-2.03761,84.68074,-4.571867,-2.433784,0.411033,,,,,,,,,,,,-6.46213,10.81772,-0.72926,50,5.80646,9.6134,-135.80137,-5.24345,-11.92871,32.93612,-12.20517,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,8edef2e0-2a42-11f1-9496-bfc3e5543986,91.70167,,,9.2821,,,,,,,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:07:57.21,2026-03-27T18:07:57.2167680-07:00,2026-03-28T01:07:57.2167680Z,,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,4dfc35a9-7569-4fb0-ac0c-a8e6c7d92a6e,54.94811,-136.99618,16.46806,5.98865,-4.80068,-6.10258,-1.08585,10.04614,-5.96435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,18:08:12.31,2,5,"Guerrero, JT",833476,Right,GRA_CAN,"Justice, Zach",822154,Right,SAN_AZT,Undefined,1,Top,1,2,2,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.09853,3.219091,0.725643,2646.559827,77.127356,8:30,5.83635,1.4903,4.80755,-50.50259,-2.0224,-16.37627,4.68104,0.81312,70.39656,-5.94777,-2.153095,0.501134,,,,,,,,,,,,8.19473,-1.44756,-1.54765,50,6.11355,-0.72049,-112.95514,4.48916,10.43988,23.24852,-34.01818,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,97f6ad50-2a42-11f1-9496-bfc3e5543986,75.21434,,,7.70197,,,,,,,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:08:12.31,2026-03-27T18:08:12.3101184-07:00,2026-03-28T01:08:12.3101184Z,,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,4deb36e5-eb71-46a4-9c74-25cf55190b83,55.68959,-114.12016,11.62426,5.84588,6.19387,-17.00909,-1.49844,-1.24365,5.21994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,18:08:27.32,2,6,"Guerrero, JT",833476,Right,GRA_CAN,"Justice, Zach",822154,Right,SAN_AZT,Undefined,1,Top,1,3,2,Cutter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,87.32464,-2.48522,-3.623702,2359.233978,103.633837,9:30,5.74144,1.36713,5.93973,-33.99427,2.99264,-7.33347,0.59712,-2.60998,79.99112,-8.720628,-4.938268,0.437719,,,,,,,,,,,,2.6624,2.67606,-1.07392,50,5.52396,8.31088,-126.44764,-6.66488,4.27795,27.60656,-27.87417,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,a0e079f0-2a42-11f1-9496-bfc3e5543986,86.11104,,,7.33352,,,,,,,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:08:27.32,2026-03-27T18:08:27.3248256-07:00,2026-03-28T01:08:27.3248256Z,,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,b982dd02-462f-4970-bff1-c8657b3fae2d,54.55771,-127.43881,13.80328,5.74529,-5.66409,-13.93709,-1.36955,8.15728,2.13898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-27,18:08:59.15,3,1,"Guerrero, JT",833476,Right,GRA_CAN,"Peterson, Tyce",804941,Right,SAN_AZT,Undefined,1,Top,1,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.95843,-1.650718,-1.175952,2347.401952,128.461971,10:15,5.87871,1.67212,5.58893,-36.32124,4.1176,-3.83835,1.30981,0.25404,77.50347,-8.25848,-1.862039,0.457689,51.07626,-30.300114,-103.885339,,,,,3.40045,3.40045,-54.038961,0.039018,1.69543,2.76323,-1.56853,50,5.71283,2.6252,-120.64316,-4.71748,2.53764,20.04745,-28.03815,GRA_CAN,SAN_AZT,BrazellField,D1,MW,20260327-BrazellField-1,b3cc39f0-2a42-11f1-9496-bfc3e5543986,82.35379,1.48071,,5.45495,,,,2.60495,1.48071,-0.29251,0ac2f1cf-60a6-4da7-a695-b70088712760,2026-03-28,01:08:59.15,2026-03-27T18:08:59.1585792-07:00,2026-03-28T01:08:59.1585792Z,GroundBall,v3,5310,471432,60b1f9502e7047e5bdb7692fb3598ce3,"Perez, Jaime",1000122545,Right,GRA_CAN,0a00f9ce-8967-46c6-8a03-44aedc7664cf,54.91292,-121.4568,10.02373,5.88121,-3.57953,-14.01908,-1.67299,2.5222,1.26882,,2.60535,-15.58492,,,,,,,,1.48168,-37.94961,,,,,,,,-0.2909,-63.04492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
