PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,18:06:29.77,1,1,"Hansmann, Max",828674,Right,EVA_ACE,"Karczewski, Camden",1000133231,Right,ILL_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2523,-3.527925,-3.690721,2223.752144,221.074276,1:15,5.23616,1.7809,6.99618,-18.178,15.95347,12.85016,0.50297,-0.50853,80.97555,-7.039238,-1.340708,0.420483,,,,,,,,,,,,-7.96213,9.95697,-1.5577,50,5.01273,7.86599,-129.29401,-8.40832,-13.33231,29.67788,-15.50148,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,97cfd420-2a31-11f1-abde-8365da66e07e,89.64072,,,8.27675,,,,,,,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:06:29.77,2026-03-27T18:06:29.7730560-05:00,2026-03-27T23:06:29.7730560Z,,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,24cd497e-5bdb-4d95-b74a-4cd5b2e0d63a,53.50097,-130.09513,14.83894,5.23406,-7.98988,-7.75074,-1.77489,8.22589,-6.66615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,18:06:47.82,1,2,"Hansmann, Max",828674,Right,EVA_ACE,"Karczewski, Camden",1000133231,Right,ILL_RED,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.80639,1.235538,-0.836116,2742.27373,88.492302,9:00,4.84969,2.19628,6.26039,-42.58994,0.9439,-18.12627,2.44006,-0.08524,72.80577,-6.684959,-4.111792,0.474881,,,,,,,,,,,,9.10449,0.58185,-2.12612,50,4.92099,2.35732,-115.95218,1.21768,12.28311,23.51136,-31.38904,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,a29c4370-2a31-11f1-abde-8365da66e07e,79.37238,,,7.00062,,,,,,,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:06:47.82,2026-03-27T18:06:47.8224896-05:00,2026-03-27T23:06:47.8224896Z,,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,9ec7265d-5468-4361-9074-0381997da4df,54.23869,-116.80849,11.75568,4.85582,2.3609,-15.69452,-2.20383,1.90996,6.14155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,18:07:06.45,1,3,"Hansmann, Max",828674,Right,EVA_ACE,"Karczewski, Camden",1000133231,Right,ILL_RED,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.91429,-0.462781,-3.225451,2284.420468,212.734045,1:00,5.23304,1.81593,6.83515,-16.52458,17.35509,10.36619,3.43324,-0.26501,80.86199,-3.695917,-1.335748,0.41893,83.85993,62.857745,39.221789,4606.025235,,,,,35.03779,,,-6.55981,9.7128,-1.61229,50,5.1969,6.96127,-130.46425,-1.43204,-11.11232,31.83587,-15.72053,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,adb1a2a0-2a31-11f1-abde-8365da66e07e,89.97322,68.31883,,9.0523,,,,1.31745,3.68393,0.274,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:07:06.45,2026-03-27T18:07:06.4560128-05:00,2026-03-27T23:07:06.4560128Z,,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,a91eaa0f-58c2-429a-bc37-f0d2b5ddf18d,53.66197,-131.3548,15.91793,5.23081,-0.99229,-7.86027,-1.81137,7.27211,-5.55616,,1.31745,43.4687,-17.94378,5.83193,-3.9324,10.36353,-18.01235,15.62071,-5.38479,3.68393,109.44987,-28.0549,3.12161,0.10125,-2.45222,4.64264,-4.12379,1.43978,0.274,35.47986,-1.4242,-0.4449,0.93225,-2.93733,5.20205,-4.54447,1.57341,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-03-27,18:07:35.46,1,4,"Hansmann, Max",828674,Right,EVA_ACE,"Karczewski, Camden",1000133231,Right,ILL_RED,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.88,1.299116,-1.012137,2392.756631,66.698871,8:15,5.10011,1.92304,6.27521,-51.90767,-8.19882,-22.48667,1.97237,-0.88392,72.70024,-8.299891,-5.079688,0.475835,60.0912,64.052628,87.274915,4832.288736,,,,,36.61149,,,11.41804,-4.31618,-1.83753,50,5.1711,2.85136,-116.06634,1.04048,15.30363,25.26187,-37.95905,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,befea6c0-2a31-11f1-abde-8365da66e07e,79.21332,57.0498,,7.17976,,,,2.77277,2.16775,0.76463,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:07:35.46,2026-03-27T18:07:35.4600960-05:00,2026-03-27T23:07:35.4600960Z,,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,181806f3-f331-412b-a92d-541fcaeae485,54.22703,-116.98273,12.63094,5.10838,2.41747,-18.97952,-1.93089,2.2962,7.65181,,2.77278,1.83277,-3.54704,0.82345,0.60136,-1.9892,2.678,-1.75925,0.45413,2.16775,79.24895,-25.14622,2.55117,0.03139,-1.34935,1.86866,-1.21633,0.31038,0.76463,38.51945,-1.10279,-0.04883,-0.69697,1.93717,-2.6007,1.71532,-0.44481,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
5,2026-03-27,18:07:58.66,1,5,"Hansmann, Max",828674,Right,EVA_ACE,"Karczewski, Camden",1000133231,Right,ILL_RED,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,78.92123,2.109091,0.610362,2454.88316,64.886305,8:15,5.01537,1.99757,6.14794,-53.02188,-8.07918,-20.5245,2.5467,0.8512,71.66072,-7.695732,-3.095162,0.482504,85.32472,3.774123,-14.885306,6037.603755,,,,70.95214,64.46023,-13.92804,0.607856,10.83205,-4.43776,-2.03354,50,5.14882,-0.47744,-114.61798,2.57201,14.19256,24.16403,-37.98857,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,cccdcec0-2a31-11f1-abde-8365da66e07e,78.11839,3.30883,,7.26051,,,,1.68083,2.52536,-0.79393,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:07:58.66,2026-03-27T18:07:58.6600960-05:00,2026-03-27T23:07:58.6600960Z,GroundBall,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,55701ec7-9b7e-4d59-a480-e9d76643cca7,54.35391,-115.53223,12.08201,5.02431,4.00933,-18.99429,-2.00531,-1.01442,7.09628,313.990875,1.70703,120.09734,-15.87911,,,,,,,2.55377,7.60339,-19.49126,,,,,,,-0.81388,-31.63105,8.06765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-27,18:08:30.89,2,1,"Hansmann, Max",828674,Right,EVA_ACE,"Bakes, Brayden",1000115970,Left,ILL_RED,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.04504,-1.383046,-3.373556,1591.61592,280.061736,3:15,5.01955,2.10106,6.93663,-38.63632,-1.16016,15.17284,0.53851,0.29114,76.77164,-8.676938,-0.594281,0.440604,,,,,,,,,,,,-9.33914,0.36602,-1.89472,50,4.92093,6.79732,-124.68769,-4.13216,-14.19129,33.18536,-31.61785,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,e0060110-2a31-11f1-abde-8365da66e07e,85.54711,,,9.2734,,,,,,,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:08:30.89,2026-03-27T18:08:30.8934656-05:00,2026-03-27T23:08:30.8934656Z,,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,edd2e5e7-c76a-4d11-8bb1-692831297d23,53.55978,-125.63155,16.59268,5.02567,-3.23289,-15.80892,-2.09379,7.20094,-7.09564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,18:08:45.46,2,2,"Hansmann, Max",828674,Right,EVA_ACE,"Bakes, Brayden",1000115970,Left,ILL_RED,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,86.40229,-0.341404,-2.72522,1713.170852,271.551219,3:00,5.06574,2.13696,7.09447,-35.29675,0.95445,12.27701,1.81416,0.68506,78.18177,-7.024526,-0.470609,0.433344,84.08838,28.76271,-29.784563,5088.657702,89.79775,50.22851,-63.53233,230.72081,128.17655,-44.393101,4.021205,-7.44937,1.02118,-1.97742,50,5.03501,5.54458,-125.52633,-1.72515,-11.68601,29.39368,-30.57209,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,e8b360f0-2a31-11f1-abde-8365da66e07e,86.98043,54.98821,,8.22052,,,,0.0527,1.83246,-0.64024,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:08:45.46,2026-03-27T18:08:45.4603776-05:00,2026-03-27T23:08:45.4603776Z,FlyBall,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,e58b3054-c2ab-4bdb-8506-3b9c79fc3c23,53.4037,-126.32083,14.69684,5.07047,-0.89879,-15.28605,-2.13156,5.86045,-5.84301,,0.05334,93.8145,-24.99099,5.64708,-1.26382,0.27291,-0.05057,0.00606,-0.00031,1.83192,59.35772,-18.86076,1.70637,-0.34376,0.06234,-0.00816,0.00109,-9E-05,-0.63971,-53.7169,4.98327,-0.58251,0.04399,0.02243,-0.01185,0.00227,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-03-27,18:12:09.56,3,1,"Hansmann, Max",828674,Right,EVA_ACE,"Mastros, Graham",10037098,Right,ILL_RED,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.70354,0.439773,-1.086752,2786.754516,85.313128,8:45,5.06869,2.01147,6.17452,-45.14896,-0.4115,-22.04044,1.71251,-0.82902,72.32183,-7.899743,-5.064852,0.481401,,,,,,,,,,,,11.08229,0.09638,-1.91854,50,5.0793,2.96147,-114.42215,-0.48505,14.60647,22.26381,-32.04704,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,62616f00-2a32-11f1-abde-8365da66e07e,78.29737,,,6.38171,,,,,,,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:12:09.56,2026-03-27T18:12:09.5683584-05:00,2026-03-27T23:12:09.5683584Z,,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,6cb0123b-f526-4dfe-8a99-2e3a1adcdc0d,54.32661,-115.26093,11.13191,5.07483,0.72231,-16.02352,-2.01975,2.41118,7.30324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,18:12:28.61,3,2,"Hansmann, Max",828674,Right,EVA_ACE,"Mastros, Graham",10037098,Right,ILL_RED,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.51256,-0.926576,-2.616394,1715.02395,262.836555,2:45,5.18715,1.96491,6.94319,-35.7901,3.08248,13.89894,1.36038,0.74023,75.98062,-7.676821,-0.069995,0.448738,,,,,,,,,,,,-8.21847,2.33902,-1.80598,50,5.11762,5.06816,-121.33888,-2.9372,-12.10272,26.45414,-28.72957,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,6db1db60-2a32-11f1-abde-8365da66e07e,83.99649,,,7.53194,,,,,,,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:12:28.61,2026-03-27T18:12:28.6113792-05:00,2026-03-27T23:12:28.6113792Z,,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,be29d313-6b38-403b-985c-1111262dd960,53.55562,-122.11161,13.22707,5.19116,-2.098,-14.36478,-1.95919,5.42169,-6.05136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-27,18:12:46.78,3,3,"Hansmann, Max",828674,Right,EVA_ACE,"Mastros, Graham",10037098,Right,ILL_RED,Undefined,1,Top,1,2,0,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,79.20933,0.737739,-1.189189,2723.328389,77.613689,8:30,4.94802,2.13447,6.21583,-46.73817,-2.26055,-17.17599,1.73417,-0.39444,72.11905,-7.922795,-4.292278,0.480001,74.63256,-32.614684,-19.704384,,,,,4.76157,4.76157,-7.382882,0.030793,8.57107,-1.00937,-2.0369,50,4.98011,2.99962,-115.05926,0.07345,11.31863,24.31827,-33.50698,EVA_ACE,ILL_RED,EvansvilleU,D1,MVC,20260327-EvansvilleU-1,788c0650-2a32-11f1-abde-8365da66e07e,78.52577,1.82095,,7.09028,,,,2.04299,1.82095,0.34763,05978996-1003-4211-8c89-998e402b7d00,2026-03-27,23:12:46.78,2026-03-27T18:12:46.7864064-05:00,2026-03-27T23:12:46.7864064Z,GroundBall,v3,471290,471316,2664233b5c6a48208581192ba21964fe,"Magill, Spike",10250132,Right,EVA_ACE,e8876efd-5a4d-4b50-a54a-8e1c02f7d5a6,54.28456,-115.96128,12.15913,4.95433,1.31631,-16.75349,-2.14038,2.57978,5.65931,,2.04199,87.00374,,,,,,,,1.82163,-59.13532,,,,,,,,0.34799,-31.15936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
