PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,18:06:04.48,1,1,"Howell, William",825293,Right,MT,"Cepeda, Anthony",1000301141,Left,WIC_SHO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.32555,-2.000997,-2.392446,2161.685076,214.172801,1:15,6.46099,1.63917,5.53032,-17.66351,16.33489,10.35123,3.11602,0.26391,83.48742,-5.320015,-0.548683,0.419663,,,,,,,,,,,,-5.86918,9.1215,-1.43816,50,6.27529,5.06136,-132.43198,-5.21202,-10.43408,28.00479,-15.95798,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,87b77f70-2a31-11f1-8661-6f2b8fdab531,89.81597,,,7.83813,,,,,,,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:06:04.48,2026-03-27T18:06:04.4842496-05:00,2026-03-27T23:06:04.4842496Z,,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,81cb02f7-6ecd-4883-b999-0c0a0b385c18,54.97031,-133.47889,14.00239,6.45899,-4.61546,-7.97899,-1.63466,5.45142,-5.21704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,18:06:20.30,1,2,"Howell, William",825293,Right,MT,"Cepeda, Anthony",1000301141,Left,WIC_SHO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.67241,-3.412163,-3.857292,2233.145904,201.585751,12:45,6.46314,1.3458,5.78127,-12.61426,20.30261,7.60178,2.22609,-1.61521,84.55595,-5.837296,-2.500779,0.412934,,,,,,,,,,,,-4.93748,11.61205,-1.03156,50,6.17302,8.69754,-134.06801,-8.35316,-8.9814,29.14032,-11.05139,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,912b3c90-2a31-11f1-8661-6f2b8fdab531,91.27957,,,8.11646,,,,,,,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:06:20.30,2026-03-27T18:06:20.3043328-05:00,2026-03-27T23:06:20.3043328Z,,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,18f05aed-d046-47cb-98b5-06878b2f6272,54.71901,-135.08982,14.57016,6.45912,-7.96564,-5.5257,-1.34207,9.01247,-4.4907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,18:06:33.74,1,3,"Howell, William",825293,Right,MT,"Cepeda, Anthony",1000301141,Left,WIC_SHO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.77471,-2.42655,-0.975067,2260.708375,208.875064,1:00,6.53949,1.43202,5.69756,-14.84013,18.12032,9.36945,3.03977,1.30403,84.21001,-5.259333,0.700602,0.413207,,,,,,,,,,,,-5.02485,10.24638,-1.35594,50,6.32644,1.85907,-134.50871,-6.14372,-9.14039,31.1117,-13.53541,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,9927c300-2a31-11f1-8661-6f2b8fdab531,91.21919,,,8.5647,,,,,,,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:06:33.74,2026-03-27T18:06:33.7495552-05:00,2026-03-27T23:06:33.7495552Z,,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,d8d46f36-d71d-48d6-8166-8d2bef28b1eb,54.8017,-135.61479,15.55585,6.53631,-5.66251,-6.7677,-1.42781,2.18403,-4.57019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,18:06:47.66,1,4,"Howell, William",825293,Right,MT,"Cepeda, Anthony",1000301141,Left,WIC_SHO,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.54274,-2.063022,-1.66629,2216.695604,210.93761,1:00,6.49201,1.4738,5.88692,-17.30859,15.91418,8.93012,3.13223,0.67019,84.06225,-5.327442,-0.063908,0.414848,,,,,,,,,,,,-4.99658,8.99902,-1.3444,50,6.31537,3.47787,-132.926,-5.32844,-8.98364,27.18723,-15.99419,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,a17b4310-2a31-11f1-8661-6f2b8fdab531,90.8584,,,7.48049,,,,,,,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:06:47.66,2026-03-27T18:06:47.6623360-05:00,2026-03-27T23:06:47.6623360Z,,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,d7b1bafa-c15b-46ed-ab8f-72e4d9aa2e4b,54.61421,-133.86641,13.59361,6.49012,-4.7752,-7.99709,-1.47008,3.78862,-4.49182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,18:07:03.78,1,5,"Howell, William",825293,Right,MT,"Cepeda, Anthony",1000301141,Left,WIC_SHO,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.06587,-0.71188,-1.294372,2130.968278,154.062029,11:15,6.52517,1.42003,5.85743,-34.1164,5.58189,-2.09185,3.02051,0.04286,76.91173,-7.019992,-1.669859,0.453479,,,,,,,,,,,,0.69484,3.45248,-1.31369,50,6.44752,2.8418,-122.06449,-2.64343,1.04427,24.89647,-26.9853,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,ab1b8e70-2a31-11f1-8661-6f2b8fdab531,83.11839,,,7.15414,,,,,,,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:07:03.78,2026-03-27T18:07:03.7880832-05:00,2026-03-27T23:07:03.7880832Z,,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,d1687ed2-cd9e-4e3f-8140-53b913359922,54.64338,-123.00792,12.44823,6.52831,-1.62084,-13.49265,-1.42063,2.80223,0.52214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,18:07:35.58,2,1,"Howell, William",825293,Right,MT,"Gustafson, Jaden",813182,Left,WIC_SHO,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.78115,1.156559,-1.328737,2237.911403,43.026242,7:30,6.49744,1.23389,5.93038,-58.29995,-10.91201,-11.54591,2.71267,-0.96137,70.77329,-9.503782,-3.406219,0.495456,,,,,,,,,,,,5.51674,-5.43177,-1.1213,50,6.55733,3.00944,-111.6012,0.39906,6.9294,20.84457,-38.99675,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,be19c500-2a31-11f1-8661-6f2b8fdab531,76.07621,,,6.00787,,,,,,,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:07:35.58,2026-03-27T18:07:35.5826176-05:00,2026-03-27T23:07:35.5826176Z,,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,45bdfdd5-f255-495b-8c60-33d97a96c83f,54.57493,-112.45245,10.42229,6.50852,1.99159,-19.49838,-1.23843,2.72646,3.4647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,18:07:50.25,2,2,"Howell, William",825293,Right,MT,"Gustafson, Jaden",813182,Left,WIC_SHO,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.02793,-3.851147,-1.203289,2264.392483,197.310146,12:30,6.49415,1.47056,6.03559,-13.06339,19.04875,5.62217,1.83311,0.82464,85.38383,-6.349126,-0.191576,0.407855,,,,,,,,,,,,-3.22882,11.17012,-1.37965,50,6.18581,2.59493,-134.92426,-9.4456,-5.9708,28.48995,-11.51801,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,c6ce02b0-2a31-11f1-8661-6f2b8fdab531,92.41625,,,7.6441,,,,,,,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:07:50.25,2026-03-27T18:07:50.2591488-05:00,2026-03-27T23:07:50.2591488Z,,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,154c2ecd-d854-4089-87d6-fb780088d275,54.46653,-135.86412,14.24497,6.49114,-9.06563,-5.759,-1.4685,2.7919,-2.9854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,18:08:05.39,2,3,"Howell, William",825293,Right,MT,"Gustafson, Jaden",813182,Left,WIC_SHO,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.51808,1.295125,-1.804092,2314.246143,31.708017,7:00,6.61155,1.02158,5.65688,-61.97121,-14.62914,-10.00193,2.65596,-1.49502,71.00445,-9.97702,-3.594703,0.495216,,,,,,,,,,,,4.61264,-7.68174,-0.86191,50,6.68079,3.90602,-112.54857,0.52446,5.84315,22.79243,-41.90502,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,cfd59080-2a31-11f1-8661-6f2b8fdab531,76.11307,,,6.51363,,,,,,,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:08:05.39,2026-03-27T18:08:05.3958656-05:00,2026-03-27T23:08:05.3958656Z,,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,aec8983d-f1b1-4b52-9c33-a993ef7cbd00,54.84993,-113.52649,11.39622,6.61972,2.32241,-20.95251,-1.02412,3.65532,2.92157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,18:08:21.38,2,4,"Howell, William",825293,Right,MT,"Gustafson, Jaden",813182,Left,WIC_SHO,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.84596,-3.051034,-1.447478,2277.271544,191.692968,12:30,6.55217,1.39505,5.94506,-10.85705,21.73265,4.26799,2.81368,0.40775,84.36788,-5.178188,-0.681141,0.410877,98.13499,29.86483,-11.816833,3752.381228,105.52043,61.7071,-31.07139,313.51001,305.61139,-25.559592,5.104467,-2.6254,12.39875,-1.28216,50,6.30284,3.21645,-134.61945,-7.43654,-4.78787,30.91964,-9.56271,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,d94d9360-2a31-11f1-8661-6f2b8fdab531,91.73663,84.51009,,8.47807,,,,1.13862,2.85447,-0.39647,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:08:21.38,2026-03-27T18:08:21.3811712-05:00,2026-03-27T23:08:21.3811712Z,FlyBall,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,804c9cbb-7932-499b-868f-4dfd6ff0619c,54.55598,-135.66184,15.45982,6.54811,-7.11416,-4.78136,-1.39331,3.37787,-2.39393,148.915463,1.13997,122.14095,-31.02566,7.39472,-1.43074,0.22716,-0.03324,0.00399,-0.00023,2.85829,71.5944,-16.40912,-0.26097,0.57317,-0.24525,0.06017,-0.00752,0.00037,-0.39727,-25.55041,-4.14048,2.25121,-0.62497,0.12191,-0.01779,0.00173,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-03-27,18:09:06.55,3,1,"Howell, William",825293,Right,MT,"Jones, Jayson",702263,Right,WIC_SHO,Undefined,1,Top,2,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.97559,-2.102353,-0.639954,2082.372487,115.298789,9:45,6.52005,0.96463,5.88447,-34.93624,3.77583,-6.04559,1.65532,-0.1335,79.14128,-8.467276,-1.727056,0.447811,88.2826,-18.661826,-20.85339,,,,,6.67502,6.081,-15.700667,0.043009,3.00047,2.64307,-0.90933,50,6.32953,1.59218,-122.25774,-5.64596,4.65263,18.56202,-28.07561,MT,WIC_SHO,FedExPark,D1,AMER,20260327-FedExPark-1,f4460670-2a31-11f1-8661-6f2b8fdab531,84.17044,1.7847,,4.83432,,,,1.48785,1.7847,0.07474,d7094f47-6f55-4503-b29f-992a47746a36,2026-03-27,23:09:06.55,2026-03-27T18:09:06.5512960-05:00,2026-03-27T23:09:06.5512960Z,GroundBall,v3,471353,471492,b2915e66eec34741bc4b20e3d94f92c6,"Cassidy, Trae",1000218024,Right,MT,31fab769-4ba3-496d-a6ba-7943c6aace94,54.62113,-122.95736,9.28101,6.52239,-4.58778,-14.0378,-0.96603,1.41681,2.32632,180,1.48662,114.81575,,,,,,,,1.78514,-41.49596,,,,,,,,0.07521,-43.73688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
