PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,17:05:59.17,1,1,"Torres, Chris",1000307666,Left,USC_UPS,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.97528,-2.319666,1.921679,2457.762982,150.648937,11:00,6.00197,-0.318,5.02611,-17.76162,15.75221,-8.23874,2.33054,0.80944,84.80034,-5.624889,0.467135,0.416662,,,,,,,,,,,,4.65197,8.80477,0.14113,50,5.76613,-4.12307,-134.7131,-6.11359,8.53329,29.75484,-16.02312,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,c1345b30-2a20-11f1-94aa-d387a54e6557,90.46296,,,8.17494,,,,,,,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:05:59.17,2026-03-27T17:05:59.1735296-04:00,2026-03-27T21:05:59.1735296Z,,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,d6023513-1b34-47c3-a121-403dfd09e386,55.4737,-135.91673,14.87742,6.00032,-5.46543,-8.01156,0.31489,-4.46826,4.26664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,17:06:17.67,1,2,"Torres, Chris",1000307666,Left,USC_UPS,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.74181,-2.629868,2.503959,1750.991026,123.11178,10:00,5.88491,-0.54003,4.37502,-30.13758,11.62505,-15.52398,0.85781,0.55905,76.90427,-8.088043,-0.206645,0.46512,,,,,,,,,,,,8.36473,6.858,0.28855,50,5.57383,-4.62968,-122.46744,-6.81401,12.56481,26.65563,-21.87255,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,cc4f86c0-2a20-11f1-94aa-d387a54e6557,81.03806,,,7.83754,,,,,,,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:06:17.67,2026-03-27T17:06:17.6707584-04:00,2026-03-27T21:06:17.6707584Z,,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,4daa815f-b3b2-4986-aedf-1e1d946c55ba,56.1246,-123.79332,13.32782,5.88571,-5.72606,-10.93627,0.53438,-5.25467,6.28241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,17:06:37.20,1,3,"Torres, Chris",1000307666,Left,USC_UPS,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.78302,-1.562091,0.50376,2508.400713,139.045582,10:45,6.11477,-0.3762,4.36503,-15.65564,18.44001,-14.93206,3.31767,-1.13936,84.49057,-4.492355,-2.101637,0.420263,,,,,,,,,,,,7.35784,9.75004,0.33809,50,5.93307,-0.39565,-135.66582,-4.29279,13.53771,33.22017,-14.23493,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,d7eb05e0-2a20-11f1-94aa-d387a54e6557,89.68783,,,9.29245,,,,,,,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:06:37.20,2026-03-27T17:06:37.2096512-04:00,2026-03-27T21:06:37.2096512Z,,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,3a4c4966-0a58-417e-ba0d-2bb1a8a5d6fe,56.13194,-137.15911,16.61009,6.11165,-3.65291,-7.11747,0.36956,-1.00419,6.76886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,17:06:58.96,1,4,"Torres, Chris",1000307666,Left,USC_UPS,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.31605,-2.862992,2.058428,2463.624749,141.87673,10:45,5.93545,-0.66201,4.65311,-15.94162,18.17438,-13.28768,1.88276,0.18729,84.22454,-5.849609,-0.271329,0.420388,,,,,,,,,,,,7.10693,10.11426,0.4644,50,5.62906,-4.16057,-134.87655,-7.3309,12.94316,32.44148,-13.75394,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,e4da0710-2a20-11f1-94aa-d387a54e6557,89.66106,,,9.0915,,,,,,,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:06:58.96,2026-03-27T17:06:58.9637632-04:00,2026-03-27T21:06:58.9637632Z,,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,44bf8d4c-912c-4ae3-ab1f-f30c667809c0,55.84391,-136.27491,16.22074,5.93227,-6.73804,-6.87697,0.65577,-4.71848,6.47158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,17:07:21.46,1,5,"Torres, Chris",1000307666,Left,USC_UPS,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.8512,-1.677825,1.126646,2503.988083,139.780365,10:45,6.0378,-0.3269,4.56082,-16.13213,17.49029,-13.80702,3.09584,-0.40508,85.00732,-4.688787,-1.291138,0.417336,76.20751,50.875301,56.24365,4411.487881,45.66877,94.39638,100.07171,231.2644,93.60955,71.402725,4.950943,7.10052,9.37579,0.22387,50,5.84959,-1.96308,-135.89576,-4.59688,13.1752,31.93905,-14.77704,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,f24abb60-2a20-11f1-94aa-d387a54e6557,90.3168,96.43958,,8.84388,,,,1.06724,3.1293,0.6145,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:07:21.46,2026-03-27T17:07:21.4635520-04:00,2026-03-27T21:07:21.4635520Z,Popup,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,e1246546-4cbd-4fad-9436-7e678df1522e,55.93837,-137.28434,15.96952,6.03548,-3.95444,-7.38852,0.32167,-2.53588,6.5876,,1.10381,38.43157,-10.08257,-1.73899,3.57139,-1.72042,0.40403,-0.0466,0.0021,3.13336,86.58395,-23.21451,0.97074,1.01311,-0.71282,0.21571,-0.03119,0.00174,0.61937,58.51384,-4.51114,-0.44885,1.00535,-0.53322,0.14412,-0.01957,0.00105,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-03-27,17:07:49.22,1,6,"Torres, Chris",1000307666,Left,USC_UPS,"Lowe, Logan",1000448251,Right,NCA_BUL,Undefined,1,Top,0,2,2,Cutter,Slider,InPlay,Undefined,LineDrive,Single,0,0,,89.85006,-0.89193,-0.404394,2612.430362,211.416401,1:00,6.15571,-0.42067,4.37655,-29.23746,7.26024,3.74996,2.86741,-0.49436,82.48633,-6.161499,0.250628,0.434815,88.00803,1.731633,-0.215178,966.567514,,,,73.43987,73.43987,1.823799,0.600816,-1.94339,4.06461,0.45993,50,6.03148,0.73529,-130.30857,-3.27839,-3.35385,26.43849,-25.15948,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,02d13b30-2a21-11f1-94aa-d387a54e6557,86.6862,3.13017,,7.36373,,,,1.44915,2.8758,0.5025,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:07:49.22,2026-03-27T17:07:49.2269056-04:00,2026-03-27T21:07:49.2269056Z,GroundBall,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,f6215e4e-4476-45bc-a3f6-5a82ab2da5da,56.12446,-131.5453,13.21925,6.15731,-2.10149,-12.57974,0.42187,0.89218,-1.67693,257.186617,1.4719,128.50853,-14.68372,,,,,,,2.88469,3.70262,-14.17806,,,,,,,0.48877,-0.17523,5.44782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-27,17:09:24.98,2,1,"Torres, Chris",1000307666,Left,USC_UPS,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.83576,-2.181929,1.868094,2498.930939,133.290289,10:30,5.89502,-0.48492,4.84407,-18.50233,15.72501,-15.36721,2.28523,0.0038,83.70974,-5.633591,-0.836735,0.421074,,,,,,,,,,,,8.14351,8.78359,0.31411,50,5.66418,-3.60845,-134.30314,-5.80875,14.67622,32.69342,-16.34428,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,3be29b30-2a21-11f1-94aa-d387a54e6557,89.51508,,,9.12602,,,,,,,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:09:24.98,2026-03-27T17:09:24.9827328-04:00,2026-03-27T21:09:24.9827328Z,,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,25b930e3-9810-4346-a5f9-1f571e7bf78f,55.65357,-135.67241,16.34671,5.89312,-5.12421,-8.17214,0.47811,-4.22312,7.33811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,17:10:12.87,2,2,"Torres, Chris",1000307666,Left,USC_UPS,"Johnson, Blaize",10082492,Left,NCA_BUL,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,83.15445,-0.812893,-0.679014,2736.923373,257.07123,2:30,5.87509,-0.75865,3.95371,-39.12482,4.86122,14.34253,1.83231,-0.21691,75.39164,-7.808687,1.808998,0.477341,100.71517,14.996468,28.622827,1486.609609,95.03667,21.48021,55.38957,269.11551,269.11551,33.492624,2.435881,-7.14319,2.95496,0.81879,50,5.73862,0.74369,-120.29467,-3.34013,-10.33069,26.17223,-27.90048,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,5871dae0-2a21-11f1-94aa-d387a54e6557,78.9633,23.03042,,7.76281,,,,3.01208,1.73459,0.58912,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:10:12.87,2026-03-27T17:10:12.8774656-04:00,2026-03-27T21:10:12.8774656Z,LineDrive,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,14d976b7-462e-41a4-aec5-46017ad693e4,56.54642,-121.71062,13.08612,5.87849,-1.83067,-13.95024,0.76344,1.30259,-5.16534,,3.01208,125.24818,-21.46455,4.73477,-1.05937,0.21875,-0.04149,0.00582,-0.0004,1.73459,38.22208,-18.51492,1.42025,-0.22732,0.03668,-0.00408,0.00048,-3E-05,0.58912,68.35088,-3.33544,-0.11613,0.1678,-0.05825,0.01369,-0.00214,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-27,17:11:01.48,3,1,"Torres, Chris",1000307666,Left,USC_UPS,"Gillen, Patrick",804322,Left,NCA_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.15811,-1.450254,0.464039,2492.006153,146.230362,10:45,6.0667,-0.58448,4.7746,-15.92969,18.08186,-11.27166,3.36404,-1.08386,83.97123,-4.450137,-1.517563,0.419744,83.04114,18.459113,23.409721,2024.187756,100.21188,28.54429,45.36014,263.108,253.85312,24.922348,3.014174,5.69453,9.69308,0.54858,50,5.9087,-0.52488,-134.87693,-3.98677,10.35251,32.92263,-14.55233,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,757d4f70-2a21-11f1-94aa-d387a54e6557,89.79861,30.213,,9.18687,,,,1.35946,3.38908,1.08754,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:11:01.48,2026-03-27T17:11:01.4882816-04:00,2026-03-27T21:11:01.4882816Z,LineDrive,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,95495a1d-673c-4261-9cab-d148f5947953,55.72327,-136.26679,16.46131,6.06404,-3.37243,-7.27616,0.57997,-0.96192,5.17625,194.579142,1.3595,106.01591,-15.01485,3.14652,-0.57055,0.06837,0.00188,-0.00237,0.00029,3.38903,38.56568,-14.53931,0.55442,-0.09923,0.05908,-0.02556,0.00623,-0.00061,1.08757,45.89836,-4.66024,0.71225,-0.07176,-0.01213,0.00921,-0.0023,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-27,17:11:47.44,4,1,"Torres, Chris",1000307666,Left,USC_UPS,"Michelson, Owen",1000088233,Right,NCA_BUL,Undefined,1,Top,1,0,0,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,1,,89.18023,-0.544557,0.914053,2634.285281,219.264213,1:15,6.0069,-0.76942,4.32799,-32.74895,4.4024,2.6628,2.75726,0.32621,81.84672,-6.423836,1.378708,0.438691,93.84183,-5.31049,-24.738194,,,,,31.101,17.12791,-23.231919,0.208336,-1.05307,2.57917,0.66793,50,5.91524,-2.19398,-129.31435,-2.64519,-1.78798,26.2836,-27.79497,USC_UPS,NCA_BUL,HarleyPark,D1,BSOU,20260327-HarleyPark-1,90d68020-2a21-11f1-94aa-d387a54e6557,85.92028,2.65787,,7.33351,,,,2.60927,2.65787,-0.3021,05d8a567-a107-49fe-9949-a1a41d104c45,2026-03-27,21:11:47.44,2026-03-27T17:11:47.4472448-04:00,2026-03-27T21:11:47.4472448Z,GroundBall,v3,471513,1570,fbb0d1d969f34f2cac2fd99472aeef18,"Lang, Tyler",1000211515,Right,USC_UPS,c46e414b-8856-4fdd-a8d8-5d8a51f9c041,56.17303,-130.56301,13.1418,6.00953,-1.32473,-13.89748,0.77014,-2.10904,-0.89399,180,2.603,124.65415,,,,,,,,2.65851,-12.75761,,,,,,,,-0.29921,-57.43521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
