PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,18:02:36.75,1,1,"Perez, Adan",822621,Right,PAC_TIG,"Shinkle, Bo",1000096813,Left,GON_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.32735,-1.369813,-0.34649,2164.769698,185.911974,12:15,5.75348,1.43889,5.69004,-22.93454,13.20568,1.24646,2.56532,1.21983,80.67717,-5.653059,-0.123506,0.43268,,,,,,,,,,,,-0.72945,7.45079,-1.41054,50,5.62408,0.7214,-128.21541,-3.82411,-1.21195,26.97945,-19.79474,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,cfdb1b80-2a41-11f1-9c04-7d8d217c11ed,87.11389,,,7.65018,,,,,,,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:02:36.75,2026-03-27T18:02:36.7555072-07:00,2026-03-28T01:02:36.7555072Z,,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,82f31ab8-f58d-4e31-a841-2d44198584c1,54.80746,-129.22305,13.48972,5.7531,-3.08481,-9.89737,-1.43833,0.76667,-0.60598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,18:02:51.92,1,2,"Perez, Adan",822621,Right,PAC_TIG,"Shinkle, Bo",1000096813,Left,GON_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.19026,-2.087331,-0.098033,2165.128966,203.050244,12:45,5.66183,1.26149,5.71971,-19.78151,16.5256,6.51922,2.06816,1.71344,80.40778,-5.810847,1.06878,0.433678,,,,,,,,,,,,-3.32925,9.36264,-1.25731,50,5.47525,-0.06318,-127.9484,-5.27807,-5.49751,27.35815,-16.71384,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,d8e7d970-2a41-11f1-9c04-7d8d217c11ed,86.91345,,,7.78248,,,,,,,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:02:51.92,2026-03-27T18:02:51.9298560-07:00,2026-03-28T01:02:51.9298560Z,,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,ff10043b-a439-4427-9946-12771b83b47b,54.77741,-128.96587,13.67908,5.65999,-4.65647,-8.35692,-1.25876,0.14128,-2.74876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,18:03:04.88,1,3,"Perez, Adan",822621,Right,PAC_TIG,"Shinkle, Bo",1000096813,Left,GON_BUL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.02077,-1.304371,-1.866762,2096.635027,190.260859,12:15,5.71122,1.27411,5.89215,-22.33828,13.88946,2.29764,2.63775,-0.26829,80.20035,-5.50216,-1.454566,0.433204,,,,,,,,,,,,-1.72158,7.85099,-1.12503,50,5.59331,4.06726,-127.73034,-3.61152,-2.83066,27.47861,-19.26538,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,e099e960-2a41-11f1-9c04-7d8d217c11ed,87.0086,,,7.82042,,,,,,,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:03:04.88,2026-03-27T18:03:04.8882688-07:00,2026-03-28T01:03:04.8882688Z,,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,de6737d3-045a-4ade-8a27-78b22b04e713,54.60587,-128.71739,13.73931,5.71061,-2.91949,-9.63269,-1.27295,4.16894,-1.41533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,18:03:17.57,1,4,"Perez, Adan",822621,Right,PAC_TIG,"Shinkle, Bo",1000096813,Left,GON_BUL,Undefined,1,Top,0,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.03133,0.337811,-0.754993,1998.559483,226.362668,1:30,5.83137,1.23727,5.32389,-36.41978,10.98961,9.77115,3.11342,1.34301,70.6713,-6.394206,0.980965,0.495568,,,,,,,,,,,,-5.10256,5.9004,-1.17619,50,5.83618,1.09456,-113.09696,-0.51176,-6.53032,22.91547,-24.62263,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,e830f740-2a41-11f1-9c04-7d8d217c11ed,76.05899,,,7.36003,,,,,,,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:03:17.57,2026-03-27T18:03:17.5721984-07:00,2026-03-28T01:03:17.5721984Z,,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,e59934b7-43d1-4c35-ad60-3a1f734755e6,55.17188,-114.14007,11.45773,5.83396,0.60906,-12.31132,-1.23278,1.39182,-3.26516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,18:03:31.03,1,5,"Perez, Adan",822621,Right,PAC_TIG,"Shinkle, Bo",1000096813,Left,GON_BUL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.8693,-2.178879,-1.461535,2151.200204,213.812918,1:15,5.74553,1.3122,5.95844,-21.59659,13.80036,8.46839,1.92364,0.66229,81.18433,-6.234093,0.060817,0.428208,,,,,,,,,,,,-4.76843,8.05855,-1.20088,50,5.56035,2.93825,-128.978,-5.58547,-8.00923,27.5484,-18.63858,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,f03c4ac0-2a41-11f1-9c04-7d8d217c11ed,88.02374,,,7.68497,,,,,,,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:03:31.03,2026-03-27T18:03:31.0306304-07:00,2026-03-28T01:03:31.0306304Z,,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,5671c046-d20f-43f3-bec9-184c5ab202b4,54.54021,-129.94413,13.7742,5.74477,-4.93181,-9.31929,-1.30885,3.21914,-4.00461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,18:03:44.83,1,6,"Perez, Adan",822621,Right,PAC_TIG,"Shinkle, Bo",1000096813,Left,GON_BUL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.45974,-1.930712,-0.92246,2155.191368,192.854131,12:30,5.76616,1.24163,5.86508,-20.74698,14.4428,3.02315,2.24278,0.63656,81.337,-5.838001,-0.379915,0.426953,,,,,,,,,,,,-1.82256,8.32028,-1.16865,50,5.5977,1.96089,-129.79159,-5.03021,-3.08599,29.04016,-18.08608,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,f86a6880-2a41-11f1-9c04-7d8d217c11ed,88.28249,,,8.12275,,,,,,,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:03:44.83,2026-03-27T18:03:44.8320000-07:00,2026-03-28T01:03:44.8320000Z,,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,46a8c585-3b67-4746-8029-2127b781dc16,54.63261,-130.824,14.52008,5.76511,-4.38723,-9.04304,-1.24032,2.0706,-1.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.718,,,1.080884,,,,2.96576,5.64314,3.68827,74.66113,4.31787,-50.11886,2.98073,69.94628,-3.36534,5.68753,14.97457,-15.04889,3.62931,-56.73915,6.51653,High,High,High,,,High,High,High
7,2026-03-27,18:04:09.43,2,1,"Perez, Adan",822621,Right,PAC_TIG,"Meffert, Noah",1000114943,Right,GON_BUL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.59542,-0.016044,-0.475778,2176.190664,123.942054,10:15,5.6353,1.06693,5.50253,-38.454,9.36445,-11.33138,2.41579,-0.32235,70.14437,-7.132322,-2.495955,0.497702,,,,,,,,,,,,5.54788,5.23815,-1.01755,50,5.60843,1.3778,-112.47165,-1.24494,6.98544,23.63938,-25.57857,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,07179470-2a42-11f1-9c04-7d8d217c11ed,75.73298,,,7.45105,,,,,,,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:04:09.43,2026-03-27T18:04:09.4346752-07:00,2026-03-28T01:04:09.4346752Z,,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,1b8f4477-c413-4507-8f9c-06f8f071646a,54.9938,-113.5164,11.81969,5.63847,-0.11449,-12.78929,-1.07162,1.06907,3.49272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,18:04:23.56,2,2,"Perez, Adan",822621,Right,PAC_TIG,"Meffert, Noah",1000114943,Right,GON_BUL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.92232,-0.600827,-1.644023,2198.185506,216.987328,1:15,5.79691,1.24548,5.70547,-23.43021,11.39501,7.74504,3.28432,0.35866,82.10159,-4.972333,-0.258925,0.424735,84.68969,36.280724,76.160588,5681.606791,10.35058,65.0378,109.51154,277.1109,95.63491,100.969141,4.386847,-4.41315,6.29737,-1.11261,50,5.73206,3.4118,-130.55333,-2.16848,-7.60539,27.86766,-21.32152,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,0f804a30-2a42-11f1-9c04-7d8d217c11ed,88.74336,71.72267,,7.82073,,,,0.22101,3.15169,-0.37722,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:04:23.56,2026-03-27T18:04:23.5693056-07:00,2026-03-28T01:04:23.5693056Z,FlyBall,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,fd11d885-c4d2-43ce-a91f-3376283b70a5,54.79365,-131.57259,13.93383,5.79711,-1.38864,-10.66076,-1.24248,3.68997,-3.80269,,0.22077,23.95579,-15.74191,3.54243,-0.83248,0.17836,-0.02955,0.00292,-0.00012,3.15189,73.49618,-24.18035,3.36499,-0.77707,0.16164,-0.02699,0.00306,-0.00016,-0.37732,97.22432,-16.46956,3.80656,-0.84718,0.17014,-0.02469,0.00204,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-03-27,18:04:39.13,2,3,"Perez, Adan",822621,Right,PAC_TIG,"Meffert, Noah",1000114943,Right,GON_BUL,Undefined,1,Top,1,0,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,78.38549,0.429063,0.535799,2238.076782,132.206308,10:30,5.66765,1.16358,5.26316,-34.88325,12.26737,-11.67312,3.16383,0.6942,70.86264,-6.028406,-1.535485,0.494214,93.55526,43.179191,-25.012036,3927.244946,99.14744,95.47748,-47.642,334.33381,163.33515,-27.12209,5.964823,6.03941,6.46788,-1.20349,50,5.68166,-0.59651,-113.61347,-0.27616,7.78232,23.56212,-23.8396,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,18ce56e0-2a42-11f1-9c04-7d8d217c11ed,76.26742,127.60127,,7.52285,,,,2.3185,3.09432,-0.62819,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:04:39.13,2026-03-27T18:04:39.1326720-07:00,2026-03-28T01:04:39.1326720Z,FlyBall,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,59abb85d-912c-433a-88b4-9987bce67f01,55.23454,-114.69392,11.78106,5.66927,0.81701,-11.9198,-1.16796,-0.95337,3.89116,174.509294,2.32494,90.56995,-19.04451,4.43819,-0.70965,0.06909,-0.00309,3E-05,0,3.09313,93.89336,-20.87133,1.54211,-0.08594,-0.057,0.0195,-0.00251,0.00012,-0.63103,-42.25879,7.42651,-1.61734,0.22839,-0.01529,-0.00031,8E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2026-03-27,18:05:13.79,3,1,"Perez, Adan",822621,Right,PAC_TIG,"Bell, Mikey",832246,Right,GON_BUL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.8671,-0.507235,-1.426188,2255.453841,208.460953,1:00,5.79136,1.29647,5.64237,-21.47592,13.70371,6.77945,3.52837,0.53073,81.47161,-4.543028,-0.215261,0.426891,,,,,,,,,,,,-3.85374,7.44989,-1.1797,50,5.73482,2.94303,-130.35829,-1.86743,-6.5786,29.43614,-19.45655,PAC_TIG,GON_BUL,KleinFamilyField,D1,WCC,20260327-KleinFamilyField-1,2d7163d0-2a42-11f1-9c04-7d8d217c11ed,88.29523,,,8.39549,,,,,,,341da665-d67b-4aa7-b4ca-227c7a2f2c30,2026-03-28,01:05:13.79,2026-03-27T18:05:13.7994752-07:00,2026-03-28T01:05:13.7994752Z,,v3,471406,471307,22781772d1264b61b13aa6ebea3ab7a1,"Davis, Diego",832186,Right,PAC_TIG,bd61de44-47b5-49a5-9d11-28b1d0d00de5,54.85454,-131.44992,14.71807,5.79069,-1.14589,-9.72828,-1.29337,3.18699,-3.2893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
