PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,16:37:16.33,1,1,"Teixeira, Timothy",10089959,Right,SOU_COU,"Crowson, Connor",1000362266,Right,TEN_TEC,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.53963,0.018321,-3.154011,2447.11845,250.611349,2:15,5.33381,2.28129,6.07608,-27.5269,4.70394,10.67079,3.05688,0.24916,85.10054,-5.090938,-1.235242,0.408608,83.25971,37.909315,45.281087,4842.123354,68.06953,68.79178,86.40912,280.59529,119.76551,61.267497,4.53617,-6.33697,2.70673,-2.04272,50,5.32049,6.9572,-134.4196,-0.91917,-11.66804,27.40299,-27.19024,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,20704060-2a25-11f1-b309-a7d42dec77b1,92.2459,77.06528,,7.43908,,,,0.41305,2.99097,-0.35076,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:37:16.33,2026-03-27T16:37:16.3384320-05:00,2026-03-27T21:37:16.3384320Z,FlyBall,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,01c52656-7bb7-4155-9bdb-0275baf8f789,54.4262,-135.31892,13.7015,5.33601,-0.02683,-13.59512,-2.27733,7.34013,-5.83402,,0.40973,67.87152,-18.66695,5.17556,-1.60601,0.53439,-0.13785,0.01985,-0.00113,2.99,75.04996,-22.07797,2.18023,-0.52923,0.14674,-0.03314,0.00509,-0.00035,-0.35146,68.48184,-4.39662,0.49545,-0.28985,0.1854,-0.06358,0.0109,-0.00073,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2026-03-27,16:37:33.41,1,2,"Teixeira, Timothy",10089959,Right,SOU_COU,"Crowson, Connor",1000362266,Right,TEN_TEC,Undefined,1,Top,0,0,1,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.91019,-0.979764,-4.225942,2387.405167,242.845336,2:00,5.33634,2.36477,5.97719,-25.12123,7.21985,12.09493,2.33207,-0.552,85.02479,-5.651171,-2.058951,0.409306,,,,,,,,,,,,-7.33941,4.29398,-2.03647,50,5.24473,9.41927,-134.66912,-3.18945,-13.5009,28.78678,-24.27524,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,2a9d1450-2a25-11f1-b309-a7d42dec77b1,92.08857,,,7.88539,,,,,,,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:37:33.41,2026-03-27T16:37:33.4180352-05:00,2026-03-27T21:37:33.4180352Z,,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,67b6dd40-20fb-4146-b74e-a9762258fd87,54.52335,-135.63258,14.39339,5.33788,-2.37698,-12.13762,-2.35929,9.87113,-6.75045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,16:37:46.41,1,3,"Teixeira, Timothy",10089959,Right,SOU_COU,"Crowson, Connor",1000362266,Right,TEN_TEC,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.92488,1.434202,0.793521,2872.13234,92.73047,9:00,5.12106,2.4655,5.40009,-39.73841,2.50189,-26.14482,3.15392,1.03042,75.31804,-5.833661,-3.856632,0.467773,,,,,,,,,,,,13.3228,1.26988,-2.51748,50,5.22112,-0.56591,-119.02747,1.58258,19.16359,22.28056,-30.34746,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,325f50e0-2a25-11f1-b309-a7d42dec77b1,80.57852,,,6.60684,,,,,,,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:37:46.41,2026-03-27T16:37:46.4134656-05:00,2026-03-27T21:37:46.4134656Z,,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,34127937-cb96-483e-9a7f-24c1ba9b48e2,55.10366,-119.97902,11.14028,5.12586,2.87864,-15.17373,-2.47583,-1.38433,9.5818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,16:38:03.05,1,4,"Teixeira, Timothy",10089959,Right,SOU_COU,"Crowson, Connor",1000362266,Right,TEN_TEC,Undefined,1,Top,0,1,2,Cutter,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.40324,0.253682,-2.388975,2684.129797,165.129069,11:30,5.35064,2.35751,5.75533,-26.33123,6.84095,-1.58036,3.39273,0.00064,84.70096,-4.601447,-2.671462,0.414532,,,,,,,,,,,,0.24,3.71681,-2.15825,50,5.35556,5.61174,-132.85803,-0.36255,0.43531,24.53919,-25.43298,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,3c46de70-2a25-11f1-b309-a7d42dec77b1,90.92761,,,6.70227,,,,,,,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:38:03.05,2026-03-27T16:38:03.0580000-05:00,2026-03-27T21:38:03.0580000Z,,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,ab7bf149-acfa-436d-8e64-62bcdb1e7dc4,54.74625,-133.7318,12.26959,5.35234,0.54305,-12.71649,-2.35779,5.59624,0.21766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.28804,2.31204,0.889139,1.4229,-2.4145,3.07115,0.17881,-5.58456,2.74026,4.85529,77.32619,12.80968,47.47366,-5.47912,65.44397,-5.08251,2.88615,30.74848,-16.68646,4.69805,27.57355,1.72776,High,High,High,,,High,High,High
5,2026-03-27,16:38:32.58,2,1,"Teixeira, Timothy",10089959,Right,SOU_COU,"Rooker, Jackson",1000166491,Left,TEN_TEC,Undefined,1,Top,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.64324,-0.997745,-1.564199,2703.73433,171.006999,11:45,5.35577,2.41314,5.59558,-27.29293,7.27272,-1.00839,2.14934,0.86827,83.48399,-5.999877,-1.7442,0.42315,,,,,,,,,,,,0.15791,4.19803,-2.2783,50,5.25223,3.60328,-130.37377,-3.26289,0.27667,22.81962,-24.81948,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,4de0ca10-2a25-11f1-b309-a7d42dec77b1,89.07593,,,6.15925,,,,,,,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:38:32.58,2026-03-27T16:38:32.5819392-05:00,2026-03-27T21:38:32.5819392Z,,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,14fcdcdf-38d9-4cae-aa74-42a0a41bf702,54.90712,-131.22987,11.40981,5.35718,-2.33177,-12.40974,-2.41328,3.5929,0.13834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,16:38:47.42,2,2,"Teixeira, Timothy",10089959,Right,SOU_COU,"Rooker, Jackson",1000166491,Left,TEN_TEC,Undefined,1,Top,1,0,1,Cutter,Cutter,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,91.6412,-0.039901,-2.575637,2717.557426,204.429517,12:45,5.45287,2.41743,5.83801,-27.25352,5.45957,2.10689,3.14462,0.19746,85.42854,-5.052668,-2.198374,0.411654,,,,,,,,,,,,-1.65736,3.04421,-2.20864,50,5.43321,5.90898,-133.30966,-1.0712,-3.04288,23.21568,-26.58491,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,56c3b8e0-2a25-11f1-b309-a7d42dec77b1,91.56346,,,6.21266,,,,,,,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:38:47.42,2026-03-27T16:38:47.4228224-05:00,2026-03-27T21:38:47.4228224Z,,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,7c9adeee-15e7-4779-83cc-cf760c1608b2,54.66591,-134.11976,11.60784,5.4544,-0.14353,-13.29246,-2.41668,6.01516,-1.52144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,16:39:24.73,2,3,"Teixeira, Timothy",10089959,Right,SOU_COU,"Rooker, Jackson",1000166491,Left,TEN_TEC,Undefined,1,Top,1,0,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.66382,-0.351148,-2.413656,2552.819421,236.341726,2:00,5.43675,2.0686,6.00805,-21.91163,8.62808,11.75024,3.28515,0.81024,87.86055,-4.42305,-0.301654,0.397744,79.80625,48.233848,-71.877498,4647.027953,,,,,37.63634,,,-6.63957,4.77603,-1.88548,50,5.39692,5.30351,-137.71347,-1.61224,-12.96787,25.70191,-22.84594,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,6cf46ab0-2a25-11f1-b309-a7d42dec77b1,94.76554,42.51181,,6.80327,,,,0.36497,3.50694,-0.90884,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:39:24.73,2026-03-27T16:39:24.7300608-05:00,2026-03-27T21:39:24.7300608Z,,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,aceb8aaa-43aa-420c-8af4-010706e94a7d,54.49551,-138.54994,12.85096,5.4373,-0.86872,-11.42297,-2.06495,5.72555,-6.48394,,0.36497,24.25111,-16.59939,4.76761,-1.28704,0.35269,-0.09846,0.02555,-0.00448,3.50694,87.30327,-28.39269,3.91343,-0.87507,0.20281,-0.05742,0.0219,-0.00677,-0.90884,-74.0978,15.53947,-3.67709,0.86007,-0.21646,0.06044,-0.01887,0.00471,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-03-27,16:39:46.32,2,4,"Teixeira, Timothy",10089959,Right,SOU_COU,"Rooker, Jackson",1000166491,Left,TEN_TEC,Undefined,1,Top,1,0,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.25023,-0.356821,-1.526827,1657.948597,29.537101,7:00,4.95779,2.53616,5.80388,-39.90238,-1.7189,-1.5778,1.3006,0.98431,79.08006,-7.652301,-1.809883,0.444743,,,,,,,,,,,,0.42673,-0.49677,-2.40979,50,4.90428,3.36706,-123.97913,-2.1597,0.67026,22.66333,-32.95432,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,79dab950-2a25-11f1-b309-a7d42dec77b1,84.75104,,,6.17017,,,,,,,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:39:46.32,2026-03-27T16:39:46.3200768-05:00,2026-03-27T21:39:46.3200768Z,,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,0e092110-46d5-426d-b28d-59cbc66310af,54.69959,-124.83526,11.33167,4.96235,-0.91483,-16.47716,-2.5365,3.34174,0.33513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,16:40:00.62,2,5,"Teixeira, Timothy",10089959,Right,SOU_COU,"Rooker, Jackson",1000166491,Left,TEN_TEC,Undefined,1,Top,1,1,2,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,91.14885,-0.173733,-2.222471,2642.460984,194.679617,12:30,5.4268,2.60898,5.79801,-29.71891,3.45162,0.68114,2.78851,0.59746,84.87957,-5.626398,-2.100517,0.414522,89.56811,-20.149988,8.247811,,,,,8.82395,8.82395,3.199672,0.061257,-0.8548,2.05217,-2.42659,50,5.39437,5.11714,-132.59239,-1.48426,-1.54925,23.5519,-28.45473,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,825a5270-2a25-11f1-b309-a7d42dec77b1,90.92988,2.77859,,6.26928,,,,1.31615,2.77859,-0.59378,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:40:00.62,2026-03-27T16:40:00.6273536-05:00,2026-03-27T21:40:00.6273536Z,GroundBall,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,a9cc4a0d-c300-4dec-9497-33e900f2cdac,54.70558,-133.4256,11.77595,5.42908,-0.47759,-14.22737,-2.6086,5.17195,-0.77462,,1.31331,122.33878,,,,,,,,2.77964,-45.35987,,,,,,,,-0.59419,17.7335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2026-03-27,16:40:32.41,3,1,"Teixeira, Timothy",10089959,Right,SOU_COU,"Jimenez, Jorsixt",1000338045,Right,TEN_TEC,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.86678,-1.857379,-3.919428,2277.22509,272.110203,3:00,5.44647,2.44936,6.03825,-31.41848,0.50866,15.9232,1.10377,0.14139,85.33043,-7.664231,-1.056762,0.406679,,,,,,,,,,,,-9.41272,1.14815,-2.15166,50,5.28426,8.62251,-135.97998,-5.56941,-17.44987,32.56888,-30.04556,SOU_COU,TEN_TEC,RoyELeeField,D1,OVC,20260327-RoyELeeField-1,95518420-2a25-11f1-b309-a7d42dec77b1,92.6836,,,8.53635,,,,,,,4e55e3b4-bbf9-440f-8d37-c6bbae9598bd,2026-03-27,21:40:32.41,2026-03-27T16:40:32.4115456-05:00,2026-03-27T21:40:32.4115456Z,,v3,471448,471458,16788,"Kang, Sean",10028850,Right,SOU_COU,6f4f7ae9-fa07-45ee-9334-4202ae769b99,54.46317,-137.0448,16.28444,5.45029,-4.58709,-15.02278,-2.4429,9.19302,-8.72493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
