PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,18:06:20.58,1,1,"Cherico, Ben",10111260,Right,SLU_BILL,"Bagnerise , Julius",1000469309,Right,GEO_PAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.35455,-0.149374,-0.732321,2081.33458,206.67721,1:00,6.44743,1.75016,6.46984,-13.943,24.39025,11.37768,5.14832,2.02572,75.33789,-2.994323,1.331654,0.445614,,,,,,,,,,,,-6.06922,13.09442,-1.70208,50,6.42964,1.10771,-124.90188,-0.52273,-9.14295,35.99932,-12.44796,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,91ba3620-2a31-11f1-b086-cfd70028ae84,84.58532,,,11.01666,,,,,,,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:06:20.58,2026-03-27T18:06:20.5820000-05:00,2026-03-27T23:06:20.5820000Z,,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,61d4aff9-580c-4029-80f0-d998bb78961f,54.01446,-126.05362,17.99966,6.43999,-0.12448,-6.22398,-1.7422,1.40023,-4.57147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,18:06:40.55,1,2,"Cherico, Ben",10111260,Right,SLU_BILL,"Bagnerise , Julius",1000469309,Right,GEO_PAT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.93143,-2.668208,-2.531816,2158.508091,211.290099,1:00,6.35018,1.67755,6.62336,-12.64646,23.96312,13.57461,2.84886,0.48886,77.34332,-5.245326,-0.064453,0.43548,71.71028,81.845969,139.87112,3302.081535,,,,,3.21969,,,-8.11874,14.08331,-1.51065,50,6.16344,5.08573,-127.18192,-6.12685,-12.74789,36.1142,-10.06069,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,9d9d1e80-2a31-11f1-b086-cfd70028ae84,86.55369,37.31959,,10.58811,,,,2.27688,2.93956,-0.46943,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:06:40.55,2026-03-27T18:06:40.5560000-05:00,2026-03-27T23:06:40.5560000Z,,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,8e5dc27e-608f-450c-bf0f-af5b58127ac3,53.86891,-128.27581,18.0571,6.3444,-5.82211,-5.03034,-1.67055,5.47186,-6.37394,347.879489,2.28173,-11.58316,-3.22086,,,,,,,2.95141,103.68277,-29.31934,,,,,,,-0.4621,9.34754,-6.61263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-03-27,18:07:19.86,1,3,"Cherico, Ben",10111260,Right,SLU_BILL,"Bagnerise , Julius",1000469309,Right,GEO_PAT,Undefined,1,Top,0,1,1,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,81.96004,-0.919975,-2.078013,2352.033592,143.934614,10:45,5.91512,2.24254,6.17313,-36.33565,5.01721,-2.67193,2.03687,0.09987,75.00918,-7.664766,-2.560239,0.462833,87.96338,27.597534,1.171681,3823.839023,109.99993,51.0039,0.03423,343.68304,342.42206,-2.373101,4.602452,0.77551,3.25339,-2.08397,50,5.82702,4.41656,-119.01468,-3.01862,1.10535,24.17283,-27.53681,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,b50edbd0-2a31-11f1-b086-cfd70028ae84,81.43858,66.6294,,6.95086,,,,1.43405,2.11092,-0.0999,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:07:19.86,2026-03-27T18:07:19.8690000-05:00,2026-03-27T23:07:19.8690000Z,FlyBall,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,0b79e3d7-dcac-4452-96db-7716893f6c03,54.32518,-119.88993,12.08641,5.91827,-2.02156,-13.76841,-2.24316,4.37654,0.55268,169.281492,1.43468,114.29629,-18.79021,4.19224,-0.79782,0.1528,-0.02947,0.00402,-0.00024,2.11165,59.74794,-14.48627,0.1133,0.29149,-0.17895,0.05335,-0.00766,0.00042,-0.09983,2.33626,-2.52675,0.59629,-0.13079,0.02883,-0.00574,0.00075,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-27,18:07:57.86,2,1,"Cherico, Ben",10111260,Right,SLU_BILL,"Butler, Jake",1000136500,Right,GEO_PAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.2293,-2.355494,-1.846851,2182.373921,217.640899,1:15,6.44624,1.45917,6.5335,-14.66056,21.40611,15.36883,3.06156,1.04526,78.44534,-5.265091,0.944302,0.43224,,,,,,,,,,,,-8.63961,12.44225,-1.33657,50,6.27597,3.49631,-127.78975,-5.55003,-13.85624,33.71964,-12.21909,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,cbbd7030-2a31-11f1-b086-cfd70028ae84,87.20266,,,9.78396,,,,,,,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:07:57.86,2026-03-27T18:07:57.8680000-05:00,2026-03-27T23:07:57.8680000Z,,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,1b2877f2-44da-44c3-928b-263520e71e1f,53.9591,-128.83019,16.85982,6.44141,-5.173,-6.10954,-1.45104,3.92385,-6.92812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,18:08:45.83,2,2,"Cherico, Ben",10111260,Right,SLU_BILL,"Butler, Jake",1000136500,Right,GEO_PAT,Undefined,1,Top,1,0,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,e26d6420-2a31-11f1-b086-cfd70028ae84,,,,,,,,,,,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:08:45.83,2026-03-27T18:08:45.8360000-05:00,2026-03-27T23:08:45.8360000Z,,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,201b7f46-c944-4c51-88c8-449e3c8ac9c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-27,18:08:46.83,2,3,"Cherico, Ben",10111260,Right,SLU_BILL,"Butler, Jake",1000136500,Right,GEO_PAT,Undefined,1,Top,1,1,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.26863,-0.655781,-1.069201,2372.455548,151.170757,11:00,6.01726,1.93802,6.40679,-28.98576,9.46878,-4.56634,2.99867,0.57427,77.43534,-6.089965,-1.897042,0.446319,70.5949,15.906929,167.795934,2429.459131,,,,108.54387,53.60157,170.563303,1.26131,2.06689,5.51359,-1.85976,50,5.95727,2.46168,-122.50581,-2.25255,3.14875,23.64358,-23.77451,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,e8e2d560-2a31-11f1-b086-cfd70028ae84,84.45182,10.22205,,6.83329,,,,2.20835,2.72363,-0.63048,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:08:46.83,2026-03-27T18:08:46.8360000-05:00,2026-03-27T23:08:46.8360000Z,LineDrive,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,bf166233-e88d-46e1-a299-f033847c8d96,54.08896,-123.29246,11.82179,6.01906,-1.46155,-11.88725,-1.93992,2.35692,1.57437,337.588557,2.20835,-97.32404,8.7445,0.08804,-0.39467,0.14552,-0.02267,0.00254,-0.0005,2.72363,28.37751,-29.32849,5.12583,-1.05045,0.19799,-0.04031,0.01108,-0.00167,-0.63048,21.04943,-4.39279,-0.86562,0.30615,-0.06292,0.01079,-0.00394,0.00082,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-03-27,18:09:15.93,2,4,"Cherico, Ben",10111260,Right,SLU_BILL,"Butler, Jake",1000136500,Right,GEO_PAT,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.73627,0.066144,-2.942795,2288.208382,206.239511,12:45,6.34343,1.39217,6.6962,-12.86564,21.4273,9.93465,5.33186,-0.4733,80.35682,-2.506037,-1.136066,0.421477,,,,,,,,,,,,-6.12882,11.55064,-1.19918,50,6.34172,6.28263,-130.11149,-0.07052,-10.30652,32.14042,-12.75002,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,fa411790-2a31-11f1-b086-cfd70028ae84,89.42945,,,9.37945,,,,,,,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:09:15.93,2026-03-27T18:09:15.9390000-05:00,2026-03-27T23:09:15.9390000Z,,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,7d3ed951-c330-49f2-b653-7f7d04caea5e,53.79615,-131.04587,16.07021,6.33838,0.30014,-6.37501,-1.38618,6.58226,-5.15326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,18:09:37.00,2,5,"Cherico, Ben",10111260,Right,SLU_BILL,"Butler, Jake",1000136500,Right,GEO_PAT,Undefined,1,Top,1,2,2,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,78.8596,1.80277,-0.68845,2241.112786,47.962383,7:30,6.0855,1.76535,6.18784,-61.89401,-16.60359,-20.22253,2.59284,-0.55554,71.43366,-9.597994,-4.346121,0.484367,84.47627,23.846469,20.480608,3929.714501,100.15632,38.32458,45.48285,305.0794,297.18559,30.747832,3.540566,10.21993,-8.7413,-1.70364,50,6.19096,2.11408,-114.51824,1.63981,13.23977,25.97057,-43.49829,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,06d06c90-2a32-11f1-b086-cfd70028ae84,77.81794,43.39819,,7.42594,,,,0.92387,2.65517,0.55863,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:09:37.00,2026-03-27T18:09:37.0000000-05:00,2026-03-27T23:09:37.0000000Z,LineDrive,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,6dd2ef4c-5c5e-4697-b65a-1943151a611e,54.31435,-115.4925,12.98529,6.09884,3.27162,-21.74914,-1.77363,1.6174,6.61989,230.75566,0.92363,106.16404,-16.10664,3.36592,-0.63615,0.11073,-0.01914,0.00247,-0.00013,2.65539,50.08695,-16.71781,1.12054,-0.31377,0.10695,-0.02723,0.00463,-0.00036,0.55867,39.651,2.42167,-0.57653,0.03196,0.04122,-0.01653,0.00278,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-27,18:10:15.88,3,1,"Cherico, Ben",10111260,Right,SLU_BILL,"Clyne , Owen",1000230336,Left,GEO_PAT,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.40262,-2.213338,-1.837215,2131.572896,211.128258,1:00,6.38986,1.57292,6.51108,-12.5678,23.15777,13.14217,3.30939,0.98157,79.02455,-4.730648,0.548005,0.430191,,,,,,,,,,,,-7.39941,13.1917,-1.44928,50,6.22906,3.56624,-128.10322,-5.16306,-12.01236,32.14975,-10.75838,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,1df876b0-2a32-11f1-b086-cfd70028ae84,87.61799,,,9.37807,,,,,,,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:10:15.88,2026-03-27T18:10:15.8800000-05:00,2026-03-27T23:10:15.8800000Z,,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,16b386fa-45b6-4e7b-a904-4da76585078b,53.98105,-129.09847,16.07488,6.38374,-4.83002,-5.37919,-1.56544,3.9381,-6.00618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-27,18:10:36.49,3,2,"Cherico, Ben",10111260,Right,SLU_BILL,"Clyne , Owen",1000230336,Left,GEO_PAT,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.82182,-4.403204,-3.325531,2150.81473,215.630462,1:15,6.26402,1.66827,6.61843,-12.00359,22.5521,15.19843,1.21655,-0.1141,80.6287,-6.797808,-0.565751,0.423088,,,,,,,,,,,,-9.06725,13.6993,-1.44776,50,5.95867,6.94092,-129.84464,-10.22636,-15.16874,32.28081,-9.25631,SLU_BILL,GEO_PAT,StLouisUniversity,D1,A10,20260327-StLouisUniversity-1,2a384c20-2a32-11f1-b086-cfd70028ae84,89.0888,,,9.19312,,,,,,,492d6ae3-9fd7-481a-b58e-dbf6b63a0f5d,2026-03-27,23:10:36.49,2026-03-27T18:10:36.4900000-05:00,2026-03-27T23:10:36.4900000Z,,v3,471427,471300,f9ae3ee5ac3147b39c323209447f36b8,"Arnold, Matt",1000323419,Right,SLU_BILL,2ec6de39-beb9-487c-9f75-d4c62196a1e7,53.87702,-130.80495,16.14041,6.25879,-9.95099,-4.62815,-1.66096,7.39217,-7.58437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
