PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,17:00:45.73,1,1,"Pirkle, Hunter",10141110,Right,EC,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.50956,-0.364378,-2.665783,2295.822226,244.718005,2:15,5.17542,2.64068,5.53466,-28.4547,9.97938,17.58851,2.46323,1.61288,77.0929,-5.715391,0.468496,0.4462,,,,,,,,,,,,-10.09764,5.60477,-2.42187,50,5.12538,5.13412,-126.48825,-1.76948,-15.69165,35.59008,-23.46426,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,071b0f50-2a20-11f1-af74-03f09cc8fbf2,84.47431,,,10.41665,,,,,,,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:00:45.73,2026-03-27T17:00:45.7331712-04:00,2026-03-27T21:00:45.7331712Z,,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,7b9f51a7-637d-433c-90da-d0e7b9643a03,54.96139,-127.87662,17.79504,5.17656,-0.85414,-11.73213,-2.63409,5.74625,-7.84583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,17:01:00.64,1,2,"Pirkle, Hunter",10141110,Right,EC,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,0,1,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.2988,1.449051,-2.563348,2478.792178,177.239332,12:00,4.96045,2.83863,5.20046,-38.05537,4.44189,-0.13346,3.15371,0.41498,74.2369,-5.568639,-2.586953,0.469193,60.38076,35.515474,37.495475,3934.748106,81.26813,38.81427,74.13139,177.7143,169.09102,44.984012,3.195469,-0.85205,2.14969,-2.60101,50,5.06652,5.39564,-120.39291,1.6828,-1.21653,29.29863,-29.10478,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,0fff5db0-2a20-11f1-af74-03f09cc8fbf2,80.33456,39.78786,,9.0619,,,,1.78611,3.04118,-0.26485,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:01:00.64,2026-03-27T17:01:00.6499840-04:00,2026-03-27T21:01:00.6499840Z,Popup,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,9c73c16f-b2e8-4f20-83b7-95352e57c308,55.2938,-121.67438,14.64931,4.96507,2.95579,-14.55239,-2.83817,5.44885,-0.60826,,1.77495,57.62089,-12.62886,10.48617,-11.6186,8.22381,-3.31301,0.69027,-0.05732,3.03557,51.64132,-21.37033,4.85274,-3.98699,2.39354,-0.78743,0.12672,-0.00761,-0.26543,43.86294,0.09621,-2.2112,2.89617,-2.51961,1.23134,-0.30338,0.02903,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
3,2026-03-27,17:01:38.35,1,3,"Pirkle, Hunter",10141110,Right,EC,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.8479,-1.865598,-4.635276,2270.734719,244.19896,2:15,5.04023,2.5061,5.89612,-28.65533,8.7691,15.52095,0.91398,-0.51326,79.14071,-7.188448,-1.858763,0.4403,,,,,,,,,,,,-9.36402,5.40107,-2.14155,50,4.87314,9.5636,-125.69871,-5.04723,-14.89794,26.81064,-23.58108,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,2673f650-2a20-11f1-af74-03f09cc8fbf2,85.60617,,,7.70719,,,,,,,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:01:38.35,2026-03-27T17:01:38.3530496-04:00,2026-03-27T21:01:38.3530496Z,,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,76c12d4c-5d7f-4df1-8614-7542a02e0ada,54.60274,-126.67664,13.40532,5.04155,-4.1871,-11.79054,-2.5003,10.10701,-7.44897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,17:01:52.66,1,4,"Pirkle, Hunter",10141110,Right,EC,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.06327,-0.531619,-4.709604,2372.705233,243.495376,2:00,5.0431,2.44146,5.74773,-27.24809,9.28174,16.17237,2.27581,-0.60531,80.12497,-5.597655,-1.827102,0.435006,,,,,,,,,,,,-9.55776,5.24268,-2.05937,50,4.98228,9.80587,-127.46984,-2.11322,-15.6724,27.03188,-23.57736,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,2efe8bf0-2a20-11f1-af74-03f09cc8fbf2,86.6481,,,7.9383,,,,,,,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:01:52.66,2026-03-27T17:01:52.6690304-04:00,2026-03-27T21:01:52.6690304Z,,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,e2aafd9b-81ac-4b80-a267-e3d01b23ca90,54.74977,-128.47315,13.51594,5.04447,-1.23813,-11.78868,-2.43412,10.38756,-7.8362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,17:02:05.24,1,5,"Pirkle, Hunter",10141110,Right,EC,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,0,2,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.20069,0.636924,-2.777867,2490.630194,210.840083,1:00,5.04592,2.52649,5.16207,-33.02234,7.9367,3.8939,2.89427,0.23439,76.24831,-5.436426,-2.089611,0.460624,96.38068,18.285824,-46.655441,2825.946687,73.45656,24.08168,-81.87812,232.08884,124.28813,-51.789719,2.206613,-2.81319,4.13925,-2.2704,50,5.08036,5.7495,-121.94099,0.17344,-4.19178,26.30612,-26.00636,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,3679ad60-2a20-11f1-af74-03f09cc8fbf2,81.82914,24.29744,,7.95238,,,,3.08201,3.02473,-0.20074,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:02:05.24,2026-03-27T17:02:05.2409856-04:00,2026-03-27T21:02:05.2409856Z,LineDrive,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,b8275497-3dea-4ce9-ab37-80d28c988eae,55.33532,-123.08659,13.15306,5.04815,1.30598,-13.00318,-2.52476,5.93205,-2.09589,,3.08196,92.12795,-19.86838,4.69607,-0.89148,-0.10057,0.21659,-0.08388,0.01109,3.0248,44.35067,-26.21682,4.01081,-1.33604,0.78066,-0.44182,0.13711,-0.01675,-0.20073,-97.61059,10.64855,-2.59244,0.58776,-0.11085,-0.00045,0.00736,-0.00129,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2026-03-27,17:02:24.00,1,6,"Pirkle, Hunter",10141110,Right,EC,"Tillman, Tristan",1000191861,Right,SOU_WES1,Undefined,1,Top,0,2,2,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,0,,84.7944,0.525785,-4.168357,2539.11621,165.980482,11:30,5.07552,2.70111,5.39909,-35.43152,5.06221,-0.89079,2.61691,-1.28606,76.26442,-6.00197,-4.32603,0.458,91.43662,-7.18622,3.678262,,,,,19.83924,19.83924,7.003891,0.134728,-0.95071,2.76421,-2.32827,50,5.09788,8.96962,-122.5544,-0.12352,-1.41751,28.66329,-28.05266,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,41cb0420-2a20-11f1-af74-03f09cc8fbf2,82.29796,2.67141,,8.52998,,,,2.17569,2.67141,1.21331,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:02:24.00,2026-03-27T17:02:24.0072704-04:00,2026-03-27T21:02:24.0072704Z,GroundBall,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,1c91c628-d374-408d-be01-12d0b1a9bb92,55.09714,-123.74079,14.33164,5.07896,1.03759,-14.02633,-2.70074,9.02829,-0.70875,334.89919,2.17597,132.75168,-20.40737,,,,,,,2.67181,-16.81559,-22.40483,,,,,,,1.21321,8.54665,3.00583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-27,17:04:16.59,2,1,"Pirkle, Hunter",10141110,Right,EC,"Evatt, Nolan",1000303736,Left,SOU_WES1,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.11561,-1.349636,-5.583371,2252.818189,247.441914,2:15,4.98634,2.87891,5.75995,-31.25242,7.5167,14.62083,1.11955,-1.11604,77.60771,-7.150634,-2.981412,0.448141,,,,,,,,,,,,-9.248,4.68516,-2.42394,50,4.85526,11.53571,-124.29644,-3.99193,-14.23481,28.65842,-24.96251,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,84c55140-2a20-11f1-af74-03f09cc8fbf2,84.10851,,,8.5079,,,,,,,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:04:16.59,2026-03-27T17:04:16.5970000-04:00,2026-03-27T21:04:16.5970000Z,,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,990e53c8-5b58-46ab-8fee-953efaf11472,54.7362,-125.38368,14.32921,4.98874,-3.0449,-12.48125,-2.87183,12.07575,-7.1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.60138,,0.83287,,1.36901,1.11356,1.11852,-0.78778,6.69679,0.61671,,,,-0.69207,110.97202,-9.32799,6.70547,6.54884,-11.12922,0.61275,-1.12354,0.3255,High,High,High,,,High,Medium,Medium
8,2026-03-27,17:05:01.23,2,2,"Pirkle, Hunter",10141110,Right,EC,"Evatt, Nolan",1000303736,Left,SOU_WES1,Undefined,1,Top,0,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.1804,0.930417,-2.578236,2363.448505,136.360135,10:30,5.01395,3.05956,5.42031,-39.6762,3.02386,-1.45413,2.58008,0.52172,74.3636,-6.362417,-2.836566,0.470312,,,,,,,,,,,,-0.08764,1.68571,-2.82953,50,5.06936,5.42051,-119.02099,0.54806,-0.12404,25.64063,-29.78768,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,9f7374e0-2a20-11f1-af74-03f09cc8fbf2,80.14354,,,7.8168,,,,,,,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:05:01.23,2026-03-27T17:05:01.2388352-04:00,2026-03-27T21:05:01.2388352Z,,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,b5359028-d113-4308-a21b-707aa5d7eb4c,55.07516,-120.10935,12.82032,5.01926,1.81245,-14.89384,-3.05972,5.42578,-0.06202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,17:05:20.22,2,3,"Pirkle, Hunter",10141110,Right,EC,"Evatt, Nolan",1000303736,Left,SOU_WES1,Undefined,1,Top,0,1,1,Cutter,Slider,InPlay,Undefined,FlyBall,Sacrifice,1,1,,82.86349,0.42622,-3.162075,2510.3215,164.410634,11:30,5.02568,2.91102,5.36848,-36.83301,5.6104,-1.12016,2.3565,-0.15011,74.42821,-6.367129,-3.360696,0.468896,91.35252,23.028019,-4.3652,2092.410274,109.34289,37.74807,-12.00479,308.20485,299.26961,-9.548039,3.509611,-0.51551,3.10662,-2.62637,50,5.03816,6.66854,-119.85663,-0.38478,-0.73375,27.81261,-27.75216,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,aab51430-2a20-11f1-af74-03f09cc8fbf2,80.38551,44.0636,,8.43527,,,,1.99263,2.46096,0.12986,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:05:20.22,2026-03-27T17:05:20.2278400-04:00,2026-03-27T21:05:20.2278400Z,LineDrive,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,efff2c15-d4eb-4c97-9a87-e31d1c3fea08,55.12688,-121.04048,13.9063,5.0294,0.79649,-13.87608,-2.91089,6.69977,-0.36688,137.578499,1.99265,122.94833,-18.43047,3.94039,-0.84114,0.19149,-0.04279,0.00631,-0.00037,2.4608,52.41761,-18.11876,1.25053,-0.21436,0.04626,-0.01088,0.00265,-0.00028,0.13021,-9.3968,-3.88438,1.3401,-0.29716,0.04533,-0.00503,0.00029,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-27,17:05:58.59,3,1,"Pirkle, Hunter",10141110,Right,EC,"Kirschner, Cole",1000359119,Right,SOU_WES1,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.69488,-0.681743,-5.907793,2377.333863,235.666987,1:45,5.03923,2.80005,5.9182,-26.14214,12.2502,15.67847,2.22465,-1.39541,77.21565,-5.618377,-3.114132,0.445958,,,,,,,,,,,,-10.04142,6.94079,-2.334,50,4.96984,12.26424,-124.97885,-2.30805,-15.4845,31.06483,-21.47091,EC,SOU_WES1,TommyCareyField,D2,CC,20260327-TommyCareyField-1,c19b3350-2a20-11f1-af74-03f09cc8fbf2,84.52021,,,9.47922,,,,,,,ec901836-0484-4bcb-8a59-95cfefac3e8e,2026-03-27,21:05:58.59,2026-03-27T17:05:58.5920512-04:00,2026-03-27T21:05:58.5920512Z,,v3,10000011,643-145851,,"Madrigal, Nicholas",1000324267,Right,EC,87a88d13-5fd4-4731-9daa-af6fd1349b1c,54.57537,-126.11098,15.53241,5.0397,-1.52556,-10.73545,-2.79124,12.82856,-7.74225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
