PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,18:03:52.43,1,1,"Horn, Tyner",10068252,Right,NEB,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.3017,-4.030623,-1.110124,2345.545059,210.624715,1:00,6.06653,0.506,5.78668,-13.90639,18.43218,10.28989,1.15092,0.33057,85.39788,-6.671408,0.733377,0.40929,,,,,,,,,,,,-5.55437,10.83784,-0.42076,50,5.72553,2.16031,-135.20037,-9.94064,-10.28362,29.40278,-12.10838,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,3a0890c0-2a31-11f1-9fa3-25bf503cc7ef,92.09215,,,7.90382,,,,,,,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:03:52.43,2026-03-27T18:03:52.4395520-05:00,2026-03-27T23:03:52.4395520Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,90c8d6b1-95dd-4f8d-8eed-867347d1bc3f,54.71298,-136.22147,14.70139,6.06344,-9.52014,-6.05419,-0.50199,2.51743,-5.14181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,18:04:06.92,1,2,"Horn, Tyner",10068252,Right,NEB,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.40616,-3.322429,-0.938826,2404.059514,203.82121,12:45,6.058,0.71426,5.55305,-12.05438,20.4108,8.55213,1.94503,0.5496,85.4772,-5.630345,0.586317,0.410091,,,,,,,,,,,,-4.54984,11.50772,-0.63871,50,5.76248,1.81841,-135.41191,-8.20193,-8.46602,28.97676,-10.76142,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,42ab9060-2a31-11f1-9fa3-25bf503cc7ef,91.91238,,,7.92896,,,,,,,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:04:06.92,2026-03-27T18:04:06.9241344-05:00,2026-03-27T23:04:06.9241344Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,bc77ebff-c346-4709-8bb7-d6e7c3de5ca9,54.94541,-136.46608,14.48838,6.05374,-7.81043,-5.38071,-0.71047,2.1264,-4.23301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,18:04:22.01,1,3,"Horn, Tyner",10068252,Right,NEB,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,1,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.06009,-3.650171,-1.098682,2514.942158,147.841181,11:00,6.05018,0.66151,5.95291,-26.99218,8.72256,-4.84083,0.41032,-0.76098,81.78126,-8.608783,-1.969794,0.430125,,,,,,,,,,,,2.23307,5.71422,-0.57136,50,5.74424,2.64357,-127.83079,-9.05222,3.72949,24.04685,-22.63067,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,4ba33fb0-2a31-11f1-9fa3-25bf503cc7ef,87.63126,,,6.27882,,,,,,,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:04:22.01,2026-03-27T18:04:22.0195328-05:00,2026-03-27T23:04:22.0195328Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,ce5d19a0-b535-437c-b587-fc0d0f9d91fd,54.54898,-128.68368,12.02343,6.05106,-8.24957,-11.31534,-0.66278,2.51129,1.86475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,18:04:38.29,1,4,"Horn, Tyner",10068252,Right,NEB,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,2,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.75455,-2.401067,0.313651,2372.355455,122.702316,10:00,5.98731,0.77643,5.98215,-28.2071,7.90382,-10.57028,1.40977,0.18631,80.7498,-7.620117,-1.58976,0.432505,,,,,,,,,,,,5.53197,5.06587,-0.79535,50,5.7819,-0.26922,-127.45571,-6.27784,9.11002,25.92372,-23.8316,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,556ac220-2a31-11f1-9fa3-25bf503cc7ef,87.14921,,,7.00474,,,,,,,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:04:38.29,2026-03-27T18:04:38.2977024-05:00,2026-03-27T23:04:38.2977024Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,6f6b77a8-b3c2-486d-a8d7-c27efa89f4cc,54.51835,-128.37142,12.96186,5.98879,-5.43603,-11.9158,-0.78016,-0.59101,4.55501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,18:04:52.95,1,5,"Horn, Tyner",10068252,Right,NEB,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,2,2,Curveball,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,81.45809,0.153806,0.759756,2739.210039,70.561913,8:15,6.11244,0.74105,5.14954,-46.73034,-2.96551,-12.70072,2.36306,0.39798,74.07079,-8.335809,-1.493174,0.476139,,,,,,,,,,,,6.51591,-1.01461,-0.80209,50,6.09121,-1.01783,-118.09905,-1.41496,9.0906,25.04492,-33.58954,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,5e223420-2a31-11f1-9fa3-25bf503cc7ef,79.16264,,,7.3873,,,,,,,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:04:52.95,2026-03-27T18:04:52.9574912-05:00,2026-03-27T23:04:52.9574912Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,35ef97e8-ba95-44e6-8932-9f6caa7dfc1a,55.34944,-119.22809,12.52246,6.12086,0.09928,-16.79477,-0.74697,-1.42764,4.5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,18:05:20.86,2,1,"Horn, Tyner",10068252,Right,NEB,"Denny, Hogan",815377,Right,IU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.21527,-1.517978,-0.71507,2337.757809,187.565128,12:15,6.10436,0.73901,6.04793,-16.27316,16.6082,2.05748,3.34252,0.24843,83.68493,-4.631121,-0.344687,0.412711,74.92432,22.604272,165.617419,2762.900907,,,,,53.36709,,,-1.25028,9.27938,-0.6843,50,5.97712,1.5762,-133.79875,-4.00716,-2.25187,30.60305,-15.46084,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,6ebf4930-2a31-11f1-9fa3-25bf503cc7ef,91.32885,20.39551,,8.53034,,,,1.14535,3.22303,-0.25929,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:05:20.86,2026-03-27T18:05:20.8692224-05:00,2026-03-27T23:05:20.8692224Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,8aa67f2b-216d-4f52-a122-130827b8dec8,54.44644,-134.81192,15.30153,6.10131,-3.4953,-7.73042,-0.73772,1.65075,-1.12594,291.608235,1.14535,-98.26785,10.26175,-2.45347,0.49731,-0.10405,0.02082,-0.00189,-0.00057,3.22303,42.23733,-22.52674,2.27728,-0.44997,0.08191,-0.01696,0.00381,-0.00067,-0.25929,25.19905,-9.4203,2.37159,-0.54061,0.12487,-0.02989,0.00691,-0.00119,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-03-27,18:05:39.42,2,2,"Horn, Tyner",10068252,Right,NEB,"Denny, Hogan",815377,Right,IU,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.01409,-1.718234,-1.284858,1831.383871,246.271714,2:15,6.0351,0.82864,6.00139,-29.35194,7.34059,14.10883,1.99613,0.81363,79.9663,-7.158425,1.255909,0.435974,,,,,,,,,,,,-7.58847,4.60929,-0.7351,50,5.88383,2.26002,-126.40453,-4.76075,-12.2909,25.50779,-24.70846,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,79cf0310-2a31-11f1-9fa3-25bf503cc7ef,86.45578,,,7.04779,,,,,,,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:05:39.42,2026-03-27T18:05:39.4285568-05:00,2026-03-27T23:05:39.4285568Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,8b7ff687-b8e3-40ad-883b-234fe3ff99e7,54.49875,-127.30911,12.75389,6.03712,-3.88451,-12.35423,-0.82297,2.6959,-6.14545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,18:05:55.71,2,3,"Horn, Tyner",10068252,Right,NEB,"Denny, Hogan",815377,Right,IU,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.67698,0.099254,-1.052249,1823.809446,237.044908,2:00,6.17925,0.6943,6.37751,-26.69584,10.91481,14.88442,4.04593,0.96646,77.78833,-4.948907,1.644322,0.441394,,,,,,,,,,,,-8.00634,6.04552,-0.62451,50,6.17413,1.70088,-124.46505,-0.56136,-12.45067,27.00033,-22.77264,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,838854b0-2a31-11f1-9fa3-25bf503cc7ef,85.39403,,,7.88865,,,,,,,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:05:55.71,2026-03-27T18:05:55.7166592-05:00,2026-03-27T23:05:55.7166592Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,ef6d1a63-3a64-43b3-a5f4-9452cdec6ae9,54.12029,-125.35569,13.50016,6.18026,0.18981,-11.38632,-0.68739,2.11158,-6.22533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,18:06:10.27,2,4,"Horn, Tyner",10068252,Right,NEB,"Denny, Hogan",815377,Right,IU,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.93789,-2.540077,-1.4483,2329.726622,194.674785,12:30,6.01765,0.63628,6.1683,-15.36017,17.27217,4.25874,2.38914,-0.34687,84.36459,-5.467346,-0.680102,0.411146,71.65213,36.322394,142.973941,4787.872575,,,,,53.00884,,,-2.60516,9.95044,-0.52874,50,5.81716,3.20083,-133.52756,-6.36267,-4.71742,27.9525,-14.15585,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,8c2adf20-2a31-11f1-9fa3-25bf503cc7ef,91.67663,33.68828,,7.57329,,,,1.1419,2.38991,0.36422,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:06:10.27,2026-03-27T18:06:10.2752256-05:00,2026-03-27T23:06:10.2752256Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,fbc493a8-31dc-43de-a808-de4296854f4e,54.33227,-134.43141,13.97625,6.0155,-5.90494,-7.07793,-0.6347,3.35337,-2.35871,306.136985,1.1419,-67.59759,2.41841,-0.24432,-0.04129,0.01371,0.01799,-0.02535,0.01112,2.38991,62.24754,-25.42167,2.8339,-0.54518,0.12334,-0.07668,0.06283,-0.02494,0.36422,50.98665,-12.70929,3.62319,-0.82457,0.10684,0.12888,-0.16782,0.07177,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-03-27,18:06:30.44,2,5,"Horn, Tyner",10068252,Right,NEB,"Denny, Hogan",815377,Right,IU,Undefined,1,Top,1,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.03876,-1.362777,-1.493796,1825.009819,258.34682,2:30,5.94418,0.9565,6.12086,-32.26856,5.03748,17.60725,1.99458,1.04243,78.32777,-7.390034,1.684631,0.439603,,,,,,,,,,,,-9.54103,3.49992,-0.85073,50,5.82342,2.56298,-126.20222,-4.05852,-15.04597,30.99882,-26.65475,NEB,IU,UNebraska,D1,BIG10,20260327-UNebraska-1,983859f0-2a31-11f1-9fa3-25bf503cc7ef,85.74194,,,8.71099,,,,,,,e5ed5620-942e-4aa2-beeb-bd20c3ab7442,2026-03-27,23:06:30.44,2026-03-27T18:06:30.4441856-05:00,2026-03-27T23:06:30.4441856Z,,v3,4865,4866,488d3110b49446e092a63fbf7252f96b,"Worthley, Jeter",10081852,Right,NEB,435e19d5-366f-456c-ad98-a4b04122ec6a,54.37656,-127.27268,15.49941,5.94768,-3.13806,-13.32738,-0.94821,3.08255,-7.52299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
