PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,17:04:36.45,1,1,"Perkins, Wilson",1000217662,Right,DAV_WIL,"MacDougall, Danny",1000119540,Right,DAY_FLY,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.16463,-2.627877,-3.820319,2085.083429,219.405502,1:15,6.07937,1.23817,5.64516,-19.98288,15.05391,11.19209,1.95565,-1.39807,81.18051,-6.419739,-1.82619,0.426023,,,,,,,,,,,,-6.98426,8.95422,-0.92053,50,5.84343,8.26552,-131.57335,-6.69221,-11.91059,34.98279,-16.904,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,9031aa10-2a20-11f1-9513-3b3cfe60fe80,88.47503,,,9.98411,,,,,,,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:04:36.45,2026-03-27T17:04:36.4540000-04:00,2026-03-27T21:04:36.4540000Z,,v3,471280,471281,46047ee373154b66913e58814260397b,"Brooks, Will",10105612,Right,DAV_WIL,1588f693-85cc-4b17-961e-2483f8ecba7b,54.84876,-132.85628,17.4914,6.07749,-6.07228,-8.452,-1.23166,8.70232,-5.9553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,17:04:50.58,1,2,"Perkins, Wilson",1000217662,Right,DAV_WIL,"MacDougall, Danny",1000119540,Right,DAY_FLY,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,90.56799,-1.996321,-2.279271,2126.692286,213.333988,1:00,6.04675,1.29192,5.72967,-17.10375,17.94962,10.91253,2.75997,0.07742,81.05538,-5.278132,-0.328076,0.426124,101.95095,18.943117,-30.933316,1916.672883,92.45488,28.26612,-59.59934,275.93458,275.93458,-36.065192,2.582896,-6.33,10.19465,-1.10859,50,5.86996,4.73156,-131.08801,-5.0781,-10.77008,33.44553,-14.82852,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,9895f300-2a20-11f1-9513-3b3cfe60fe80,88.45409,30.42974,,9.51261,,,,1.81903,2.81458,-0.0414,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:04:50.58,2026-03-27T17:04:50.5810000-04:00,2026-03-27T21:04:50.5810000Z,LineDrive,v3,471280,471281,46047ee373154b66913e58814260397b,"Brooks, Will",10105612,Right,DAV_WIL,81269833-becc-4132-9120-69f29714fe89,54.76692,-132.29864,16.72277,6.04406,-4.54136,-7.41426,-1.28692,5.12141,-5.38504,,1.81899,121.31688,-20.92235,4.59614,-1.32788,0.50861,-0.1807,0.03811,-0.00337,2.81457,48.54151,-23.98575,2.84562,-0.62708,0.14927,-0.033,0.00548,-0.00044,-0.04141,-72.69887,2.93655,0.89817,-0.58222,0.32774,-0.12841,0.02842,-0.00259,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-27,17:05:24.41,2,1,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Smith, Michael",822066,Right,DAY_FLY,Undefined,1,Top,0,0,0,Cutter,Slider,InPlay,Undefined,Bunt,Sacrifice,1,0,,84.35417,0.495499,-1.070318,2282.764573,98.305713,9:15,5.94591,1.51448,5.18478,-38.43994,2.28268,-6.05445,3.20886,0.00283,76.54133,-6.531675,-2.14318,0.459292,,,,,,,,,,,,2.71158,1.34161,-1.41013,50,5.96273,2.54475,-122.30216,-0.35898,4.06004,26.69645,-30.16522,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,acc1ad10-2a20-11f1-9513-3b3cfe60fe80,82.06632,,,7.81285,,,,,,,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:05:24.41,2026-03-27T17:05:24.4140000-04:00,2026-03-27T21:05:24.4140000Z,,v3,471280,471281,46047ee373154b66913e58814260397b,"Brooks, Will",10105612,Right,DAV_WIL,2da465be-0461-47df-8031-6bbf2f9b9971,55.31507,-123.45689,13.34823,5.95004,0.9458,-15.08261,-1.5164,2.36913,2.03002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,17:06:00.37,3,1,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Stang, Bobby",1000138110,Right,DAY_FLY,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.9512,1.72584,-0.879904,2134.941196,19.057614,6:45,6.02461,1.24123,5.36521,-57.9544,-8.24248,-3.41032,2.81407,0.13189,69.46729,-8.808762,-1.486923,0.50746,,,,,,,,,,,,1.44642,-4.16315,-1.15974,50,6.13826,1.82413,-110.2029,1.36417,1.76518,20.98228,-37.25465,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,c239bd40-2a20-11f1-9513-3b3cfe60fe80,74.2767,,,6.48391,,,,,,,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:06:00.37,2026-03-27T17:06:00.3700000-04:00,2026-03-27T21:06:00.3700000Z,,v3,471280,471281,46047ee373154b66913e58814260397b,"Brooks, Will",10105612,Right,DAV_WIL,56090030-45cf-4847-9bae-11e825df0be0,55.13644,-111.17656,10.49114,6.03485,3.09293,-18.62732,-1.24248,1.74221,0.88259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,17:06:21.86,3,2,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Stang, Bobby",1000138110,Right,DAY_FLY,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,1,0,,84.83765,-0.599807,-2.656062,2320.607175,135.124006,10:30,5.82649,1.62179,5.31963,-33.15092,7.33134,-5.80406,2.50038,-1.35635,76.40673,-6.709871,-3.685189,0.457935,,,,,,,,,,,,2.00433,4.3202,-1.37681,50,5.74867,5.94963,-122.74791,-2.46559,2.99857,28.70001,-25.71081,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,cf04bbb0-2a20-11f1-9513-3b3cfe60fe80,82.3096,,,8.43092,,,,,,,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:06:21.86,2026-03-27T17:06:21.8670000-04:00,2026-03-27T21:06:21.8670000Z,,v3,471280,471281,46047ee373154b66913e58814260397b,"Brooks, Will",10105612,Right,DAV_WIL,784d9cca-2d3e-4cc8-b8c4-60d0033e6488,55.17615,-123.95225,14.35001,5.8295,-1.38668,-12.8554,-1.62384,5.8238,1.49929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.14474,1.672274,0.69161,0.980664,-0.84668,2.22773,1.50299,0.30261,3.94364,1.83147,63.47784,5.25833,-61.30895,0.33588,69.86695,-5.61382,3.99272,16.7236,-15.77659,1.7709,-72.20564,8.08416,High,High,High,,,High,High,High
6,2026-03-27,17:06:57.38,3,3,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Stang, Bobby",1000138110,Right,DAY_FLY,Undefined,1,Top,2,1,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.27611,-0.819171,-0.872184,2495.696753,85.220092,8:45,5.85449,1.54931,5.35023,-38.99797,0.62953,-8.79524,1.83617,-0.00176,77.57063,-7.938992,-2.437373,0.453075,62.41466,33.838728,149.579031,3597.083543,-98.35163,27.3085,49.26411,160.82203,55.1891,155.073397,2.520479,4.18288,0.91181,-1.46412,50,5.75275,2.25516,-123.67681,-3.19664,6.39681,27.57811,-30.77961,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,e44715e0-2a20-11f1-9513-3b3cfe60fe80,83.19255,30.95505,,7.70548,,,,2.43381,1.86553,-0.09919,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:06:57.38,2026-03-27T17:06:57.3860000-04:00,2026-03-27T21:06:57.3860000Z,FlyBall,v3,471280,471281,46047ee373154b66913e58814260397b,"Brooks, Will",10105612,Right,DAV_WIL,a17ce317-ff15-4766-952e-19c73fe52861,55.15016,-124.81993,13.78906,5.85881,-1.92081,-15.3898,-1.55211,1.99001,3.19841,321.199646,2.4338,-65.56655,2.30195,0.34807,-0.21524,0.11422,-0.04891,0.01431,-0.00175,1.86552,50.9762,-24.80577,2.6689,-0.58761,0.13155,-0.03403,0.00719,-0.00067,-0.0992,38.50062,-6.94401,1.50112,-0.31087,0.04157,0.00121,-0.00329,0.00065,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-03-27,17:07:16.53,3,4,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Stang, Bobby",1000138110,Right,DAY_FLY,Undefined,1,Top,2,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.3955,-1.297525,-2.212921,2126.497608,181.182847,12:00,6.04565,1.09333,5.61112,-15.25591,18.41761,0.35453,3.5621,-0.94369,82.98106,-4.228716,-2.149715,0.417653,,,,,,,,,,,,-0.90189,10.06749,-0.90434,50,5.92509,5.15234,-133.76821,-3.47958,-1.60659,33.39396,-14.23987,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,ef900830-2a20-11f1-9513-3b3cfe60fe80,90.24819,,,9.41445,,,,,,,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:07:16.53,2026-03-27T17:07:16.5370000-04:00,2026-03-27T21:07:16.5370000Z,,v3,471280,471281,46047ee373154b66913e58814260397b,"Brooks, Will",10105612,Right,DAV_WIL,60dd3718-a394-4de5-b5e0-ff040245268e,54.88333,-134.98178,16.69698,6.04214,-2.96209,-7.11993,-1.09264,5.21073,-0.80329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.84317,,,0.97439,,,,1.28341,3.82406,5.02599,69.04283,4.15832,-55.74173,1.28909,73.23639,-3.81917,3.85133,15.7399,-15.92856,4.98575,-71.16992,9.21678,High,High,High,,,High,High,High
8,2026-03-27,17:09:34.22,1,1,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.17864,-3.658573,-2.27697,2317.298895,208.522994,1:00,6.75079,0.95714,5.18053,-13.16497,21.88206,11.20044,2.20389,-0.25306,82.42389,-6.183694,-0.295011,0.426086,,,,,,,,,,,,-6.30634,12.42229,-0.75434,50,6.40078,4.71546,-131.81996,-8.82673,-10.97484,30.8856,-10.55576,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,41a5ac60-2a21-11f1-9513-3b3cfe60fe80,88.4621,,,8.75475,,,,,,,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:09:34.22,2026-03-27T17:09:34.2270000-04:00,2026-03-27T21:09:34.2270000Z,,v3,471280,471281,46047ee373154b66913e58814260397b,"MacDougall, Ryan",836327,Right,DAY_FLY,0a6a3854-61d5-467a-9adc-180cc86f1b3e,55.31793,-133.06012,15.4428,6.7467,-8.40287,-5.27788,-0.95253,5.15614,-5.48742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,17:09:47.25,1,2,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Bottom,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.35974,1.812572,-0.504271,1755.956061,50.927542,7:45,6.62865,1.07643,4.36731,-63.70007,-8.09867,-12.33241,3.05216,-0.43292,66.88701,-9.56321,-2.660105,0.536679,,,,,,,,,,,,5.79638,-3.90662,-1.00927,50,6.75928,1.44747,-106.2174,1.01736,6.5422,20.23942,-36.58333,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,4975f2b0-2a21-11f1-9513-3b3cfe60fe80,70.23279,,,6.47274,,,,,,,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:09:47.25,2026-03-27T17:09:47.2540000-04:00,2026-03-27T21:09:47.2540000Z,,v3,471280,471281,46047ee373154b66913e58814260397b,"MacDougall, Ryan",836327,Right,DAY_FLY,f0525b6c-5338-42a5-bee6-f2beeb2602a9,56.13388,-107.37983,10.11971,6.64051,3.11849,-18.29166,-1.08162,1.07173,3.2711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-27,17:10:01.87,1,3,"Jensen, Sawyer",10300916,Right,DAY_FLY,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.67435,-3.034936,-3.399774,2254.557885,215.77207,1:15,6.68634,1.02401,5.48801,-17.13032,16.23166,10.873,2.41181,-1.2543,84.27715,-6.257182,-1.467007,0.415717,,,,,,,,,,,,-6.50697,9.42343,-0.73353,50,6.40849,7.46956,-134.09655,-7.69463,-11.78461,30.45222,-15.10757,DAV_WIL,DAY_FLY,WilsonField,D1,A10,20260327-WilsonField-1,521dfb60-2a21-11f1-9513-3b3cfe60fe80,90.66858,,,8.3972,,,,,,,c9560368-63ee-42ff-8db6-74e39c884ec0,2026-03-27,21:10:01.87,2026-03-27T17:10:01.8710000-04:00,2026-03-27T21:10:01.8710000Z,,v3,471280,471281,46047ee373154b66913e58814260397b,"MacDougall, Ryan",836327,Right,DAY_FLY,5d015d42-2940-44f3-ab29-b2dfa7cc7299,55.01156,-135.22984,15.22611,6.68439,-7.1324,-7.55379,-1.01968,7.90813,-5.89231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
