PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,13:05:27.19,1,1,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.25152,-1.872092,-1.137203,2483.24381,196.148125,12:30,5.56053,1.10438,6.32734,-14.70316,20.62501,5.64087,2.61035,0.52709,80.55542,-4.719,-0.116609,0.427791,,,,,,,,,,,,-3.3039,11.68131,-1.02418,50,5.41695,2.33217,-128.23878,-4.55869,-5.48488,27.28018,-12.78157,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,51b15d00-2ac8-11f1-b278-cffd3ed194d9,88.10942,,,7.6961,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:05:27.19,2026-03-28T13:05:27.1983616-04:00,2026-03-28T17:05:27.1983616Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,5b20b608-81ac-4b7b-a71e-8713e18f0800,54.17257,-129.12336,13.64009,5.55805,-4.14424,-6.39078,-1.10268,2.51002,-2.74244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,13:05:42.67,1,2,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.18004,-2.409033,-2.277175,2537.147469,199.600059,12:45,5.58009,0.91805,6.28764,-15.64867,18.21548,6.10315,2.05288,-0.67304,82.54006,-5.407031,-1.174618,0.418834,,,,,,,,,,,,-3.79858,10.46028,-0.7531,50,5.39468,4.95879,-130.9053,-5.92668,-6.59609,27.44691,-14.01014,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,5aef8b30-2ac8-11f1-b278-cffd3ed194d9,89.99384,,,7.63998,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:05:42.67,2026-03-28T13:05:42.6716672-04:00,2026-03-28T17:05:42.6716672Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,e66645f5-c9c4-4f6d-9cdc-572e227c71d0,54.21039,-131.78513,13.72345,5.57747,-5.47758,-7.00507,-0.91545,5.17024,-3.29804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,13:06:01.53,1,3,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.2921,-2.147636,-1.357195,2581.783987,192.337272,12:30,5.65237,0.80396,6.32253,-14.80977,19.65245,4.05882,2.43886,-0.10796,81.68906,-5.002427,-0.622985,0.422516,,,,,,,,,,,,-2.49665,11.17363,-0.70671,50,5.4882,2.91328,-129.71465,-5.23915,-4.25371,27.13899,-13.13693,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,662c2170-2ac8-11f1-b278-cffd3ed194d9,89.20951,,,7.60304,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:06:01.53,2026-03-28T13:06:01.5384576-04:00,2026-03-28T17:06:01.5384576Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,d88c58e6-cfba-4e5c-a4fe-4799efec3e07,54.17597,-130.58542,13.5695,5.64954,-4.81764,-6.56847,-0.80238,3.04977,-2.12686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,13:06:33.04,2,1,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Quinn, Aidan",1000136538,Left,LEH_MOU,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.27678,0.13057,-2.046866,1841.451469,238.355597,2:00,5.39292,1.42824,6.23487,-30.33344,9.56623,13.41056,2.98566,0.65677,75.92369,-5.561313,0.375196,0.454628,,,,,,,,,,,,-7.52154,5.32189,-1.28183,50,5.38774,3.81032,-120.95221,-0.62572,-11.0931,24.56365,-24.32508,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,78f899a0-2ac8-11f1-b278-cffd3ed194d9,82.90835,,,7.35308,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:06:33.04,2026-03-28T13:06:33.0439168-04:00,2026-03-28T17:06:33.0439168Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,c720a660-b066-4440-8d52-0d1418efd32d,54.26276,-121.81484,12.28182,5.39472,0.22853,-12.16254,-1.42248,4.19988,-5.54655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,13:06:49.37,2,2,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Quinn, Aidan",1000136538,Left,LEH_MOU,Undefined,1,Top,1,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.28314,1.589043,1.070316,2387.444982,68.73202,8:15,5.63968,1.16317,5.69497,-55.52975,-7.30788,-22.48119,2.49369,0.28729,70.3899,-8.545679,-2.956847,0.499797,,,,,,,,,,,,11.80343,-3.79394,-1.23844,50,5.73798,-1.25694,-110.90106,1.30013,14.70811,19.73128,-36.90162,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,82b74270-2ac8-11f1-b278-cffd3ed194d9,75.41552,,,5.89324,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:06:49.37,2026-03-28T13:06:49.3787648-04:00,2026-03-28T17:06:49.3787648Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,7965de09-eee5-4b6c-af9d-43d819a6d227,54.80898,-111.75339,9.86564,5.64739,2.89416,-18.45081,-1.17042,-1.89228,7.35406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,13:07:15.33,2,3,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Quinn, Aidan",1000136538,Left,LEH_MOU,Undefined,1,Top,1,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.93527,-0.146337,0.095685,2480.774516,54.936517,7:45,5.64077,1.045,5.60493,-60.26503,-11.73934,-19.19513,0.48209,-0.46527,70.10654,-11.103514,-3.346742,0.501369,,,,,,,,,,,,9.93288,-5.64689,-1.03991,50,5.58849,0.5131,-111.67217,-2.24545,12.26608,24.25062,-39.14736,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,922db1d0-2ac8-11f1-b278-cffd3ed194d9,75.1791,,,6.82872,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:07:15.33,2026-03-28T13:07:15.3329152-04:00,2026-03-28T17:07:15.3329152Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,3035beda-5eae-4a1d-8cbb-4dbd685b0d5c,54.89782,-112.73076,12.12531,5.64922,-0.53659,-19.57368,-1.05063,-0.02234,6.13304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,13:07:50.45,3,1,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Rogers, Raff",1000272523,Right,LEH_MOU,Undefined,1,Top,2,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.39276,-2.288752,-0.230867,2479.271758,177.010819,12:00,5.5754,0.96661,6.27138,-16.27942,19.46714,-0.94874,2.10775,0.67472,79.77104,-5.43982,-0.402408,0.430317,,,,,,,,,,,,0.41894,11.23249,-0.9491,50,5.39818,0.55465,-128.22887,-5.53497,0.68669,30.35144,-13.76208,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,a71df460-2ac8-11f1-b278-cffd3ed194d9,87.59226,,,8.62172,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:07:50.45,2026-03-28T13:07:50.4580096-04:00,2026-03-28T17:07:50.4580096Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,17786d2b-daee-4db7-a1c6-922fdfffc136,54.225,-129.22504,15.17572,5.57243,-5.08328,-6.88104,-0.96694,0.53211,0.34334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,13:08:05.85,3,2,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Rogers, Raff",1000272523,Right,LEH_MOU,Undefined,1,Top,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.29614,0.381108,-0.674036,2338.995573,68.328146,8:15,5.57112,0.80548,5.50075,-52.71054,-4.57028,-15.77107,1.53505,-1.13923,70.29172,-9.239798,-3.489772,0.499374,,,,,,,,,,,,7.76819,-1.97677,-0.73554,50,5.56886,1.92364,-112.128,-1.00276,9.71634,23.59124,-34.64658,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,b04f5150-2ac8-11f1-b278-cffd3ed194d9,75.47941,,,7.00442,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:08:05.85,2026-03-28T13:08:05.8520576-04:00,2026-03-28T17:08:05.8520576Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,caf5362d-3e5a-49cb-b312-0cd363b73b64,54.9989,-113.17485,11.79562,5.57924,0.53468,-17.32329,-0.81133,1.49247,4.85817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,13:08:23.37,3,3,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Rogers, Raff",1000272523,Right,LEH_MOU,Undefined,1,Top,2,1,1,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.78942,-1.714445,-1.046519,2591.677392,167.238678,11:30,5.5688,1.05487,6.2145,-20.00135,14.95875,-3.14051,2.31911,-0.17272,81.37376,-5.49603,-1.613652,0.425557,74.35748,16.749104,169.275001,2150.864626,-109.0139,15.56061,14.69513,171.8534,50.1786,174.163896,1.997593,1.35032,8.57886,-0.97489,50,5.43025,2.48013,-129.02578,-4.44889,2.27673,26.7983,-17.70959,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,bab81cd0-2ac8-11f1-b278-cffd3ed194d9,88.57201,16.71821,,7.41566,,,,2.04801,2.38182,0.14456,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:08:23.37,2026-03-28T13:08:23.3750016-04:00,2026-03-28T17:08:23.3750016Z,LineDrive,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,ef38e6f3-4c72-406a-9917-5024ae8d756c,54.28467,-129.91265,13.39915,5.56778,-3.86281,-8.8548,-1.05572,2.40479,1.13837,258.243215,2.04801,-102.60659,11.45614,-2.40851,0.46817,-0.09065,0.01922,-0.00342,0.00032,2.38181,31.42849,-18.26319,1.32487,-0.25841,0.06583,-0.0238,0.00743,-0.00101,0.14456,19.43396,-7.80908,1.7468,-0.36498,0.05945,-0.00282,-0.00215,0.00047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-03-28,13:08:46.14,3,4,"Schultz, Jacob",1000078166,Right,BUC_BIS,"Rogers, Raff",1000272523,Right,LEH_MOU,Undefined,1,Top,2,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.94504,0.104723,-0.060269,2412.784587,41.488649,7:30,5.72,0.77198,5.39016,-62.99606,-15.28111,-15.03005,0.56848,-0.53701,70.93612,-11.295533,-2.745725,0.497163,,,,,,,,,,,,7.65233,-7.46689,-0.75528,50,5.68414,0.69249,-113.08578,-1.95398,9.68176,25.03918,-41.62121,BUC_BIS,LEH_MOU,DepewField,D1,PAT,20260328-DepewField-1,c84f9300-2ac8-11f1-b278-cffd3ed194d9,75.81507,,,7.00892,,,,,,,3f6f172d-da71-4fef-b5b6-f304cdc6a1cc,2026-03-28,17:08:46.14,2026-03-28T13:08:46.1412864-04:00,2026-03-28T17:08:46.1412864Z,,v3,471249,471335,1d4843e943ae440ab1d2b345ad81eb29,"Bowne, Deacon",10092421,Right,BUC_BIS,bdbd37b6-282c-400e-b5d9-e890d7df3ad5,55.11257,-114.21218,12.51959,5.72993,-0.08162,-20.81061,-0.77664,0.25695,4.84088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
