PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,18:06:36.59,1,1,"Dillhoff, Parker",804877,Left,UNL_REB,"Fernandes, Alex",801427,Left,SAN_SPA,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.62355,-2.531859,4.94435,2199.866907,118.649977,10:00,5.87988,-2.16276,5.61905,-23.9797,9.06965,-14.69461,1.50835,1.23847,84.9612,-6.957703,2.33186,0.413764,,,,,,,,,,,,8.86083,5.58445,1.74994,50,5.64747,-10.94654,-133.99816,-6.81758,16.15816,28.1537,-21.99052,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,896f8da0-2b0b-11f1-9857-356cbee168bf,91.09641,,,7.66234,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:06:36.59,2026-03-28T18:06:36.5920000-07:00,2026-03-29T01:06:36.5920000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,a9b6ff2d-d3fc-4f16-86c2-3b5e75610bd7,54.88204,-135.02,14.07685,5.88044,-6.01943,-10.99526,2.15789,-11.533,8.07908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,18:06:53.48,1,2,"Dillhoff, Parker",804877,Left,UNL_REB,"Fernandes, Alex",801427,Left,SAN_SPA,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.44239,-2.88279,4.814082,2180.41404,106.967884,9:30,5.85761,-2.28653,5.75395,-26.27533,6.97264,-19.17269,0.97266,0.60771,84.28534,-7.738678,1.392469,0.415006,,,,,,,,,,,,11.30115,4.70047,1.89865,50,5.60134,-10.43153,-133.67677,-7.69791,20.34437,30.19444,-23.71226,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,939b7730-2b0b-11f1-9857-356cbee168bf,90.82393,,,8.15705,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:06:53.48,2026-03-28T18:06:53.4890000-07:00,2026-03-29T01:06:53.4890000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,a1893ca1-9e96-4027-9e30-49cd729b726f,54.74732,-134.74481,15.09722,5.8588,-6.85915,-11.85613,2.28036,-11.15115,10.17219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,18:07:11.35,1,3,"Dillhoff, Parker",804877,Left,UNL_REB,"Fernandes, Alex",801427,Left,SAN_SPA,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.89999,0.553787,3.760118,2661.077955,288.104177,3:30,5.57997,-2.50999,5.3685,-43.6025,-1.33055,9.59615,2.46681,1.82032,74.21318,-7.459946,5.4591,0.467948,,,,,,,,,,,,-3.24205,-0.2789,2.16552,50,5.59988,-8.38168,-120.99341,-0.43017,-4.61127,32.50182,-32.57074,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,9e587d30-2b0b-11f1-9857-356cbee168bf,80.54837,,,9.68681,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:07:11.35,2026-03-28T18:07:11.3510000-07:00,2026-03-29T01:07:11.3510000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,9f15a0d4-06d0-48f4-9270-80f4c40d32fb,55.12276,-122.36177,16.25091,5.58913,0.94109,-16.28537,2.51431,-8.18754,-2.30564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,18:07:30.11,1,4,"Dillhoff, Parker",804877,Left,UNL_REB,"Fernandes, Alex",801427,Left,SAN_SPA,Undefined,1,Top,0,2,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.07148,-2.956852,4.153637,2153.689118,116.952264,10:00,5.86108,-2.25138,5.70274,-23.76824,9.03347,-15.60406,1.11553,0.32537,84.89279,-7.36022,1.369178,0.412211,,,,,,,,,,,,9.21556,5.76957,1.91271,50,5.59753,-9.09259,-134.66845,-7.82613,16.84958,30.43931,-21.62503,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,a96502c0-2b0b-11f1-9857-356cbee168bf,91.43967,,,8.17868,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:07:30.11,2026-03-28T18:07:30.1160000-07:00,2026-03-29T01:07:30.1160000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,28b929c1-05d6-4096-a794-ca69bd3ec2a7,54.79758,-135.74852,15.21966,5.86161,-7.05881,-10.81252,2.24595,-9.69046,8.42479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,18:07:50.22,1,5,"Dillhoff, Parker",804877,Left,UNL_REB,"Fernandes, Alex",801427,Left,SAN_SPA,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.23673,0.369163,2.478177,2561.722749,315.766175,4:30,5.88474,-2.03911,5.38572,-57.55704,-10.44902,11.71717,1.43467,1.26161,71.56547,-10.049345,4.563213,0.493991,,,,,,,,,,,,-5.15453,-5.02772,1.80875,50,5.87667,-5.36191,-113.44786,-1.2457,-6.62134,23.53328,-38.6325,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,b5814aa0-2b0b-11f1-9857-356cbee168bf,76.30193,,,6.67126,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:07:50.22,2026-03-28T18:07:50.2270000-07:00,2026-03-29T01:07:50.2270000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,6f54711f-facc-448a-8932-09344c71abb7,55.11631,-114.50426,11.76664,5.89366,0.48849,-19.31625,2.04277,-5.06469,-3.31067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,18:08:08.35,1,6,"Dillhoff, Parker",804877,Left,UNL_REB,"Fernandes, Alex",801427,Left,SAN_SPA,Undefined,1,Top,0,3,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.93368,-2.41399,3.293458,2072.693038,107.606989,9:30,5.82292,-2.26769,5.63457,-26.29986,6.42839,-17.00111,1.37401,-0.60835,85.24195,-7.254673,0.258062,0.411749,,,,,,,,,,,,9.62323,4.21504,1.99881,50,5.60025,-7.00389,-134.72838,-6.66448,17.70169,29.0586,-24.4206,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,c01ac310-2b0b-11f1-9857-356cbee168bf,91.5422,,,7.69172,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:08:08.35,2026-03-28T18:08:08.3520000-07:00,2026-03-29T01:08:08.3520000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,3c91d423-7b08-43c2-8770-ccef12c58703,54.86676,-135.774,14.5293,5.82425,-5.78575,-12.2103,2.2623,-7.64085,8.85084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.70308,,,1.055933,,,,-1.43449,5.11587,-0.64787,75.64815,7.32216,-49.13291,-1.38285,78.314,-5.06582,5.1878,18.22529,-15.32486,-0.71554,-51.24337,5.08746,High,High,High,,,High,High,High
7,2026-03-28,18:08:39.90,2,1,"Dillhoff, Parker",804877,Left,UNL_REB,"Rowles, Peyton",1000423095,Right,SAN_SPA,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.46139,-1.613626,2.422916,2259.56708,110.873598,9:45,5.90123,-2.3086,5.58686,-25.24517,8.0615,-18.18572,2.2889,-1.56018,84.0843,-6.290733,-0.823245,0.415372,,,,,,,,,,,,9.84753,4.90697,2.11219,50,5.74629,-4.82364,-134.043,-4.7111,17.79994,30.73524,-23.30445,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,d2e89ad0-2b0b-11f1-9857-356cbee168bf,90.74386,,,8.37709,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:08:39.90,2026-03-28T18:08:39.9010000-07:00,2026-03-29T01:08:39.9010000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,36c3bc86-b494-49fd-8ed3-d3066a6fd3ac,54.91083,-135.16434,15.36762,5.90266,-3.86087,-11.65222,2.30002,-5.47304,8.89997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,18:08:57.06,2,2,"Dillhoff, Parker",804877,Left,UNL_REB,"Rowles, Peyton",1000423095,Right,SAN_SPA,Undefined,1,Top,1,1,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.6375,-2.743355,3.824476,2555.683464,186.947224,12:15,5.88442,-2.1976,5.84574,-28.93376,8.07414,0.82756,0.91626,1.4307,79.77633,-8.089613,3.972483,0.437843,,,,,,,,,,,,0.77181,5.31811,1.88549,50,5.64353,-8.51099,-126.82817,-7.04993,1.24131,28.98325,-23.62079,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,dd386010-2b0b-11f1-9857-356cbee168bf,86.0866,,,7.86116,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:08:57.06,2026-03-28T18:08:57.0650000-07:00,2026-03-29T01:08:57.0650000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,19686a56-2f73-4235-82e7-704da7311bf7,54.65489,-127.8875,14.49162,5.88542,-6.1866,-11.81039,2.1974,-8.55637,0.62065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,18:09:18.98,2,3,"Dillhoff, Parker",804877,Left,UNL_REB,"Rowles, Peyton",1000423095,Right,SAN_SPA,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.40701,-2.499131,2.477779,2046.872311,113.37583,9:45,5.86366,-2.25746,5.53941,-25.70395,7.64406,-15.13942,1.38221,-1.20181,84.39285,-7.23637,-0.222878,0.41563,,,,,,,,,,,,8.33347,4.92205,2.05267,50,5.62974,-5.0958,-133.9172,-6.80988,15.08113,29.85337,-23.26661,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,ea471e40-2b0b-11f1-9857-356cbee168bf,90.68758,,,8.01416,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:09:18.98,2026-03-28T18:09:18.9850000-07:00,2026-03-29T01:09:18.9850000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,0c489d62-8d73-42c2-8144-383bf3f32d50,54.95889,-135.01813,14.92669,5.86506,-5.95186,-11.6333,2.25085,-5.65197,7.54057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,18:09:35.30,2,4,"Dillhoff, Parker",804877,Left,UNL_REB,"Rowles, Peyton",1000423095,Right,SAN_SPA,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.56862,-0.976449,3.122265,2334.117971,138.884039,10:45,5.93567,-2.15066,5.95053,-17.44036,15.41162,-12.46331,3.57526,-0.29062,83.79672,-4.29974,0.886988,0.412527,,,,,,,,,,,,7.30083,8.5191,1.90893,50,5.84815,-6.76496,-134.18403,-2.82177,13.19859,31.32639,-16.77308,UNL_REB,SAN_SPA,EarlEWilsonStadium,D1,MW,20260328-EarlEWilsonStadium-1,f40048d0-2b0b-11f1-9857-356cbee168bf,91.36964,,,8.77191,,,,,,,20a0e8cf-da54-4964-8a5b-32b6da5db270,2026-03-29,01:09:35.30,2026-03-28T18:09:35.3030000-07:00,2026-03-29T01:09:35.3030000Z,,v3,471376,471435,310c3ac3363e4fc084db8e2dc601ff17,"Garcia, Ayden",814503,Right,UNL_REB,0ddec3e1-c63c-4a6e-adb8-d07c979b5727,54.54635,-135.24125,15.6632,5.93383,-2.2557,-8.38654,2.14475,-7.21039,6.59929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
