PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,13:05:25.80,1,1,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Ortiz, Andrew",1000127656,Right,IND_SYC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.44758,-3.65432,-2.723953,1964.415989,205.676666,12:45,6.31049,0.9097,6.00701,-12.17965,22.55623,10.20882,1.90142,-0.76517,81.30866,-6.052967,-0.890586,0.42419,,,,,,,,,,,,-6.16414,13.19591,-0.70123,50,6.0163,5.79176,-130.82564,-8.64207,-10.49058,32.23845,-9.71617,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,b29ec5f0-2ad0-11f1-b25f-bf0bf04a3846,88.85743,,,9.13891,,,,,,,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:05:25.80,2026-03-28T13:05:25.8060288-05:00,2026-03-28T18:05:25.8060288Z,,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,b0e718f1-6706-4456-b543-11af45a10e69,54.49069,-131.92761,16.11923,6.30602,-8.30995,-4.85809,-0.90533,6.15035,-5.24529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,13:05:43.08,1,2,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Ortiz, Andrew",1000127656,Right,IND_SYC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,90.10089,-2.465964,-2.480149,1952.749688,207.564871,1:00,6.41223,0.73957,5.9816,-12.19749,22.90422,11.24197,3.10645,-0.62395,80.58399,-4.885896,-0.461588,0.426418,79.55056,-10.283815,-22.087672,,,,,18.69719,7.54543,-18.944496,0.152063,-6.63764,13.0041,-0.54982,50,6.21067,5.1694,-130.42628,-5.89127,-11.17579,33.19873,-10.27911,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,bcec8f60-2ad0-11f1-b25f-bf0bf04a3846,88.3932,3.17745,,9.5169,,,,1.45716,3.17745,0.51506,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:05:43.08,2026-03-28T13:05:43.0801408-05:00,2026-03-28T18:05:43.0801408Z,GroundBall,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,566e5806-55c7-453e-8e80-7afcd750228d,54.51537,-131.57061,16.59937,6.40763,-5.53696,-5.13955,-0.73465,5.55461,-5.58789,180,1.44885,106.7143,,,,,,,,3.17908,-20.89568,,,,,,,,0.51844,-43.30544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2026-03-28,13:08:03.93,2,1,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.9196,-2.123793,-1.514956,1942.381828,213.470019,1:00,6.32132,1.33638,5.90124,-14.02477,20.11048,12.5028,3.17942,0.97157,82.2763,-4.837081,0.728893,0.420507,,,,,,,,,,,,-6.81331,11.26351,-1.22147,50,6.14238,2.93261,-131.82954,-5.25633,-11.87136,30.61719,-12.54881,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,10e17ae0-2ad1-11f1-b25f-bf0bf04a3846,89.63578,,,8.6433,,,,,,,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:08:03.93,2026-03-28T13:08:03.9382528-05:00,2026-03-28T18:08:03.9382528Z,,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,46559847-0fe8-45a4-abaa-e8117e92e197,54.59543,-132.89254,15.3086,6.31731,-4.82064,-6.27441,-1.33045,3.34477,-5.93568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,13:08:24.00,2,2,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,0,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.56775,-0.97556,-0.998818,2309.890377,153.815416,11:15,6.0375,1.51574,5.78522,-28.58817,8.02941,-3.37512,2.74731,0.30513,80.137,-6.273337,-1.603721,0.435528,68.77718,33.903005,-150.461914,4187.32813,-99.21726,28.33238,-47.49632,156.393,57.29543,-156.942239,2.419689,1.45051,4.70973,-1.43131,50,5.93984,2.35608,-127.17899,-3.13553,2.36984,26.68103,-24.47923,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,1cdccd40-2ad1-11f1-b25f-bf0bf04a3846,86.54421,32.01826,,7.43074,,,,1.52808,2.67729,-0.24755,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:08:24.00,2026-03-28T13:08:24.0076800-05:00,2026-03-28T18:08:24.0076800Z,FlyBall,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,27c1b829-13a6-474c-9961-c38f7fbaf8cf,54.71479,-128.1643,13.34052,6.03894,-2.23154,-12.23961,-1.5167,2.26857,1.18492,25.704064,1.52815,-72.84534,3.74322,0.83845,0.09908,-0.29983,0.17925,-0.04717,0.00463,2.67722,56.2689,-30.71028,4.12349,-0.64382,0.00983,0.03373,-0.00684,0.00031,-0.24747,-41.2801,7.64039,-0.75973,0.38447,-0.28226,0.14389,-0.03722,0.00368,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-03-28,13:08:47.90,2,3,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.91946,2.095822,1.742999,2140.770378,102.506935,9:30,6.00393,1.47387,5.92846,-37.7949,5.62532,-18.15072,4.80074,1.57906,72.61694,-4.966967,-1.515064,0.474261,,,,,,,,,,,,9.73441,2.7054,-1.60365,50,6.15084,-2.83389,-117.2326,3.09868,13.29237,26.0495,-28.47981,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,2b21c180-2ad1-11f1-b25f-bf0bf04a3846,79.47613,,,8.30252,,,,,,,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:08:47.90,2026-03-28T13:08:47.9073280-05:00,2026-03-28T18:08:47.9073280Z,,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,1065ecf3-409a-488b-b854-d46efa57fb49,54.56718,-118.24309,13.02475,6.00921,4.20344,-14.2399,-1.48372,-3.34951,6.64618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,13:09:50.81,2,4,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,1,0,,93.00905,-1.999001,-1.771223,2083.064759,213.178007,1:00,6.30128,1.05209,5.91009,-11.13115,22.26859,13.63139,3.51662,0.54351,82.13711,-4.240804,0.674891,0.415952,72.17774,55.032666,-132.860028,4757.92603,,,,,31.81452,,,-7.62126,12.5228,-0.91761,50,6.13471,3.53693,-134.52936,-4.92405,-13.47703,38.71153,-10.02938,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,5096fd40-2ad1-11f1-b25f-bf0bf04a3846,90.61736,41.70463,,10.87194,,,,1.26688,3.64386,-0.60643,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:09:50.81,2026-03-28T13:09:50.8183552-05:00,2026-03-28T18:09:50.8183552Z,,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,67622570-8e38-44bd-afdf-f6b1be65b653,54.58408,-135.84205,19.35577,6.29591,-4.58395,-5.01469,-1.04529,3.99392,-6.73852,22.947468,1.26688,-41.26808,-2.33836,2.55787,-0.84709,0.25913,-0.06957,0.01807,-0.00333,3.64386,86.75046,-35.54218,5.66774,-1.24628,0.25647,-0.04936,0.00994,-0.00124,-0.60643,-44.47192,7.46664,0.05836,-0.21447,0.10565,-0.03041,0.0074,-0.00108,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-03-28,13:10:10.69,2,5,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,1,1,2,Cutter,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,86.42626,-2.391955,-3.251886,1888.215181,253.909774,2:30,6.16128,1.02289,6.77562,-28.63261,8.23682,23.80808,1.58642,0.03451,78.02973,-7.81551,1.094116,0.437023,82.19101,11.194292,23.483655,1347.346454,100.14188,10.87274,45.51455,185.29807,155.45687,26.009327,1.76963,-13.81032,5.54036,-0.8193,50,5.99435,6.27374,-125.34336,-6.03165,-21.53114,30.06329,-23.53628,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,5c6d3b70-2ad1-11f1-b25f-bf0bf04a3846,86.24814,11.18524,,8.39653,,,,3.16062,1.79074,-0.01562,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:10:10.69,2026-03-28T13:10:10.6967040-05:00,2026-03-28T18:10:10.6967040Z,LineDrive,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,b1ed314a-49a9-4cfe-80ca-a61ead5ac9aa,53.72522,-126.23368,15.03165,6.16266,-5.33462,-11.76814,-1.01453,6.91138,-10.76557,229.753758,3.16066,108.45508,-10.10784,0.61424,0.21167,-0.36677,0.19105,-0.03628,0.00087,1.79072,23.40433,-15.30892,1.01414,-0.23535,0.1577,-0.04014,-0.00823,0.00383,-0.01561,47.12167,-0.47159,-0.13087,0.06302,-0.07193,0.03122,-0.00381,-0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-28,13:10:43.05,3,1,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Estrella, Emil",1000275240,Right,IND_SYC,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.34291,1.666224,-0.819447,2389.923304,95.890846,9:15,6.03731,1.34878,6.12885,-40.41112,3.23012,-16.06773,4.2105,-0.74771,72.40458,-5.88032,-3.714752,0.475467,,,,,,,,,,,,7.94004,1.62394,-1.27846,50,6.14439,2.28445,-116.53076,2.14984,10.70912,25.80558,-29.98375,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,6fc2b9c0-2ad1-11f1-b25f-bf0bf04a3846,79.27464,,,7.93833,,,,,,,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:10:43.05,2026-03-28T13:10:43.0577152-05:00,2026-03-28T18:10:43.0577152Z,,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,4f6b4c57-e13c-4bac-8a85-2215ea118b2d,54.36793,-117.49405,12.90279,6.04325,3.2691,-14.99188,-1.35628,1.88469,5.35456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,13:11:00.33,3,2,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Estrella, Emil",1000275240,Right,IND_SYC,Undefined,1,Top,2,1,0,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.28137,-1.770885,-1.394954,2310.382406,156.916072,11:15,6.10696,1.11919,5.92549,-24.67631,12.00544,-4.61815,2.40637,-0.5603,79.92804,-6.374454,-2.224441,0.435909,72.75038,46.287318,37.93863,,78.30729,83.50519,77.25218,223.57382,187.46278,48.624361,4.803163,1.98563,7.01445,-1.00494,50,5.95127,3.27265,-126.72369,-4.70647,3.22275,26.3567,-20.78939,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,7a0622f0-2ad1-11f1-b25f-bf0bf04a3846,86.46851,85.0634,,7.35333,,,,0.90705,2.34342,0.52317,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:11:00.33,2026-03-28T13:11:00.3383296-05:00,2026-03-28T18:11:00.3383296Z,Popup,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,b0a29127-1e3c-436d-879f-b3823f0d985b,54.57399,-127.67147,13.17835,6.10708,-3.95889,-10.3947,-1.12054,3.15677,1.61137,206.355336,0.91101,58.06147,-14.46323,3.10576,0.04177,-0.29539,0.09437,-0.01277,0.00065,2.341,77.16583,-20.54915,1.63925,-0.29472,0.01854,0.01451,-0.0039,0.00029,0.52389,45.31532,-3.88151,0.42038,0.07546,-0.05788,0.01527,-0.00196,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2026-03-28,13:11:38.50,3,3,"Guazzo, Adam",1000115819,Right,VAL_CRU,"Estrella, Emil",1000275240,Right,IND_SYC,Undefined,1,Top,2,1,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.03862,-0.324345,-1.603408,2427.463667,134.586546,10:30,6.12929,1.11247,5.96685,-29.48946,7.29225,-6.23181,3.37099,-0.89389,79.71049,-5.803401,-2.723145,0.436503,,,,,,,,,,,,2.73055,4.2067,-0.98205,50,6.0873,3.79704,-126.41249,-1.69421,4.41529,25.94119,-25.37188,VAL_CRU,IND_SYC,EmoryGBauerField,D1,MVC,20260328-EmoryGBauerField-1,90c9c5f0-2ad1-11f1-b25f-bf0bf04a3846,86.35089,,,7.32813,,,,,,,f5202fc8-7782-4052-9d55-5668815da79d,2026-03-28,18:11:38.50,2026-03-28T13:11:38.5049088-05:00,2026-03-28T18:11:38.5049088Z,,v3,471476,471319,c5da5cbf4cc044b29391d946086f6780,"Riley, Eli",1000329817,Right,VAL_CRU,c980d3aa-6773-47d2-a68d-4ab550692c0f,54.53112,-127.33893,12.9706,6.13162,-0.7881,-12.68594,-1.11484,3.63936,2.20764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
