PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:06:35.41,1,1,"DeGondea, Carter",831999,Left,GEO_EAG,"Piasecki, Aaron",1000189116,Left,TRO_TRJ,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.64133,0.42702,1.690749,2148.161997,141.278749,10:45,5.34568,-1.61718,5.59109,-20.58757,14.70005,-10.86304,4.02896,-0.94324,81.47384,-3.445299,-0.24694,0.427546,,,,,,,,,,,,5.93969,7.6465,1.47908,50,5.36913,-3.34822,-130.05831,0.29225,10.13998,28.12155,-19.1203,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,dc20d760-2ad0-11f1-8b20-0d062610b3ce,88.16003,,,8.16749,,,,,,,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:06:35.41,2026-03-28T14:06:35.4122240-04:00,2026-03-28T18:06:35.4122240Z,,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,59ffb8fb-cb49-4cb8-96c0-df4e3d6e8149,54.90638,-131.11489,14.06077,5.34466,1.01063,-9.56015,1.61204,-3.7292,5.06999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,14:06:55.55,1,2,"DeGondea, Carter",831999,Left,GEO_EAG,"Piasecki, Aaron",1000189116,Left,TRO_TRJ,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.27144,-0.078908,1.758967,2034.54574,124.040391,10:15,5.0787,-1.67698,5.69165,-27.54521,9.61823,-12.40418,2.70969,-1.07079,79.3389,-5.207132,-0.458917,0.438762,,,,,,,,,,,,6.7993,5.28154,1.53687,50,5.05502,-3.35576,-126.63452,-1.10981,10.97401,27.32477,-23.64971,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,e821cf10-2ad0-11f1-8b20-0d062610b3ce,85.90625,,,7.93254,,,,,,,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:06:55.55,2026-03-28T14:06:55.5569152-04:00,2026-03-28T18:06:55.5569152Z,,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,a29617ee-d1eb-45b5-8347-8824802bfc1a,54.80684,-127.66751,13.66239,5.08008,-0.21576,-11.82486,1.67158,-3.77063,5.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:07:16.59,1,3,"DeGondea, Carter",831999,Left,GEO_EAG,"Piasecki, Aaron",1000189116,Left,TRO_TRJ,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.75338,-0.7932,4.255364,2138.1828,116.812345,10:00,5.19358,-1.65093,5.74419,-27.01159,9.11587,-15.54261,2.20199,1.02324,80.38358,-5.824554,1.482263,0.432603,,,,,,,,,,,,9.16827,5.25473,1.30599,50,5.11111,-8.88018,-128.46214,-2.70827,15.18202,28.86018,-23.4726,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,f4a9d110-2ad0-11f1-8b20-0d062610b3ce,87.1293,,,8.36979,,,,,,,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:07:16.59,2026-03-28T14:07:16.5981184-04:00,2026-03-28T18:07:16.5981184Z,,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,fd0acb25-1b53-46af-85e7-7000c483818d,54.7543,-129.52584,14.43009,5.19499,-1.84315,-11.7363,1.6436,-9.43974,7.59101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,14:07:37.40,1,4,"DeGondea, Carter",831999,Left,GEO_EAG,"Piasecki, Aaron",1000189116,Left,TRO_TRJ,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.53959,-1.121027,1.331841,2111.810635,127.389998,10:15,5.19103,-1.7949,5.79378,-24.57241,11.34284,-13.29076,2.10012,-1.66334,80.68557,-5.71002,-1.050321,0.431331,,,,,,,,,,,,7.27886,6.46331,1.69379,50,5.08408,-2.44507,-128.56275,-3.32943,12.10872,28.15887,-21.42201,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,010a74f0-2ad1-11f1-8b20-0d062610b3ce,87.38634,,,7.85402,,,,,,,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:07:37.40,2026-03-28T14:07:37.4020096-04:00,2026-03-28T18:07:37.4020096Z,,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,58b1d91b-cf16-4b78-a696-8c4c5172fd44,54.70777,-129.58978,14.07944,5.19127,-2.54811,-10.71101,1.79102,-2.8867,6.05436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,14:07:58.29,1,5,"DeGondea, Carter",831999,Left,GEO_EAG,"Piasecki, Aaron",1000189116,Left,TRO_TRJ,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,88.49057,-0.561844,1.653817,2120.247611,150.905462,11:00,5.27251,-1.7023,5.75823,-23.173,13.11426,-6.58335,2.81821,-0.71106,79.92903,-4.922805,0.475461,0.433559,104.3791,14.629857,31.110368,1900.902269,91.22841,22.95031,61.4599,243.56856,215.0726,38.294737,2.390265,3.89327,7.23028,1.56931,50,5.21206,-3.42573,-128.337,-2.01016,6.40694,29.85276,-20.27559,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,0d829870-2ad1-11f1-8b20-0d062610b3ce,86.93721,24.06919,,8.56154,,,,1.97926,2.92546,0.68795,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:07:58.29,2026-03-28T14:07:58.2936576-04:00,2026-03-28T18:07:58.2936576Z,LineDrive,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,da301552-79d3-43d0-a687-222c23d27e48,54.74028,-129.43495,14.92638,5.27227,-1.26445,-10.1378,1.69964,-3.66137,3.20347,239.014758,1.97936,126.81436,-33.06774,8.64341,-1.79828,0.09463,0.12498,-0.04698,0.00554,2.92537,38.67236,-18.72829,1.13651,-0.40258,0.37642,-0.21013,0.05752,-0.00616,0.68791,76.53746,-7.66756,1.008,-0.18829,0.15041,-0.08742,0.02443,-0.00265,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-28,14:08:45.56,2,1,"DeGondea, Carter",831999,Left,GEO_EAG,"Pyne, Josh",695635,Right,TRO_TRJ,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.28296,1.118295,0.977025,1555.607461,103.197411,9:30,4.93978,-1.71937,5.69225,-41.42483,4.26087,-12.38808,2.53023,-1.84105,72.09178,-6.500939,-1.239075,0.486476,,,,,,,,,,,,6.55351,2.28898,1.64512,50,5.00783,-1.47066,-113.75582,0.89804,8.62812,19.94099,-29.16046,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,29ba1b30-2ad1-11f1-8b20-0d062610b3ce,77.48055,,,6.19118,,,,,,,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:08:45.56,2026-03-28T14:08:45.5689216-04:00,2026-03-28T18:08:45.5689216Z,,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,3cf14eb3-4464-4603-8842-e96e71150dbe,54.80865,-114.59566,9.9705,4.94415,2.12617,-14.58023,1.71471,-1.83405,4.31406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:09:04.80,2,2,"DeGondea, Carter",831999,Left,GEO_EAG,"Pyne, Josh",695635,Right,TRO_TRJ,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.18899,1.734328,1.578366,1608.266942,92.968551,9:00,4.90267,-1.60542,5.75238,-44.34896,2.23445,-18.48383,2.82258,-1.67601,71.54384,-6.403911,-1.73063,0.491233,,,,,,,,,,,,9.80465,1.11665,1.48583,50,5.01943,-2.41165,-112.23383,2.00299,12.65655,18.02222,-30.73258,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,35384e50-2ad1-11f1-8b20-0d062610b3ce,76.73034,,,5.64515,,,,,,,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:09:04.80,2026-03-28T14:09:04.8096768-04:00,2026-03-28T18:09:04.8096768Z,,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,b1491458-8fc4-445b-a0d4-c0a039c4675b,54.75067,-112.9941,9.01111,4.90759,3.29946,-15.36629,1.59883,-2.94557,6.32827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,14:09:25.18,2,3,"DeGondea, Carter",831999,Left,GEO_EAG,"Pyne, Josh",695635,Right,TRO_TRJ,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.05164,-0.73331,2.391569,2071.372584,147.357436,11:00,5.2773,-1.50438,5.88862,-17.26454,18.27438,-10.92422,3.15704,-0.19273,80.63336,-4.037855,0.433132,0.429065,,,,,,,,,,,,6.28406,9.91406,1.31764,50,5.20824,-4.92339,-129.15046,-2.14599,10.52527,28.99357,-15.56888,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,41524c40-2ad1-11f1-8b20-0d062610b3ce,87.84777,,,8.41828,,,,,,,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:09:25.18,2026-03-28T14:09:25.1893248-04:00,2026-03-28T18:09:25.1893248Z,,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,e9531999-d489-4e61-9a23-0b6eceb5cf10,54.60892,-130.18102,14.49679,5.27469,-1.59261,-7.78444,1.49929,-5.2975,5.26264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,14:09:44.80,2,4,"DeGondea, Carter",831999,Left,GEO_EAG,"Pyne, Josh",695635,Right,TRO_TRJ,Undefined,1,Top,0,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.04232,-1.28816,2.644025,2201.498831,133.170332,10:30,5.28383,-1.42671,5.6848,-21.04159,13.36505,-13.19576,2.32818,-0.06007,83.13107,-5.203891,0.286877,0.422175,77.28291,77.866806,78.434139,,,,,,93.6457,,,7.42819,7.42906,1.21271,50,5.16207,-5.48308,-130.80206,-3.65632,13.00677,24.82726,-19.16572,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,4cff5790-2ad1-11f1-8b20-0d062610b3ce,89.28159,75.55806,,6.91125,,,,2.73845,2.32745,0.0549,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:09:44.80,2026-03-28T14:09:44.8030720-04:00,2026-03-28T18:09:44.8030720Z,,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,a08da2bc-d725-4db0-b9d7-e13919608ad3,54.81755,-131.7133,12.41363,5.28336,-2.95288,-9.58286,1.42272,-5.96047,6.50339,192.586569,2.73845,4.77659,-12.74402,5.23322,-1.52759,0.4035,-0.10168,0.02183,-0.00283,2.32745,110.81608,-32.81867,4.53692,-0.77446,0.10291,-0.00972,-0.00029,0.00019,0.0549,23.34032,0.0071,-0.87966,0.37107,-0.11751,0.03313,-0.0077,0.00103,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-03-28,14:10:14.61,2,5,"DeGondea, Carter",831999,Left,GEO_EAG,"Pyne, Josh",695635,Right,TRO_TRJ,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,78.88627,-0.030115,2.243158,1671.175799,99.892538,9:15,4.89333,-1.60385,5.85581,-40.6742,4.41666,-16.94442,1.47581,-0.93063,72.21337,-7.54035,-0.797967,0.483299,68.97509,59.097779,32.118203,,73.82046,69.54007,81.55081,139.38459,72.65925,48.585016,4.825881,9.38052,2.66335,1.4319,50,4.86696,-3.86285,-114.54839,-1.3235,12.41038,22.00314,-28.65044,GEO_EAG,TRO_TRJ,GeorgiaSouthern,D1,SBELT,20260328-GeorgiaSouthern-1,5ece35e0-2ad1-11f1-8b20-0d062610b3ce,77.98992,92.35369,,6.6729,,,,2.42482,1.73791,0.93018,17e400d2-183a-4ca0-a11c-100470f5cfa6,2026-03-28,18:10:14.61,2026-03-28T14:10:14.6113024-04:00,2026-03-28T18:10:14.6113024Z,Popup,v3,471303,471470,15e2cd04bd9b40cb873ad4e8a90f8f20,"Edwards, Bennett",838125,Right,GEO_EAG,e4d65938-8b29-43ed-a45c-113ef51e7caf,54.64581,-115.43733,11.00157,4.89705,-0.166,-14.32522,1.59809,-4.36424,6.20519,201.142978,2.42112,44.03271,-16.04292,4.60038,-0.42328,-0.29795,0.13674,-0.02265,0.00135,1.72723,87.03672,-25.7676,4.02276,-1.58518,0.5333,-0.10193,0.00927,-0.0003,0.92787,27.68383,-1.48427,0.22732,-0.38793,0.25153,-0.07588,0.01104,-0.00062,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
