PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:03:44.15,1,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Becker, Eric",806027,Left,VIR_CAV,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.15339,-0.863379,3.481863,2152.337684,121.311005,10:00,5.20711,-1.78759,5.92056,-21.97824,15.24501,-22.88104,2.57285,-0.45927,78.70528,-5.029074,-0.62044,0.439115,91.6198,10.832184,15.930397,7062.843334,105.3012,7.0412,31.80559,145.40225,145.40225,17.037038,1.275556,12.80859,8.46103,1.52162,50,5.12554,-6.73353,-126.29978,-2.56921,20.43911,28.6279,-18.6725,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,75fe24b0-2ad0-11f1-9af1-2f5ccb36e4e6,85.83726,9.52089,,8.44811,,,,1.18324,2.55819,0.43946,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:03:44.15,2026-03-28T14:03:44.1573376-04:00,2026-03-28T18:03:44.1573376Z,LineDrive,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,66a270ba-6c70-4ebe-b057-b32d4540a5b0,54.57784,-127.33319,14.31395,5.20612,-1.89516,-9.33625,1.77801,-7.47134,10.21956,333.173671,1.18324,126.9127,-17.51313,2.84925,-1.17996,1.28589,-1.13682,0.53028,-0.09988,2.5582,25.25352,-24.36579,3.05451,-1.38561,1.82531,-1.71381,0.82449,-0.15824,0.43945,36.22503,-2.51332,-0.03372,0.91152,-2.17764,2.21969,-1.08911,0.21077,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-03-28,14:04:11.36,2,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.96551,1.028794,1.984495,2132.124477,139.031881,10:45,5.29483,-1.8557,5.87135,-18.17273,19.20643,-15.55135,4.73669,-1.30763,78.41188,-2.462035,-0.803241,0.440034,,,,,,,,,,,,8.44607,9.82583,1.70352,50,5.36751,-3.69347,-126.08925,1.77148,13.45096,28.21208,-16.52573,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,86365d70-2ad0-11f1-9af1-2f5ccb36e4e6,85.65806,,,8.55362,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:04:11.36,2026-03-28T14:04:11.3619968-04:00,2026-03-28T18:04:11.3619968Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,2918e57d-1a97-43bb-91a2-770848dd274c,54.62298,-127.11942,14.10604,5.29181,2.37492,-8.26286,1.84735,-4.18464,6.72548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:04:31.89,2,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,1,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.30092,-1.765004,3.490905,2076.267042,131.578202,10:30,5.18939,-1.69397,5.91953,-21.44974,16.54276,-16.81103,1.76044,0.14867,77.18446,-5.882754,0.47757,0.443629,,,,,,,,,,,,9.84611,9.56701,1.42333,50,5.03598,-6.96163,-126.10177,-4.50843,15.30409,33.9251,-17.30374,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,92728960-2ad0-11f1-9af1-2f5ccb36e4e6,84.96382,,,10.11646,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:04:31.89,2026-03-28T14:04:31.8918656-04:00,2026-03-28T18:04:31.8918656Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,e60c5df7-c994-4296-a5b6-136708dcd435,54.57264,-127.326,16.96255,5.18741,-3.884,-8.65187,1.68451,-7.5139,7.65205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,14:04:43.43,2,3,"Mudd, Tyler",809052,Left,BOC_EAG,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.69506,-3.122976,2.786675,1719.742849,154.469277,11:15,5.89254,-0.96828,5.59203,-23.50041,19.48285,-8.40882,1.01186,0.93499,73.24482,-7.593918,1.287272,0.471868,,,,,,,,,,,,5.29961,11.55709,0.7346,50,5.60958,-5.45132,-119.28839,-7.18869,7.36209,30.61318,-16.1192,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,995d0390-2ad0-11f1-9af1-2f5ccb36e4e6,79.87912,,,9.45024,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:04:43.43,2026-03-28T14:04:43.4339328-04:00,2026-03-28T18:04:43.4339328Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,43bf49c4-e83d-451f-a85a-3f63029ca087,54.89929,-120.53915,15.30659,5.88984,-6.53012,-8.0596,0.96347,-5.75211,3.68105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,14:04:57.04,2,4,"Mudd, Tyler",809052,Left,BOC_EAG,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,1,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.60782,-0.094868,3.003922,2244.489834,177.661828,12:00,5.10428,-1.83399,5.47852,-42.21676,6.2926,-0.14756,1.49733,0.96704,67.80241,-8.038208,2.977672,0.501284,,,,,,,,,,,,1.62575,3.99921,1.57024,50,5.06911,-5.99441,-114.35284,-1.56602,1.98646,36.1585,-27.28758,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,a17a5870-2ad0-11f1-9af1-2f5ccb36e4e6,75.19174,,,11.80541,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:04:57.04,2026-03-28T14:04:57.0450944-04:00,2026-03-28T18:04:57.0450944Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,d0569ef2-80f7-4097-85f3-135633c281e5,55.00243,-115.92382,18.07925,5.1114,-0.38045,-13.64379,1.83256,-6.08072,0.99323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,14:05:09.79,2,5,"Mudd, Tyler",809052,Left,BOC_EAG,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,1,3,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.61999,1.036271,3.203772,2344.027174,260.092219,2:45,5.12697,-1.99279,5.39928,-44.84873,2.17764,0.43185,2.36226,1.04851,69.98405,-7.269393,3.280413,0.493563,,,,,,,,,,,,1.10047,1.34508,1.70661,50,5.18928,-6.44445,-114.80148,0.54778,1.40405,29.94466,-30.45794,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,a9149aa0-2ad0-11f1-9af1-2f5ccb36e4e6,76.3681,,,9.63594,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:05:09.79,2026-03-28T14:05:09.7998848-04:00,2026-03-28T18:05:09.7998848Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,8f3df74c-a9c6-4be7-917a-a79e1113ff5e,55.08967,-116.12148,14.97233,5.13555,1.8904,-15.22897,1.99206,-6.50634,0.70202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:05:24.97,2,6,"Mudd, Tyler",809052,Left,BOC_EAG,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.93986,-3.146112,2.576383,2108.377529,157.814587,11:15,5.78599,-0.83518,6.03275,-14.9054,22.76182,-8.57386,1.62463,0.83772,77.05477,-6.110366,1.035472,0.441726,,,,,,,,,,,,5.38441,13.36831,0.63808,50,5.53182,-5.32808,-126.8476,-7.29048,8.38757,36.541,-11.34953,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,b2250210-2ad0-11f1-9af1-2f5ccb36e4e6,85.3299,,,10.88509,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:05:24.97,2026-03-28T14:05:24.9778176-04:00,2026-03-28T18:05:24.9778176Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,64b19982-e916-49ec-806f-7c347d1af442,54.45533,-128.12462,18.2705,5.77968,-6.89384,-5.67476,0.82941,-5.6212,4.19378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,14:05:56.66,3,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Harris, Sam",806117,Left,VIR_CAV,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.24546,0.434435,4.675312,2262.803445,123.807984,10:15,5.13957,-2.28445,5.50472,-43.76207,5.41642,-3.98335,1.9004,1.76585,67.28423,-7.794766,3.968981,0.50473,,,,,,,,,,,,4.38988,3.34567,1.87799,50,5.15029,-9.11363,-113.57342,-0.56491,5.28523,35.8568,-28.14601,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,c5085da0-2ad0-11f1-9af1-2f5ccb36e4e6,74.67842,,,11.96123,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:05:56.66,2026-03-28T14:05:56.6694400-04:00,2026-03-28T18:05:56.6694400Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,8acfeb8b-ef1f-4ccf-8c4d-694914fd13d9,54.97441,-115.13321,17.9284,5.14823,0.65945,-14.07301,2.27944,-9.34354,2.64261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,14:06:12.08,3,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Harris, Sam",806117,Left,VIR_CAV,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.69174,-1.14139,2.105605,2108.315454,153.663232,11:00,5.86911,-1.24617,5.84511,-10.7539,29.8884,-13.75642,3.91141,-0.43493,73.41546,-3.443101,-0.358719,0.458839,,,,,,,,,,,,7.80957,16.09395,1.08201,50,5.76988,-3.90771,-123.44579,-2.52523,11.29277,38.90789,-8.90192,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,ce293fd0-2ad0-11f1-9af1-2f5ccb36e4e6,82.14738,,,12.27628,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:06:12.08,2026-03-28T14:06:12.0822272-04:00,2026-03-28T18:06:12.0822272Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,68e7d12c-95d2-4285-87b3-24b9963eb860,54.63683,-124.89869,19.45394,5.85797,-2.19282,-4.45096,1.2358,-4.32941,5.64638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,14:06:28.89,3,3,"Mudd, Tyler",809052,Left,BOC_EAG,"Harris, Sam",806117,Left,VIR_CAV,Undefined,1,Top,1,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.2657,-1.262898,3.491788,2052.733576,118.614071,10:00,5.1834,-2.2383,5.7053,-23.30832,15.08556,-24.59147,2.06197,-1.03014,76.95332,-5.707687,-0.900617,0.445967,,,,,,,,,,,,13.67599,8.58693,1.96028,50,5.06346,-6.58463,-126.02405,-3.50055,21.18511,34.37623,-18.87226,BOC_EAG,VIR_CAV,HarringtonVillage,D1,ACC,20260328-HarringtonVillage-1,d82fa000-2ad0-11f1-9af1-2f5ccb36e4e6,84.51851,,,10.31239,,,,,,,a238c48c-0fd0-47e7-8cb6-97ad12dc4a0f,2026-03-28,18:06:28.89,2026-03-28T14:06:28.8904704-04:00,2026-03-28T18:06:28.8904704Z,,v3,227,471482,26577,"Johnson, Gunnar",1000100233,Right,BOC_EAG,f512cab9-7b6f-41fa-89ef-b52e3acabbd5,54.78731,-127.32321,17.18811,5.18228,-2.78732,-9.43613,2.22426,-7.38526,10.59256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
