PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,15:02:40.23,1,1,"Rossow, David",701455,Right,CAM_CAM,"Amman, Jacob",1000239957,Left,COL_CHA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.20547,-3.037239,-5.401759,2371.656956,218.336669,1:15,5.83571,2.65368,5.56053,-14.06698,17.71651,13.11564,1.81046,-1.31519,86.12045,-5.723375,-3.07827,0.405763,,,,,,,,,,,,-8.20981,10.1728,-2.19455,50,5.56301,12.3575,-137.34063,-7.75432,-15.55994,32.60785,-12.89366,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,b1aa0c10-2ad8-11f1-8f3f-799140f056ff,92.89281,,,9.08502,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:02:40.23,2026-03-28T15:02:40.2320384-04:00,2026-03-28T19:02:40.2320384Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,3cfb7641-cf77-4bd5-8323-c3d30873af8f,54.93788,-138.50803,16.30392,5.83236,-7.29271,-6.44683,-2.64693,12.91457,-7.77997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,15:02:54.20,1,2,"Rossow, David",701455,Right,CAM_CAM,"Amman, Jacob",1000239957,Left,COL_CHA,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.83468,-3.323991,-4.1576,2350.46833,231.282036,1:45,5.82526,2.78376,5.64864,-19.59627,12.70064,14.50776,1.08008,0.10789,85.67266,-6.977629,-1.572967,0.409027,,,,,,,,,,,,-8.56953,7.7089,-2.4401,50,5.52993,9.20969,-135.72171,-8.58751,-15.95668,30.18426,-17.81989,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,b9f4b280-2ad8-11f1-8f3f-799140f056ff,92.1515,,,8.16202,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:02:54.20,2026-03-28T15:02:54.2032384-04:00,2026-03-28T19:02:54.2032384Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,5fe04fd0-0080-4ff6-99f8-7d326f8f9082,54.85257,-136.79665,15.09213,5.82446,-7.95289,-8.90994,-2.7782,9.77795,-7.97834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,15:03:08.72,1,3,"Rossow, David",701455,Right,CAM_CAM,"Amman, Jacob",1000239957,Left,COL_CHA,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.10441,-4.206555,-4.541134,2324.668923,238.811404,2:00,5.82715,2.8865,5.61412,-20.77974,11.43005,17.12434,0.14982,0.06612,86.09369,-8.055288,-1.4928,0.408475,,,,,,,,,,,,-10.04445,7.2952,-2.50949,50,5.45273,10.03106,-135.94101,-10.77518,-18.78007,30.0365,-18.53423,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,c299adf0-2ad8-11f1-8f3f-799140f056ff,92.27601,,,8.01072,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:03:08.72,2026-03-28T15:03:08.7242240-04:00,2026-03-28T19:03:08.7242240Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,63ffc0b1-7dc5-4279-9a5d-ab67fb1920db,54.88843,-137.01686,15.01825,5.82679,-10.11132,-9.26711,-2.88083,10.70372,-9.39004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,15:03:25.06,1,4,"Rossow, David",701455,Right,CAM_CAM,"Amman, Jacob",1000239957,Left,COL_CHA,Undefined,1,Top,0,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,95.82321,-3.40826,-4.572085,2360.296365,238.89505,2:00,5.75948,2.76048,5.72016,-17.54217,13.70753,20.81367,1.10891,0.22695,86.44531,-6.722707,-0.861001,0.402341,,,,,,,,,,,,-12.02509,8.37595,-2.39075,50,5.46281,10.09297,-138.38525,-8.85964,-23.01734,34.60927,-16.14162,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,cc5b15e0-2ad8-11f1-8f3f-799140f056ff,93.6828,,,9.3779,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:03:25.06,2026-03-28T15:03:25.0629632-04:00,2026-03-28T19:03:25.0629632Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,657d58e1-6323-4e6d-87e7-55bc8f19047b,54.78003,-139.57558,17.30463,5.75797,-8.30447,-8.07081,-2.75149,10.88461,-11.50867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,15:03:53.62,2,1,"Rossow, David",701455,Right,CAM_CAM,"Berini, Jackson",10064238,Left,COL_CHA,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.00281,-1.531242,-4.123859,1908.002725,208.540647,1:00,5.75124,2.94829,5.39836,-30.93576,6.81567,3.06201,1.73423,-0.66781,79.8566,-7.188504,-3.581176,0.44222,,,,,,,,,,,,-2.69063,4.19059,-2.58212,50,5.59256,8.95214,-125.98144,-4.49541,-4.32703,25.43587,-25.43474,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,dd6803c0-2ad8-11f1-8f3f-799140f056ff,85.23462,,,7.14621,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:03:53.62,2026-03-28T15:03:53.6203776-04:00,2026-03-28T19:03:53.6203776Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,732b9ef4-386b-4d2d-8c48-ca382fdc34b3,55.10279,-127.00752,12.71794,5.75321,-3.46938,-12.71737,-2.94677,9.1267,-2.16352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,15:04:12.16,2,2,"Rossow, David",701455,Right,CAM_CAM,"Berini, Jackson",10064238,Left,COL_CHA,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.54582,-2.789404,-4.935691,2279.534965,238.652681,2:00,5.75902,2.84681,5.62446,-19.43367,12.31505,18.5421,1.52478,-0.22533,86.50493,-6.411295,-1.638872,0.405541,,,,,,,,,,,,-10.75646,7.3063,-2.43738,50,5.50779,10.95771,-136.73568,-7.37658,-20.41601,29.43494,-18.30655,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,e87329c0-2ad8-11f1-8f3f-799140f056ff,92.94367,,,8.04089,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:04:12.16,2026-03-28T15:04:12.1620480-04:00,2026-03-28T19:04:12.1620480Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,d5f20029-f176-4216-a241-a7df132d29a2,54.87751,-137.78165,14.71747,5.75835,-6.72605,-9.15327,-2.83965,11.6832,-10.20801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,15:04:31.17,2,3,"Rossow, David",701455,Right,CAM_CAM,"Berini, Jackson",10064238,Left,COL_CHA,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.18155,-0.171243,-1.995273,2049.583387,251.349985,2:30,5.6272,2.89347,5.67485,-33.4277,8.55548,21.1582,2.68181,2.79571,74.79078,-6.367256,1.788251,0.466347,,,,,,,,,,,,-11.28331,4.82831,-2.7384,50,5.59194,3.29192,-119.24527,-1.44923,-16.12661,24.50922,-25.27323,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,f3cf07d0-2ad8-11f1-8f3f-799140f056ff,80.82492,,,7.39077,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:04:31.17,2026-03-28T15:04:31.1736832-04:00,2026-03-28T19:04:31.1736832Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,dc9e6621-e849-435b-bca7-f11a0a055b62,54.8252,-120.23293,12.25461,5.62982,-0.43078,-12.63661,-2.88415,3.94178,-8.06331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,15:04:52.85,2,4,"Rossow, David",701455,Right,CAM_CAM,"Berini, Jackson",10064238,Left,COL_CHA,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.87796,-3.409407,-5.230629,2325.270981,235.559025,1:45,5.81698,2.8926,5.43082,-18.06603,14.75241,19.81107,1.10123,-0.36893,85.06161,-6.798898,-1.723464,0.412316,,,,,,,,,,,,-11.56686,8.78638,-2.44221,50,5.50109,11.47205,-135.45068,-8.73202,-21.32939,31.6389,-15.97193,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,00b4ba30-2ad9-11f1-8f3f-799140f056ff,91.41632,,,8.81635,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:04:52.85,2026-03-28T15:04:52.8574464-04:00,2026-03-28T19:04:52.8574464Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,c61e22e4-ba9d-4711-9355-75e5a014c972,55.07015,-136.62985,15.81945,5.81543,-8.13676,-7.98596,-2.88458,12.26698,-10.66469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,15:05:12.40,2,5,"Rossow, David",701455,Right,CAM_CAM,"Berini, Jackson",10064238,Left,COL_CHA,Undefined,1,Top,0,2,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.39614,-1.257519,-3.921187,2092.807679,168.288505,11:30,5.76629,2.94424,5.39139,-32.23108,5.46752,-0.87091,1.89881,-0.8092,79.64543,-7.158654,-4.075529,0.44191,,,,,,,,,,,,-0.74469,3.44484,-2.59284,50,5.63096,8.70833,-126.50738,-3.9529,-1.19646,27.8802,-26.63939,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,0c59af30-2ad9-11f1-8f3f-799140f056ff,85.29434,,,7.75071,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:05:12.40,2026-03-28T15:05:12.4029440-04:00,2026-03-28T19:05:12.4029440Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,03d25c3b-d0b0-4a66-b8f4-3d3845123d50,55.11025,-127.62863,13.9401,5.76839,-2.88155,-13.3197,-2.94403,8.75645,-0.59823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,15:05:36.52,2,6,"Rossow, David",701455,Right,CAM_CAM,"Berini, Jackson",10064238,Left,COL_CHA,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.62662,-1.879187,-3.734706,2026.777947,183.884054,12:15,5.70058,2.82769,5.45211,-34.69474,5.57429,0.28315,1.0457,-0.65006,76.9958,-8.231624,-3.684408,0.456728,,,,,,,,,,,,-1.31095,3.78732,-2.49784,50,5.5106,7.97966,-122.42745,-5.24275,-1.96623,26.82665,-26.49357,CAM_CAM,COL_CHA,JimPerry,D1,CAA,20260328-JimPerry-1,1ac08350-2ad9-11f1-8f3f-799140f056ff,82.52719,,,7.63082,,,,,,,3293823c-014a-4737-adf1-0bea109f7cff,2026-03-28,19:05:36.52,2026-03-28T15:05:36.5296128-04:00,2026-03-28T19:05:36.5296128Z,,v3,471264,471501,320e206cf2e34aa5a186286113d084ab,"Schuldt, Andrew",810905,Right,CAM_CAM,04a192b2-5ae7-43f6-b0a6-7707cdd12889,55.04751,-123.52852,13.41333,5.70347,-4.15535,-13.24678,-2.82702,8.06036,-0.98312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
