PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,17:06:25.18,1,1,"Olivier, Chris",10112940,Right,LAM_CAR,"Newberry, Preston",1000138958,Left,IWC,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.55876,-3.017722,-1.669897,2150.957248,195.247603,12:30,6.39308,0.93152,5.89211,-10.01875,23.19037,5.9824,2.75248,-0.12087,83.20617,-5.018674,-0.596971,0.414763,76.96943,10.727848,-175.08128,861.131301,,,,,43.01208,,,-3.51213,13.02717,-0.7999,50,6.14316,3.61814,-133.9349,-7.22837,-6.28518,32.92419,-8.86104,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,5d5d64d0-2af2-11f1-80df-13cb6561c1bb,90.87701,10.06254,,9.35259,,,,1.74764,2.96541,-0.08074,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:06:25.18,2026-03-28T17:06:25.1825664-05:00,2026-03-28T22:06:25.1825664Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,6f1d8ea1-7e7e-4a20-83b8-799b34d2066b,54.59883,-135.06066,16.46209,6.38514,-6.92538,-4.43052,-0.92728,3.83304,-3.14259,209.230044,1.7366,-110.16205,14.54628,,,,,,,2.96387,21.06279,-10.44743,,,,,,,-0.0773,-9.61857,-2.99047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
2,2026-03-28,17:06:45.38,1,2,"Olivier, Chris",10112940,Right,LAM_CAR,"Newberry, Preston",1000138958,Left,IWC,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.44393,1.608335,0.843087,2564.143382,91.515411,9:00,6.05737,1.28842,5.55073,-41.23065,1.90583,-15.66347,4.12493,0.77101,73.73798,-5.99056,-1.950976,0.472709,,,,,,,,,,,,8.07071,0.97886,-1.35123,50,6.16988,-1.07938,-118.08722,1.89302,11.26433,24.91396,-30.80785,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,696ed740-2af2-11f1-80df-13cb6561c1bb,79.73709,,,7.70595,,,,,,,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:06:45.38,2026-03-28T17:06:45.3865984-05:00,2026-03-28T22:06:45.3865984Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,0a0dbd9e-aa3e-4ee4-a731-9ca98f28027b,54.94619,-119.1262,12.45698,6.06414,3.17778,-15.40393,-1.29642,-1.54913,5.63217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,17:07:01.76,1,3,"Olivier, Chris",10112940,Right,LAM_CAR,"Newberry, Preston",1000138958,Left,IWC,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.53693,-0.274779,-0.886009,2596.079207,47.671205,7:30,6.12865,1.2032,5.45495,-45.84538,-3.98264,-5.85819,2.05094,-0.11446,75.6368,-8.619104,-1.931104,0.465677,,,,,,,,,,,,2.69606,-1.53437,-1.12091,50,6.07284,2.09346,-119.82042,-2.21671,3.89591,24.45363,-34.3913,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,7334ac00-2af2-11f1-80df-13cb6561c1bb,80.94109,,,6.90013,,,,,,,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:07:01.76,2026-03-28T17:07:01.7616384-05:00,2026-03-28T22:07:01.7616384Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,3943256f-bed5-476c-bf16-d299f424df56,55.04537,-120.84572,12.22681,6.13555,-0.77474,-17.19565,-1.20526,1.93011,1.94795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,17:07:17.21,1,4,"Olivier, Chris",10112940,Right,LAM_CAR,"Newberry, Preston",1000138958,Left,IWC,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.68403,-1.773005,-2.835213,2322.243671,203.315115,12:45,6.52921,0.79426,5.87169,-12.10012,20.78718,8.46591,3.87148,-1.13587,83.86378,-4.135069,-1.31917,0.412749,,,,,,,,,,,,-5.13551,11.4443,-0.56936,50,6.3784,6.26384,-134.29206,-4.45615,-9.30153,31.30414,-11.4459,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,7c67ddb0-2af2-11f1-80df-13cb6561c1bb,91.32058,,,8.82025,,,,,,,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:07:17.21,2026-03-28T17:07:17.2117504-05:00,2026-03-28T22:07:17.2117504Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,943d70da-c33e-4d08-8603-98bf3235103e,54.62405,-135.36566,15.65207,6.52449,-4.0636,-5.72295,-0.78966,6.58284,-4.65076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,17:07:33.04,1,5,"Olivier, Chris",10112940,Right,LAM_CAR,"Newberry, Preston",1000138958,Left,IWC,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.0968,1.450477,-0.116197,2603.365557,38.640289,7:15,5.98424,1.21593,5.45213,-48.93857,-6.53363,-6.34197,3.26421,0.57865,74.84392,-7.477682,-1.246646,0.468684,68.82201,30.371748,-154.051394,4851.158309,-103.84699,22.07609,-36.27393,152.85583,47.46424,-164.399622,2.161345,3.16154,-3.32323,-1.20116,50,6.07845,0.50256,-119.14674,1.25799,4.50837,24.59974,-36.91301,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,85dd2170-2af2-11f1-80df-13cb6561c1bb,80.42193,26.39151,,7.25287,,,,0.07531,3.11668,-0.59808,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:07:33.04,2026-03-28T17:07:33.0425856-05:00,2026-03-28T22:07:33.0425856Z,FlyBall,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,db820d52-bc08-4227-9b74-ecff06c29ef6,55.04843,-120.18455,12.29987,5.99253,2.81526,-18.45651,-1.21835,0.31236,2.25418,,0.07533,-78.3078,2.20715,1.91003,-0.57152,0.17415,-0.05623,0.0154,-0.0022,3.11667,51.03626,-31.86529,4.89796,-1.03623,0.29455,-0.08085,0.01762,-0.00198,-0.59806,-38.10713,10.02384,-0.70955,0.13799,-0.02005,-0.00399,0.00526,-0.00132,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-03-28,17:07:51.77,1,6,"Olivier, Chris",10112940,Right,LAM_CAR,"Newberry, Preston",1000138958,Left,IWC,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.47061,0.009981,-0.084177,2556.810308,76.938347,8:30,6.17732,1.19591,5.28079,-42.66475,-0.61953,-8.37162,2.6313,0.41921,75.68457,-7.750718,-1.572207,0.466691,,,,,,,,,,,,4.16173,0.09874,-1.18189,50,6.14696,0.52873,-119.7345,-1.53306,6.03185,23.46734,-32.03093,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,90fe1960-2af2-11f1-80df-13cb6561c1bb,80.76524,,,6.78603,,,,,,,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:07:51.77,2026-03-28T17:07:51.7720000-05:00,2026-03-28T22:07:51.7720000Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,9240becb-7ba3-43c8-a974-31b3bf6b313e,55.21892,-120.75305,11.73367,6.18333,-0.14283,-16.01547,-1.19915,0.26693,3.01593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.26079,,,0.96377,,,,0.22492,5.239,3.99726,71.29507,8.34467,-53.48534,0.28623,79.41085,-5.91923,5.32431,17.90502,-15.2844,3.87083,-67.65676,8.3917,High,High,High,,,High,Medium,High
7,2026-03-28,17:08:21.15,2,1,"Olivier, Chris",10112940,Right,LAM_CAR,"Cymbalista, Colin",830154,Right,IWC,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.09443,-1.87701,-2.194999,2575.46689,56.819425,8:00,6.1019,1.23216,5.72791,-39.79668,-1.12091,-3.44276,1.03545,-1.10006,78.86064,-9.119667,-2.811857,0.447601,,,,,,,,,,,,1.18311,0.23823,-1.04678,50,5.92037,4.87366,-123.57085,-5.44494,1.83737,23.61394,-31.80407,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,a2805e50-2af2-11f1-80df-13cb6561c1bb,84.20995,,,6.23379,,,,,,,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:08:21.15,2026-03-28T17:08:21.1581952-05:00,2026-03-28T22:08:21.1581952Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,119b4bcc-9057-4011-92d4-4ab078f849f1,54.77362,-124.47973,11.80697,6.10639,-4.22083,-15.90203,-1.23301,4.80294,0.91868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,17:08:37.83,2,2,"Olivier, Chris",10112940,Right,LAM_CAR,"Cymbalista, Colin",830154,Right,IWC,Undefined,1,Top,1,0,1,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,84.50606,-2.265856,-1.696936,2665.14073,50.517644,7:45,6.10169,1.12985,5.5628,-42.27735,-2.64571,-4.6774,0.45971,-0.84573,78.12875,-9.925689,-2.533503,0.453098,,,,,,,,,,,,1.9178,-0.40835,-0.98014,50,5.87777,3.82192,-122.64972,-6.36211,2.9201,24.35052,-32.79578,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,acd94b50-2af2-11f1-80df-13cb6561c1bb,83.18826,,,6.37731,,,,,,,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:08:37.83,2026-03-28T17:08:37.8348544-05:00,2026-03-28T22:08:37.8348544Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,69c18f6f-3aaf-413a-8b7e-df64d8398fb8,54.93889,-123.62638,12.17526,6.10656,-5.04672,-16.39789,-1.13109,3.7048,1.46005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,17:08:53.13,2,3,"Olivier, Chris",10112940,Right,LAM_CAR,"Cymbalista, Colin",830154,Right,IWC,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.84959,-2.347246,-1.797365,1926.593315,230.787049,1:45,5.99827,0.95011,6.11363,-26.09375,12.62056,13.87765,1.65119,0.44416,77.46621,-7.235162,0.705583,0.447824,,,,,,,,,,,,-7.69961,7.5993,-0.81936,50,5.80448,3.32252,-123.12149,-5.83056,-11.75025,25.77066,-20.5769,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,b58e4c50-2af2-11f1-80df-13cb6561c1bb,84.168,,,7.38338,,,,,,,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:08:53.13,2026-03-28T17:08:53.1315712-05:00,2026-03-28T22:08:53.1315712Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,635f4a01-68d6-461e-a05f-bd7093fd454e,54.38517,-124.03596,12.88533,5.99842,-5.1004,-10.28845,-0.94466,3.73947,-5.87513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,17:09:11.33,2,4,"Olivier, Chris",10112940,Right,LAM_CAR,"Cymbalista, Colin",830154,Right,IWC,Undefined,1,Top,1,1,2,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,84.14261,-1.876745,-2.287396,2613.077133,43.222508,7:30,6.017,1.01633,5.55809,-43.8479,-3.67583,-4.65429,0.60751,-1.50982,77.44703,-9.829607,-3.11907,0.456177,,,,,,,,,,,,1.70744,-1.00158,-0.81542,50,5.82545,5.06281,-122.05295,-5.56335,2.56202,25.20678,-33.6769,LAM_CAR,IWC,LamarUniversity,D1,SLAND,20260328-LamarUniversity-2,c06da760-2af2-11f1-80df-13cb6561c1bb,82.62674,,,6.69558,,,,,,,6b7dce75-3e15-459e-b4f9-a9798cffaf86,2026-03-28,22:09:11.33,2026-03-28T17:09:11.3380352-05:00,2026-03-28T22:09:11.3380352Z,,v3,471334,471511,,"Kummer, Theo",821439,Right,LAM_CAR,7c68d384-da3d-4f90-80c8-483b4eb6e8cc,54.94325,-123.06961,12.60339,6.02244,-4.20507,-16.83845,-1.01754,4.95948,1.28101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
