PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:05:12.14,1,1,"Lucas, Jaxon",814823,Right,LIB_FLA,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,90.926,-1.664037,-3.185582,2365.827132,219.800596,1:15,5.90522,1.85597,6.1876,-16.00434,17.45714,13.65438,3.03231,0.04955,83.06666,-4.727283,-0.725755,0.416336,99.96356,29.03258,31.018875,2523.101745,90.03173,57.95281,63.20009,391.41029,327.58347,46.373333,5.191766,-7.97386,9.83193,-1.62248,50,5.7714,6.78439,-131.95391,-4.2851,-14.06122,28.0353,-14.83626,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,aa655d90-2ad0-11f1-807c-4b991a4bc1b1,90.53369,85.08549,,7.85934,,,,1.20365,3.1664,-0.06647,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:05:12.14,2026-03-28T14:05:12.1418240-04:00,2026-03-28T18:05:12.1418240Z,FlyBall,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,417ed6b1-a248-419c-b616-a5b182814959,54.31077,-132.86663,14.01765,5.90304,-3.80208,-7.41813,-1.85081,7.24217,-7.03061,,1.20695,109.79262,-25.69839,5.71679,-0.99467,0.13395,-0.01797,0.00233,-0.00014,3.16717,71.13175,-16.96281,0.60941,0.15874,-0.12756,0.03986,-0.00561,0.00029,-0.06601,66.0521,-2.58152,-0.24842,0.17931,-0.05293,0.01,-0.00101,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-03-28,14:05:57.93,2,1,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cleveland, Cole",815369,Left,FLO_PAN,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.37638,-0.393034,-2.034988,1745.741731,248.457978,2:15,5.76735,1.93345,6.02554,-35.16923,7.83374,16.41572,2.47234,1.41597,73.74326,-6.924252,0.920465,0.471977,,,,,,,,,,,,-8.97134,4.57422,-1.78282,50,5.71764,3.52691,-116.75704,-1.87372,-12.38334,21.99455,-25.86015,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,c5b93710-2ad0-11f1-807c-4b991a4bc1b1,79.8608,,,6.63312,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:05:57.93,2026-03-28T14:05:57.9399680-04:00,2026-03-28T18:05:57.9399680Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,a912c0b8-1052-4816-a912-c81fa68b8437,54.47205,-117.59646,10.99727,5.77032,-0.88677,-12.93008,-1.92645,3.99952,-6.19167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:06:12.20,2,2,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cleveland, Cole",815369,Left,FLO_PAN,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.17547,-0.685804,-0.833155,1698.325139,257.31306,2:30,5.71357,1.86416,5.74452,-39.91435,4.97339,15.69828,1.74877,2.3966,72.65479,-8.029875,1.981588,0.482209,,,,,,,,,,,,-8.17382,3.21146,-1.80427,50,5.6325,1.06063,-114.98267,-2.65788,-10.91105,21.89832,-27.88717,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,ce3b4130-2ad0-11f1-807c-4b991a4bc1b1,78.16617,,,6.52068,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:06:12.20,2026-03-28T14:06:12.2045440-04:00,2026-03-28T18:06:12.2045440Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,bc86cedd-3af9-4c60-90d2-454eca53ae94,54.75247,-115.88424,10.94916,5.71829,-1.50975,-13.94358,-1.85719,1.50985,-5.45553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,14:06:26.69,2,3,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cleveland, Cole",815369,Left,FLO_PAN,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.52441,-2.655617,-3.854826,2390.621164,220.7531,1:15,5.82846,1.64862,6.07655,-16.18497,17.46863,14.00709,2.01529,-0.75615,82.67733,-5.763442,-1.339123,0.41753,,,,,,,,,,,,-8.38252,10.16776,-1.35732,50,5.61394,8.31734,-132.43808,-6.60753,-14.71347,31.38126,-14.32703,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,d6db0c80-2ad0-11f1-807c-4b991a4bc1b1,90.27489,,,8.84708,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:06:26.69,2026-03-28T14:06:26.6957312-04:00,2026-03-28T18:06:26.6957312Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,83ad8829-3680-4b93-beb5-c96698bb165a,54.41904,-133.48107,15.69063,5.82563,-6.13136,-7.16352,-1.64189,8.80635,-7.35674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,14:06:41.59,2,4,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cleveland, Cole",815369,Left,FLO_PAN,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.87691,-1.628315,-3.900713,2264.212968,217.099142,1:15,5.79425,1.65039,6.23647,-16.43623,17.2069,12.16107,2.91864,-0.93996,82.62097,-4.781523,-1.71086,0.417465,,,,,,,,,,,,-7.39126,9.70871,-1.36485,50,5.66426,8.46813,-131.70048,-4.19864,-12.92812,29.04954,-15.19249,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,dfbb8a50-2ad0-11f1-807c-4b991a4bc1b1,90.28892,,,8.25594,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:06:41.59,2026-03-28T14:06:41.5956480-04:00,2026-03-28T18:06:41.5956480Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,f2d6168c-ff6a-458c-8f1a-06be895ac468,54.25953,-132.63669,14.52477,5.79168,-3.70902,-7.59625,-1.64447,8.88477,-6.46406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,14:06:59.63,2,5,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cleveland, Cole",815369,Left,FLO_PAN,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.55287,-3.108356,-4.786657,2325.73462,215.798105,1:15,5.87732,1.52038,6.20552,-13.75213,19.51403,13.26678,1.84946,-1.80239,83.38481,-5.766686,-2.403752,0.415119,,,,,,,,,,,,-8.1913,11.30075,-1.16654,50,5.63582,10.5271,-132.41374,-7.56106,-14.51344,28.81299,-12.15125,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,ea7fe350-2ad0-11f1-807c-4b991a4bc1b1,90.79909,,,8.16807,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:06:59.63,2026-03-28T14:06:59.6376576-04:00,2026-03-28T18:06:59.6376576Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,5a9c0506-b8d8-4cf0-98a7-f829a28c50a2,54.29122,-133.34423,14.4065,5.87366,-7.16865,-6.07563,-1.51407,10.9958,-7.25672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:07:30.39,3,1,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cohall, Aidan",10074664,Left,FLO_PAN,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.92488,-1.815565,-2.235998,2227.020078,191.677353,12:30,5.73975,1.99367,6.20789,-28.78246,7.88886,1.38559,1.6637,0.04438,79.57509,-7.179358,-1.985824,0.435848,,,,,,,,,,,,-1.36421,4.97181,-1.82654,50,5.58904,4.87243,-126.17961,-4.907,-2.19149,26.53625,-24.18735,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,fcd15f20-2ad0-11f1-807c-4b991a4bc1b1,86.48079,,,7.34979,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:07:30.39,2026-03-28T14:07:30.3967744-04:00,2026-03-28T18:07:30.3967744Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,eb904dff-11c5-4b5b-ba0f-5703a47c071a,54.28938,-127.07849,13.26812,5.74138,-4.08769,-12.09367,-1.99284,4.94666,-1.09574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,14:08:07.69,3,2,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cohall, Aidan",10074664,Left,FLO_PAN,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.03997,1.290838,-2.138775,1746.844213,252.616594,2:30,5.61536,1.86696,6.30133,-36.00486,7.24512,18.50997,3.80525,1.43805,72.69409,-5.464072,1.207775,0.47333,,,,,,,,,,,,-10.11575,3.86465,-1.71752,50,5.69343,3.63909,-116.1858,1.57221,-13.72084,23.33672,-26.93209,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,131523c0-2ad1-11f1-807c-4b991a4bc1b1,79.63239,,,7.34589,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:08:07.69,2026-03-28T14:08:07.6908544-04:00,2026-03-28T18:08:07.6908544Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,8fa398bb-bce0-4918-acaa-4ac0bf8ecc74,54.19422,-117.0252,11.66836,5.61946,2.54094,-13.46605,-1.85729,4.13262,-6.86042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,14:09:03.91,3,3,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cohall, Aidan",10074664,Left,FLO_PAN,Undefined,1,Top,0,1,1,Cutter,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.45195,-0.9522,-3.095537,2321.084791,188.67958,12:15,5.69709,1.86741,5.94586,-26.42702,10.9491,1.49142,2.61028,-0.88228,79.15953,-5.878183,-2.828126,0.440016,,,,,,,,,,,,-1.62284,6.24859,-1.62164,50,5.60639,6.72087,-125.40787,-2.93183,-2.58451,25.35215,-22.22258,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,348f1600-2ad1-11f1-807c-4b991a4bc1b1,85.6615,,,7.29242,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:09:03.91,2026-03-28T14:09:03.9131136-04:00,2026-03-28T18:09:03.9131136Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,8c794b0a-cf8b-45ac-9c26-0f60ec7c6d79,54.55029,-126.32439,12.67607,5.69786,-2.12844,-11.11129,-1.8663,6.81431,-1.29226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,14:09:26.16,3,4,"Lucas, Jaxon",814823,Right,LIB_FLA,"Cohall, Aidan",10074664,Left,FLO_PAN,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.97585,-1.436186,-1.802386,1777.957489,243.75325,2:15,5.73898,1.87286,6.09114,-34.30407,8.41182,14.04772,1.55092,1.37577,73.6844,-7.828041,0.731364,0.470399,,,,,,,,,,,,-7.78016,5.23784,-1.74107,50,5.61039,3.16463,-117.49394,-3.97883,-10.75545,24.56011,-24.93316,LIB_FLA,FLO_PAN,Liberty,D1,CUSA,20260328-Liberty-1,41dab620-2ad1-11f1-807c-4b991a4bc1b1,80.12871,,,7.29145,,,,,,,b225412c-05c0-488b-85d0-a4fbbb8317c8,2026-03-28,18:09:26.16,2026-03-28T14:09:26.1650432-04:00,2026-03-28T18:09:26.1650432Z,,v3,471336,4468,1dc5a05042e2430f918d3ce90e69f48b,"Moore, Tucker",805218,Right,LIB_FLA,94c99d43-a247-4275-9298-fece389aa1f2,54.40505,-118.41116,12.28006,5.7416,-3.04767,-12.46658,-1.86676,3.5663,-5.37773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
