PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,15:31:16.46,1,1,"Monke, Carter",839301,Right,MIC_SPA,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.27411,0.552239,-0.834566,2161.242353,23.480693,6:45,5.78151,1.50884,6.2992,-57.27653,-10.52544,-5.28945,1.51735,0.29906,70.31062,-10.028356,-1.794351,0.492116,,,,,,,,,,,,2.4565,-5.09004,-1.44523,50,5.79579,1.82312,-112.24528,-0.6533,3.07436,23.91914,-38.54439,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,b0b96db0-2adc-11f1-b9c0-a172c46deef9,76.59264,,,6.96349,,,,,,,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:31:16.46,2026-03-28T15:31:16.4658688-04:00,2026-03-28T19:31:16.4658688Z,,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,4e26c579-b909-43d6-8f8f-a524f7b099b7,54.20007,-113.13677,11.95957,5.79337,0.78327,-19.2722,-1.51104,1.70853,1.53718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,15:31:32.96,1,2,"Monke, Carter",839301,Right,MIC_SPA,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.7684,-3.43573,-2.370907,2045.247318,195.33031,12:30,5.74738,1.50001,7.00195,-16.25036,19.01159,4.86634,1.26333,-0.25108,79.5373,-6.604526,-1.479763,0.42739,,,,,,,,,,,,-3.33508,11.59501,-1.35617,50,5.53075,5.09427,-127.27791,-7.98364,-5.40143,29.21608,-13.39503,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,ba8276c0-2adc-11f1-b9c0-a172c46deef9,88.19207,,,8.23109,,,,,,,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:31:32.96,2026-03-28T15:31:32.9682432-04:00,2026-03-28T19:31:32.9682432Z,,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,9ec67b2a-e9d7-4b5d-b6d3-2e691400af64,53.49414,-128.07746,14.60804,5.74422,-7.61706,-6.69752,-1.49761,5.24209,-2.70071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,15:31:50.35,1,3,"Monke, Carter",839301,Right,MIC_SPA,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,1,1,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.47924,-0.507611,-2.224047,1074.247646,243.809662,2:15,5.6115,1.73517,6.37993,-31.58825,7.79745,12.71784,2.51181,0.74793,75.56099,-6.478619,0.080064,0.45169,,,,,,,,,,,,-7.3267,4.72051,-1.57992,50,5.56091,4.24905,-122.43305,-2.02405,-10.83186,30.02956,-25.19523,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,c4e8f850-2adc-11f1-b9c0-a172c46deef9,83.44758,,,8.91825,,,,,,,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:31:50.35,2026-03-28T15:31:50.3517184-04:00,2026-03-28T19:31:50.3517184Z,,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,3d0fe586-b567-4355-8c23-941120c4dc41,54.11312,-123.43776,15.01478,5.61452,-1.18108,-12.59762,-1.72815,4.61146,-5.41593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,15:32:08.83,1,4,"Monke, Carter",839301,Right,MIC_SPA,"Anderson, Eli",830915,Left,PUR_BOI,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.96725,-2.143677,-3.293248,2069.771365,208.844109,1:00,5.62604,1.4992,7.03186,-16.40552,18.45127,9.5106,2.30709,-0.70372,79.96792,-5.343796,-1.552834,0.424928,92.66052,-69.405589,57.703288,,,,,2.66743,1.94915,32.26106,0.01859,-6.08099,10.86756,-1.30185,50,5.48984,7.01305,-127.69268,-5.13523,-9.9636,28.16823,-14.3677,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,cfdffa10-2adc-11f1-b9c0-a172c46deef9,88.70314,2.36973,,7.99933,,,,1.77987,2.36973,0.67112,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:32:08.83,2026-03-28T15:32:08.8360448-04:00,2026-03-28T19:32:08.8360448Z,GroundBall,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,6df50d88-6234-49e1-a5e1-a4fd8044bfa0,53.46607,-128.455,14.08411,5.62355,-4.74639,-7.18385,-1.49529,7.28269,-4.9818,,1.77971,25.59251,,,,,,,,2.37049,-127.47044,,,,,,,,0.67087,40.4885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2026-03-28,15:32:41.77,2,1,"Monke, Carter",839301,Right,MIC_SPA,"Drake, Dylan",837567,Left,PUR_BOI,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.71959,-2.951719,-3.482,2139.55552,194.998621,12:30,5.7649,1.46501,7.06142,-13.98973,21.10785,5.33209,1.91141,-1.25642,79.72223,-5.708545,-2.50653,0.426393,,,,,,,,,,,,-3.90256,12.54646,-1.25675,50,5.58164,7.55298,-127.21334,-6.82714,-6.34277,28.09505,-11.78251,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,e3839860-2adc-11f1-b9c0-a172c46deef9,88.39842,,,7.99736,,,,,,,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:32:41.77,2026-03-28T15:32:41.7715712-04:00,2026-03-28T19:32:41.7715712Z,,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,ceb89e31-4fb1-4d9d-b5bd-5c0b11248e14,53.4358,-127.96989,14.04752,5.76121,-6.50986,-5.89126,-1.46244,7.72377,-3.17138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,15:32:56.24,2,2,"Monke, Carter",839301,Right,MIC_SPA,"Drake, Dylan",837567,Left,PUR_BOI,Undefined,1,Top,1,1,0,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.74668,-0.283255,-1.531763,1155.427966,259.437625,2:45,5.67424,1.57796,6.22445,-34.94565,3.7852,13.22182,2.50066,1.26613,77.0366,-6.800337,0.858629,0.447919,,,,,,,,,,,,-7.25993,2.48878,-1.46941,50,5.6362,2.76569,-123.05723,-1.71999,-11.01998,26.72035,-28.39629,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,ec2bc820-2adc-11f1-b9c0-a172c46deef9,84.15007,,,7.71008,,,,,,,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:32:56.24,2026-03-28T15:32:56.2403328-04:00,2026-03-28T19:32:56.2403328Z,,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,f663bdca-af09-4aa8-bcdd-bb5ffe3ed686,54.27212,-123.9814,13.36017,5.67871,-0.73786,-14.19814,-1.57166,3.14683,-5.50999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,15:33:13.71,2,3,"Monke, Carter",839301,Right,MIC_SPA,"Drake, Dylan",837567,Left,PUR_BOI,Undefined,1,Top,1,2,0,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.82328,-0.877611,-2.928161,1069.593109,258.220734,2:30,5.60371,1.62341,6.25664,-34.90155,4.81296,16.36745,1.88488,0.28492,76.02842,-7.3937,0.030076,0.453572,,,,,,,,,,,,-9.35662,3.21984,-1.41339,50,5.52187,5.58199,-121.57952,-2.94625,-13.82499,26.69389,-27.41655,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,f6946c90-2adc-11f1-b9c0-a172c46deef9,83.10138,,,7.79486,,,,,,,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:33:13.71,2026-03-28T15:33:13.7171456-04:00,2026-03-28T19:33:13.7171456Z,,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,dae80b8e-ae76-4d37-8e4f-9cfa690d50f8,54.24032,-122.50699,13.34695,5.60768,-1.99368,-13.70827,-1.61568,6.06234,-6.9125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,15:33:34.41,2,4,"Monke, Carter",839301,Right,MIC_SPA,"Drake, Dylan",837567,Left,PUR_BOI,Undefined,1,Top,1,2,1,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.15091,-0.630728,-1.979334,1112.86281,244.276186,2:15,5.62827,1.80612,6.36485,-30.33765,8.7841,15.4232,2.51936,1.26924,76.36221,-6.338772,0.814665,0.450174,,,,,,,,,,,,-8.59296,5.19083,-1.66945,50,5.56877,3.6289,-122.17384,-2.23968,-12.84405,26.55835,-24.4152,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,02ec36d0-2add-11f1-b9c0-a172c46deef9,83.72855,,,7.78869,,,,,,,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:33:34.41,2026-03-28T15:33:34.4179712-04:00,2026-03-28T19:33:34.4179712Z,,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,4944ef67-1133-4c9a-95da-680b374a73e7,54.1317,-123.06871,13.27918,5.63037,-1.41701,-12.2076,-1.79901,4.06168,-6.42202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,15:33:54.02,2,5,"Monke, Carter",839301,Right,MIC_SPA,"Drake, Dylan",837567,Left,PUR_BOI,Undefined,1,Top,1,3,1,TwoSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,87.55536,-1.286303,-2.865668,2201.118833,220.203158,1:15,5.66796,1.60721,6.88789,-16.35922,19.41706,15.26942,3.13109,0.2666,78.51988,-4.509869,-0.076691,0.430496,102.91659,28.914559,20.606277,1828.771519,101.09208,55.54023,43.36318,378.10687,365.53216,30.374416,4.713082,-9.12359,11.15749,-1.43083,50,5.5804,5.80678,-127.04745,-3.19872,-14.5918,31.24072,-14.32936,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,0e94fc60-2add-11f1-b9c0-a172c46deef9,87.55587,78.51427,,9.03547,,,,2.5311,3.25498,-0.25743,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:33:54.02,2026-03-28T15:33:54.0218368-04:00,2026-03-28T19:33:54.0218368Z,FlyBall,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,92083a39-5e80-4d74-b55e-56fe64d018d8,53.6093,-127.9319,15.62036,5.66521,-2.79305,-7.16468,-1.60107,6.21989,-7.2959,221.247088,2.53057,123.68889,-25.88157,6.35915,-1.4999,0.37072,-0.08229,0.01138,-0.00065,3.2566,72.94423,-19.93662,1.18336,0.06053,-0.11152,0.03601,-0.00485,0.00024,-0.25755,46.5065,0.08824,-0.92186,0.24378,-0.02986,-0.00013,0.00063,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-28,15:34:46.65,3,1,"Monke, Carter",839301,Right,MIC_SPA,"Flores, Sam",830358,Left,PUR_BOI,Undefined,1,Top,1,0,0,Curveball,Curveball,InPlay,Undefined,Popup,Single,0,0,,77.38179,0.512329,-1.042445,2065.466673,12.546688,6:30,5.79663,1.55317,6.43996,-55.7566,-8.66855,-2.34925,1.62113,0.39938,69.33087,-9.868435,-1.469702,0.493886,68.44149,21.68869,-23.789906,5134.847596,95.60173,17.01315,-54.40813,155.0275,154.56517,-32.419586,2.088177,0.82909,-4.19492,-1.4782,50,5.80904,2.12445,-112.25163,-0.62501,1.0207,26.96434,-37.33837,MIC_SPA,PUR_BOI,MichiganState,D1,BIG10,20260328-MichiganState-1,2dfb02c0-2add-11f1-b9c0-a172c46deef9,76.3181,19.37431,,8.05093,,,,2.21436,1.8367,-0.41136,cb80e794-661d-4b4c-9dd8-11985da420ab,2026-03-28,19:34:46.65,2026-03-28T15:34:46.6597888-04:00,2026-03-28T19:34:46.6597888Z,LineDrive,v3,1551,471415,,"Broski, Adam",839305,Right,MIC_SPA,4b304eda-e7f1-47ba-8e4c-0f5dbcb55959,54.05728,-113.22204,13.48217,5.80736,0.71876,-18.66919,-1.554,2.08772,0.51035,97.737441,2.21436,85.34917,-15.04184,2.58488,-0.49043,0.05072,-7E-05,-0.00184,0.00032,1.8367,37.09708,-21.28119,2.03405,-0.37056,0.06599,-0.00969,0.00152,-0.00017,-0.41137,-37.62442,-3.27753,1.89812,-0.58015,0.13706,-0.02446,0.00318,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
