PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:01:06.38,1,1,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.46608,-4.04787,1.272519,2149.438446,136.957977,10:30,5.78469,-0.62454,5.14476,-19.17958,17.3167,-14.92922,0.36795,-0.67034,81.01937,-7.622742,-1.371769,0.434806,,,,,,,,,,,,7.95965,10.32902,0.51788,50,5.39119,-2.20322,-129.36465,-9.81782,13.30635,30.38833,-14.90676,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,79cfa570-2ad8-11f1-b740-0da30f313b32,86.68793,,,8.44671,,,,,,,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:01:06.38,2026-03-28T14:01:06.3871488-05:00,2026-03-28T19:01:06.3871488Z,,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,2cc0fc37-e3a2-48cb-bc51-a76854194d41,55.35449,-130.61639,15.19416,5.78296,-9.20379,-7.45338,0.61993,-2.75133,6.65317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,14:01:24.70,1,2,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.91854,-2.022996,2.086295,2084.072218,147.820634,11:00,5.73093,-0.59029,5.20011,-19.24966,18.53206,-10.7678,2.222,0.47553,79.0487,-5.657678,0.179362,0.442397,,,,,,,,,,,,6.04863,10.30426,0.40551,50,5.52964,-4.1402,-127.19887,-5.12082,9.74179,30.21911,-15.57818,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,84c43630-2ad8-11f1-b740-0da30f313b32,85.20045,,,8.86984,,,,,,,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:01:24.70,2026-03-28T14:01:24.7040000-05:00,2026-03-28T19:01:24.7040000Z,,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,bb87aaa1-bea3-4fbd-9cf5-eab7d76fba1e,55.29526,-128.45073,15.10955,5.72841,-4.47548,-7.78909,0.58538,-4.54376,4.8709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:01:43.36,1,3,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.77328,-0.448873,1.606237,2453.766829,306.198235,4:15,5.56348,-0.92541,4.75565,-56.48692,-7.90485,12.97942,0.43039,1.67981,71.47832,-10.544978,3.893415,0.50166,,,,,,,,,,,,-5.98225,-3.4524,0.75185,50,5.46793,-3.6883,-112.76002,-2.95585,-7.62704,22.37099,-36.57567,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,8fe94cd0-2ad8-11f1-b740-0da30f313b32,75.13546,,,6.29497,,,,,,,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:01:43.36,2026-03-28T14:01:43.3647616-05:00,2026-03-28T19:01:43.3647616Z,,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,19b06c5f-0fc0-4923-b974-d768d5da25de,55.7464,-113.89437,11.1855,5.57079,-1.10123,-18.28784,0.92907,-3.30157,-3.81352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,14:02:02.73,1,4,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.3588,-2.629006,1.193404,2278.18867,148.674069,11:00,5.79239,-0.41886,5.21105,-17.15934,19.25926,-10.91461,1.88795,-0.20601,80.68027,-5.874171,-0.741146,0.434343,83.94634,-15.14592,58.533269,,,,,9.18862,9.18862,48.577358,0.067597,5.84323,10.83611,0.31721,50,5.53708,-2.19342,-129.35816,-6.49453,9.76841,30.35743,-14.05884,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,9b6dc180-2ad8-11f1-b740-0da30f313b32,86.78029,2.179,,8.67853,,,,1.8771,2.179,0.02382,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:02:02.73,2026-03-28T14:02:02.7309568-05:00,2026-03-28T19:02:02.7309568Z,GroundBall,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,2252e58e-75dc-4869-883f-9e8d16284d47,55.28568,-130.59269,15.17871,5.78956,-5.92281,-7.02942,0.41449,-2.59067,4.88421,,1.8757,62.16516,,,,,,,,2.17972,-32.23525,,,,,,,,0.02154,101.57667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2026-03-28,14:02:29.57,1,5,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,89.89729,-1.324593,1.243679,2172.003514,155.823718,11:15,5.79536,-0.42427,5.00468,-17.71056,18.29462,-7.65878,3.0686,0.11166,81.51163,-4.651224,-0.108257,0.431871,98.53174,31.83378,31.778006,3039.231321,88.54986,67.54643,65.25947,330.66785,205.30426,46.535103,5.367972,4.17953,9.82678,0.31142,50,5.65462,-2.46751,-130.27206,-3.62282,7.13076,29.20317,-15.40839,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,ab6e9690-2ad8-11f1-b740-0da30f313b32,87.27712,93.75066,,8.38567,,,,1.46832,3.05153,-0.17322,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:02:29.57,2026-03-28T14:02:29.5754240-05:00,2026-03-28T19:02:29.5754240Z,FlyBall,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,f2a0c19d-6fbe-4a92-b2b3-1bd5abb9c1b2,55.49254,-131.49756,14.60158,5.79308,-2.97621,-7.7042,0.42125,-2.76675,3.56538,211.174655,1.47553,104.22847,-30.8674,7.87609,-1.38491,0.12261,0.00238,-0.00119,5E-05,3.05053,76.23444,-16.66138,-0.46714,0.67493,-0.26656,0.06323,-0.0079,0.00039,-0.17255,64.64588,-5.89177,0.12239,0.28102,-0.1076,0.02126,-0.0022,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2026-03-28,14:03:19.44,1,6,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.39874,-1.787116,2.548338,1671.502657,101.88838,9:30,5.63327,-0.81335,5.51874,-37.53175,3.91567,-12.8819,0.83249,0.4974,76.41486,-8.621262,0.249604,0.463362,,,,,,,,,,,,7.2187,2.7661,0.60045,50,5.45204,-4.81648,-119.63957,-5.02498,10.54931,21.29446,-28.13168,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,c92fc690-2ad8-11f1-b740-0da30f313b32,81.34556,,,5.98388,,,,,,,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:03:19.44,2026-03-28T14:03:19.4481152-05:00,2026-03-28T19:03:19.4481152Z,,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,47bcff50-4d89-4ff4-8ab6-218941b3557f,54.98256,-120.52314,10.64723,5.63633,-3.85771,-14.06584,0.80938,-5.2542,5.27466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:03:47.53,1,7,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.54432,-1.384103,2.144618,1651.785285,101.928212,9:30,5.52105,-0.8491,5.57008,-36.69667,4.8124,-16.59328,1.16896,-0.22767,75.88967,-8.105613,-0.819803,0.463706,,,,,,,,,,,,9.08524,3.17071,0.67575,50,5.37741,-3.83222,-119.82582,-4.13971,13.20303,23.25479,-27.56623,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,d9df2b20-2ad8-11f1-b740-0da30f313b32,81.28519,,,6.65465,,,,,,,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:03:47.53,2026-03-28T14:03:47.5340000-05:00,2026-03-28T19:03:47.5340000Z,,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,50c3b105-3237-4f81-9acf-1852d1f1bce8,54.9308,-120.77895,11.6274,5.52393,-3.00986,-13.78312,0.84391,-4.37337,6.60152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93408,,,1.673682,,,,-4.60396,4.23053,1.48415,83.21012,12.8804,-41.60558,-4.36971,58.34647,-3.57666,4.47495,29.62997,-14.67433,1.26955,-30.13755,2.68257,High,High,High,,,High,High,High
8,2026-03-28,14:04:18.80,2,1,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Mottice, Carter",10046345,Left,BGS_FAL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.37349,1.647608,0.424181,2454.281131,304.799969,4:15,5.49608,-0.93863,4.74103,-52.69967,-3.87355,7.80233,2.66778,0.11393,70.90011,-7.840538,1.796327,0.502918,,,,,,,,,,,,-3.69465,-1.87536,0.88868,50,5.61519,-1.1599,-112.19451,1.27713,-4.69937,20.69698,-34.55942,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,ec88d910-2ad8-11f1-b740-0da30f313b32,74.94741,,,6.47338,,,,,,,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:04:18.80,2026-03-28T14:04:18.8000768-05:00,2026-03-28T19:04:18.8000768Z,,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,daa0bcfb-6129-4f03-b772-1884713da679,55.75829,-113.25178,10.34849,5.50486,3.04255,-17.27971,0.9418,-0.91984,-2.34969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,14:04:33.49,2,2,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Mottice, Carter",10046345,Left,BGS_FAL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,87.99523,-1.854279,1.323976,2127.677288,147.458396,11:00,5.76232,-0.5064,5.16714,-18.93166,18.31875,-10.8939,2.43849,-0.16798,80.11636,-5.400998,-0.605126,0.439275,55.31822,-14.344913,-33.917339,,,,,8.73623,8.19475,-32.669164,0.110806,5.83114,10.04304,0.39179,50,5.57559,-2.45596,-127.56337,-4.76366,9.56949,27.22963,-15.69243,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,f53bb730-2ad8-11f1-b740-0da30f313b32,85.80592,2.27238,,7.87887,,,,0.1722,2.27238,0.09663,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:04:33.49,2026-03-28T14:04:33.4938112-05:00,2026-03-28T19:04:33.4938112Z,GroundBall,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,0b1b067d-1a69-4af2-8252-cffc3c6740af,55.33065,-128.69622,13.61482,5.76019,-4.1108,-7.84622,0.50225,-2.85408,4.78475,187.045046,0.17224,65.22426,-3.69183,,,,,,,2.27234,-20.09686,-3.70383,,,,,,,0.09659,-43.85619,3.84867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,2026-03-28,14:05:12.54,3,1,"Vaisvila, Maxwell",1000233690,Left,NIU_HUS,"Takats, TJ",1000267039,Left,BGS_FAL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.17283,0.919493,-0.379455,2526.487722,308.371831,4:15,5.52789,-0.88651,4.73719,-55.68893,-6.48347,10.21386,1.7595,-0.39532,70.71677,-9.083403,1.419194,0.504868,,,,,,,,,,,,-5.17067,-3.08658,0.91499,50,5.57051,0.32285,-111.9333,-0.24514,-6.5193,21.37548,-36.06566,NIU_HUS,BGS_FAL,NorthernIllinois,D1,MAC,20260328-NorthernIllinois-1,0c88d580-2ad9-11f1-b740-0da30f313b32,74.65798,,,6.45606,,,,,,,9bb2220f-7134-4d79-93d6-bc529b556e20,2026-03-28,19:05:12.54,2026-03-28T14:05:12.5402624-05:00,2026-03-28T19:05:12.5402624Z,,v3,471392,471244,fd0402eac19149938d93a456352a4d39,"Dahlberg, Ivan",1000218154,Right,NIU_HUS,bcd68c31-43e7-4c04-9409-86cb8e501266,55.76409,-113.02868,10.68774,5.53572,1.60304,-18.03283,0.88989,0.65693,-3.25965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
