PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:06:26.22,1,1,"Sanders, Ethan",10100500,Right,RIC_OWL,"Boylston, Kyle",812895,Right,FAU_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.29199,-2.792845,-1.105352,2386.183316,194.577734,12:30,6.42063,0.91356,5.58659,-10.2302,23.81489,5.83985,2.95747,0.36785,82.29234,-4.842265,-0.063628,0.419951,67.16328,57.297786,102.888843,5232.421864,,,,,22.29611,,,-3.34831,13.41847,-0.82254,50,6.17452,2.30701,-133.50764,-6.7334,-5.89042,35.52006,-8.56784,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,38699770-2ad9-11f1-9890-1fd7c1aba349,89.75437,36.07191,,9.99966,,,,1.8196,2.79046,-0.45512,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:06:26.22,2026-03-28T14:06:26.2258176-05:00,2026-03-28T19:06:26.2258176Z,,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,0247e484-57a3-4217-9e14-d69c32414348,54.9109,-134.80787,17.76003,6.41526,-6.41977,-4.28392,-0.91094,2.52263,-2.94521,325.229673,1.83355,-12.27613,-5.39723,,,,,,,2.80554,82.4599,-24.51343,,,,,,,-0.4417,51.49371,-9.05915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-03-28,14:06:46.81,1,2,"Sanders, Ethan",10100500,Right,RIC_OWL,"Boylston, Kyle",812895,Right,FAU_OWL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.38349,-2.132045,-1.99406,2435.105419,194.424343,12:30,6.44148,0.75589,5.6464,-10.4993,23.12269,5.6254,3.57563,-0.63615,82.98232,-4.216793,-0.990148,0.417333,,,,,,,,,,,,-3.47374,12.71824,-0.59015,50,6.25391,4.39374,-133.74969,-5.20758,-6.19124,33.17811,-9.5064,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,44aacc70-2ad9-11f1-9890-1fd7c1aba349,90.31737,,,9.40117,,,,,,,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:06:46.81,2026-03-28T14:06:46.8111360-05:00,2026-03-28T19:06:46.8111360Z,,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,0a78e84a-68ce-44d3-a94d-daa560090faf,54.85014,-134.94745,16.58906,6.43572,-4.86439,-4.7532,-0.7528,4.61725,-3.09562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:06:59.45,1,3,"Sanders, Ethan",10100500,Right,RIC_OWL,"Boylston, Kyle",812895,Right,FAU_OWL,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.86175,-0.122096,-0.843059,2912.455261,47.470414,7:30,6.33022,0.87203,5.29614,-47.41821,-5.4067,-7.44776,2.26405,-0.54024,75.54957,-8.733309,-2.167852,0.466504,,,,,,,,,,,,3.45914,-2.22441,-0.78973,50,6.28461,2.08583,-120.19124,-2.01419,5.00255,25.76636,-35.39096,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,4c399cf0-2ad9-11f1-9890-1fd7c1aba349,80.79766,,,7.31218,,,,,,,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:06:59.45,2026-03-28T14:06:59.4510000-05:00,2026-03-28T19:06:59.4510000Z,,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,ea41db8d-6cb2-4b78-b9a9-c8ca6bb4d3e8,55.20492,-121.30193,12.88318,6.33855,-0.48863,-17.69548,-0.87499,1.87019,2.50127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,14:07:13.95,1,4,"Sanders, Ethan",10100500,Right,RIC_OWL,"Boylston, Kyle",812895,Right,FAU_OWL,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.03105,-0.338099,-2.264862,2818.294266,54.4792,7:45,6.27224,1.06639,5.31655,-46.07605,-4.57756,-8.21481,2.11499,-1.745,76.41277,-8.679108,-3.724248,0.463647,,,,,,,,,,,,3.48169,-1.81984,-0.85487,50,6.20806,5.10846,-120.48209,-2.40695,5.10572,23.91945,-34.84278,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,54e06d20-2ad9-11f1-9890-1fd7c1aba349,81.29554,,,6.61828,,,,,,,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:07:13.95,2026-03-28T14:07:13.9540000-05:00,2026-03-28T19:07:13.9540000Z,,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,c6aa5f46-62e2-4dbd-93ad-cea222b3fefe,55.18608,-121.50733,11.95972,6.27922,-0.91352,-17.42139,-1.06914,4.88962,2.55286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,14:07:30.46,1,5,"Sanders, Ethan",10100500,Right,RIC_OWL,"Boylston, Kyle",812895,Right,FAU_OWL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.55863,-2.205817,-0.906122,2390.70345,186.095432,12:15,6.48588,0.68478,5.84822,-9.49524,23.78734,2.40591,3.64352,0.04316,82.98809,-4.120079,-0.474839,0.415221,82.62273,48.315219,45.736721,4690.11517,64.81783,102.88131,88.87425,240.15681,106.59465,60.200838,5.393212,-1.53453,13.25745,-0.6125,50,6.30114,2.01386,-134.11,-5.34804,-2.74019,34.27845,-8.50028,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,5eb9f0f0-2ad9-11f1-9890-1fd7c1aba349,90.77671,108.96934,,9.57054,,,,1.46266,3.5148,-0.10697,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:07:30.46,2026-03-28T14:07:30.4632832-05:00,2026-03-28T19:07:30.4632832Z,FlyBall,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,ab47e899-0224-4c8f-8aca-b8c0d12f38a7,54.65011,-135.29335,17.13923,6.48069,-5.05459,-4.25014,-0.68365,2.10845,-1.3701,206.826479,1.47256,56.02947,-18.49587,4.22051,-0.00593,-0.35853,0.11194,-0.01452,0.00071,3.50363,90.6974,-23.40266,2.62568,-0.72471,0.17185,-0.02001,0.00047,5E-05,-0.1069,57.70397,-7.40912,1.16018,-0.01242,-0.06579,0.02041,-0.00269,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-03-28,14:07:54.43,1,6,"Sanders, Ethan",10100500,Right,RIC_OWL,"Boylston, Kyle",812895,Right,FAU_OWL,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.99361,-0.249357,-1.606184,2574.098113,93.744457,9:00,6.39714,0.86384,5.44682,-38.87947,1.94244,-7.708,2.92362,-1.28274,76.14043,-7.380453,-2.978664,0.459852,,,,,,,,,,,,3.34835,1.50756,-0.7165,50,6.34866,3.74367,-121.73823,-1.92285,4.95256,27.10668,-29.94419,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,6d065f40-2ad9-11f1-9890-1fd7c1aba349,81.96647,,,7.85318,,,,,,,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:07:54.43,2026-03-28T14:07:54.4388096-05:00,2026-03-28T19:07:54.4388096Z,,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,32417944-8dca-4100-9147-b5893a1aef86,55.05186,-122.85794,13.55334,6.40254,-0.68592,-14.97209,-0.86692,3.53909,2.47628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:08:14.84,1,7,"Sanders, Ethan",10100500,Right,RIC_OWL,"Boylston, Kyle",812895,Right,FAU_OWL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.14897,-3.566523,-1.073453,2439.362101,195.025757,12:30,6.44114,0.71395,5.85305,-11.93316,21.5295,5.45162,2.12783,0.17069,83.20939,-5.896059,-0.09592,0.416343,,,,,,,,,,,,-3.11752,12.47036,-0.62989,50,6.14408,2.25706,-133.42067,-8.60807,-5.54572,32.22005,-9.99053,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,79496900-2ad9-11f1-9890-1fd7c1aba349,90.53207,,,8.93958,,,,,,,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:08:14.84,2026-03-28T14:08:14.8460000-05:00,2026-03-28T19:08:14.8460000Z,,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,67f33750-6183-4d80-be5e-aecf934b5632,54.6453,-134.5378,16.11003,6.43653,-8.26168,-4.99527,-0.71148,2.44934,-2.77286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.69487,2.678489,1.810227,0.868262,0.49581,2.03232,-0.16928,1.58498,5.70167,1.46649,69.93739,3.85926,-54.85391,1.60559,83.00097,-4.95013,5.72804,9.49719,-13.41159,1.38545,-73.85009,10.44052,High,High,High,,,High,Medium,High
8,2026-03-28,14:08:48.27,2,1,"Sanders, Ethan",10100500,Right,RIC_OWL,"Romano, Nick",804507,Left,FAU_OWL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.53387,-4.499172,-0.971444,2398.231736,204.281574,12:45,6.3351,0.9282,5.76426,-13.20914,20.25202,8.56934,1.03751,0.73805,83.42715,-7.046905,0.563047,0.416334,,,,,,,,,,,,-4.67953,12.13989,-0.85303,50,5.95401,1.88321,-133.78228,-10.88556,-8.34448,33.19245,-10.52643,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,8d12ded0-2ad9-11f1-9890-1fd7c1aba349,90.5341,,,9.10672,,,,,,,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:08:48.27,2026-03-28T14:08:48.2734080-05:00,2026-03-28T19:08:48.2734080Z,,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,5934a3fd-14cd-4196-a624-b0221e5bbe9b,54.73434,-134.9518,16.59622,6.33102,-10.51467,-5.26322,-0.92456,2.17722,-4.17224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,14:09:03.72,2,2,"Sanders, Ethan",10100500,Right,RIC_OWL,"Romano, Nick",804507,Left,FAU_OWL,Undefined,1,Top,1,1,0,Curveball,Curveball,InPlay,Undefined,LineDrive,Double,0,0,,77.41533,1.2416,0.189418,2700.079951,36.872236,7:15,6.44433,0.72617,5.10104,-61.20267,-12.24627,-10.53741,2.51429,0.02655,70.04684,-9.832768,-1.679906,0.503589,97.1018,12.221227,33.502317,3023.902611,89.08667,14.99446,64.52468,204.54934,203.70506,39.136482,1.818274,5.34555,-6.11996,-0.73522,50,6.513,0.05066,-112.18435,0.25618,6.66014,24.52257,-39.79902,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,96592350-2ad9-11f1-9890-1fd7c1aba349,74.84763,15.0147,,7.36849,,,,2.59827,2.75004,-0.18669,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:09:03.72,2026-03-28T14:09:03.7213696-05:00,2026-03-28T19:09:03.7213696Z,LineDrive,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,9850e102-0753-40b2-a8be-6350b537eb13,55.40218,-113.35908,12.26129,6.45506,2.1627,-19.89951,-0.73001,-0.26839,3.33007,259.418738,2.59824,116.06538,-23.58409,5.19414,-0.69075,-0.29155,0.26348,-0.08784,0.01141,2.75006,30.14645,-19.78971,1.90861,-0.70658,0.45708,-0.236,0.06996,-0.00871,-0.18667,76.82644,-3.28921,0.11576,-0.30909,0.43329,-0.26702,0.083,-0.01053,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-28,14:09:52.36,3,1,"Sanders, Ethan",10100500,Right,RIC_OWL,"Perazza, Michael",814111,Left,FAU_OWL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.0288,-5.064481,-2.328628,2410.53759,196.31394,12:30,6.35936,1.07367,5.82379,-10.29276,23.71588,6.54776,0.77693,-0.54682,82.50939,-7.11056,-1.156638,0.419726,,,,,,,,,,,,-4.14811,14.23497,-0.88715,50,5.93819,5.11215,-132.81318,-11.99669,-7.25181,34.08067,-7.2883,RIC_OWL,FAU_OWL,RiceUniversity,D1,AMER,20260328-RiceUniversity-1,b3479a00-2ad9-11f1-9890-1fd7c1aba349,89.80243,,,9.5194,,,,,,,3dac22a9-fe89-438b-9f9d-8a0608190b27,2026-03-28,19:09:52.36,2026-03-28T14:09:52.3618304-05:00,2026-03-28T19:09:52.3618304Z,,v3,2352,339,d79327373e934c22a6d4b49f7f5b6afc,"Anderson, Aric",825307,Right,RIC_OWL,a5dda06c-4f5b-4b50-ba17-6d452d19ed56,54.67498,-134.00744,17.04034,6.3541,-11.74129,-3.64415,-1.07074,5.36626,-3.6259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
