PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:05:28.05,1,1,"Winkler, Kyle",812474,Left,ARL_MAV,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.48544,-1.794784,1.263925,1876.140678,148.273931,11:00,6.36097,-0.92935,5.05777,-19.46694,16.99245,-9.69619,3.04522,-0.54525,80.82722,-5.441522,-0.449781,0.434587,,,,,,,,,,,,5.16465,9.34839,0.81708,50,6.17546,-2.39254,-129.5527,-4.73221,8.67682,29.96452,-16.46834,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,15b57780-2ad9-11f1-8062-c3fbad7d89d7,86.73172,,,8.65822,,,,,,,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:05:28.05,2026-03-28T14:05:28.0583168-05:00,2026-03-28T19:05:28.0583168Z,,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,fee05b74-0a9a-4313-a33d-e944504ea635,55.43635,-130.80404,14.98226,6.35872,-4.04448,-8.23417,0.92456,-2.75489,4.33841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,14:05:44.98,1,2,"Winkler, Kyle",812474,Left,ARL_MAV,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.3959,-2.280219,3.001991,2016.457998,153.449083,11:00,6.25748,-0.82994,5.16863,-15.3691,21.15139,-9.89835,2.82673,1.17294,80.54771,-5.215689,1.252577,0.43495,,,,,,,,,,,,5.8276,11.59512,0.55778,50,6.03365,-6.30652,-129.24407,-5.61457,9.73335,30.09344,-12.80769,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,1fd13470-2ad9-11f1-8062-c3fbad7d89d7,86.65917,,,8.84819,,,,,,,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:05:44.98,2026-03-28T14:05:44.9873408-05:00,2026-03-28T19:05:44.9873408Z,,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,b938729f-15e9-491d-925f-62ae0d7a167e,55.3252,-130.47811,15.04672,6.25311,-5.08937,-6.40385,0.82457,-6.70566,4.86667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:06:09.77,1,3,"Winkler, Kyle",812474,Left,ARL_MAV,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.07758,-2.17433,1.774855,1918.176357,148.004995,11:00,6.17365,-0.93333,5.14715,-18.89871,18.68123,-10.81469,2.54972,-0.16304,79.48321,-5.733276,-0.139055,0.441214,,,,,,,,,,,,5.92591,10.36934,0.77594,50,5.95631,-3.44901,-127.47418,-5.46135,9.6239,29.38527,-15.33383,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,2e9a9af0-2ad9-11f1-8062-c3fbad7d89d7,85.4289,,,8.59437,,,,,,,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:06:09.77,2026-03-28T14:06:09.7790976-05:00,2026-03-28T19:06:09.7790976Z,,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,acb058e5-84e8-40c5-9e87-82fe6d8bb751,55.34787,-128.70106,14.69263,6.17097,-4.82114,-7.66691,0.92834,-3.85082,4.81195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,14:06:29.32,1,4,"Winkler, Kyle",812474,Left,ARL_MAV,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.28493,0.175258,2.379987,2261.181033,233.448554,1:45,5.90569,-1.25869,5.14093,-40.42128,4.36776,3.93685,2.70241,1.31161,73.44084,-7.187577,3.07623,0.481679,,,,,,,,,,,,-1.26701,2.58177,1.03257,50,5.8912,-5.00195,-116.36922,-1.0771,-1.73145,22.5334,-28.64587,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,3a473110-2ad9-11f1-8062-c3fbad7d89d7,78.25226,,,6.84409,,,,,,,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:06:29.32,2026-03-28T14:06:29.3298688-05:00,2026-03-28T19:06:29.3298688Z,,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,9b03aad6-d8ac-4fa2-bdf9-728c6313d904,55.35571,-117.4017,11.2667,5.91048,0.23546,-14.32294,1.25994,-4.92261,-0.86573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,14:06:47.35,1,5,"Winkler, Kyle",812474,Left,ARL_MAV,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.13608,-1.979751,1.55875,2006.023242,159.063705,11:15,6.28971,-0.81577,5.23037,-15.23788,20.19485,-7.2717,3.15746,0.04387,81.98042,-4.870818,0.270098,0.428424,75.14567,21.295287,-158.323806,3275.756934,,,,,45.08407,,,4.0778,11.00406,0.67786,50,6.09651,-3.21693,-130.6393,-4.99582,7.02041,28.49692,-13.22929,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,45003f70-2ad9-11f1-8062-c3fbad7d89d7,87.97929,16.98175,,8.15567,,,,0.01084,2.82549,0.17296,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:06:47.35,2026-03-28T14:06:47.3553408-05:00,2026-03-28T19:06:47.3553408Z,,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,5de59e8e-d230-4309-98c8-c4d9c137e509,55.26612,-131.78302,14.24846,6.28637,-4.46487,-6.61465,0.81262,-3.49869,3.5102,80.147149,0.0094,-95.38716,7.37707,,,,,,,2.83387,39.78544,-20.13852,,,,,,,0.15707,-37.46927,13.35796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-03-28,14:07:26.28,1,6,"Winkler, Kyle",812474,Left,ARL_MAV,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.10431,0.599438,1.232274,2199.169934,296.227959,3:45,5.92575,-1.38218,5.13044,-44.81829,-0.94488,4.79981,2.75558,0.17849,74.17485,-7.540311,2.082304,0.476729,,,,,,,,,,,,-2.02004,-0.18283,1.26271,50,5.94747,-2.73497,-117.6402,-0.41219,-2.81871,23.20884,-32.42916,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,5c32d0e0-2ad9-11f1-8062-c3fbad7d89d7,79.06463,,,6.92947,,,,,,,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:07:26.28,2026-03-28T14:07:26.2834176-05:00,2026-03-28T19:07:26.2834176Z,,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,f259d71d-7562-47e9-a7ad-9c57fbaf2a64,55.36714,-118.69434,11.60442,5.93274,1.06073,-16.21458,1.38403,-2.60694,-1.40935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:08:00.74,2,1,"Winkler, Kyle",812474,Left,ARL_MAV,"Leonard, Brayden",10002121,Right,VIL_WIL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.90014,-1.400127,2.086499,2058.94493,158.598106,11:15,6.16958,-0.96698,5.08249,-15.85068,19.63568,-7.17587,3.52779,0.40263,81.58853,-4.421557,0.818961,0.428748,,,,,,,,,,,,4.20776,10.54359,0.77521,50,6.02528,-4.43907,-131.4941,-3.71945,7.24723,32.11847,-14.0143,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,70b78060-2ad9-11f1-8062-c3fbad7d89d7,87.91283,,,9.31161,,,,,,,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:08:00.74,2026-03-28T14:08:00.7409152-05:00,2026-03-28T19:08:00.7409152Z,,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,ff51c155-527c-45ea-811b-7df017364098,55.41054,-132.8091,16.05924,6.16582,-3.14568,-7.00715,0.96303,-4.73578,3.62361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,14:08:20.28,2,2,"Winkler, Kyle",812474,Left,ARL_MAV,"Leonard, Brayden",10002121,Right,VIL_WIL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.35451,-2.385767,1.568371,1843.605412,153.926609,11:15,6.08112,-1.08334,5.17287,-20.4467,16.86151,-7.58693,2.13003,-0.23934,79.81312,-6.212674,0.224661,0.439616,80.27636,49.328239,26.010333,,89.07918,96.49337,64.53586,239.80617,119.66842,42.780228,5.128234,4.28355,9.55115,0.9434,50,5.84396,-3.15424,-127.88591,-6.0247,6.99991,29.63577,-16.56608,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,7c64d9d0-2ad9-11f1-8062-c3fbad7d89d7,85.73943,100.74179,,8.54139,,,,0.94073,2.15263,0.25926,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:08:20.28,2026-03-28T14:08:20.2888704-05:00,2026-03-28T19:08:20.2888704Z,FlyBall,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,1aa57ebc-7c44-4006-88c1-d63e193c15b1,55.32291,-129.11352,14.81788,6.07931,-5.33847,-8.28304,1.08007,-3.4442,3.49995,215.416014,0.9708,68.34531,-15.34194,0.46252,2.55831,-1.39782,0.34637,-0.04165,0.00196,2.14957,89.31547,-23.86768,1.75356,0.30642,-0.36098,0.1225,-0.01859,0.00106,0.24747,33.86583,1.33249,-0.27409,-0.46819,0.26398,-0.05805,0.00562,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-03-28,14:08:54.50,3,1,"Winkler, Kyle",812474,Left,ARL_MAV,"Whooley, Michael",833390,Right,VIL_WIL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.51174,-2.593797,3.209896,2031.975362,144.462169,10:45,6.00353,-1.23707,5.3018,-18.97056,17.21257,-11.36489,1.98217,0.83237,80.94862,-6.159522,1.195944,0.432937,,,,,,,,,,,,6.7028,9.80532,0.9539,50,5.75421,-6.74314,-129.46178,-6.50451,11.24909,29.83534,-15.71807,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,90c86cc0-2ad9-11f1-8062-c3fbad7d89d7,87.06221,,,8.56312,,,,,,,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:08:54.50,2026-03-28T14:08:54.5053184-05:00,2026-03-28T19:08:54.5053184Z,,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,3b4747f0-3ad7-44e1-9209-389ba784c1da,55.19492,-130.6535,14.91767,6.00148,-5.87668,-7.85904,1.23221,-7.19247,5.62455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,14:09:10.01,3,2,"Winkler, Kyle",812474,Left,ARL_MAV,"Whooley, Michael",833390,Right,VIL_WIL,Undefined,1,Top,2,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,89.29815,-1.60615,2.549695,1906.220028,145.621192,10:45,6.14114,-0.99418,5.38814,-19.87332,16.5041,-10.35938,2.97776,0.53386,80.23988,-5.358766,0.709571,0.434097,92.99443,9.588546,-32.204176,1805.981931,91.16273,5.5346,-61.55774,138.08399,136.93663,-34.67396,1.18053,6.05859,9.20997,0.77393,50,5.98412,-5.28652,-129.23529,-4.2803,10.06475,31.38712,-16.87406,ARL_MAV,VIL_WIL,UTArlington,D1,WAC,20260328-UTArlington-2,99ff9610-2ad9-11f1-8062-c3fbad7d89d7,86.82945,8.61544,,9.05827,,,,1.65485,2.96988,-0.50657,0f933fcb-89d7-4c7e-8cf9-6abda25c0ca1,2026-03-28,19:09:10.01,2026-03-28T14:09:10.0142592-05:00,2026-03-28T19:09:10.0142592Z,LineDrive,v3,471465,471478,,"Ho, Ethan",838403,Right,ARL_MAV,72d95327-6c95-4e07-b225-d0ffa5937046,55.1077,-130.46989,15.69356,6.13943,-3.61656,-8.43703,0.98966,-5.68241,5.03237,,1.65485,113.79601,-19.30099,3.47829,-0.81816,0.18447,-0.04212,0.00807,-0.00086,2.96988,22.71897,-24.19956,3.0192,-0.68506,0.16448,-0.03613,0.00695,-0.00077,-0.50657,-71.67276,5.44293,-0.82265,0.21171,-0.04579,0.01071,-0.00203,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
