PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:03:46.03,1,1,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.26386,-2.252362,-3.08508,1916.249692,220.13543,1:15,5.84167,1.69493,6.12345,-20.5017,14.1856,11.06292,2.04692,-0.23789,82.04316,-6.107148,-1.093609,0.423893,,,,,,,,,,,,-6.53012,8.25402,-1.46432,50,5.65823,6.53091,-129.53196,-5.7249,-11.14793,25.84123,-18.08319,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,7737dd30-2ad0-11f1-9da3-61ae425bd529,88.91963,,,7.2207,,,,,,,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:03:46.03,2026-03-28T14:03:46.0307968-04:00,2026-03-28T18:03:46.0307968Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,4d6dc22f-dd16-4239-ab42-540e8aca620d,54.37579,-130.402,12.92061,5.84073,-5.11606,-9.0416,-1.69052,6.90624,-5.57397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,14:03:57.58,1,2,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.01329,0.926738,-1.200649,2149.640154,59.556398,8:00,5.82771,1.72702,5.80041,-39.86049,-0.11819,-2.32126,3.36821,0.41672,76.90768,-6.412109,-1.616731,0.453731,,,,,,,,,,,,0.83937,0.09161,-1.62702,50,5.88024,2.65195,-122.01509,0.60142,1.26343,24.35401,-32.03615,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,7e15ad30-2ad0-11f1-9da3-61ae425bd529,83.0723,,,7.10561,,,,,,,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:03:57.58,2026-03-28T14:03:57.5815168-04:00,2026-03-28T18:03:57.5815168Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,82411894-2842-4a7a-bc9e-878fee75d023,54.69812,-122.94926,12.177,5.83361,1.83025,-16.01807,-1.72781,2.60348,0.63172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:04:11.40,1,3,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Baker, Cade",839368,Right,TOL_ROC,Undefined,1,Top,0,1,1,Cutter,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,83.64658,0.171152,-0.206465,2144.308541,165.546405,11:30,5.88578,1.8108,5.81464,-34.30029,5.38772,-1.09449,3.18657,1.52762,77.23308,-6.153753,-0.40278,0.45342,,,,,,,,,,,,0.51032,3.03614,-1.79322,50,5.87918,0.48089,-121.64489,-0.76916,0.77041,22.17807,-27.59041,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,8650ea50-2ad0-11f1-9da3-61ae425bd529,83.12911,,,6.4135,,,,,,,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:04:11.40,2026-03-28T14:04:11.4091008-04:00,2026-03-28T18:04:11.4091008Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,74f6f234-005b-44df-93b3-87296434e3d9,54.68591,-122.49624,11.08904,5.88838,0.28995,-13.7952,-1.81111,0.45132,0.38521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,14:04:49.13,2,1,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Scholvin, Charlie",839366,Right,TOL_ROC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.34172,-1.17526,-2.514989,2114.58939,193.268134,12:30,5.94701,1.70987,6.03481,-17.57788,19.45056,4.2667,3.39271,-0.26492,78.59964,-4.563979,-1.748307,0.437965,80.38084,62.399029,-37.453872,,,,,,56.12567,,,-3.03197,10.80213,-1.51579,50,5.84588,5.38752,-126.59407,-3.07091,-4.83651,29.94832,-14.94278,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,9cca8c00-2ad0-11f1-9da3-61ae425bd529,86.06273,105.59286,,8.74208,,,,2.32442,3.33436,0.28089,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:04:49.13,2026-03-28T14:04:49.1377152-04:00,2026-03-28T18:04:49.1377152Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,07f57292-3b21-40bc-94ae-21b655458466,54.46222,-127.64533,14.97416,5.94447,-2.54638,-7.47139,-1.70788,5.5573,-2.41825,167.640506,2.32444,43.35532,-16.19929,4.49405,-0.04596,-0.862,0.54894,-0.1603,0.01819,3.33435,104.47724,-25.36686,2.71776,-0.89217,0.60217,-0.32749,0.09818,-0.01217,0.28088,-33.21529,5.88968,-1.35048,0.1233,0.09103,-0.06287,0.01734,-0.00172,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-03-28,14:05:57.00,2,2,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Scholvin, Charlie",839366,Right,TOL_ROC,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.70542,0.531952,-2.630628,2183.012021,81.027103,8:45,5.79585,1.72367,5.78543,-39.49864,1.22173,-1.54587,2.99973,-0.85426,75.57936,-6.769257,-2.907234,0.45928,,,,,,,,,,,,-0.07957,0.92854,-1.50584,50,5.8165,5.63585,-121.26697,-0.22184,-0.11649,27.43058,-30.81455,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,c53dc580-2ad0-11f1-9da3-61ae425bd529,82.06861,,,8.12605,,,,,,,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:05:57.00,2026-03-28T14:05:57.0021888-04:00,2026-03-28T18:05:57.0021888Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,1a8a7bce-820b-4bf4-bd4a-f8b48d68a952,54.71023,-122.32778,13.71529,5.80204,0.96984,-15.40728,-1.72388,5.64036,-0.05824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,14:06:15.66,2,3,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Scholvin, Charlie",839366,Right,TOL_ROC,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.22434,-0.023087,-2.068904,2133.082919,203.932618,12:45,5.84295,1.63996,6.19662,-17.84111,16.18729,6.69461,4.33487,0.28707,82.08127,-3.433923,-0.861611,0.419848,,,,,,,,,,,,-4.02898,8.69729,-1.48734,50,5.83202,4.44964,-131.00357,-0.5546,-6.97931,28.50063,-17.10797,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,d0565900-2ad0-11f1-9da3-61ae425bd529,89.77638,,,8.14306,,,,,,,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:06:15.66,2026-03-28T14:06:15.6648448-04:00,2026-03-28T18:06:15.6648448Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,4a7ac322-e9b9-4533-a424-b78b738450b3,54.29966,-131.93567,14.25032,5.84101,0.00491,-8.55399,-1.63659,4.67789,-3.48965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:06:28.99,2,4,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Scholvin, Charlie",839366,Right,TOL_ROC,Undefined,1,Top,0,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,84.30037,0.499313,-1.826766,2270.611392,104.354226,9:30,5.7945,1.82652,5.85523,-37.51994,1.61146,-1.8326,3.13201,-0.02406,77.72221,-6.40448,-2.155408,0.45023,,,,,,,,,,,,0.45846,1.05717,-1.6771,50,5.81312,3.98046,-122.50863,-0.20317,0.70073,22.90845,-30.55823,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,d855ecb0-2ad0-11f1-9da3-61ae425bd529,83.71824,,,6.57816,,,,,,,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:06:28.99,2026-03-28T14:06:28.9980000-04:00,2026-03-28T18:06:28.9980000Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,e14d758f-eceb-4eb9-b772-2138c00b8190,54.64446,-123.37406,11.45423,5.79899,0.95126,-15.27911,-1.82697,3.95398,0.35037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.58955,,,0.972925,,,,1.21586,4.82143,1.37736,68.93631,4.8767,-55.84289,1.2812,76.09005,-6.72213,4.87896,14.48692,-14.88029,1.31678,-64.63435,6.03626,High,High,High,,,High,High,High
8,2026-03-28,14:06:57.65,3,1,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.86739,-0.377509,-2.086175,2191.421587,212.25026,1:00,5.87255,2.01509,6.18886,-19.22907,15.14363,8.83662,3.92134,0.82445,81.65585,-4.041474,-0.49254,0.421967,,,,,,,,,,,,-5.14819,8.27414,-1.86192,50,5.83424,4.38067,-130.46383,-1.41637,-8.82667,28.78743,-17.98782,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,e96a0680-2ad0-11f1-9da3-61ae425bd529,89.32563,,,8.21154,,,,,,,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:06:57.65,2026-03-28T14:06:57.6578560-04:00,2026-03-28T18:06:57.6578560Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,4c2c3351-124a-4282-a4ed-929405ebfff7,54.30758,-131.41087,14.39372,5.87111,-0.82461,-8.99391,-2.01081,4.67105,-4.41334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,14:07:11.83,3,2,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.04054,0.772292,-2.258395,2267.007382,107.871189,9:30,5.72501,2.07008,5.84886,-37.74888,1.71295,-1.68878,3.29751,-0.17031,77.3443,-6.177315,-2.561,0.452126,,,,,,,,,,,,0.26087,1.06032,-1.88542,50,5.76585,4.88189,-122.06554,0.36722,0.39536,23.01677,-30.56709,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,f1d8afb0-2ad0-11f1-9da3-61ae425bd529,83.36704,,,6.69624,,,,,,,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:07:11.83,2026-03-28T14:07:11.8396928-04:00,2026-03-28T18:07:11.8396928Z,,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,78f6c3b0-8d22-437e-b84c-8d2e4055aade,54.65014,-122.93924,11.50838,5.72989,1.52754,-15.28355,-2.07045,4.86688,0.19768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,14:07:27.34,3,3,"Griffith, Elijah",1000426950,Right,AKR_ZIP,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.28739,-0.846985,-1.773501,2115.360262,208.223606,1:00,5.75367,2.13282,6.15472,-17.97733,17.29202,8.58327,3.47261,1.20903,80.23627,-4.31051,-0.226101,0.427435,72.99112,15.907089,-163.072018,1473.706932,,,,137.17667,49.66718,-163.385057,1.541314,-4.99673,9.5741,-2.00223,50,5.68008,3.64821,-129.47978,-2.40513,-8.33267,31.49223,-16.20801,AKR_ZIP,TOL_ROC,UofAkron,D1,MAC,20260328-UofAkron-1,fb16b6d0-2ad0-11f1-9da3-61ae425bd529,88.18285,13.06659,,9.05112,,,,-0.08965,3.28432,-1.25339,eb6fbb51-e5ef-469b-85e7-8a09a8973bb2,2026-03-28,18:07:27.34,2026-03-28T14:07:27.3454592-04:00,2026-03-28T18:07:27.3454592Z,LineDrive,v3,akron,471468,247aff97c84c45e2a3b2b8094634ee57,"Melchione, Gio",824286,Right,AKR_ZIP,180e2da7-538a-40e7-9d0f-09ca0184edea,54.3406,-130.53124,15.74612,5.75135,-1.86398,-8.10401,-2.12868,3.92641,-4.16633,19.535677,-0.08965,-98.49262,8.69496,-0.05168,-0.19638,0.35828,-0.30398,0.14028,-0.02672,3.28431,29.34112,-23.51719,2.55247,-0.5015,0.14171,-0.04871,0.01759,-0.00309,-1.25339,-29.97696,4.3878,-0.78009,0.12064,0.04072,-0.05856,0.02865,-0.00554,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
