PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,16:21:39.47,1,1,"Davidsmeier, William",10068091,Right,ILL_WES,"Britton, Pete",1000502754,Right,MIL_UNI3,Undefined,1,Top,0,0,0,ChangeUp,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,82.65094,0.166561,-1.630785,1684.319539,221.590818,1:30,6.18514,1.72376,6.29092,-26.29738,14.31926,11.47556,4.14725,1.17682,74.91336,-4.823036,0.443789,0.458694,,,,,,,,,,,,-6.50063,7.79898,-1.60919,50,6.18472,2.99507,-120.02915,-0.37633,-9.38324,25.52518,-20.9167,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,1c5113c0-2aec-11f1-918a-01c9b0a188fa,82.17334,,,7.73757,,,,,,,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:21:39.47,2026-03-28T16:21:39.4746368-05:00,2026-03-28T21:21:39.4746368Z,,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,f0b5291a-2db0-4db0-b967-899e81d2acbf,54.20845,-120.9208,12.76259,6.18511,0.35434,-10.45835,-1.71954,3.32285,-4.69162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,16:22:09.17,2,1,"Davidsmeier, William",10068091,Right,ILL_WES,"Cribbett, Ty",10045514,Left,MIL_UNI3,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.14806,-1.397225,-3.165117,1952.78546,243.942693,2:15,5.85137,2.1366,6.12999,-30.3336,10.46379,18.29391,2.02982,0.73245,74.9737,-7.09603,0.131249,0.459714,,,,,,,,,,,,-10.53489,6.29599,-1.90401,50,5.72884,5.96234,-120.48046,-3.84584,-15.19766,27.45402,-23.09144,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,2e039070-2aec-11f1-918a-01c9b0a188fa,81.99106,,,8.17436,,,,,,,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:22:09.17,2026-03-28T16:22:09.1755008-05:00,2026-03-28T21:22:09.1755008Z,,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,04f82044-4658-4bd3-a89f-6f640b986542,54.36916,-121.47198,13.72701,5.85267,-3.01187,-11.54572,-2.12925,6.51121,-7.59883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.92426,2.091305,0.782541,1.308765,2.67418,2.18466,-0.73044,0.62138,5.97131,-0.45906,127.28136,1.80776,3.31302,0.73545,107.72345,-8.53295,6.006,13.56353,-12.85049,-0.47333,1.91138,0.76279,High,High,High,,,High,High,Medium
3,2026-03-28,16:22:41.60,2,2,"Davidsmeier, William",10068091,Right,ILL_WES,"Cribbett, Ty",10045514,Left,MIL_UNI3,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.53038,-2.717517,-1.648198,1914.419719,212.664906,1:00,6.19743,1.80602,6.23179,-19.48981,21.91863,13.01863,2.06326,1.3699,74.06867,-6.486977,0.703349,0.463144,,,,,,,,,,,,-7.24874,12.71359,-1.68887,50,5.98461,2.93198,-119.52379,-6.13351,-10.25784,27.71068,-14.18278,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,4164ce90-2aec-11f1-918a-01c9b0a188fa,81.38389,,,8.46171,,,,,,,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:22:41.60,2026-03-28T16:22:41.6076288-05:00,2026-03-28T21:22:41.6076288Z,,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,ef0c03d7-2a03-4128-b712-1e8c0769920a,54.26327,-120.50814,13.85534,6.19354,-5.6297,-7.09139,-1.79949,3.29636,-5.12892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,16:22:57.59,2,3,"Davidsmeier, William",10068091,Right,ILL_WES,"Cribbett, Ty",10045514,Left,MIL_UNI3,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,67.53122,3.589935,2.365277,2400.400151,40.282205,7:15,6.44735,1.69689,5.7684,-72.24488,-9.32571,-9.86501,3.77517,3.07732,61.05074,-9.679883,0.599424,0.570904,,,,,,,,,,,,5.75398,-5.11099,-1.88686,50,6.70232,-3.6995,-97.72454,4.06527,5.45219,18.29502,-37.01696,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,4af402f0-2aec-11f1-918a-01c9b0a188fa,66.02242,,,6.48048,,,,,,,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:22:57.59,2026-03-28T16:22:57.5906304-05:00,2026-03-28T21:22:57.5906304Z,,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,d932eba5-69f3-49db-996a-2fc61aa28627,54.73211,-98.60646,9.14751,6.46334,5.84969,-18.50848,-1.70219,-3.96233,2.7261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,16:23:14.82,2,4,"Davidsmeier, William",10068091,Right,ILL_WES,"Cribbett, Ty",10045514,Left,MIL_UNI3,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.364,-2.328564,-1.518583,2007.092813,215.879418,1:15,6.06798,1.87827,6.1956,-17.8582,21.768,14.64087,2.42812,1.69606,75.69481,-5.795741,1.124001,0.453067,,,,,,,,,,,,-7.95937,12.41729,-1.77033,50,5.88324,2.64009,-122.20753,-5.38364,-11.7907,28.67698,-13.77961,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,5532d840-2aec-11f1-918a-01c9b0a188fa,83.19392,,,8.66918,,,,,,,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:23:14.82,2026-03-28T16:23:14.8221440-05:00,2026-03-28T21:23:14.8221440Z,,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,6eec6f15-fb02-44b1-8d38-0326c7a8239b,54.29819,-123.21201,14.33849,6.06336,-4.90098,-6.88981,-1.87004,3.05308,-5.89535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,16:23:42.55,2,5,"Davidsmeier, William",10068091,Right,ILL_WES,"Cribbett, Ty",10045514,Left,MIL_UNI3,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,73.75105,1.367795,-1.377879,1791.74001,254.704051,2:30,6.12289,1.75086,6.00569,-45.04798,7.88481,20.72017,3.63678,2.20067,65.43523,-7.097579,2.349972,0.523641,,,,,,,,,,,,-10.99288,4.21752,-1.65294,50,6.20685,1.80029,-106.72943,1.28215,-12.22545,24.49733,-27.48362,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,65b97f20-2aec-11f1-918a-01c9b0a188fa,71.98143,,,8.31582,,,,,,,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:23:42.55,2026-03-28T16:23:42.5547776-05:00,2026-03-28T21:23:42.5547776Z,,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,420b63f8-9bbe-4c0a-a1f4-4a7d7b2ae053,54.4875,-107.7545,12.24867,6.12914,2.43219,-13.74181,-1.73898,2.31186,-6.11273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,16:24:02.01,2,6,"Davidsmeier, William",10068091,Right,ILL_WES,"Cribbett, Ty",10045514,Left,MIL_UNI3,Undefined,1,Top,0,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.51769,-1.774565,-2.022565,1816.752117,245.618344,2:15,5.89088,2.04034,6.13201,-30.90691,9.42016,17.53615,1.67351,1.63143,75.5417,-7.561403,1.142183,0.457056,62.52426,24.769506,-156.455642,2465.113424,,,,134.97586,48.29402,-158.263313,1.858973,-9.69906,5.88055,-1.89458,50,5.73944,3.59362,-121.10435,-4.6907,-14.16186,27.36217,-23.5877,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,71523f20-2aec-11f1-918a-01c9b0a188fa,82.46781,17.70777,,7.97599,,,,0.93111,1.50679,-1.72294,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:24:02.01,2026-03-28T16:24:02.0113920-05:00,2026-03-28T21:24:02.0113920Z,LineDrive,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,0a94883a-46df-4177-9d3b-a1390419557e,54.36631,-122.08688,13.68108,5.89266,-3.8437,-11.79385,-2.03275,4.10215,-7.08093,,0.93111,-76.33379,6.17744,-1.2239,0.23678,-0.0456,0.00888,-0.00109,7E-05,1.50679,38.42032,-24.84598,2.86286,-0.62449,0.12289,-0.02344,0.00358,-0.00025,-1.72294,-33.26117,5.47751,-1.14741,0.22632,-0.04375,0.00849,-0.00107,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-03-28,16:24:27.30,2,7,"Davidsmeier, William",10068091,Right,ILL_WES,"Cribbett, Ty",10045514,Left,MIL_UNI3,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.26899,4.77441,1.938136,2401.920967,38.557882,7:15,6.45026,1.4244,5.70479,-70.40579,-10.91119,-10.30355,5.04462,2.37235,62.88979,-8.120934,0.098289,0.55515,,,,,,,,,,,,5.74823,-6.2089,-1.58071,50,6.80882,-3.02743,-100.21925,6.27007,5.78885,17.68029,-38.42684,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,80705550-2aec-11f1-918a-01c9b0a188fa,67.89599,,,6.3792,,,,,,,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:24:27.30,2026-03-28T16:24:27.3026560-05:00,2026-03-28T21:24:27.3026560Z,,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,0696e8ff-eef4-4d76-b4ff-298273103afe,54.7975,-101.06206,8.84014,6.46626,8.10186,-19.21342,-1.42982,-3.30339,2.89443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,16:24:45.95,2,8,"Davidsmeier, William",10068091,Right,ILL_WES,"Cribbett, Ty",10045514,Left,MIL_UNI3,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,2,,83.97828,-1.865394,-3.046561,1886.814168,210.087137,1:00,6.17367,1.8541,6.58178,-22.27985,16.91745,8.97693,2.60443,-0.1925,75.87535,-6.139348,-1.41687,0.450609,97.08806,34.972241,29.597839,2610.60616,92.21408,71.13652,59.97091,364.69449,358.15864,38.15397,5.332535,-5.70551,9.90678,-1.64861,50,6.03616,6.15396,-121.76368,-4.5272,-8.43508,27.31393,-17.52777,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,8b78e340-2aec-11f1-918a-01c9b0a188fa,83.64784,97.83123,,8.10294,,,,1.05904,2.60312,0.32133,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:24:45.95,2026-03-28T16:24:45.9559936-05:00,2026-03-28T21:24:45.9559936Z,FlyBall,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,a355d35b-b01e-4c4b-b4d5-5561f19707ef,53.91627,-122.63903,13.65697,6.17224,-3.96548,-8.76388,-1.85016,6.42428,-4.21754,,1.0682,101.27179,-23.61827,5.49784,-0.55738,-0.13208,0.0551,-0.00718,0.00033,2.59936,81.67819,-19.67714,0.9343,0.09675,-0.1052,0.03606,-0.00551,0.00031,0.32189,57.61893,-4.56248,0.09548,0.23112,-0.09593,0.02082,-0.00238,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-03-28,16:25:31.43,3,1,"Davidsmeier, William",10068091,Right,ILL_WES,"Koslofski, Kolby",1000396822,Left,MIL_UNI3,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.3842,-3.193003,-0.82329,2073.496521,222.208743,1:30,6.09924,1.69931,5.91699,-23.23919,17.57469,14.57729,1.19596,2.14997,75.46288,-7.575119,1.79658,0.459807,,,,,,,,,,,,-7.69126,10.46453,-1.64141,50,5.83007,1.14797,-120.77149,-7.40037,-11.18625,26.87087,-16.95429,ILL_WES,MIL_UNI3,IllinoisWesleyan,D3,Team,20260328-IllinoisWesleyan-2,a6a07ca0-2aec-11f1-918a-01c9b0a188fa,81.9745,,,7.92132,,,,,,,124071d3-2b43-4b41-bdd8-7541041a9c2a,2026-03-28,21:25:31.43,2026-03-28T16:25:31.4331648-05:00,2026-03-28T21:25:31.4331648Z,,v3,643-145062,643-145333,19895,"Morelli, Luca",10092971,Right,ILL_WES,9a8be93b-c455-475f-802b-95d925b0328c,54.57968,-121.78618,13.43543,6.09743,-6.76015,-8.47714,-1.69273,1.57038,-5.59312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
