PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,18:05:06.84,1,1,"Gray, Mateo",813114,Right,UCF_KNI,"Cain, Andrew",814832,Left,ARI_WIL,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.07954,-0.92454,-2.284544,2298.190032,258.937821,2:45,5.68271,1.87385,5.72205,-30.85541,3.85114,15.27741,2.24953,1.01796,83.30792,-6.566642,0.45018,0.424011,,,,,,,,,,,,-8.28162,2.44764,-1.69256,50,5.58617,4.52686,-129.61126,-3.21223,-14.39941,21.4692,-27.91828,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,2e4852e0-2af2-11f1-ad69-9bde51da770d,88.89498,,,5.77161,,,,,,,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:05:06.84,2026-03-28T18:05:06.8494336-04:00,2026-03-28T22:05:06.8494336Z,,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Skinner, Zak",692936,Right,UCF_KNI,66bb1046-9e0d-46fe-bfb4-4807238816ff,54.77904,-130.40047,10.7346,5.68539,-2.18595,-13.95914,-1.86869,5.05618,-7.1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,18:05:23.39,1,2,"Gray, Mateo",813114,Right,UCF_KNI,"Cain, Andrew",814832,Left,ARI_WIL,Undefined,1,Top,0,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.0329,-1.113033,-3.245515,2358.734451,261.387839,2:45,5.77159,1.87049,5.42621,-31.021,4.3289,20.71092,2.14225,0.55343,81.94243,-6.810188,0.438479,0.427923,70.83781,28.724263,-156.974195,3005.38409,-101.5671,22.4529,-42.2389,163.48623,62.64407,-158.637012,2.118645,-11.43414,2.84087,-1.59756,50,5.65124,6.47163,-130.48134,-3.70904,-19.58132,29.15974,-27.30896,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,38277c00-2af2-11f1-ad69-9bde51da770d,88.08231,25.24824,,8.09047,,,,2.9486,1.97281,-0.4785,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:05:23.39,2026-03-28T18:05:23.3917440-04:00,2026-03-28T22:05:23.3917440Z,FlyBall,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Skinner, Zak",692936,Right,UCF_KNI,f3270eb5-bb9f-4576-92a7-fc8be7827794,55.07288,-131.61014,14.57987,5.77436,-2.65189,-13.65448,-1.86275,7.22964,-9.79066,8.040119,2.94859,-83.85087,4.30688,0.6085,-0.28164,0.15824,-0.08585,0.0302,-0.00437,1.97288,49.9264,-29.92828,3.82751,-0.63887,0.1187,-0.04961,0.01822,-0.00249,-0.47848,-35.63861,3.16077,0.33517,-0.1193,0.10878,-0.07898,0.02976,-0.0043,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-03-28,18:05:42.44,1,3,"Gray, Mateo",813114,Right,UCF_KNI,"Cain, Andrew",814832,Left,ARI_WIL,Undefined,1,Top,0,0,2,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,91.45619,-0.742666,-3.373053,2446.954372,255.037824,2:30,5.89254,1.81401,5.33195,-29.21923,5.29166,15.30568,2.75956,-0.0789,82.84611,-6.11883,-0.657825,0.422814,92.72816,28.121854,31.785537,2951.757919,90.24173,57.26074,62.89991,317.20966,181.21536,42.039243,4.964742,-8.76245,3.20654,-1.52075,50,5.80444,7.10344,-132.44671,-2.84308,-15.40592,30.98561,-26.53636,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,437f8980-2af2-11f1-ad69-9bde51da770d,89.14664,76.46164,,8.61008,,,,2.16223,2.98533,0.02643,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:05:42.44,2026-03-28T18:05:42.4440832-04:00,2026-03-28T22:05:42.4440832Z,FlyBall,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Skinner, Zak",692936,Right,UCF_KNI,4b98d4f8-ba46-402f-91a1-91b697c3db18,55.16608,-133.64983,15.49281,5.89483,-1.81271,-13.26818,-1.80819,7.70163,-7.70296,,2.16418,101.91551,-27.38427,7.0179,-1.42062,0.21872,-0.02523,0.00221,-0.00011,2.98583,64.08927,-13.54003,-1.10264,0.79313,-0.28531,0.06587,-0.00828,0.00042,0.02656,63.1793,-7.56201,1.02235,-0.05347,-0.01102,0.00207,-1E-05,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2026-03-28,18:06:23.97,2,1,"Gray, Mateo",813114,Right,UCF_KNI,"Mihalakis, Maddox",805974,Left,ARI_WIL,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.54896,-0.779137,-3.347233,2337.199656,255.64828,2:30,5.77449,1.69343,5.49387,-28.34596,5.94709,19.40556,2.68222,0.17596,83.63175,-5.976992,0.106546,0.421477,101.56387,-0.589223,10.760176,1716.637707,,,,42.87686,40.4939,10.587954,0.294997,-10.70308,3.47638,-1.41417,50,5.68685,6.84098,-131.4728,-2.84893,-18.93308,25.09267,-26.02455,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,5c484b50-2af2-11f1-ad69-9bde51da770d,89.42931,2.85636,,6.91721,,,,1.41436,2.85636,-0.16412,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:06:23.97,2026-03-28T18:06:23.9723008-04:00,2026-03-28T22:06:23.9723008Z,GroundBall,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Skinner, Zak",692936,Right,UCF_KNI,07cceb46-73d5-4446-9f66-2d6df7c73faa,55.0072,-132.42501,12.54634,5.77623,-1.86135,-13.01228,-1.6874,7.55946,-9.46654,344.405113,1.42037,146.06175,-27.2009,,,,,,,2.86365,-1.86251,-26.67277,,,,,,,-0.16444,27.82395,-1.89445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-28,18:07:02.04,3,1,"Gray, Mateo",813114,Right,UCF_KNI,"Lira, Tony",830243,Right,ARI_WIL,Undefined,1,Top,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.53516,-0.89918,-3.940425,2439.221851,269.870457,3:00,5.75139,1.69677,5.41706,-32.91769,1.11339,16.77627,2.16388,-0.60222,83.83332,-6.90984,-0.960633,0.419865,,,,,,,,,,,,-9.50154,1.14744,-1.35824,50,5.64844,8.36185,-132.642,-3.38342,-16.94247,28.1382,-30.12802,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,72f64370-2af2-11f1-ad69-9bde51da770d,89.77283,,,7.70184,,,,,,,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:07:02.04,2026-03-28T18:07:02.0436992-04:00,2026-03-28T22:07:02.0436992Z,,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Skinner, Zak",692936,Right,UCF_KNI,2bac0675-21b8-4c90-9819-0865becf5a66,55.08174,-133.71567,14.0691,5.75561,-2.23381,-15.06401,-1.68964,9.00833,-8.47123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,18:07:16.88,3,2,"Gray, Mateo",813114,Right,UCF_KNI,"Lira, Tony",830243,Right,ARI_WIL,Undefined,1,Top,2,0,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.35834,-0.840754,-3.186263,2355.758123,274.363499,3:15,5.77646,1.69801,5.50551,-33.96128,0.11264,12.80808,2.15881,-0.21753,83.57971,-7.050016,-0.904834,0.420129,86.1871,-32.691333,-44.347674,,,,,5.03619,3.34329,-25.660776,0.032968,-7.40544,0.59201,-1.42869,50,5.67994,6.80264,-132.48751,-3.26052,-13.13526,28.85319,-31.12399,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,7bcada60-2af2-11f1-ad69-9bde51da770d,89.71637,2.25572,,7.77863,,,,2.02601,2.25572,0.27601,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:07:16.88,2026-03-28T18:07:16.8808448-04:00,2026-03-28T22:07:16.8808448Z,GroundBall,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Skinner, Zak",692936,Right,UCF_KNI,f74e8e19-3cfd-438a-8764-10ed584aae36,54.99373,-133.57062,14.4266,5.78041,-2.09217,-15.562,-1.69331,7.29572,-6.56763,,2.02514,76.2395,,,,,,,,2.2565,-68.42096,,,,,,,,0.27685,-74.52296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2026-03-28,18:10:19.30,1,1,"Bailey, Smith",815344,Right,ARI_WIL,"Gaskin, Cayden",808559,Right,UCF_KNI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.73114,-3.416781,-1.955074,2342.346308,207.166338,1:00,5.93162,1.29142,6.07578,-14.94954,16.78528,8.07819,1.51884,0.15496,85.58858,-6.265174,-0.500658,0.405452,,,,,,,,,,,,-4.70807,9.93288,-1.14436,50,5.65895,4.28627,-135.8853,-8.55092,-8.785,30.3416,-13.63983,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,e884b720-2af2-11f1-ad69-9bde51da770d,92.96399,,,8.14255,,,,,,,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:10:19.30,2026-03-28T18:10:19.3055232-04:00,2026-03-28T22:10:19.3055232Z,,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Meyers, Roman",834679,Right,ARI_WIL,8830edc1-2bc4-4f5f-a4a4-7d5f5ba9af2d,54.42084,-136.86887,15.1708,5.92897,-8.10877,-6.81991,-1.28792,4.57105,-4.3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,18:10:32.28,1,2,"Bailey, Smith",815344,Right,ARI_WIL,"Gaskin, Cayden",808559,Right,UCF_KNI,Undefined,1,Bottom,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.18449,-1.511676,-2.899971,2599.728516,73.89434,8:30,5.81734,1.26984,6.47271,-37.78494,-0.56512,-5.35296,1.27828,-1.84163,79.55454,-8.472762,-3.870893,0.439095,,,,,,,,,,,,2.11752,0.36902,-1.06329,50,5.69408,6.46741,-123.88515,-4.44041,3.3331,21.77314,-31.5932,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,f0506990-2af2-11f1-ad69-9bde51da770d,85.84116,,,5.62995,,,,,,,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:10:32.28,2026-03-28T18:10:32.2837504-04:00,2026-03-28T22:10:32.2837504Z,,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Meyers, Roman",834679,Right,ARI_WIL,78ce90de-dca3-425e-8b9d-74825c078c7a,54.02794,-124.59106,10.88657,5.82144,-3.41612,-15.7966,-1.27122,6.35935,1.66655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,18:10:51.18,1,3,"Bailey, Smith",815344,Right,ARI_WIL,"Gaskin, Cayden",808559,Right,UCF_KNI,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.04625,-0.990206,-1.367901,2427.906318,217.31373,1:15,6.01171,1.30828,6.04121,-15.59229,14.45206,10.30445,3.79521,0.90027,87.84056,-3.953441,0.486618,0.394505,,,,,,,,,,,,-5.65551,7.98752,-1.20702,50,5.926,2.86772,-139.55238,-2.90006,-11.17134,30.918,-16.39633,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,fb7e80e0-2af2-11f1-ad69-9bde51da770d,95.54352,,,8.20568,,,,,,,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:10:51.18,2026-03-28T18:10:51.1857152-04:00,2026-03-28T22:10:51.1857152Z,,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Meyers, Roman",834679,Right,ARI_WIL,d8fe2602-679b-4e50-bea0-3b045b8fa042,54.45576,-140.53609,15.459,6.00997,-2.37838,-8.19817,-1.30392,3.22316,-5.58567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,18:11:09.04,1,4,"Bailey, Smith",815344,Right,ARI_WIL,"Gaskin, Cayden",808559,Right,UCF_KNI,Undefined,1,Bottom,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,96.3167,-1.743151,-2.729389,2421.915509,213.201577,1:00,6.00877,1.26308,6.4748,-14.54906,14.77343,9.0926,3.19332,-0.48747,88.46711,-4.527273,-1.081642,0.389737,93.90854,13.513712,66.887529,4512.926579,30.67639,19.76779,105.6359,249.81763,102.23928,82.447321,2.344321,-5.48055,8.46843,-1.07469,50,5.87926,6.29315,-139.94703,-4.67576,-10.92903,29.9518,-15.28686,UCF_KNI,ARI_WIL,JohnEulianoPark,D1,BIG12,20260328-JohnEulianoPark-1,06245560-2af3-11f1-ad69-9bde51da770d,96.71247,20.20037,,7.84959,,,,0.06778,3.08551,0.51244,8ec54f25-d28c-4c33-9693-0988e2a79ab0,2026-03-28,22:11:09.04,2026-03-28T18:11:09.0481152-04:00,2026-03-28T22:11:09.0481152Z,LineDrive,v3,471267,232,1a5ec1b6313a4e22b24b51c865ebe1c3,"Meyers, Roman",834679,Right,ARI_WIL,6ac11221-7b6b-4562-a227-bfdb45c23058,54.02368,-140.80555,14.9759,6.007,-4.23759,-7.64343,-1.25956,6.60642,-5.46451,,0.06779,52.56607,-25.33497,5.81777,-1.15122,0.01953,0.11487,-0.04258,0.00516,3.0855,32.18682,-16.12333,1.17703,-0.42833,0.3165,-0.17279,0.04909,-0.00547,0.51243,123.17139,-10.5611,1.84044,-0.45515,0.23714,-0.1204,0.0335,-0.00371,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
