PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,15:03:08.18,1,1,"Tumis, Easton",806247,Right,KS_GF,"Dierks, Marcus",10322729,Left,MIA_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.00276,-3.22595,-2.292936,2410.549452,206.643529,1:00,5.32817,1.96179,6.88957,-19.37328,13.47013,6.18835,0.76923,0.38736,82.72492,-6.935676,-1.161358,0.412473,,,,,,,,,,,,-4.04311,8.51957,-1.81905,50,5.11708,5.06478,-132.06042,-7.95022,-7.06014,31.06205,-17.29713,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,c2365840-2ad8-11f1-be08-27537553d63c,91.38161,,,8.27785,,,,,,,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:03:08.18,2026-03-28T15:03:08.1849856-04:00,2026-03-28T19:03:08.1849856Z,,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,3935aaee-660c-4f85-867a-227783d87d6e,53.60965,-132.90674,15.53102,5.32727,-7.47894,-8.64856,-1.95966,5.25715,-3.53007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,15:03:27.01,1,2,"Tumis, Easton",806247,Right,KS_GF,"Dierks, Marcus",10322729,Left,MIA_RED,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Double,0,0,,90.36191,-1.174586,-3.052988,2416.23052,193.563815,12:30,5.13065,2.30717,6.75729,-18.65981,14.74682,3.28449,2.50116,-0.21028,82.00829,-4.764853,-2.455093,0.415995,100.56394,4.446505,40.613688,3382.221495,,,,98.83577,98.78022,43.695294,0.739467,-2.67937,8.5065,-2.10836,50,5.04632,6.8735,-131.18205,-3.17341,-4.62444,30.22095,-17.49231,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,cd7119c0-2ad8-11f1-be08-27537553d63c,90.60796,3.93114,,8.35362,,,,1.98819,2.38101,0.39379,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:03:27.01,2026-03-28T15:03:27.0149120-04:00,2026-03-28T19:03:27.0149120Z,GroundBall,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,82ba2a82-2434-4fbf-a091-4206a4e778dd,53.74064,-132.04099,15.11048,5.12944,-2.67625,-8.74616,-2.30558,7.00494,-2.31222,,2.0736,110.05261,-22.07555,,,,,,,2.42716,10.58383,-18.82863,,,,,,,0.38426,95.90905,-5.52349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
3,2026-03-28,15:04:17.09,2,1,"Tumis, Easton",806247,Right,KS_GF,"Novak, Ryan",10035937,Left,MIA_RED,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.85168,-0.449076,-3.265424,2568.691553,81.379153,8:45,5.07777,2.43539,6.4204,-42.84853,-0.4802,-12.39827,1.09357,-1.6028,73.94226,-8.389907,-5.507965,0.468481,,,,,,,,,,,,5.51237,0.24445,-2.19674,50,5.02635,7.12428,-117.34081,-2.17629,7.58941,24.79609,-31.83747,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,eb527bf0-2ad8-11f1-be08-27537553d63c,80.45669,,,6.90943,,,,,,,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:04:17.09,2026-03-28T15:04:17.0983936-04:00,2026-03-28T19:04:17.0983936Z,,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,eaeaac99-3ebe-49e1-9723-f54df0b3c0b2,54.07961,-118.19975,12.39805,5.08263,-1.07343,-15.91873,-2.43897,6.86137,3.79471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,15:04:57.92,2,2,"Tumis, Easton",806247,Right,KS_GF,"Novak, Ryan",10035937,Left,MIA_RED,Undefined,1,Top,0,0,1,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.02689,-1.791404,-1.732211,2485.765897,166.325933,11:30,5.4935,2.24499,6.73019,-17.8782,15.26465,-3.42366,2.36531,0.37623,82.14755,-5.244609,-2.356103,0.414349,,,,,,,,,,,,1.23717,8.99052,-2.12968,50,5.36814,4.12999,-132.12041,-4.58525,2.1511,32.4324,-16.54179,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,03a57180-2ad9-11f1-be08-27537553d63c,90.96784,,,8.87934,,,,,,,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:04:57.92,2026-03-28T15:04:57.9264512-04:00,2026-03-28T19:04:57.9264512Z,,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,82920922-cedd-4e24-a99e-23b5a4b4dcf5,53.76532,-133.04149,16.2162,5.49169,-4.11546,-8.2709,-2.2461,4.0689,1.07555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,15:05:17.10,2,3,"Tumis, Easton",806247,Right,KS_GF,"Novak, Ryan",10035937,Left,MIA_RED,Undefined,1,Top,0,0,2,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,1,,81.90879,0.741968,-1.219465,2436.642407,46.168827,7:30,5.36064,2.01114,6.50525,-52.5803,-11.39654,-13.3343,1.6601,-0.21941,74.59767,-9.001116,-3.645088,0.461885,101.16422,-1.068595,38.674576,3561.883954,,,,37.49378,37.49378,33.882355,0.249111,6.65382,-5.92441,-1.92031,50,5.38984,3.0003,-119.07006,-0.05631,9.38608,26.57773,-40.53117,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,0f126690-2ad9-11f1-be08-27537553d63c,81.60559,1.71988,,7.31112,,,,2.74893,1.71988,-0.00234,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:05:17.10,2026-03-28T15:05:17.1061248-04:00,2026-03-28T19:05:17.1061248Z,GroundBall,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,bc44b7f8-db3a-4306-8842-cf9e2a6641ac,53.99654,-119.95881,13.28887,5.36906,1.29904,-20.26558,-2.01539,2.68643,4.69304,,2.74764,115.88702,-7.87126,,,,,,,1.72152,-2.85508,-16.30573,,,,,,,0.00411,92.3577,-34.08623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,High,,,
6,2026-03-28,15:06:03.09,3,1,"Tumis, Easton",806247,Right,KS_GF,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.4572,-2.220539,-4.043739,2483.335073,200.039022,12:45,5.05458,2.3741,6.63008,-21.4695,12.00194,3.97626,1.22625,-1.00312,82.55765,-6.288847,-3.322693,0.416398,,,,,,,,,,,,-3.26784,7.30178,-2.10151,50,4.895,9.11479,-131.11504,-5.70236,-5.66296,28.88763,-19.5205,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,2a8dc540-2ad9-11f1-be08-27537553d63c,90.52027,,,7.89955,,,,,,,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:06:03.09,2026-03-28T15:06:03.0969344-04:00,2026-03-28T19:06:03.0969344Z,,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,6b351010-dea3-4e3d-8699-2034f167ac93,53.8673,-131.96434,14.44382,5.05421,-5.12845,-9.76025,-2.37194,9.28128,-2.83148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,15:06:24.93,3,2,"Tumis, Easton",806247,Right,KS_GF,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.6122,2.375851,0.172111,2479.80444,69.441514,8:15,4.88767,2.35314,5.95338,-50.25424,-5.60532,-19.15044,2.90447,0.91689,71.95792,-6.910527,-3.270361,0.480925,,,,,,,,,,,,9.83103,-3.15079,-2.35634,50,5.04893,0.3881,-115.4954,3.16222,13.04838,24.9966,-36.356,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,378e2b90-2ad9-11f1-be08-27537553d63c,78.37495,,,7.65428,,,,,,,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:06:24.93,2026-03-28T15:06:24.9347072-04:00,2026-03-28T19:06:24.9347072Z,,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,7abe7451-e916-4544-9746-724e56348eb8,54.54591,-116.47511,12.4983,4.89707,4.58716,-18.178,-2.36153,-0.12332,6.52419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,15:06:48.47,3,3,"Tumis, Easton",806247,Right,KS_GF,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,0,2,0,Fastball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.07694,-1.60913,-3.102079,2432.223255,190.125196,12:15,5.33556,2.01549,6.8631,-25.51974,8.56623,1.29197,1.73962,-0.70723,80.59599,-6.481209,-2.86629,0.420203,,,,,,,,,,,,-1.8002,5.51374,-1.81843,50,5.22409,7.02504,-130.54031,-4.38238,-3.02039,34.56641,-22.92313,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,4585c320-2ad9-11f1-be08-27537553d63c,89.70056,,,9.48094,,,,,,,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:06:48.47,2026-03-28T15:06:48.4700672-04:00,2026-03-28T19:06:48.4700672Z,,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,3133ece7-cd24-42ef-a58d-5c5c4ae4fd49,53.63157,-131.49841,17.28321,5.33676,-3.747,-11.46157,-2.01431,7.10875,-1.51019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,15:07:32.19,3,4,"Tumis, Easton",806247,Right,KS_GF,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,0,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.51977,1.51185,-0.577958,2578.619071,77.042902,8:30,4.90399,2.49549,6.08079,-45.99404,-2.85118,-18.62533,2.47029,0.40865,73.32403,-6.997348,-3.933894,0.472744,,,,,,,,,,,,9.41583,-1.50559,-2.4412,50,4.99672,1.87814,-116.95347,1.62984,12.89386,24.38697,-34.23577,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,5f9e5d80-2ad9-11f1-be08-27537553d63c,79.73123,,,7.19573,,,,,,,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:07:32.19,2026-03-28T15:07:32.1907200-04:00,2026-03-28T19:07:32.1907200Z,,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,9046bca0-5213-466c-b67b-3c35bb7c6ae9,54.41909,-117.87134,12.19348,4.91113,2.91838,-17.11788,-2.50276,1.39285,6.44693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,15:07:55.38,3,5,"Tumis, Easton",806247,Right,KS_GF,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.36672,-2.843108,-3.868518,2531.999395,184.872047,12:15,5.31098,2.0733,6.78493,-18.38529,14.43406,1.13323,1.17537,-1.36917,82.94397,-6.365841,-3.662424,0.412322,,,,,,,,,,,,-1.80221,8.87032,-1.82203,50,5.11858,8.90762,-132.3674,-7.06323,-3.16203,31.17778,-16.61079,KS_GF,MIA_RED,OlgaMuralField,D1,MAC,20260328-OlgaMuralField-1,6d66f5d0-2ad9-11f1-be08-27537553d63c,91.41512,,,8.42274,,,,,,,4779f305-d2d3-462f-b39c-e2f3dc739148,2026-03-28,19:07:55.38,2026-03-28T15:07:55.3880064-04:00,2026-03-28T19:07:55.3880064Z,,v3,471330,471355,790790a15fda4d42bd8e6d185efa8119,"Williams, Brody",1000438809,Right,KS_GF,f776d42d-fa13-4c5d-aa72-b16e3a2d1fb2,53.71219,-133.2389,15.58889,5.30952,-6.59891,-8.3054,-2.07226,8.99601,-1.58101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
