PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,18:35:50.21,1,1,"Overbay, Alex",814099,Right,ARI_SUN,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.14874,-2.519129,-1.303871,2365.604933,216.374624,1:15,6.1506,1.95391,5.94439,-11.97386,18.59127,12.88532,2.81403,1.81806,86.76375,-4.849888,1.010923,0.39791,,,,,,,,,,,,-6.94567,10.60079,-1.85692,50,5.94301,2.56578,-139.35607,-6.44283,-13.48513,35.02899,-11.59249,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,9d8db650-2b0f-11f1-a9a4-3f5f756b0a99,94.72613,,,9.38499,,,,,,,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:35:50.21,2026-03-28T18:35:50.2118912-07:00,2026-03-29T01:35:50.2118912Z,,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,e100636a-8bb2-44ee-a5d9-59737a99fc90,54.55069,-140.49529,17.5145,6.14641,-6.06582,-5.79624,-1.94749,3.00435,-6.74257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,18:36:02.81,1,2,"Overbay, Alex",814099,Right,ARI_SUN,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.62523,-3.524704,-3.137108,2379.60904,213.484415,1:00,6.1831,1.62197,5.84698,-10.43028,20.73611,12.95583,2.02949,-0.21648,86.15333,-5.580908,-0.818429,0.401804,77.15572,11.40878,-167.806271,1270.362561,,,,118.72947,54.21976,-169.232545,1.264386,-7.63583,12.06142,-1.37436,50,5.88985,6.98803,-138.30645,-8.78485,-14.58155,34.91141,-9.14123,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,a50e7d10-2b0f-11f1-a9a4-3f5f756b0a99,93.80792,8.29871,,9.4719,,,,1.92743,2.05547,0.1972,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:36:02.81,2026-03-28T18:36:02.8100096-07:00,2026-03-29T01:36:02.8100096Z,GroundBall,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,4365ed61-551b-4d48-9975-1449a65bb567,54.65039,-139.47537,17.45571,6.17887,-8.47878,-4.57062,-1.61651,7.47626,-7.29077,47.137096,1.92743,-108.42297,13.03101,-1.51115,0.36072,-0.06705,0.01197,-0.00223,0.00024,2.05547,22.38421,-21.08987,1.99033,-0.3436,0.08061,-0.01393,0.0021,-0.00022,0.1972,-23.42946,5.29494,-0.75567,0.15151,-0.03016,0.00545,-0.00094,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-03-28,18:36:18.29,1,3,"Overbay, Alex",814099,Right,ARI_SUN,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,1,1,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.92103,-1.199786,-0.98576,2389.538424,160.710126,11:15,6.11099,1.98957,5.78656,-23.54171,11.20603,-3.53118,3.03268,0.77815,82.14461,-5.591281,-1.618441,0.424263,73.36474,54.645451,-133.944845,5172.494678,,,,,54.20062,,,1.53,6.39496,-1.90616,50,5.99804,2.39658,-130.57105,-3.52772,2.63377,28.22976,-21.16571,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,ae4ea710-2b0f-11f1-a9a4-3f5f756b0a99,88.84222,59.32579,,7.77642,,,,1.38683,2.94909,-0.72448,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:36:18.29,2026-03-28T18:36:18.2982144-07:00,2026-03-29T01:36:18.2982144Z,,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,f72ed515-2b0d-4867-8bb1-4aeca1b52ab9,54.7119,-131.58583,14.11488,6.11118,-2.76687,-10.58285,-1.99061,2.3019,1.31688,19.323015,1.38683,-43.20718,-2.24864,1.87725,-1.12987,1.7809,-2.42467,1.78508,-0.52286,2.94908,87.75874,-31.59648,4.42904,-1.48121,1.64298,-2.14332,1.55793,-0.45123,-0.72448,-44.8291,4.70709,-0.55408,0.09356,-0.0822,0.11353,-0.07957,0.02167,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-03-28,18:36:33.88,1,4,"Overbay, Alex",814099,Right,ARI_SUN,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,1,2,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8878,-2.967766,-1.307854,1954.7499,236.822491,2:00,6.09227,1.79222,6.10542,-25.18206,11.18607,15.13052,1.24615,1.84345,79.75347,-7.684381,1.422266,0.434042,,,,,,,,,,,,-8.18764,7.09768,-1.69931,50,5.85099,2.2851,-127.39951,-7.39179,-13.28149,29.35172,-20.66064,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,b79e6170-2b0f-11f1-a9a4-3f5f756b0a99,86.84049,,,8.13433,,,,,,,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:36:33.88,2026-03-28T18:36:33.8829824-07:00,2026-03-29T01:36:33.8829824Z,,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,283c7499-4694-48a0-8af0-c73f8792b4ee,54.39113,-128.4072,14.67586,6.09259,-6.68247,-10.33032,-1.78559,2.74107,-6.64074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,18:36:47.60,1,5,"Overbay, Alex",814099,Right,ARI_SUN,"Ineich, Matthew",1000362757,Left,WES_MOU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,95.10711,-2.129036,-2.47584,2356.001911,203.556668,12:45,6.15495,1.60511,6.01318,-11.69721,19.34481,7.96615,3.20518,-0.02599,86.13484,-4.411495,-1.044704,0.401002,101.80223,10.082412,2.777478,853.301611,109.98337,15.36195,1.8845,233.61453,233.34929,-0.99221,2.074861,-4.86268,10.92438,-1.41522,50,5.98148,5.61053,-137.90055,-5.43458,-9.27995,33.22723,-11.32599,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,bfc1d0d0-2b0f-11f1-a9a4-3f5f756b0a99,93.99568,15.55549,,8.97228,,,,1.7391,3.22048,0.01545,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:36:47.60,2026-03-28T18:36:47.6088320-07:00,2026-03-29T01:36:47.6088320Z,LineDrive,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,41f35652-4fe4-4cbe-ba98-28620c873658,54.48457,-138.9769,16.61362,6.15158,-5.06768,-5.663,-1.60183,5.91115,-4.63998,134.262324,1.7391,146.83119,-24.13194,5.02374,-1.06638,0.22155,-0.04346,0.00656,-0.0005,3.22048,26.13878,-14.24789,0.40806,0.04616,-0.03342,0.01278,-0.00265,0.00026,0.01545,7.12343,-7.46762,2.40249,-0.68009,0.17553,-0.04073,0.00699,-0.0006,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-28,18:37:28.10,2,1,"Overbay, Alex",814099,Right,ARI_SUN,"Kelly, Gavin",815475,Right,WES_MOU,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.01954,0.307,-2.059296,2310.003814,113.542068,9:45,6.04733,2.02228,5.68982,-32.7638,4.19366,-7.16571,3.60333,-0.49496,80.20915,-5.715594,-3.339213,0.437545,,,,,,,,,,,,3.10272,2.39315,-1.84458,50,6.05265,4.84698,-126.41237,-0.48155,5.05169,24.27898,-28.27764,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,d7eb9380-2b0f-11f1-a9a4-3f5f756b0a99,86.14534,,,6.81039,,,,,,,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:37:28.10,2026-03-28T18:37:28.1049600-07:00,2026-03-29T01:37:28.1049600Z,,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,f6644188-1991-420a-a7fe-21d4883f5735,54.80916,-127.33267,12.13949,6.05059,0.59033,-14.13882,-2.02468,4.65549,2.52585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,18:38:01.15,2,2,"Overbay, Alex",814099,Right,ARI_SUN,"Kelly, Gavin",815475,Right,WES_MOU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.27845,-1.509388,-3.714306,2356.301076,201.265075,12:45,6.07047,1.93366,5.81131,-13.2495,18.66407,6.83166,3.55952,-0.95575,85.26887,-4.068024,-2.494282,0.406592,,,,,,,,,,,,-4.58142,10.27012,-1.63283,50,5.93865,8.54322,-136.48853,-3.97101,-8.5682,32.44726,-12.9668,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,eb9ee940-2b0f-11f1-a9a4-3f5f756b0a99,92.70333,,,9.00958,,,,,,,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:38:01.15,2026-03-28T18:38:01.1537408-07:00,2026-03-29T01:38:01.1537408Z,,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,2af08080-0bc3-470c-b8c5-680e5ce7ee6f,54.68397,-137.59754,16.22363,6.0668,-3.52782,-6.4834,-1.92983,8.83607,-4.2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,18:38:20.50,2,3,"Overbay, Alex",814099,Right,ARI_SUN,"Kelly, Gavin",815475,Right,WES_MOU,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,94.75483,-2.282169,-2.226756,2367.771584,203.91629,12:45,6.17904,2.05885,5.78288,-11.52886,20.17481,8.43764,3.09229,0.68921,85.3946,-4.537496,-0.71702,0.405253,70.7381,37.898362,30.070752,5574.319782,88.27492,58.65828,65.63176,212.99617,192.96988,42.906383,4.014449,-5.01969,11.35131,-1.88038,50,5.98405,4.95215,-137.27155,-5.77589,-9.44516,34.32009,-10.81507,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,f71eca10-2b0f-11f1-a9a4-3f5f756b0a99,93.00967,59.08557,,9.36023,,,,1.00033,3.12351,-0.67213,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:38:20.50,2026-03-28T18:38:20.5092864-07:00,2026-03-29T01:38:20.5092864Z,FlyBall,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,16e6e644-d688-421d-8865-170366d52e9a,54.71397,-138.4451,17.16004,6.17523,-5.40608,-5.40754,-2.05524,5.27512,-4.72258,221.963894,0.99805,70.91791,-16.59034,4.92965,-1.93805,0.82469,-0.25805,0.04454,-0.00305,3.12393,63.71778,-20.3122,1.35906,-0.02012,-0.07213,0.02466,-0.00254,1E-05,-0.67058,40.98202,0.06899,-1.35541,0.74443,-0.27634,0.06297,-0.00701,0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-03-28,18:39:05.03,3,1,"Overbay, Alex",814099,Right,ARI_SUN,"Schoenfeld, Paul",1000249197,Left,WES_MOU,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.76411,0.284782,-2.254818,2309.806712,110.88296,9:45,6.06807,1.97936,5.752,-31.86903,4.99449,-9.80441,3.67764,-0.93781,79.61732,-5.617526,-4.007229,0.436988,,,,,,,,,,,,4.25894,2.85272,-1.7863,50,6.07262,5.43515,-127.25303,-0.48469,6.90602,28.82021,-27.54829,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,11af0570-2b10-11f1-a9a4-3f5f756b0a99,86.25502,,,8.14679,,,,,,,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:39:05.03,2026-03-28T18:39:05.0373120-07:00,2026-03-29T01:39:05.0373120Z,,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,112c23ea-25a0-49e7-ae3f-c7ef728e8660,54.74402,-128.32296,14.41011,6.07163,0.53802,-13.77414,-1.98332,5.17877,3.45301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,18:39:23.47,3,2,"Overbay, Alex",814099,Right,ARI_SUN,"Schoenfeld, Paul",1000249197,Left,WES_MOU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.33845,-4.227825,-2.292096,2371.154331,202.167769,12:45,6.13839,1.79463,5.7022,-11.12064,20.2993,7.81319,1.26191,0.30885,86.33076,-6.386753,-0.896273,0.403435,,,,,,,,,,,,-4.68248,11.95257,-1.60735,50,5.77639,5.15784,-137.88066,-10.49843,-8.92538,33.47474,-9.39109,ARI_SUN,WES_MOU,PhoenixMunicipal,D1,BIG12,20260328-PhoenixMunicipal-1,1ca5e020-2b10-11f1-a9a4-3f5f756b0a99,93.42867,,,9.00769,,,,,,,5827de74-a0f5-4acb-b7fc-ee3030c04636,2026-03-29,01:39:23.47,2026-03-28T18:39:23.4742272-07:00,2026-03-29T01:39:23.4742272Z,,v3,5035,5327,cfbd21802e23422a8dcdc1b57550f05d,"Niclai, Coen",815515,Right,ARI_SUN,acb75e2c-70fd-4da7-9a6b-fa1fc8c46f10,54.79511,-139.03995,16.73737,6.13434,-10.1732,-4.69554,-1.79133,5.46694,-4.46269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
