PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,16:19:11.68,1,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Ruiz, Jose",10146368,Right,KIN_UNI,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.47842,1.41945,1.202183,2384.27291,306.693767,4:15,5.95534,-1.56069,5.66939,-58.79936,-6.56548,10.97316,2.37947,0.47483,67.73106,-9.304213,3.166029,0.520173,,,,,,,,,,,,-5.22855,-3.24323,1.4521,50,6.03815,-2.632,-106.73681,0.81593,-6.01555,18.83485,-35.90546,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,627a6fd0-2ae3-11f1-8ab1-77a655c17845,72.46139,,,5.74737,,,,,,,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:19:11.68,2026-03-28T16:19:11.6800000-04:00,2026-03-28T20:19:11.6800000Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,2d557d05-a199-4015-b284-20a95f97f12f,54.83484,-107.58658,9.41742,5.96479,2.43588,-17.95273,1.56472,-2.36059,-3.00778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,16:19:25.00,1,2,"Ritchie, Austin",10298984,Left,YOU_HAR,"Ruiz, Jose",10146368,Right,KIN_UNI,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.506,1.096737,0.134972,2361.852657,313.626141,4:30,5.93707,-1.71461,5.67358,-57.84039,-5.80079,7.74835,2.13969,-0.94307,67.88489,-9.452296,1.523246,0.519205,,,,,,,,,,,,-3.88658,-2.72445,1.69832,50,5.99333,-0.53031,-106.8244,0.24021,-4.49053,18.42036,-35.32186,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,6a685040-2ae3-11f1-8ab1-77a655c17845,72.59651,,,5.62111,,,,,,,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:19:25.00,2026-03-28T16:19:25.0070016-04:00,2026-03-28T20:19:25.0070016Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,040bf15a-8b78-48cb-92cc-dd2d39f5d642,54.83015,-107.65407,9.21018,5.94668,1.83114,-17.66093,1.71765,-0.32805,-2.24527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,16:19:39.28,1,3,"Ritchie, Austin",10298984,Left,YOU_HAR,"Ruiz, Jose",10146368,Right,KIN_UNI,Undefined,1,Top,0,0,2,Fastball,Cutter,InPlay,Undefined,GroundBall,Single,0,0,,88.8956,-1.079851,1.249881,2136.485846,158.551857,11:15,5.75833,-1.83025,6.16864,-24.82175,10.30469,-3.59484,2.69204,-0.97512,81.02999,-5.740967,0.601078,0.426568,87.06562,-21.900118,29.929516,,,,,6.08198,6.08198,40.063008,0.047806,2.22536,5.99618,1.73732,50,5.66385,-2.67049,-129.108,-3.21481,3.73623,28.21287,-22.10683,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,72e10b90-2ae3-11f1-8ab1-77a655c17845,88.36207,2.28167,,7.8656,,,,-0.2641,2.28167,1.08269,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:19:39.28,2026-03-28T16:19:39.2807424-04:00,2026-03-28T20:19:39.2807424Z,GroundBall,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,03e845c6-734c-49d5-bacd-fe5daaf7be1b,54.33161,-130.0511,14.10644,5.75896,-2.47582,-11.05341,1.82868,-2.79538,1.86811,,-0.26574,102.89322,,,,,,,,2.28243,-47.72808,,,,,,,,1.08175,59.23678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2026-03-28,16:20:15.15,2,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Janney, Logan",1000069034,Right,KIN_UNI,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,Bunt,Sacrifice,1,0,,86.85596,-2.061287,2.396621,2172.11309,140.727926,10:45,5.81306,-1.57758,6.34317,-24.63647,12.00394,-8.81437,1.85982,-0.10437,79.21438,-6.70248,0.80151,0.435664,,,,,,,,,,,,5.32827,7.22922,1.4073,50,5.65134,-4.94033,-126.05953,-5.26164,8.51931,27.1492,-20.6154,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,883fc760-2ae3-11f1-8ab1-77a655c17845,86.51722,,,7.64158,,,,,,,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:20:15.15,2026-03-28T16:20:15.1566336-04:00,2026-03-28T20:20:15.1566336Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,f4cfd83d-0819-462a-90de-54e48e6268ab,54.15832,-126.95194,13.5746,5.81315,-4.584,-10.3077,1.57429,-5.22037,4.25966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,16:20:50.27,3,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Garcia, Misael",1000509794,Right,KIN_UNI,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.33616,0.51078,0.412293,2427.707289,321.64699,4:45,5.88786,-1.70268,5.75072,-59.13484,-7.36796,6.98331,1.43552,-0.73689,68.34543,-10.242946,1.666336,0.517842,,,,,,,,,,,,-3.46059,-3.44543,1.66411,50,5.89393,-1.01054,-106.69495,-0.86413,-4.01512,17.23743,-36.17157,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,9d403690-2ae3-11f1-8ab1-77a655c17845,72.78751,,,4.99073,,,,,,,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:20:50.27,2026-03-28T16:20:50.2759936-04:00,2026-03-28T20:20:50.2759936Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,6e0a0de2-c5a1-4e2a-bfae-b831ce8eac25,54.75483,-107.46039,8.61872,5.89664,0.74209,-18.08579,1.70503,-0.83225,-2.00756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,16:21:07.65,3,2,"Ritchie, Austin",10298984,Left,YOU_HAR,"Garcia, Misael",1000509794,Right,KIN_UNI,Undefined,1,Top,1,1,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.53506,-1.953117,2.508583,2129.096737,158.125859,11:15,5.86539,-1.59631,6.13744,-24.62588,10.66233,-3.84197,2.00565,0.40355,81.32524,-6.551203,1.816314,0.427549,,,,,,,,,,,,2.6652,6.38221,1.4067,50,5.70338,-5.47513,-128.5208,-5.16494,4.4677,26.07782,-21.47542,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,a78d15a0-2ae3-11f1-8ab1-77a655c17845,88.1593,,,7.20982,,,,,,,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:21:07.65,2026-03-28T16:21:07.6584448-04:00,2026-03-28T20:21:07.6584448Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,ebc83487-7a55-4cab-9b45-3538002ff175,54.3635,-129.40316,13.03891,5.86584,-4.43831,-10.73771,1.59451,-5.6263,2.23385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,16:21:23.03,3,3,"Ritchie, Austin",10298984,Left,YOU_HAR,"Garcia, Misael",1000509794,Right,KIN_UNI,Undefined,1,Top,1,1,1,Fastball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.17131,0.656575,0.613507,2427.407125,327.218936,5:00,5.90798,-1.638,5.7138,-59.38428,-8.71489,6.52607,1.57104,-0.52258,69.11127,-10.132623,1.78445,0.512324,,,,,,,,,,,,-3.17969,-4.21567,1.58249,50,5.92564,-1.38432,-107.91073,-0.61575,-3.77425,17.60987,-37.17798,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,b0c2df60-2ae3-11f1-8ab1-77a655c17845,73.57155,,,5.06003,,,,,,,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:21:23.03,2026-03-28T16:21:23.0326784-04:00,2026-03-28T20:21:23.0326784Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,d9e37d2d-5789-4428-9f6f-f277901182ac,54.7923,-108.68997,8.80493,5.91648,1.02938,-18.58899,1.64005,-1.21731,-1.88713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.46623,1.699255,0.80553,0.893726,0.22462,1.35515,0.48516,-2.55894,6.1937,-2.6221,62.50979,3.27186,-62.28946,-2.55117,76.28474,-3.91833,6.20582,8.04269,-12.69844,-2.67846,-76.70396,11.30536,High,High,High,,,High,High,Medium
8,2026-03-28,16:21:54.80,3,4,"Ritchie, Austin",10298984,Left,YOU_HAR,"Garcia, Misael",1000509794,Right,KIN_UNI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.95267,-0.906291,2.213366,2196.080315,165.639588,11:30,5.85974,-1.71115,6.12062,-23.86226,12.84044,-2.98642,3.03263,0.08734,79.45033,-5.393777,1.675515,0.436034,72.94052,-35.721983,-51.579784,,,,,5.41532,5.41532,-38.93382,0.048599,2.18181,7.24674,1.5431,50,5.77779,-4.7629,-126.26778,-2.72233,3.5141,26.27843,-20.50224,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,c3a50270-2ae3-11f1-8ab1-77a655c17845,86.4438,3.04791,,7.50234,,,,1.57871,3.04791,-0.0826,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:21:54.80,2026-03-28T16:21:54.8022272-04:00,2026-03-28T20:21:54.8022272Z,GroundBall,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,fdbae623-8588-4528-8d0f-210c4cb87ce3,54.3808,-127.17622,13.13921,5.85965,-2.01357,-10.25112,1.70985,-4.88439,1.75705,,1.57699,54.19283,,,,,,,,3.04991,-62.71567,,,,,,,,-0.08042,-68.3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2026-03-28,16:22:24.92,4,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Regan, Tommy",10142038,Right,KIN_UNI,Undefined,1,Top,2,0,0,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,1,,74.50322,0.775494,0.649542,2523.901036,319.942281,4:45,5.95655,-1.70101,5.72792,-59.00354,-8.70225,8.52993,1.76197,-0.38518,69.25031,-9.956319,2.180207,0.510459,103.8432,-6.869286,-9.656449,,,,,14.75877,12.95663,-6.586819,0.087378,-4.20252,-4.27343,1.64135,50,5.98433,-1.52724,-108.37227,-0.37238,-5.01921,18.18258,-37.27792,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,d5a725c0-2ae3-11f1-8ab1-77a655c17845,73.84026,1.59295,,5.25291,,,,1.62586,1.59295,0.52504,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:22:24.92,2026-03-28T16:22:24.9299968-04:00,2026-03-28T20:22:24.9299968Z,GroundBall,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,73fd0d26-6f20-4a42-9766-2ca94407f00a,54.77817,-109.171,9.09129,5.96472,1.26518,-18.63896,1.7036,-1.30676,-2.50961,180,1.62421,149.18499,,,,,,,,1.59315,-18.23054,,,,,,,,0.52532,-25.38396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-03-28,16:23:03.21,5,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Richardson, Kale",1000217650,Right,KIN_UNI,Undefined,1,Top,2,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.38482,-2.214598,3.671406,2072.8883,141.963426,10:45,5.68674,-1.65583,6.35475,-27.14946,8.77989,-6.01567,1.38065,1.22683,80.51844,-7.275258,2.584593,0.431416,,,,,,,,,,,,4.13272,5.50008,1.39202,50,5.51291,-7.90753,-126.78346,-5.7409,6.75317,24.9646,-23.1865,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,ec6fd1d0-2ae3-11f1-8ab1-77a655c17845,87.36912,,,6.86638,,,,,,,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:23:03.21,2026-03-28T16:23:03.2142336-04:00,2026-03-28T20:23:03.2142336Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,bc2fff9e-0c8a-4c04-a7c7-368d43b59a3e,54.14777,-127.59758,12.4823,5.6878,-4.98477,-11.59325,1.65348,-8.12776,3.37658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2026-03-28,16:23:18.82,5,2,"Ritchie, Austin",10298984,Left,YOU_HAR,"Richardson, Kale",1000217650,Right,KIN_UNI,Undefined,1,Top,2,1,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.14741,-1.252104,1.866261,2092.34799,151.55576,11:00,5.93768,-1.5936,6.29827,-26.76631,10.15741,-4.89662,2.55263,-0.2814,79.25632,-6.261307,0.980639,0.437345,,,,,,,,,,,,3.03398,5.9715,1.45858,50,5.83269,-3.88931,-125.19489,-3.54631,4.83472,24.32207,-22.65832,YOU_HAR,KIN_UNI,TheZellB.MillerField,D2,CC,20260328-TheZellB.MillerField-3,f5c112d0-2ae3-11f1-8ab1-77a655c17845,86.18469,,,6.89109,,,,,,,409e5c39-4ed2-460f-9245-305eda4ce59f,2026-03-28,20:23:18.82,2026-03-28T16:23:18.8234240-04:00,2026-03-28T20:23:18.8234240Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,6817947e-77ad-4e75-a147-94bb29d70f08,54.20247,-126.00868,12.16104,5.93866,-2.78819,-11.32916,1.59141,-4.05107,2.41736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
