PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,13:05:57.60,1,1,"Ates, Trey",10061567,Right,ARM_BLA,"Cripe, Tyler",10101121,Left,NAV_MID,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.7046,-1.378042,-2.670872,2167.781627,204.757295,12:45,5.26774,1.69845,6.44822,-21.76749,14.35233,6.13418,2.186,-0.24618,79.99968,-5.488153,-1.559732,0.432558,91.43535,-7.0675,3.473808,,,,,16.8114,16.33762,3.974488,0.125237,-3.90347,8.19607,-1.51168,50,5.15995,5.65181,-126.0277,-3.64331,-6.32988,23.63115,-18.88326,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,8ed8c820-2b91-11f1-b0d7-d7c5c4702699,87.13846,2.18355,,6.70492,,,,0.49083,2.18355,0.26063,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:05:57.60,2026-03-29T13:05:57.6045056-04:00,2026-03-29T17:05:57.6045056Z,GroundBall,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,5bdf83a9-3d56-49a1-973a-6c28ecf8fa45,54.05413,-126.7856,11.81558,5.26709,-3.03768,-9.44163,-1.6962,5.85483,-3.16494,136.114154,0.49129,132.79288,-22.40002,,,,,,,2.18349,-16.4939,-7.51029,,,,,,,0.26081,8.04423,-6.57938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-03-29,13:06:35.48,2,1,"Ates, Trey",10061567,Right,ARM_BLA,"Izquierdo, Victor",809995,Right,NAV_MID,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.84415,-2.898926,-3.405767,2170.777204,211.12245,1:00,5.30265,1.71417,6.47555,-20.5119,14.7067,8.25926,0.92415,-0.72889,81.23498,-6.76354,-1.909975,0.427127,,,,,,,,,,,,-5.18957,8.75957,-1.47761,50,5.0887,7.27798,-127.49353,-7.04019,-8.62586,23.79493,-17.61428,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,a55eecf0-2b91-11f1-b0d7-d7c5c4702699,88.24639,,,6.60916,,,,,,,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:06:35.48,2026-03-29T13:06:35.4828288-04:00,2026-03-29T17:06:35.4828288Z,,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,30ec0b3d-a72f-4596-8b82-da11599ce646,54.02686,-128.24289,11.89747,5.30168,-6.48548,-8.80714,-1.71108,7.54962,-4.31293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,13:06:53.47,2,2,"Ates, Trey",10061567,Right,ARM_BLA,"Izquierdo, Victor",809995,Right,NAV_MID,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.39746,-1.61964,-1.989929,2181.990537,215.449134,1:15,5.3248,1.90937,6.22312,-20.23607,15.0965,9.9452,2.14265,0.90121,80.84016,-5.452644,-0.194338,0.427818,,,,,,,,,,,,-5.72048,8.62619,-1.76529,50,5.19336,4.06454,-128.38498,-4.21907,-9.54002,26.77967,-17.7882,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,b01d0460-2b91-11f1-b0d7-d7c5c4702699,88.1039,,,7.5573,,,,,,,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:06:53.47,2026-03-29T13:06:53.4747648-04:00,2026-03-29T17:06:53.4747648Z,,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,b2989eb9-d2cc-4473-b925-db53e0104f79,54.27795,-129.27423,13.38983,5.32365,-3.62839,-8.8941,-1.90551,4.38133,-4.77001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,13:07:09.46,2,3,"Ates, Trey",10061567,Right,ARM_BLA,"Izquierdo, Victor",809995,Right,NAV_MID,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.79836,-0.806186,-2.032873,2423.684623,101.532243,9:30,5.18118,2.05511,5.92664,-38.79573,1.99646,-5.00359,1.19961,-0.24899,76.93032,-7.888843,-2.931859,0.459685,,,,,,,,,,,,2.15602,1.48724,-1.88953,50,5.09416,4.41032,-119.0773,-2.9308,3.16675,17.94135,-29.98962,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,b9b25340-2b91-11f1-b0d7-d7c5c4702699,81.9963,,,4.86804,,,,,,,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:07:09.46,2026-03-29T13:07:09.4679040-04:00,2026-03-29T17:07:09.4679040Z,,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,03206262-67f6-4d38-849b-41f43d155864,54.57827,-119.76512,8.97068,5.18448,-1.78108,-14.99481,-2.05629,4.28891,1.58337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,13:07:28.80,2,4,"Ates, Trey",10061567,Right,ARM_BLA,"Izquierdo, Victor",809995,Right,NAV_MID,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,88.254,-1.706232,-3.150717,2221.083188,205.575556,12:45,5.24325,1.78762,6.44107,-18.51135,16.78493,7.48004,2.12988,-0.48728,80.48725,-5.24719,-1.797057,0.427598,102.38089,13.112742,27.271122,4546.957347,92.35062,22.29154,59.7607,264.04774,207.14568,43.584198,2.902962,-4.81689,9.61347,-1.56685,50,5.11335,6.75962,-128.06337,-4.31073,-7.97321,27.2543,-16.26125,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,c5253bc0-2b91-11f1-b0d7-d7c5c4702699,88.14922,25.13277,,7.76675,,,,0.30273,2.03344,0.4768,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:07:28.80,2026-03-29T13:07:28.8089600-04:00,2026-03-29T17:07:28.8089600Z,LineDrive,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,072cbaba-8627-4d09-a774-ef069eab65f9,54.05947,-128.92441,13.62715,5.24142,-3.79699,-8.13062,-1.78439,7.01151,-3.98661,236.50901,0.30304,129.97248,-36.17246,8.00557,-1.67151,0.28782,-0.04092,0.00461,-0.0003,2.03319,34.07882,-13.28414,0.80608,-0.38704,0.1925,-0.05563,0.00881,-0.00058,0.47638,67.03052,-0.11413,-0.73025,-0.12587,0.19555,-0.07051,0.01188,-0.0008,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-03-29,13:08:18.10,3,1,"Ates, Trey",10061567,Right,ARM_BLA,"Manning, Andrew",10070205,Left,NAV_MID,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.44827,1.400681,-0.892156,2630.304868,47.658238,7:30,5.44012,1.78988,6.00294,-58.19606,-8.4813,-10.80934,1.88872,0.06237,69.30145,-9.243791,-2.839501,0.507474,,,,,,,,,,,,5.33465,-4.28563,-1.71384,50,5.51837,2.05818,-108.33895,0.89704,6.38858,17.57987,-37.30638,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,e2a73fe0-2b91-11f1-b0d7-d7c5c4702699,74.27458,,,5.14681,,,,,,,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:08:18.10,2026-03-29T13:08:18.1052416-04:00,2026-03-29T17:08:18.1052416Z,,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,06be77c5-d964-4606-a1bd-78046f3f2560,54.50305,-109.0672,8.78993,5.4492,2.44246,-18.65319,-1.79362,1.79353,3.19429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,13:08:40.77,3,2,"Ates, Trey",10061567,Right,ARM_BLA,"Manning, Andrew",10070205,Left,NAV_MID,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.33976,-1.98694,-1.61612,2242.60205,202.991974,12:45,5.39655,1.83409,6.69187,-18.21147,16.49213,6.53355,2.0603,0.90011,80.91602,-5.47791,-0.425829,0.423993,,,,,,,,,,,,-3.87567,9.57886,-1.72857,50,5.25642,3.37453,-128.38487,-4.91129,-6.47209,26.44787,-16.17808,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,f014bfe0-2b91-11f1-b0d7-d7c5c4702699,88.89871,,,7.42375,,,,,,,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:08:40.77,2026-03-29T13:08:40.7772160-04:00,2026-03-29T17:08:40.7772160Z,,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,f8982012-91b3-4cdb-a26a-d63c67857740,53.8081,-129.16697,13.22393,5.39458,-4.43288,-8.08904,-1.83119,3.56593,-3.23605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,13:09:00.10,3,3,"Ates, Trey",10061567,Right,ARM_BLA,"Manning, Andrew",10070205,Left,NAV_MID,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,1,,79.66251,0.693402,-1.09625,2496.894251,103.463286,9:30,5.28732,1.92415,5.63961,-40.96758,2.705,-6.61693,2.5204,0.34989,74.33142,-6.787687,-2.278672,0.475637,102.95112,12.054962,-7.309918,1206.60323,108.29943,15.12943,-19.26703,206.05477,206.05477,-13.009278,1.85645,3.1428,1.51929,-1.82652,50,5.31953,2.46483,-115.92088,0.06068,4.35022,18.16389,-30.07105,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,fb9e64b0-2b91-11f1-b0d7-d7c5c4702699,79.24621,15.1243,,5.33109,,,,1.38776,2.51115,-0.31621,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:09:00.10,2026-03-29T13:09:00.1076736-04:00,2026-03-29T17:09:00.1076736Z,LineDrive,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,f726c8be-a12c-4fb5-8139-21704dae7210,54.86499,-116.68069,9.08195,5.29069,1.31859,-15.03553,-1.92582,2.28286,2.17511,90.848916,1.38776,146.46484,-26.56731,4.27972,-0.98891,0.21393,-0.04298,0.00686,-0.00057,2.51115,31.53562,-21.87562,3.14022,-0.7322,0.18907,-0.03991,0.00634,-0.00053,-0.31621,-18.78789,-5.61909,1.87393,-0.49052,0.13179,-0.02936,0.00482,-0.00041,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-29,13:09:39.78,4,1,"Ates, Trey",10061567,Right,ARM_BLA,"DePerno, Ty",10277636,Right,NAV_MID,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.58323,-2.008332,-3.702925,2199.86355,207.713816,1:00,5.31047,1.58989,6.52157,-21.12202,15.09832,7.37036,1.70298,-1.19821,79.88267,-6.00188,-2.368161,0.433159,,,,,,,,,,,,-4.80004,8.7663,-1.33473,50,5.16092,7.85879,-125.68112,-4.98858,-7.74242,23.45798,-18.03409,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,134e3c70-2b92-11f1-b0d7-d7c5c4702699,87.01752,,,6.70056,,,,,,,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:09:39.78,2026-03-29T13:09:39.7831680-04:00,2026-03-29T17:09:39.7831680Z,,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,88cf17d5-7f6d-4312-bc24-ba495132365a,53.97983,-126.42176,11.72899,5.30943,-4.41919,-9.01705,-1.58671,8.10325,-3.87121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,13:09:59.84,4,2,"Ates, Trey",10061567,Right,ARM_BLA,"DePerno, Ty",10277636,Right,NAV_MID,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.24965,1.191518,-2.024771,2354.415677,84.886109,8:45,5.1858,2.01816,5.80509,-41.05817,0.61331,-4.70634,2.8733,-0.25794,75.90618,-6.318305,-2.867345,0.464612,,,,,,,,,,,,1.96197,0.37425,-1.849,50,5.25882,4.3574,-118.20771,1.10421,2.83131,18.32385,-31.63399,ARM_BLA,NAV_MID,ArmyWestPoint,D1,PAT,20260329-ArmyWestPoint-1,1f437450-2b92-11f1-b0d7-d7c5c4702699,81.12662,,,5.34347,,,,,,,dbef5b44-5717-4bbf-83da-674194d3dee8,2026-03-29,17:09:59.84,2026-03-29T13:09:59.8420480-04:00,2026-03-29T17:09:59.8420480Z,,v3,4744,471474,27492,"Quinlan, Jack",10025449,Right,ARM_BLA,76639b66-1106-4403-a6c4-bb1b1058eae7,54.69916,-118.93391,9.16192,5.19022,2.35792,-15.81699,-2.01946,4.24518,1.41565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
