PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,12:01:50.03,1,1,"Wheaton, Gage",1000155007,Right,NIA_EAG,"Rodriguez, Damian",1000224691,Right,ION_GAE,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.49809,-4.416067,-3.247936,1930.962262,217.369248,1:15,6.42684,1.57713,5.73385,-17.62115,18.73493,13.5367,0.83114,-0.32271,81.47967,-7.69474,-0.829202,0.43397,,,,,,,,,,,,-7.72355,10.91442,-1.31507,50,6.04681,6.65327,-126.7931,-10.35581,-12.79913,21.55945,-14.08717,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,98f31490-2b88-11f1-b628-ed52dd0410dc,86.85488,,,6.01842,,,,,,,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:01:50.03,2026-03-29T12:01:50.0362752-04:00,2026-03-29T16:01:50.0362752Z,,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Green, Jason",1000145397,Right,NIA_EAG,9ccad253-585a-46a4-909e-675c38b0bd2a,54.76911,-127.60144,10.77972,6.42519,-9.82762,-7.04358,-1.57352,7.13316,-6.39957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,12:02:06.51,1,2,"Wheaton, Gage",1000155007,Right,NIA_EAG,"Rodriguez, Damian",1000224691,Right,ION_GAE,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.10537,-1.929736,-2.141864,1968.008005,209.675447,1:00,6.55807,1.45887,5.75759,-16.5956,19.13395,10.33371,3.37689,0.32536,81.57791,-5.055382,-0.293154,0.430215,,,,,,,,,,,,-5.77674,10.53052,-1.2876,50,6.38777,4.35508,-128.01364,-4.81253,-9.72526,22.8277,-14.44572,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,a2babe10-2b88-11f1-b628-ed52dd0410dc,87.61312,,,6.52745,,,,,,,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:02:06.51,2026-03-29T12:02:06.5149952-04:00,2026-03-29T16:02:06.5149952Z,,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Green, Jason",1000145397,Right,NIA_EAG,75cb6fef-2acd-4331-adc4-ee1e46f528cf,54.74298,-128.85664,11.41385,6.55564,-4.27907,-7.22286,-1.45506,4.71423,-4.86263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,12:02:24.44,1,3,"Wheaton, Gage",1000155007,Right,NIA_EAG,"Rodriguez, Damian",1000224691,Right,ION_GAE,Undefined,1,Top,0,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.92963,-2.959666,-2.206565,2016.011281,212.64932,1:00,6.65418,1.2236,5.83261,-16.44902,19.42718,11.78686,2.52783,0.15375,81.37785,-6.05889,-0.094645,0.431097,86.5236,-19.524885,-62.753268,,,,,8.98539,8.96893,-48.068552,0.06219,-6.61729,11.00965,-1.05074,50,6.40265,4.44346,-127.67421,-7.09339,-11.05765,23.24107,-13.77662,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,ad6a0870-2b88-11f1-b628-ed52dd0410dc,87.43385,2.644,,6.55178,,,,2.59081,2.644,-0.0558,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:02:24.44,2026-03-29T12:02:24.4423168-04:00,2026-03-29T16:02:24.4423168Z,GroundBall,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Green, Jason",1000145397,Right,NIA_EAG,3140a2e1-1c69-4e5d-b43a-3048f88277a5,54.66927,-128.52136,11.62054,6.65206,-6.59122,-6.88831,-1.22006,4.84653,-5.52883,180,2.58949,54.88939,,,,,,,,2.64503,-42.51464,,,,,,,,-0.05324,-106.58928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-29,12:02:50.82,1,4,"Wheaton, Gage",1000155007,Right,NIA_EAG,"Rodriguez, Damian",1000224691,Right,ION_GAE,Undefined,1,Top,0,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.18772,-0.004662,-3.749184,1172.758075,234.284139,1:45,6.38127,1.64973,5.35901,-35.02632,10.72544,12.8078,3.45803,-0.80395,72.22008,-6.456867,-1.478864,0.486828,,,,,,,,,,,,-7.45036,5.84933,-1.32162,50,6.35625,6.99059,-114.6663,-1.15887,-9.89276,21.7354,-24.40716,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,bd36d530-2b88-11f1-b628-ed52dd0410dc,77.4246,,,6.96764,,,,,,,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:02:50.82,2026-03-29T12:02:50.8203520-04:00,2026-03-29T16:02:50.8203520Z,,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Green, Jason",1000145397,Right,NIA_EAG,091bb8ce-9bab-4ce8-81d4-1310f34f15cb,55.13835,-115.63619,10.8677,6.38367,-0.06976,-12.20358,-1.64341,7.43203,-4.94638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,12:03:07.26,1,5,"Wheaton, Gage",1000155007,Right,NIA_EAG,"Rodriguez, Damian",1000224691,Right,ION_GAE,Undefined,1,Top,0,2,2,Undefined,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.42006,-0.529647,-4.047499,1134.581209,243.103099,2:00,6.37819,1.64128,5.45458,-38.27975,7.48768,12.23012,2.69114,-1.13483,72.82355,-7.51255,-1.875693,0.486911,,,,,,,,,,,,-7.12004,4.31469,-1.29234,50,6.30497,7.57349,-113.75121,-2.31204,-9.45947,18.13141,-26.4417,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,c6f9c3c0-2b88-11f1-b628-ed52dd0410dc,77.41132,,,5.59651,,,,,,,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:03:07.26,2026-03-29T12:03:07.2656384-04:00,2026-03-29T16:03:07.2656384Z,,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Green, Jason",1000145397,Right,NIA_EAG,329b4cab-15d2-40c7-b420-26aa46c34e2a,55.04614,-114.55272,9.0657,6.38134,-1.14317,-13.22085,-1.63637,7.99165,-4.72973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-29,12:03:38.18,2,1,"Wheaton, Gage",1000155007,Right,NIA_EAG,"Stephenson, Sean",1000397399,Left,ION_GAE,Undefined,1,Top,1,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.93179,-2.434537,-2.840933,1950.115986,207.906149,1:00,6.52404,1.50892,5.6651,-14.97489,20.42489,10.26221,3.00188,-0.28711,81.97029,-5.272097,-1.009884,0.428225,79.27822,64.511955,172.745482,3427.970902,,,,,20.73624,,,-5.9737,11.34855,-1.27546,50,6.30869,5.97406,-129.05228,-5.93946,-10.17023,24.46174,-12.85313,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,d9699d00-2b88-11f1-b628-ed52dd0410dc,88.02026,44.25343,,6.9615,,,,2.51117,3.00051,0.25895,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:03:38.18,2026-03-29T12:03:38.1814784-04:00,2026-03-29T16:03:38.1814784Z,,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Green, Jason",1000145397,Right,NIA_EAG,6ab40c92-fd23-4844-ba72-3d6979a075c2,54.83637,-129.96578,12.23087,6.52153,-5.45948,-6.42657,-1.50564,6.35385,-5.08511,347.370694,2.52036,-49.90822,-0.5933,,,,,,,3.02662,104.1958,-32.22725,,,,,,,0.26675,6.08913,-4.03768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-03-29,12:03:58.48,2,2,"Wheaton, Gage",1000155007,Right,NIA_EAG,"Stephenson, Sean",1000397399,Left,ION_GAE,Undefined,1,Top,1,0,1,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.62882,-1.987486,-2.137242,1908.864355,218.597645,1:15,6.55583,1.26812,5.74837,-21.01981,13.79383,10.17001,2.9518,0.12492,82.45255,-5.908479,-0.317272,0.424665,101.33551,19.72324,18.687858,1771.802544,102.68541,36.7862,39.44115,287.16619,279.04294,24.362363,3.665901,-5.77429,7.87981,-1.09696,50,6.37775,4.42716,-130.13284,-5.21344,-9.95688,25.88545,-18.58657,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,e57dce90-2b88-11f1-b628-ed52dd0410dc,88.75816,44.81949,,7.17627,,,,1.75681,2.99748,-0.17002,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:03:58.48,2026-03-29T12:03:58.4860160-04:00,2026-03-29T16:03:58.4860160Z,LineDrive,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Green, Jason",1000145397,Right,NIA_EAG,85213a8e-6788-4455-8050-7a3c272b4937,54.75238,-131.07475,12.94272,6.55515,-4.53712,-9.29328,-1.26465,4.78947,-4.97844,214.22158,1.75681,132.52913,-34.45015,9.31812,-2.23255,0.46279,-0.07738,0.00842,-0.00038,2.99725,50.16588,-15.15368,-0.49927,0.50088,-0.11718,0.00897,0.00191,-0.00031,-0.17015,44.83219,-2.13415,-1.61884,0.7805,-0.21483,0.03829,-0.00386,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-29,12:04:32.02,3,1,"Wheaton, Gage",1000155007,Right,NIA_EAG,"Costello, Malachi",10324581,Right,ION_GAE,Undefined,1,Top,2,0,0,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.46866,-2.705601,-3.115409,1949.481743,238.379506,2:00,6.47241,1.3218,6.03736,-23.42198,11.15886,16.43993,2.00973,-0.19578,82.52255,-7.064735,-0.158456,0.423243,79.03056,-21.170393,-20.383868,,,,,6.80505,6.80505,-13.946491,0.048636,-9.33091,6.76839,-1.08759,50,6.24807,6.40311,-129.83359,-6.9017,-16.03637,25.43718,-20.54169,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,f97b4cb0-2b88-11f1-b628-ed52dd0410dc,89.05634,2.04052,,6.94611,,,,1.66552,2.04052,0.19506,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:04:32.02,2026-03-29T12:04:32.0239104-04:00,2026-03-29T16:04:32.0239104Z,GroundBall,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Green, Jason",1000145397,Right,NIA_EAG,012d7d44-6667-48a1-835a-47c556d5bddd,54.46454,-130.70536,12.71859,6.47254,-6.1977,-10.27085,-1.31645,6.9527,-8.01819,,1.66373,101.54922,,,,,,,,2.04127,-41.95522,,,,,,,,0.19573,-37.73327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2026-03-29,12:06:03.24,1,1,"Lang, Luke",10971599,Right,ION_GAE,"Brooks, Jacob",10915190,Right,NIA_EAG,Undefined,1,Bottom,0,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,bc0202d0-2c45-11f1-85fe-29bd079a7921,,,,,,,,,,,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:06:03.24,2026-03-29T12:06:03.2483456-04:00,2026-03-29T16:06:03.2483456Z,,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Mitchell, Braize",1000397392,Right,ION_GAE,00bf68a2-58b0-4675-81ba-eb596ef11899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-29,12:07:34.24,1,2,"Lang, Luke",10971599,Right,ION_GAE,"Brooks, Jacob",10915190,Right,NIA_EAG,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.8362,-1.917661,-0.760971,2092.98892,216.35989,1:15,6.22955,1.02579,5.7158,-17.14788,16.20237,11.14568,3.01331,1.24565,83.96443,-5.152647,1.233422,0.415644,34.36199,16.221094,63.275112,3309.435854,,,,45.98013,45.1974,67.139273,1.081833,-5.88693,9.10067,-0.96917,50,6.05863,1.27703,-133.32603,-5.01213,-10.59388,28.72838,-15.79686,NIA_EAG,ION_GAE,BoboField,D1,MAAC,20260329-BoboField-1,6617b660-2b89-11f1-b628-ed52dd0410dc,90.68454,5.9757,,7.87176,,,,0.11163,2.85746,-1.36309,9a156565-3040-4ef1-9f73-ef74bd0b2b9b,2026-03-29,16:07:34.24,2026-03-29T12:07:34.2483456-04:00,2026-03-29T16:07:34.2483456Z,GroundBall,v3,471382,471322,2179f91f60634c7097ddefcbe591b226,"Mitchell, Braize",1000397392,Right,ION_GAE,4a51f405-1157-4746-941c-4af2d5c9d1d8,54.78353,-134.35281,14.36419,6.22767,-4.44754,-7.89843,-1.02158,1.65567,-5.29694,246.710978,0.11164,21.76188,-5.21801,0.43952,-0.64496,1.11344,-1.1095,0.58459,-0.12613,2.85746,14.07823,-16.22913,0.78317,-0.02929,-0.06014,0.0439,-0.02082,0.00448,-1.36309,43.22191,-2.45453,-0.076,-0.24796,0.52168,-0.5381,0.28093,-0.06016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
