PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,11:38:56.29,1,1,"Scudder, Dylan",835237,Right,BRY_BUL,"Campbell, Cole",1000115804,Right,NJI_HIG,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.98333,-1.757218,-2.726464,2136.228777,201.431936,12:45,6.33189,1.38708,6.88437,-14.1591,19.89974,7.28693,3.54855,-0.49178,80.33075,-4.574517,-1.395982,0.420036,,,,,,,,,,,,-4.77394,11.50501,-1.21639,50,6.21471,5.92194,-130.41946,-4.26713,-8.01609,33.84375,-12.85554,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,17c160f0-2b85-11f1-84ea-af0d4d621815,89.73624,,,9.65259,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:38:56.29,2026-03-29T11:38:56.2962432-04:00,2026-03-29T15:38:56.2962432Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,501ee831-a127-4cb9-a2ff-41e78fc25602,53.60818,-131.35244,16.92188,6.32746,-3.91273,-6.42777,-1.38269,6.14292,-4.00805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,11:39:11.44,1,2,"Scudder, Dylan",835237,Right,BRY_BUL,"Campbell, Cole",1000115804,Right,NJI_HIG,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.99596,-2.332268,-3.475013,2111.675787,210.021996,1:00,6.29205,1.2138,6.86198,-15.22095,19.80639,10.62394,2.89258,-1.07239,79.22521,-5.351687,-1.537801,0.425966,,,,,,,,,,,,-6.81122,11.69331,-0.99519,50,6.13707,7.4031,-128.81526,-5.5479,-11.12115,33.80182,-13.08155,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,20dc76c0-2b85-11f1-84ea-af0d4d621815,88.48697,,,9.77075,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:39:11.44,2026-03-29T11:39:11.4465792-04:00,2026-03-29T15:39:11.4465792Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,f2864eaf-e753-454c-b82e-0adf37da309b,53.63035,-129.76438,16.90091,6.28769,-5.18058,-6.54077,-1.20745,7.71538,-5.56057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,11:39:28.55,1,3,"Scudder, Dylan",835237,Right,BRY_BUL,"Campbell, Cole",1000115804,Right,NJI_HIG,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.60602,-3.104286,-2.3374,2161.427186,206.766957,1:00,6.34457,1.21238,6.85826,-13.2806,20.96493,9.91682,2.40282,-0.0932,80.47786,-5.743244,-0.526383,0.421185,68.63939,69.023499,-0.344467,,,,,93.91335,42.37644,-2.188917,5.250885,-6.0654,12.56532,-1.06656,50,6.14124,4.9311,-129.8976,-7.30083,-10.14688,32.50941,-11.15332,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,2af1f220-2b85-11f1-84ea-af0d4d621815,89.49134,113.51635,,9.12816,,,,1.341,2.47158,0.06039,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:39:28.55,2026-03-29T11:39:28.5514752-04:00,2026-03-29T15:39:28.5514752Z,Popup,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,430562f7-a0ff-449f-9954-eb619dc805ff,53.63831,-130.80498,16.25471,6.34067,-6.98953,-5.57666,-1.20815,5.21431,-5.07344,178.792792,1.33941,36.05793,-11.69793,3.43125,-0.52223,-0.00381,0.01945,-0.00354,0.00021,2.46018,94.21832,-24.60331,3.63297,-1.43661,0.49359,-0.1076,0.01235,-0.00056,0.05989,-0.20703,-0.44738,0.20391,-0.07072,0.01964,-0.00365,0.00037,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-03-29,11:40:20.12,2,1,"Scudder, Dylan",835237,Right,BRY_BUL,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.21288,-1.911483,-3.360373,2101.533181,193.560247,12:30,6.21236,1.50739,7.04316,-26.12234,13.4606,2.87827,2.2955,-1.30877,74.72149,-6.934163,-2.833495,0.45282,,,,,,,,,,,,-2.69536,8.30729,-1.30467,50,6.08806,6.97877,-120.57955,-4.6447,-3.87264,28.71334,-20.23831,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,49c63fd0-2b85-11f1-84ea-af0d4d621815,83.2394,,,8.49139,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:40:20.12,2026-03-29T11:40:20.1284096-04:00,2026-03-29T15:40:20.1284096Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,e7bd7afb-3cd9-4e71-bd69-098e28712de3,53.45003,-121.39832,14.35667,6.21228,-4.0676,-10.11915,-1.50524,7.0892,-1.93632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,11:40:34.00,2,2,"Scudder, Dylan",835237,Right,BRY_BUL,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.05608,-1.94865,-1.911644,2159.385423,216.488991,1:15,6.34474,1.30816,6.79537,-13.64079,20.3145,14.0695,3.42779,0.7352,80.7122,-4.658563,0.655957,0.419397,,,,,,,,,,,,-7.98496,11.71894,-1.18808,50,6.2124,3.79513,-130.62879,-4.69977,-13.50611,32.93024,-12.35217,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,51fe2190-2b85-11f1-84ea-af0d4d621815,89.87295,,,9.34388,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:40:34.00,2026-03-29T11:40:34.0071424-04:00,2026-03-29T15:40:34.0071424Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,8cb9709f-568f-4ae8-9803-67bd186eddff,53.69827,-131.55778,16.46512,6.34007,-4.35131,-6.17608,-1.30052,4.17615,-6.75305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-29,11:40:54.76,2,3,"Scudder, Dylan",835237,Right,BRY_BUL,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,1,1,1,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.31808,-1.463253,-3.174205,1021.578109,250.838247,2:15,5.88126,1.63246,6.56709,-34.40289,8.13945,18.353,1.67065,0.24913,72.46359,-7.981833,0.162086,0.469442,,,,,,,,,,,,-10.8193,5.3215,-1.42095,50,5.76643,5.86565,-117.75186,-3.95395,-14.67855,29.37483,-24.95438,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,5e63a770-2b85-11f1-84ea-af0d4d621815,80.29197,,,8.85449,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:40:54.76,2026-03-29T11:40:54.7682304-04:00,2026-03-29T15:40:54.7682304Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,77b4f71d-e076-474a-85ac-5889ee15f9c8,53.92829,-118.72778,14.68742,5.88403,-3.12489,-12.47719,-1.62392,6.35332,-7.33928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,11:41:12.05,2,4,"Scudder, Dylan",835237,Right,BRY_BUL,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.77892,0.150209,-2.258688,2195.059414,121.834231,10:00,6.10847,1.43288,6.82571,-33.96368,5.01055,-5.85437,3.41529,-1.11637,75.78791,-6.272807,-3.327092,0.449325,,,,,,,,,,,,2.34252,3.04949,-1.28604,50,6.10624,5.0088,-121.64744,-0.61975,3.45173,27.56918,-27.68057,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,68b84eb0-2b85-11f1-84ea-af0d4d621815,83.88688,,,7.99101,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:41:12.05,2026-03-29T11:41:12.0561152-04:00,2026-03-29T15:41:12.0561152Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,6137d471-40e4-46d3-aa2a-6f9ed2ee4f30,53.66991,-122.47634,13.78459,6.11236,0.2125,-13.84029,-1.43507,4.90502,1.72586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,11:41:27.81,2,5,"Scudder, Dylan",835237,Right,BRY_BUL,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,1,2,2,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.41362,-2.517665,-2.703842,2088.959987,217.383553,1:15,6.27287,1.38085,6.89184,-15.38749,18.95769,13.48654,2.69289,0.03964,80.25665,-5.547146,-0.239634,0.421798,,,,,,,,,,,,-8.03477,11.27882,-1.21386,50,6.10768,5.60717,-129.63425,-6.0229,-13.38863,32.34875,-13.37975,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,72174b50-2b85-11f1-84ea-af0d4d621815,89.36136,,,9.15697,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:41:27.81,2026-03-29T11:41:27.8174208-04:00,2026-03-29T15:41:27.8174208Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,cb17a16a-2cad-40aa-89ec-43a673a717f3,53.60352,-130.53037,16.17438,6.26939,-5.65225,-6.68988,-1.37432,5.97806,-6.69431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,11:41:47.53,2,6,"Scudder, Dylan",835237,Right,BRY_BUL,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,1,2,2,ChangeUp,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,81.20519,1.955516,-1.046526,1154.176473,287.540068,3:30,5.83921,1.70441,6.59128,-46.13625,-3.97177,17.59544,3.7873,2.21169,72.84082,-6.701169,2.155651,0.467353,,,,,,,,,,,,-9.7063,-2.42579,-1.63999,50,5.95397,1.54269,-117.88729,2.68881,-13.29987,27.90489,-35.49795,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,7dd805b0-2b85-11f1-84ea-af0d4d621815,80.65095,,,8.36437,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:41:47.53,2026-03-29T11:41:47.5369472-04:00,2026-03-29T15:41:47.5369472Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,5d6e8389-507f-4687-93b6-3a8e01d5c913,53.90844,-118.80885,13.95244,5.84582,3.86112,-17.74897,-1.69819,1.98192,-6.64993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,11:42:24.51,3,1,"Scudder, Dylan",835237,Right,BRY_BUL,"Francis, Austin",1000236684,Right,NJI_HIG,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.35441,-0.444949,-2.067435,2018.236828,210.894915,1:00,6.17181,1.28079,6.92443,-18.20584,17.22725,9.44465,4.24929,0.18472,78.37614,-4.031601,-0.340121,0.428426,,,,,,,,,,,,-5.68544,9.67422,-1.15348,50,6.13699,4.24848,-128.0891,-1.38329,-9.14978,34.17156,-16.60495,BRY_BUL,NJI_HIG,BryantUniversity,D1,AMEAST,20260329-BryantUniversity-1,93d43a00-2b85-11f1-84ea-af0d4d621815,87.9789,,,9.97827,,,,,,,2d5a9a6e-f2e1-4fb3-b044-dbb1c38866fd,2026-03-29,15:42:24.51,2026-03-29T11:42:24.5164032-04:00,2026-03-29T15:42:24.5164032Z,,v3,471248,471378,fdd0ee251c82452fb98216ecef55fbc3,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,3714bad3-4f0a-4664-8f0f-a858844acab1,53.56587,-129.03689,17.08578,6.16897,-0.92273,-8.30248,-1.27483,4.50226,-4.57489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
