PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,12:05:26.03,1,1,"Montgomery, Kellan",811574,Right,SAN_GAU,"Cooney, Ryan",807721,Right,ORE_DUC,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.02581,1.023003,-1.499196,2674.12225,71.944383,8:30,5.41033,2.44558,4.62274,-41.31451,-0.50787,-5.71599,2.94037,0.54376,77.37301,-6.429714,-2.501165,0.459766,,,,,,,,,,,,2.33827,-0.13217,-2.28605,50,5.47755,3.49221,-123.16322,0.51414,3.569,25.90478,-32.37578,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,40c589a0-2ba2-11f1-94af-d904e982a6af,81.9818,,,7.6528,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:05:26.03,2026-03-29T12:05:26.0306432-07:00,2026-03-29T19:05:26.0306432Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,14b6ceb1-71cd-4276-8534-a9e9404a339a,55.87408,-124.39257,12.95239,5.41669,2.05058,-16.18789,-2.44776,3.32284,1.7845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,12:05:46.33,1,2,"Montgomery, Kellan",811574,Right,SAN_GAU,"Cooney, Ryan",807721,Right,ORE_DUC,Undefined,1,Top,0,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.01267,-0.413054,-3.290279,1763.925777,245.240478,2:15,5.58215,2.33346,5.28197,-31.76805,10.38323,19.17836,2.54626,0.83831,74.88692,-6.29075,0.109112,0.46728,,,,,,,,,,,,-10.74627,5.74386,-2.0482,50,5.52151,6.10581,-120.16631,-1.9537,-15.47492,26.57963,-23.90275,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,4cd28f40-2ba2-11f1-94af-d904e982a6af,80.66356,,,8.12576,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:05:46.33,2026-03-29T12:05:46.3383040-07:00,2026-03-29T19:05:46.3383040Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,ba3c2ed4-d341-4f83-a80b-441289af9095,55.21609,-121.31457,13.28982,5.58361,-0.92108,-11.95138,-2.32641,6.77434,-7.73746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,12:06:06.86,1,3,"Montgomery, Kellan",811574,Right,SAN_GAU,"Cooney, Ryan",807721,Right,ORE_DUC,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.02637,0.172182,-2.940751,2568.978111,211.248155,1:00,5.61432,2.17128,5.74931,-12.63863,20.09115,11.51843,4.72161,0.39104,84.13501,-2.284424,-0.882934,0.411759,,,,,,,,,,,,-6.66764,10.44308,-1.93371,50,5.62088,6.38948,-134.83496,0.07763,-12.19198,31.16616,-13.07859,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,590b38c0-2ba2-11f1-94af-d904e982a6af,91.54008,,,8.89136,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:06:06.86,2026-03-29T12:06:06.8621312-07:00,2026-03-29T19:06:06.8621312Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,52a8c4a4-e06f-4878-8505-ebf9ff3f533b,54.74534,-135.92739,15.58308,5.61013,0.53605,-6.53929,-2.16516,6.81683,-6.09599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,12:06:23.68,1,4,"Montgomery, Kellan",811574,Right,SAN_GAU,"Cooney, Ryan",807721,Right,ORE_DUC,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.96107,0.622176,-0.532263,2696.472163,30.013842,7:00,5.5864,2.14056,4.94427,-67.59193,-20.06426,-12.61721,0.54175,0.58612,71.50068,-11.50863,-2.768456,0.496186,,,,,,,,,,,,6.06386,-9.68414,-2.07787,50,5.59037,1.59215,-114.39956,-1.30661,7.81527,26.50409,-44.6552,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,63239a50-2ba2-11f1-94af-d904e982a6af,75.96431,,,7.46039,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:06:23.68,2026-03-29T12:06:23.6896256-07:00,2026-03-29T19:06:23.6896256Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,3e203767-079a-430f-a339-891d01e16c4d,55.5572,-115.67989,13.25204,5.60138,0.85053,-22.3276,-2.14566,1.21462,3.90763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,12:07:00.10,2,1,"Montgomery, Kellan",811574,Right,SAN_GAU,"Gimenez, Jax",826307,Left,ORE_DUC,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.9734,0.700069,-1.959854,1488.777876,249.939785,2:15,5.51674,2.40924,5.34939,-32.35915,9.6891,22.36352,3.47718,2.43393,74.74068,-5.301802,2.013023,0.466708,,,,,,,,,,,,-11.70721,5.0939,-2.24881,50,5.55724,3.13421,-120.1943,0.36052,-16.86513,26.61003,-24.83592,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,78ce7a50-2ba2-11f1-94af-d904e982a6af,80.76234,,,8.23272,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:07:00.10,2026-03-29T12:07:00.1061888-07:00,2026-03-29T19:07:00.1061888Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,c4ef7860-ef3f-47fd-9984-3dd29d3868a2,55.14563,-121.32815,13.30501,5.51933,1.41877,-12.41796,-2.39767,3.85283,-8.43257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-29,12:07:14.67,2,2,"Montgomery, Kellan",811574,Right,SAN_GAU,"Gimenez, Jax",826307,Left,ORE_DUC,Undefined,1,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.89445,-0.176812,-2.544868,2286.450959,239.238625,2:00,5.48707,2.22928,5.13239,-20.49596,13.7815,21.20592,3.61241,1.5983,83.29189,-3.998563,1.20496,0.421382,,,,,,,,,,,,-11.19363,7.23426,-2.00722,50,5.4551,4.87741,-133.16162,-1.16084,-19.98284,30.13407,-19.2595,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,8177e290-2ba2-11f1-94af-d904e982a6af,89.44961,,,8.60257,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:07:14.67,2026-03-29T12:07:14.6795008-07:00,2026-03-29T19:07:14.6795008Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,76144301-2637-437f-aa52-f1c5f6192304,55.36398,-134.36999,15.06703,5.48617,-0.38854,-9.62975,-2.21887,5.67871,-9.99142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,12:07:30.42,2,3,"Montgomery, Kellan",811574,Right,SAN_GAU,"Gimenez, Jax",826307,Left,ORE_DUC,Undefined,1,Top,1,2,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.23359,1.660627,-2.022895,2812.916755,91.496414,9:00,5.26288,2.61579,5.04199,-41.59392,1.81122,-9.6741,3.36461,-0.09938,74.12988,-5.936878,-3.729394,0.474179,,,,,,,,,,,,4.08827,0.86909,-2.41487,50,5.38873,4.63333,-118.98048,1.90524,5.76576,26.26886,-30.94834,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,8ae8e090-2ba2-11f1-94af-d904e982a6af,79.48996,,,8.1037,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:07:30.42,2026-03-29T12:07:30.4239104-07:00,2026-03-29T19:07:30.4239104Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,c5412ff9-71d2-4748-b7fb-4dd3568d65f3,55.45223,-120.17822,13.13443,5.2697,3.31633,-15.47417,-2.62013,4.37044,2.88288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,12:07:46.00,2,4,"Montgomery, Kellan",811574,Right,SAN_GAU,"Gimenez, Jax",826307,Left,ORE_DUC,Undefined,1,Top,1,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.50276,0.808543,0.356668,2852.00751,84.327903,8:45,5.18635,2.65951,4.96152,-42.93664,0.00134,-14.90387,2.3722,1.75447,74.86949,-6.994779,-2.275298,0.47162,,,,,,,,,,,,7.41504,0.24441,-2.68139,50,5.22972,-0.0771,-119.5679,0.05284,10.61661,25.4183,-31.82413,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,9429a6d0-2ba2-11f1-94af-d904e982a6af,79.92123,,,7.63327,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:07:46.00,2026-03-29T12:07:46.0014592-07:00,2026-03-29T19:07:46.0014592Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,481c09ed-da75-4dc8-9100-5c11465a0fd2,55.53479,-120.73878,12.70915,5.19352,1.5188,-15.91207,-2.66657,-0.56614,5.3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,12:08:05.91,2,5,"Montgomery, Kellan",811574,Right,SAN_GAU,"Gimenez, Jax",826307,Left,ORE_DUC,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.10251,-1.251477,-3.415031,2295.040098,213.87855,1:15,5.26738,2.19871,5.53238,-14.7402,19.74513,12.45245,2.86696,0.04046,82.4127,-4.079329,-1.200572,0.422657,,,,,,,,,,,,-7.26422,10.66182,-1.91025,50,5.14902,7.29495,-131.90828,-3.31498,-12.70091,30.06479,-13.53271,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,a00cb640-2ba2-11f1-94af-d904e982a6af,89.17964,,,8.68981,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:08:05.91,2026-03-29T12:08:05.9185664-07:00,2026-03-29T19:08:05.9185664Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,30563436-0e03-4fba-919b-cd15498932f8,54.96288,-133.03462,15.0324,5.26372,-2.80799,-6.76636,-2.19246,7.77077,-6.35046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,12:08:28.74,2,6,"Montgomery, Kellan",811574,Right,SAN_GAU,"Gimenez, Jax",826307,Left,ORE_DUC,Undefined,1,Top,1,3,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.37448,-0.470852,-2.413104,2258.749063,232.865198,1:45,5.38719,2.26664,5.40406,-18.48796,15.87273,19.40564,3.40494,1.62141,82.72212,-3.957805,1.035871,0.421893,,,,,,,,,,,,-10.39414,8.44225,-2.06537,50,5.33265,4.66524,-132.44818,-1.70724,-18.32417,30.2857,-17.29094,SAN_GAU,ORE_DUC,CaesarUyesaka,D1,BW,20260329-CaesarUyesaka-1,ada89940-2ba2-11f1-94af-d904e982a6af,89.34124,,,8.65236,,,,,,,4dbf3baf-a99e-4181-b2ba-d9e141b6afa3,2026-03-29,19:08:28.74,2026-03-29T12:08:28.7480000-07:00,2026-03-29T19:08:28.7480000Z,,v3,471258,4807,12437,"Libed, Nico",822297,Right,SAN_GAU,289dad33-35da-4298-8f91-9ad805944284,55.0921,-133.60747,15.14285,5.38533,-1.04537,-8.64547,-2.25737,5.36666,-9.16208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8697,,,1.123999,,,,-0.16734,5.58209,1.65258,68.29704,4.70545,56.47903,-0.11199,66.89108,-5.39713,5.61142,14.54374,-13.67597,1.67355,51.40831,-2.36943,High,High,High,,,High,High,High
