PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,12:56:34.06,1,1,"Sullivan, Maddox",10284671,Right,IOW_CEN,"Francois, Kamren",1000544083,Right,SOU_COM1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.07368,-2.424064,-4.539268,2206.284941,216.813849,1:15,5.78399,1.84259,5.83622,-18.12918,16.66032,11.78776,2.01172,-1.40299,83.01778,-5.804953,-2.435288,0.424517,,,,,,,,,,,,-7.00536,9.34146,-1.47877,50,5.57477,9.76507,-129.17753,-6.0545,-12.1014,21.27306,-16.03715,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,a014b110-2b98-11f1-9983-51ca3518c784,88.7889,,,6.05589,,,,,,,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,17:56:34.06,2026-03-29T12:56:34.0675072-05:00,2026-03-29T17:56:34.0675072Z,,v3,643-147393,643-147683,,"Jones, Ben",1000403921,Right,IOW_CEN,6ed326ea-70c4-480c-afb4-9b17e03fca77,54.66468,-129.94344,10.63653,5.78236,-5.4771,-8.01857,-1.83819,10.20076,-6.0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,12:56:49.09,1,2,"Sullivan, Maddox",10284671,Right,IOW_CEN,"Francois, Kamren",1000544083,Right,SOU_COM1,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.60071,-2.812234,-3.529321,2194.056041,217.142923,1:15,5.8535,1.75931,5.74405,-16.54954,17.89879,12.8715,1.84891,-0.45825,83.5121,-5.905064,-1.230922,0.422431,98.3054,22.38769,1.174734,2671.71866,109.76727,43.13766,7.14508,335.84063,328.86111,7.769587,4.461499,-7.37969,10.05418,-1.4738,50,5.60893,7.48831,-130.06471,-6.92405,-12.91394,21.76552,-14.57997,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,a90d71d0-2b98-11f1-9983-51ca3518c784,89.22747,59.9584,,6.08861,,,,1.33289,1.84435,0.45255,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,17:56:49.09,2026-03-29T12:56:49.0990592-05:00,2026-03-29T17:56:49.0990592Z,LineDrive,v3,643-147393,643-147683,,"Jones, Ben",1000403921,Right,IOW_CEN,4038fc9c-8e7c-4042-a799-f14de8b6ed9c,54.75799,-130.8585,10.88276,5.85176,-6.39231,-7.28999,-1.75549,7.95929,-6.45697,203.476624,1.33238,133.29309,-28.03737,6.44742,-1.27769,0.2227,-0.03406,0.00387,-0.00021,1.84588,54.88567,-12.46884,-0.74559,0.39602,-0.10921,0.02209,-0.00245,0.0001,0.45272,2.73436,5.94078,-2.17185,0.47344,-0.06047,0.00339,4E-05,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-29,12:57:19.19,2,1,"Sullivan, Maddox",10284671,Right,IOW_CEN,"Miller, Jake",1000544082,Left,SOU_COM1,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,79.37288,0.692949,-2.489729,2151.012279,278.434302,3:15,5.60164,2.12539,5.50667,-43.28376,0.91744,1.36008,2.64336,-0.09115,74.18182,-7.174272,-2.247512,0.478507,92.19446,20.906274,14.626349,816.591142,105.9305,31.31267,29.64218,254.71574,254.71574,16.283195,2.831696,-1.25087,0.60721,-1.90895,50,5.6324,4.96706,-115.41533,-0.05357,-1.71966,17.60984,-31.33929,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,bb069470-2b98-11f1-9983-51ca3518c784,78.77089,33.21559,,5.19106,,,,1.33844,2.66972,0.09737,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,17:57:19.19,2026-03-29T12:57:19.1913472-05:00,2026-03-29T17:57:19.1913472Z,LineDrive,v3,643-147393,643-147683,,"Jones, Ben",1000403921,Right,IOW_CEN,c35423ca-b7df-4013-83e5-4b1c09b64124,54.99584,-116.17509,8.80492,5.60554,1.29852,-15.66964,-2.12485,5.04125,-0.85983,233.742337,1.33836,122.22656,-19.72956,4.14853,-1.01855,0.25199,-0.05298,0.00596,-0.00017,2.66971,48.25192,-21.16844,2.03359,-0.3967,0.0862,-0.01941,0.00391,-0.00039,0.09751,31.88997,-1.39651,-0.93827,0.56188,-0.27879,0.09424,-0.0181,0.00145,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-29,12:58:09.70,3,1,"Sullivan, Maddox",10284671,Right,IOW_CEN,"Osorio , Efrain",1000394750,Left,SOU_COM1,Undefined,1,Top,1,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.34803,-1.107613,-4.004842,1674.767223,246.438921,2:15,5.594,1.94571,5.94964,-34.34352,8.1567,16.1654,1.70212,-0.42763,75.07846,-7.421609,-1.105995,0.46921,87.8023,-5.158857,61.3259,,,,,16.83822,12.41959,57.815671,0.154142,-9.27414,4.76445,-1.63612,50,5.48595,7.59147,-116.72599,-3.3185,-13.05245,17.83018,-25.46856,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,d91e48e0-2b98-11f1-9983-51ca3518c784,80.33177,2.19861,,5.26957,,,,,,,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,17:58:09.70,2026-03-29T12:58:09.7016320-05:00,2026-03-29T17:58:09.7016320Z,GroundBall,v3,643-147393,643-147683,,"Jones, Ben",1000403921,Right,IOW_CEN,c85110bb-aa3b-4bea-a366-50c7407e01bd,54.55317,-117.41944,8.91509,5.59575,-2.32798,-12.73428,-1.94124,8.09911,-6.52623,,0.10582,61.54634,-26.2568,,,,,,,2.19875,-11.59118,-17.34966,,,,,,,-3.29259,112.58239,8.0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2026-03-29,12:58:53.15,3,2,"Sullivan, Maddox",10284671,Right,IOW_CEN,"Osorio , Efrain",1000394750,Left,SOU_COM1,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,80.34739,-0.213126,-3.079669,1800.519212,256.032682,2:30,5.54993,1.91316,5.90677,-36.80939,5.76453,18.65218,2.28437,0.60613,74.87823,-6.98053,0.26759,0.469616,86.14865,55.815445,3.800577,,109.37018,134.55239,-11.75397,208.11947,94.58849,-9.972056,5.893799,-10.34512,3.33382,-1.67673,50,5.51132,5.60534,-116.83934,-1.58885,-14.54805,18.44335,-27.48576,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,f309dfd0-2b98-11f1-9983-51ca3518c784,80.2622,136.509,,5.46917,,,,1.39922,2.60668,-0.57399,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,17:58:53.15,2026-03-29T12:58:53.1578368-05:00,2026-03-29T17:58:53.1578368Z,FlyBall,v3,643-147393,643-147683,,"Jones, Ben",1000403921,Right,IOW_CEN,6e3c998a-ffb1-46fb-950e-ff0ca8ee60bd,54.59617,-117.56262,9.22168,5.5525,-0.51096,-13.74288,-1.90774,6.17586,-7.27402,,1.4017,70.78381,-19.19429,5.04683,-0.78029,0.02088,0.01615,-0.00262,0.00012,2.59968,104.62301,-24.93925,2.46599,-0.3855,0.02432,0.00917,-0.00232,0.00015,-0.57446,4.70507,-7.95226,2.69912,-0.50688,0.0236,0.01092,-0.00211,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2026-03-29,12:59:38.96,4,1,"Sullivan, Maddox",10284671,Right,IOW_CEN,"Nydegger, James",10137596,Right,SOU_COM1,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.61211,-0.78787,-2.301162,2185.673776,225.765381,1:30,5.8917,1.65021,5.64496,-19.8732,15.0756,14.39843,3.50004,0.70241,82.24015,-4.510795,0.26942,0.425488,,,,,,,,,,,,-7.87603,8.17197,-1.46404,50,5.81218,4.59386,-130.11921,-2.44235,-13.58103,25.82482,-18.08271,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,0e4cf070-2b99-11f1-9983-51ca3518c784,88.58631,,,7.37196,,,,,,,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,17:59:38.96,2026-03-29T12:59:38.9643264-05:00,2026-03-29T17:59:38.9643264Z,,v3,643-147393,643-147683,,"Jones, Ben",1000403921,Right,IOW_CEN,6d3a5245-ad17-4d80-95fa-5555545076ac,54.85383,-131.07901,12.91241,5.89047,-1.77029,-9.04136,-1.64415,5.09862,-6.79052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,12:59:55.70,4,2,"Sullivan, Maddox",10284671,Right,IOW_CEN,"Nydegger, James",10137596,Right,SOU_COM1,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.89005,-2.111681,-3.615827,2263.004159,221.959441,1:30,5.77971,1.78708,5.64696,-16.66395,17.33434,14.66513,2.41654,-0.368,83.59156,-5.248533,-1.002118,0.419662,,,,,,,,,,,,-8.33209,9.63701,-1.48938,50,5.58959,7.67505,-131.78387,-5.39574,-14.7786,25.75286,-15.08096,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,18419d60-2b99-11f1-9983-51ca3518c784,89.8161,,,7.29849,,,,,,,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,17:59:55.70,2026-03-29T12:59:55.7020160-05:00,2026-03-29T17:59:55.7020160Z,,v3,643-147393,643-147683,,"Jones, Ben",1000403921,Right,IOW_CEN,82715422-5a07-4830-9d50-bbe98f540097,54.85237,-132.72872,12.87643,5.77741,-4.84243,-7.54048,-1.78092,8.21726,-7.3893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,13:00:14.97,4,3,"Sullivan, Maddox",10284671,Right,IOW_CEN,"Nydegger, James",10137596,Right,SOU_COM1,Undefined,1,Top,2,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.47806,-2.461349,-4.244248,2277.397232,217.083095,1:15,5.83354,1.76573,5.60055,-15.36442,18.4408,13.13528,2.24759,-1.10923,83.81703,-5.369041,-1.908602,0.418469,,,,,,,,,,,,-7.76559,10.30737,-1.41033,50,5.61226,9.23984,-132.44763,-6.1847,-13.86181,26.99348,-13.77507,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,23c74a90-2b99-11f1-9983-51ca3518c784,90.07222,,,7.66103,,,,,,,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,18:00:14.97,2026-03-29T13:00:14.9740000-05:00,2026-03-29T18:00:14.9740000Z,,v3,643-147393,643-147683,,"Jones, Ben",1000403921,Right,IOW_CEN,3e5f9ae4-eb6c-407d-9e29-4d3630ffc1d8,54.89855,-133.44225,13.49674,5.83079,-5.67714,-6.88754,-1.7602,9.7506,-6.93091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.53953,3.46752,1.95712,1.5104,-1.13811,2.00365,1.19187,-1.57014,4.5525,6.67009,82.08964,8.06036,-42.70528,-1.46767,61.44369,-4.10774,4.63211,24.02724,-14.45487,6.59228,-37.02081,2.94244,High,High,High,,,High,High,High
9,2026-03-29,13:02:25.88,1,1,"Flamino, Isaac",1000511658,Left,SOU_COM1,"Mcintyre, George",1000453500,Right,IOW_CEN,Undefined,1,Bottom,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.76802,-0.021634,1.985281,2081.378299,126.852257,10:15,5.28328,-2.26596,5.67929,-30.9025,8.1954,-9.32835,2.68789,-1.19192,77.74705,-5.736207,0.31796,0.450037,,,,,,,,,,,,5.26618,4.54193,2.10454,50,5.2621,-3.88094,-123.08981,-1.08859,8.10024,23.84256,-25.18781,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,71d32650-2b99-11f1-9983-51ca3518c784,83.75411,,,7.02098,,,,,,,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,18:02:25.88,2026-03-29T13:02:25.8856448-05:00,2026-03-29T18:02:25.8856448Z,,v3,643-147393,643-147683,,"Holomar, Tayvon",1000544087,R,SOU_COM1,f7011356-375e-420a-93c5-32f3da43e392,54.81928,-124.01979,11.92128,5.2854,-0.10613,-12.59391,2.26208,-4.19689,4.05012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,13:02:37.32,1,2,"Flamino, Isaac",1000511658,Left,SOU_COM1,"Mcintyre, George",1000453500,Right,IOW_CEN,Undefined,1,Bottom,0,0,1,Slider,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.69475,-0.499659,1.189213,1470.335537,133.22552,10:30,5.55022,-2.12254,5.25897,-44.97884,4.24894,-3.10095,1.33242,-1.26349,70.65432,-8.642181,0.63826,0.504983,63.70904,41.619345,70.554737,4279.211396,9.13288,48.83454,109.62006,170.18297,67.50929,95.443841,3.621369,1.85154,2.60949,2.01604,50,5.47071,-2.16918,-110.04822,-2.43714,2.30287,16.92828,-28.92847,IOW_CEN,SOU_COM1,HarlanRogersSportsComplex,JUCO,NJCAA,20260329-HarlanRogersSportsComplex-1,78ab5100-2b99-11f1-9983-51ca3518c784,74.64104,49.39223,,5.04043,,,,1.04945,1.29719,1.54044,b6a61293-b68a-47d3-bdb4-895001b1584e,2026-03-29,18:02:37.32,2026-03-29T13:02:37.3241344-05:00,2026-03-29T18:02:37.3241344Z,Popup,v3,643-147393,643-147683,,"Holomar, Tayvon",1000544087,R,SOU_COM1,95bb7718-14ce-4d81-994a-1adc0e011775,55.24264,-110.85174,8.46414,5.55381,-1.06402,-14.46423,2.1216,-2.27849,1.15143,,1.0456,23.3761,-14.27366,4.09341,-2.19409,0.89232,-0.17341,0.01254,4E-05,1.29415,62.15155,-23.11909,3.16342,-1.27726,0.31001,0.02711,-0.02165,0.00233,1.54278,65.7689,-0.95867,-3.48198,3.28076,-2.22827,0.76581,-0.12776,0.00837,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
