PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,13:00:14.97,1,1,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Jefcoats, Daylon",1000511375,Right,PER_BAS6,Undefined,1,Top,0,0,0,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,234ac790-2b99-11f1-94c6-8ba46374d3f0,,,,,,,,,,,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:00:14.97,2026-03-29T13:00:14.9791616-05:00,2026-03-29T18:00:14.9791616Z,,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,40caf936-3ea6-488a-8a03-2b8cf53c3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-29,13:00:15.97,1,2,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Jefcoats, Daylon",1000511375,Right,PER_BAS6,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.37965,1.616768,-1.531807,2172.678759,94.367175,9:15,6.33845,1.68523,5.54788,-42.0064,2.04295,-3.53492,4.34978,-0.0412,72.38178,-6.167705,-2.161846,0.477685,,,,,,,,,,,,1.19469,1.03004,-1.55027,50,6.45165,3.29806,-117.68297,1.87948,1.62515,28.5746,-30.7729,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,24d251f0-2b99-11f1-94c6-8ba46374d3f0,78.90655,,,8.99787,,,,,,,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:00:15.97,2026-03-29T13:00:15.9791616-05:00,2026-03-29T18:00:15.9791616Z,,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,86f25e7e-b35a-4313-91c2-add34a8f9991,54.94657,-118.87797,14.2873,6.34614,3.16642,-15.38645,-1.68678,3.2301,0.81257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,13:00:32.25,1,3,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Jefcoats, Daylon",1000511375,Right,PER_BAS6,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.16041,-2.482822,-3.374255,2302.747242,127.286813,10:15,6.36824,1.65312,5.84868,-37.51104,3.20264,-2.11335,0.92963,-1.66225,75.69961,-9.398822,-3.752984,0.459242,,,,,,,,,,,,-0.13567,3.0265,-1.37714,50,6.14445,7.25792,-121.61716,-6.53964,-0.19771,29.85488,-27.76369,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,2e8031e0-2b99-11f1-94c6-8ba46374d3f0,82.07533,,,8.4608,,,,,,,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:00:32.25,2026-03-29T13:00:32.2520064-05:00,2026-03-29T18:00:32.2520064Z,,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,b857aac3-32c1-4d3d-ab5b-27419ed701f2,54.64798,-122.75285,14.92744,6.37314,-5.4835,-13.88185,-1.65338,7.26545,-0.09885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,13:00:46.76,1,4,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Jefcoats, Daylon",1000511375,Right,PER_BAS6,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.6654,-2.516516,-1.020825,2126.969921,206.112205,12:45,6.64066,1.44064,6.12278,-16.19225,16.83202,7.72693,2.96293,1.1407,83.75967,-5.600887,0.372296,0.413607,,,,,,,,,,,,-4.25811,9.71288,-1.36631,50,6.43925,2.0413,-133.06286,-6.31158,-7.62502,28.87611,-14.78114,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,371d6520-2b99-11f1-94c6-8ba46374d3f0,91.13104,,,7.90572,,,,,,,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:00:46.76,2026-03-29T13:00:46.7657216-05:00,2026-03-29T18:00:46.7657216Z,,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,93e4d2d5-68a9-4e6a-a30f-d55359b9100f,54.37717,-134.00939,14.43805,6.6382,-5.82707,-7.39057,-1.43731,2.29124,-3.81251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,13:01:04.49,1,5,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Jefcoats, Daylon",1000511375,Right,PER_BAS6,Undefined,1,Top,0,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.41128,0.780945,-0.388677,2267.61887,19.671145,6:45,6.60251,1.3289,5.5864,-46.27518,-2.36721,-1.23606,3.47561,0.86292,74.36233,-7.629274,-0.609572,0.476917,56.52327,41.711408,167.158787,4918.400841,-108.1463,30.49129,20.1085,154.93402,53.04365,169.851398,2.768674,0.54575,-1.08571,-1.29466,50,6.63869,0.83062,-115.61098,0.02522,0.75338,17.51658,-33.67282,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,41bad530-2b99-11f1-94c6-8ba46374d3f0,79.03351,37.56656,,5.04895,,,,1.39735,3.52848,-0.84402,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:01:04.49,2026-03-29T13:01:04.4942848-05:00,2026-03-29T18:01:04.4942848Z,Popup,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,13520c81-3cef-4f62-a0b6-3479e1ab2a79,54.91918,-116.35392,8.75829,6.60734,1.45339,-16.83641,-1.32921,0.79867,0.37669,347.61358,1.39716,-60.32924,2.33218,-0.19653,-0.21836,0.2054,-0.08442,0.01753,-0.00145,3.52836,55.16555,-25.14786,2.89723,-0.71495,0.17603,-0.03456,0.00308,4E-05,-0.84422,13.76311,-2.21858,0.63176,-0.31603,0.16036,-0.0439,0.00495,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-03-29,13:01:24.27,1,6,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Jefcoats, Daylon",1000511375,Right,PER_BAS6,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.20452,-2.236987,-1.834514,2074.330318,208.687567,1:00,6.60617,1.42029,6.40539,-16.15824,16.06816,8.23485,3.2005,0.419,84.39255,-5.32644,-0.342671,0.40858,75.06963,9.133519,171.61548,2864.19524,,,,105.82181,47.76137,174.276998,1.074585,-4.8141,9.32524,-1.29243,50,6.43817,3.95715,-133.93317,-5.67981,-8.74674,28.85355,-15.23096,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,4d77e610-2b99-11f1-94c6-8ba46374d3f0,92.25229,6.92336,,7.81196,,,,0.90832,3.06068,-0.42128,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:01:24.27,2026-03-29T13:01:24.2760704-05:00,2026-03-29T18:01:24.2760704Z,GroundBall,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,130ddaef-26b8-4749-9740-d2296234e7e7,54.09613,-134.81272,14.42678,6.60423,-5.21552,-7.61548,-1.41712,4.22377,-4.37337,300.9922,0.88331,-107.22304,7.84995,,,,,,,3.1323,16.57224,-18.19223,,,,,,,-0.37654,15.27931,-4.78904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-03-29,13:01:44.15,1,7,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Jefcoats, Daylon",1000511375,Right,PER_BAS6,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.99108,-2.403769,-1.602714,2114.35656,202.235926,12:45,6.73658,1.3798,6.2131,-16.59143,15.77674,6.06323,3.1333,0.40551,84.86043,-5.543908,-0.508056,0.409478,72.48809,17.109848,9.481084,3489.538364,106.66323,21.8346,26.88767,204.03274,204.03274,18.743152,2.613449,-3.56508,9.10012,-1.26261,50,6.5477,3.49386,-133.68746,-6.10366,-6.50725,26.50771,-15.56382,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,594faae0-2b99-11f1-94c6-8ba46374d3f0,92.04999,21.83908,,7.13065,,,,0.82697,3.09345,-0.39202,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:01:44.15,2026-03-29T13:01:44.1541120-05:00,2026-03-29T18:01:44.1541120Z,LineDrive,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,9e7743ed-2bf6-4a5e-936f-c2e4aebcccc2,54.28952,-134.5353,13.25386,6.73496,-5.60585,-7.78191,-1.3777,3.702,-3.25363,228.685061,0.82702,100.21935,-14.73252,2.48826,-0.29226,-0.06198,0.04913,-0.01282,0.00133,3.09338,31.28383,-13.58367,0.58543,-0.28951,0.22643,-0.09531,0.02219,-0.00218,-0.39209,16.74229,5.6354,-1.38444,0.0935,0.12801,-0.06529,0.01451,-0.0013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-29,13:02:22.82,2,1,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Bernal, Gael",1000511377,Right,PER_BAS6,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.10147,-4.942042,-2.697344,2104.01261,206.941685,1:00,6.63055,1.44583,6.26066,-18.93218,14.9606,7.09146,0.47946,-0.45225,83.43117,-8.478281,-1.416443,0.419011,,,,,,,,,,,,-4.38823,9.35233,-1.24914,50,6.25333,5.8708,-130.50067,-11.85877,-7.6374,25.08979,-15.89706,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,7060aa90-2b99-11f1-94c6-8ba46374d3f0,89.95583,,,6.6703,,,,,,,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:02:22.82,2026-03-29T13:02:22.8238848-05:00,2026-03-29T18:02:22.8238848Z,,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,1305066c-2267-4611-9327-f393353126b1,54.24239,-131.31377,12.5449,6.6293,-11.34359,-7.94853,-1.44341,6.11831,-3.8187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,13:02:41.53,2,2,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Bernal, Gael",1000511377,Right,PER_BAS6,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.78513,-3.715899,-2.763193,2275.01516,199.413499,12:45,6.54084,1.45026,6.50232,-16.71084,16.16678,5.36705,1.72878,-0.64071,84.14699,-6.876497,-1.790047,0.412688,,,,,,,,,,,,-3.48882,9.68686,-1.25907,50,6.27266,6.15225,-131.76134,-9.02446,-6.20987,24.72241,-14.93211,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,7b891c90-2b99-11f1-94c6-8ba46374d3f0,91.33402,,,6.63814,,,,,,,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:02:41.53,2026-03-29T13:02:41.5373312-05:00,2026-03-29T18:02:41.5373312Z,,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,29f95d32-124c-4a0d-8d68-a337f14f4a7d,54.00025,-132.50978,12.36121,6.53903,-8.5724,-7.46606,-1.44817,6.34025,-3.10493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,13:02:58.24,2,3,"Mackenzie, Matthew",10186693,Right,UNI_TEX,"Bernal, Gael",1000511377,Right,PER_BAS6,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.10006,-2.678385,-1.800671,2140.831599,204.36101,12:45,6.47186,1.57244,6.11547,-17.35473,15.33832,6.47418,2.5461,0.44646,84.32729,-5.963566,-0.634014,0.411528,,,,,,,,,,,,-3.83169,8.97406,-1.43757,50,6.25703,3.92666,-133.66032,-6.77609,-6.93574,28.64833,-15.93016,UNI_TEX,PER_BAS6,IrwinField,D2,LS,20260329-IrwinField-2,857dc980-2b99-11f1-94c6-8ba46374d3f0,91.59149,,,7.77278,,,,,,,1a096348-e04f-4dbb-a00b-157f8435e907,2026-03-29,18:02:58.24,2026-03-29T13:02:58.2437888-05:00,2026-03-29T18:02:58.2437888Z,,v3,643-146101,643-146099,,"Ketzner, Cole",1000138406,Right,UNI_TEX,0fbc49c5-ef83-4a94-8c2e-f571b722a92f,54.38507,-134.59692,14.32417,6.47005,-6.25529,-7.96508,-1.56965,4.15342,-3.46787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
