PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,14:01:09.77,1,1,"Smith, Adrian",1000296263,Right,LIN_MEM,"Dockery, Landon",10151729,Right,TUS_PIO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.99167,-2.826906,-2.72596,2304.05362,201.595776,12:45,5.8038,0.59971,6.23751,-16.35729,19.60052,7.26819,1.82794,-1.31106,79.97032,-5.972477,-1.41486,0.431587,,,,,,,,,,,,-4.60941,11.40355,-0.40003,50,5.58465,5.78738,-127.55287,-6.72823,-7.53489,28.14055,-13.53297,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,4471dee0-2b99-11f1-ba1b-b7cc0e27d47b,87.33455,,,8.02136,,,,,,,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:01:09.77,2026-03-29T14:01:09.7795072-04:00,2026-03-29T18:01:09.7795072Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,493f5b10-b32d-4e74-91df-91da5f7d906b,54.26067,-128.48942,14.07028,5.80108,-6.27783,-6.76649,-0.59681,6.03815,-3.76744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,14:01:21.68,1,2,"Smith, Adrian",1000296263,Right,LIN_MEM,"Dockery, Landon",10151729,Right,TUS_PIO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.88333,-1.572761,-2.609037,2288.286791,210.632054,1:00,5.63949,0.64622,6.13219,-17.20938,18.9508,10.48477,2.74983,-0.89321,79.6969,-4.879229,-0.72101,0.4328,,,,,,,,,,,,-6.17859,10.61469,-0.4521,50,5.51025,5.37777,-127.45889,-3.95931,-10.08251,28.16153,-14.85253,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,4b890e60-2b99-11f1-ba1b-b7cc0e27d47b,87.08983,,,8.18642,,,,,,,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:01:21.68,2026-03-29T14:01:21.6801280-04:00,2026-03-29T18:01:21.6801280Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,11af4c78-5258-4c4d-b169-3bd8663564ee,54.36438,-128.41956,14.08076,5.63667,-3.45265,-7.42627,-0.64141,5.72171,-5.04125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,14:01:34.69,1,3,"Smith, Adrian",1000296263,Right,LIN_MEM,"Dockery, Landon",10151729,Right,TUS_PIO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.39651,-2.190057,-2.373209,2249.046379,211.161314,1:00,5.66581,0.66266,6.4172,-17.79521,18.49777,10.4067,2.16682,-0.65308,79.09828,-5.621516,-0.48825,0.433593,,,,,,,,,,,,-6.2174,10.74615,-0.49781,50,5.50114,4.85787,-126.78304,-5.30408,-9.99215,28.97182,-14.90364,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,5350f040-2b99-11f1-ba1b-b7cc0e27d47b,86.93037,,,8.29823,,,,,,,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:01:34.69,2026-03-29T14:01:34.6905600-04:00,2026-03-29T18:01:34.6905600Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,8f5975ed-3ee6-45a3-ae68-e9c21bbef1c3,54.08096,-127.7122,14.48591,5.66358,-4.82611,-7.45182,-0.65875,5.17833,-4.99607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,14:01:46.72,1,4,"Smith, Adrian",1000296263,Right,LIN_MEM,"Dockery, Landon",10151729,Right,TUS_PIO,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.75129,1.189993,-0.799021,2317.500281,355.67636,5:45,5.79359,0.28052,5.16825,-55.25046,-7.34461,0.67772,2.30957,-0.41501,70.9111,-8.825745,-0.678767,0.498156,,,,,,,,,,,,-0.58728,-3.64197,-0.20663,50,5.86178,1.5459,-112.7732,0.40383,-0.74819,22.56494,-36.81383,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,5a86f260-2b99-11f1-ba1b-b7cc0e27d47b,75.66388,,,6.8402,,,,,,,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:01:46.72,2026-03-29T14:01:46.7233792-04:00,2026-03-29T18:01:46.7233792Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,f8f93f2c-5943-4cc4-ac1a-52ab5deb12ff,55.33229,-113.83514,11.28247,5.80201,2.13635,-18.40691,-0.28021,1.58111,-0.37409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,14:02:05.55,1,5,"Smith, Adrian",1000296263,Right,LIN_MEM,"Dockery, Landon",10151729,Right,TUS_PIO,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,88.98764,-1.797693,-0.817876,2254.739502,209.850095,1:00,5.93788,0.37741,5.97803,-16.14977,19.29265,10.37154,2.92493,0.48351,80.71165,-4.899014,1.046802,0.428482,85.65527,19.337381,-21.75908,1556.431238,100.40133,30.72194,-44.93832,283.36081,275.10434,-27.917748,3.204597,-5.62315,10.84902,-0.3187,50,5.78699,1.41898,-129.16036,-4.50186,-9.40856,29.29378,-14.02169,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,65b4e2a0-2b99-11f1-ba1b-b7cc0e27d47b,87.96732,33.78567,,8.27599,,,,2.48237,3.05559,-0.49781,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:02:05.55,2026-03-29T14:02:05.5543808-04:00,2026-03-29T18:02:05.5543808Z,LineDrive,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,cfdc4c9f-d7f0-46f7-84be-1c08a36db058,54.52057,-130.1816,14.64689,5.93541,-4.01304,-7.01084,-0.37389,1.74698,-4.70428,139.91403,2.48221,110.1017,-17.57115,3.90101,-0.8285,0.16822,-0.03273,0.00469,-0.00028,3.05575,41.59169,-14.57865,0.22776,0.11802,-0.04,0.00704,0.00045,-0.0002,-0.49785,-43.94036,0.16916,0.62289,-0.23422,0.05129,-0.00756,0.00063,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-29,14:02:35.82,2,1,"Smith, Adrian",1000296263,Right,LIN_MEM,"Ortega, Ryan",1000359471,Right,TUS_PIO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.79505,-3.463543,-2.715544,2252.099291,215.010643,1:15,5.73123,0.44608,5.91684,-15.50839,21.12139,13.89351,1.21701,-0.91816,79.71588,-6.442439,-0.22354,0.435601,,,,,,,,,,,,-8.02619,12.30087,-0.23669,50,5.44463,5.46979,-127.14527,-8.1226,-13.02487,28.17569,-12.21224,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,77b9ec20-2b99-11f1-ba1b-b7cc0e27d47b,86.52979,,,8.07918,,,,,,,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:02:35.82,2026-03-29T14:02:35.8271488-04:00,2026-03-29T18:02:35.8271488Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,324b5b81-0ef4-409f-950b-40c2a1377be6,54.58259,-128.15676,14.08784,5.72835,-7.68419,-6.10612,-0.44145,5.93738,-6.51243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,14:02:48.58,2,2,"Smith, Adrian",1000296263,Right,LIN_MEM,"Ortega, Ryan",1000359471,Right,TUS_PIO,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.65387,-0.381504,-2.605743,2316.832622,211.860501,1:00,5.5393,0.86194,6.20395,-18.07025,19.15564,11.08548,3.68094,-0.62111,78.17374,-3.869894,-0.607206,0.439131,,,,,,,,,,,,-6.50969,10.39233,-0.67126,50,5.50139,5.2674,-125.66789,-1.29856,-10.2813,28.40458,-15.76062,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,7f5f2ad0-2b99-11f1-ba1b-b7cc0e27d47b,85.8342,,,8.48013,,,,,,,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:02:48.58,2026-03-29T14:02:48.5870080-04:00,2026-03-29T18:02:48.5870080Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,7d510d41-0a8b-4386-a210-56e91924750d,54.29128,-126.63413,14.20229,5.53644,-0.76243,-7.88031,-0.85639,5.61713,-5.14065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,14:03:01.32,2,3,"Smith, Adrian",1000296263,Right,LIN_MEM,"Ortega, Ryan",1000359471,Right,TUS_PIO,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,84.5961,-1.082025,-2.15358,2234.81173,208.319322,1:00,5.51104,0.72208,5.99302,-18.65588,20.73084,10.41115,2.95283,-0.40702,76.35644,-4.671097,-0.282946,0.451696,81.82272,72.558819,-10.971369,,,,,,36.5386,,,-6.06055,11.42127,-0.55819,50,5.41567,4.20309,-122.6841,-2.80996,-9.11038,27.37539,-15.00531,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,86f26820-2b99-11f1-ba1b-b7cc0e27d47b,83.44647,104.20845,,8.23965,,,,1.61971,2.76529,0.42161,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:03:01.32,2026-03-29T14:03:01.3215744-04:00,2026-03-29T18:03:01.3215744Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,2c70818a-5eaa-4b27-8a70-d4d3a3f5d721,54.50425,-123.68508,13.6877,5.50839,-2.2613,-7.50265,-0.71797,4.53621,-4.55519,159.282061,1.61972,35.30988,-8.64575,2.05037,0.44109,-1.68631,1.77183,-0.88551,0.17332,2.76529,114.48948,-28.08996,3.67379,-0.92861,0.47257,-0.35712,0.17103,-0.03381,0.42162,-6.84757,-4.38714,1.19084,0.67727,-1.89213,1.95691,-0.97704,0.19146,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
9,2026-03-29,14:03:33.47,3,1,"Smith, Adrian",1000296263,Right,LIN_MEM,"Ponte, Alejandro",10179229,Left,TUS_PIO,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.3306,-3.463646,-3.102565,2281.989626,210.20507,1:00,5.71311,0.73678,6.13903,-15.98694,19.86686,10.84308,1.17127,-1.22971,80.33605,-6.531776,-1.150803,0.430962,,,,,,,,,,,,-6.59697,11.71469,-0.50585,50,5.44024,6.50826,-127.9362,-8.18015,-10.85396,28.19405,-12.89993,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,9a206140-2b99-11f1-ba1b-b7cc0e27d47b,87.46114,,,7.99455,,,,,,,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:03:33.47,2026-03-29T14:03:33.4751744-04:00,2026-03-29T18:03:33.4751744Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,feb596a2-1927-4eff-a15e-ed4362dd3d8c,54.36042,-128.89355,14.09702,5.71056,-7.74212,-6.44996,-0.7331,6.87681,-5.42698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,14:03:45.95,3,2,"Smith, Adrian",1000296263,Right,LIN_MEM,"Ponte, Alejandro",10179229,Left,TUS_PIO,Undefined,1,Top,2,1,0,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.87927,1.867385,-0.719722,2106.969714,302.783383,4:00,5.67018,0.70961,5.46449,-48.00384,0.34516,1.95228,3.41838,0.19865,70.0278,-6.93373,-0.371958,0.500455,,,,,,,,,,,,-1.19047,0.14524,-0.64761,50,5.80206,1.32404,-111.49836,2.04822,-1.48874,21.28508,-31.9924,LIN_MEM,TUS_PIO,LamarHennonField,D2,Team,20260329-LamarHennonField-1,a1980040-2b99-11f1-ba1b-b7cc0e27d47b,75.31632,,,6.85147,,,,,,,3b423a6c-3f4e-4ff6-9777-83c9359902d5,2026-03-29,18:03:45.95,2026-03-29T14:03:45.9552256-04:00,2026-03-29T18:03:45.9552256Z,,v3,471663,471724,,"Matti, Ronaldo",1000286976,Right,LIN_MEM,23650bf8-ecbe-4af1-a0f8-0d9f071fa537,55.03277,-112.45502,10.64254,5.67769,3.48611,-15.9962,-0.70863,1.39095,-0.74437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
