PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,13:02:52.70,1,1,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Carter, Bristol",806043,Right,AUB_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.47759,-2.42932,-2.296959,2266.932401,210.283525,1:00,6.54506,2.08141,5.54345,-12.67808,20.76257,11.44186,3.21497,0.88706,83.7409,-4.879426,-0.25871,0.416206,,,,,,,,,,,,-6.43453,11.53091,-1.88994,50,6.32618,4.83768,-133.94521,-6.0354,-11.59685,31.0822,-11.39205,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,81cd92c0-2b99-11f1-9300-6b39d59295a1,90.56189,,,8.73669,,,,,,,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:02:52.70,2026-03-29T13:02:52.7047680-05:00,2026-03-29T18:02:52.7047680Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,6864fdb6-6bbd-40a1-95bd-b2366d67dcce,54.95384,-135.08987,15.5411,6.54072,-5.61587,-5.69602,-2.07596,5.26476,-5.79843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,13:03:06.52,1,2,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Carter, Bristol",806043,Right,AUB_TIG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.29885,-2.980181,-3.35331,2381.598679,215.295712,1:15,6.63302,1.91711,5.68979,-16.01091,18.01312,11.94453,2.5139,-0.21646,83.19366,-6.016699,-1.222073,0.419821,98.55557,-18.095959,-19.06528,,,,,10.19046,4.01616,-13.541838,0.058162,-7.07587,10.37032,-1.64263,50,6.37204,7.22563,-132.20299,-7.3884,-12.48189,29.04359,-13.88066,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,8a030380-2b99-11f1-9300-6b39d59295a1,89.7821,2.61608,,8.10519,,,,2.34049,2.61608,0.22891,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:03:06.52,2026-03-29T13:03:06.5205760-05:00,2026-03-29T18:03:06.5205760Z,GroundBall,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,dc6431ad-9292-46f2-9319-450928956275,54.81046,-133.25561,14.5218,6.6307,-6.88533,-6.94033,-1.91271,7.67801,-6.24095,,2.3383,130.09541,,,,,,,,2.61683,-44.9788,,,,,,,,0.22967,-44.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2026-03-29,13:03:36.15,2,1,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Rembert, Chris",807300,Right,AUB_TIG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,93.46455,-2.455684,-1.760226,2307.3199,210.951709,1:00,6.52751,1.82651,5.56484,-11.50205,21.08781,11.98402,3.2724,1.18025,84.89377,-4.686785,0.376426,0.410878,,,,,,,,,,,,-6.61457,11.74142,-1.68288,50,6.30837,3.61789,-135.50451,-6.13208,-12.22868,31.17674,-10.46709,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,9bae7b50-2b99-11f1-9300-6b39d59295a1,91.7364,,,8.57078,,,,,,,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:03:36.15,2026-03-29T13:03:36.1530880-05:00,2026-03-29T18:03:36.1530880Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,4f42fc52-1dc9-458e-9390-9fa960704f3e,54.93504,-136.63524,15.58837,6.52389,-5.75245,-5.23355,-1.82214,4.0614,-6.11434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,13:05:28.58,3,1,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Fralick, Chase",812834,Left,AUB_TIG,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.7865,-2.970711,-2.61965,1680.708461,221.489529,1:30,6.4688,2.0772,5.96892,-25.70891,14.00922,11.27934,1.56673,0.58663,77.06214,-7.756892,-0.592492,0.453592,,,,,,,,,,,,-6.51142,8.3917,-1.87581,50,6.21867,5.12043,-121.50307,-7.08945,-9.75633,23.2948,-19.60044,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,deb87fe0-2b99-11f1-9300-6b39d59295a1,83.0976,,,6.72435,,,,,,,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:05:28.58,2026-03-29T13:05:28.5878784-05:00,2026-03-29T18:05:28.5878784Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,929d1222-6bf3-4738-98d8-7bfe8398dd67,54.53083,-122.36865,11.6474,6.46856,-6.36115,-9.80022,-2.07281,5.48295,-4.87817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,13:05:44.16,3,2,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Fralick, Chase",812834,Left,AUB_TIG,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.82275,-3.691609,-1.449971,1633.381388,223.760097,1:30,6.55187,1.985,5.97888,-26.37596,13.23757,11.49804,0.92599,1.59879,77.35705,-8.577552,0.619842,0.452995,,,,,,,,,,,,-6.28752,8.17772,-1.87662,50,6.24493,2.62834,-121.56976,-8.65188,-9.44671,22.95221,-19.88741,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,e8041b90-2b99-11f1-9300-6b39d59295a1,83.20723,,,6.4657,,,,,,,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:05:44.16,2026-03-29T13:05:44.1602048-05:00,2026-03-29T18:05:44.1602048Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,187255bd-bd5f-4434-9b2a-6bcfa9cdc35a,54.52065,-122.42028,11.47611,6.55188,-7.91493,-9.94371,-1.98051,2.9784,-4.72335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-29,13:06:01.53,3,3,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Fralick, Chase",812834,Left,AUB_TIG,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.52165,-2.672401,-3.642024,2232.332544,199.810878,12:45,6.57019,1.80656,5.7954,-12.24426,20.83631,7.09945,3.05717,-0.99414,84.03411,-5.045838,-2.374393,0.413959,,,,,,,,,,,,-4.66992,11.71989,-1.51085,50,6.34254,8.20438,-133.91754,-6.57997,-8.4382,30.26843,-10.99704,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,f258c2d0-2b99-11f1-9300-6b39d59295a1,91.05345,,,8.48754,,,,,,,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:06:01.53,2026-03-29T13:06:01.5333888-05:00,2026-03-29T18:06:01.5333888Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,2f23d507-962d-4010-867a-e1a4feba1ad6,54.70242,-134.97621,15.13422,6.56595,-6.19534,-5.49852,-1.80296,8.49951,-4.2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,13:06:22.57,3,4,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Fralick, Chase",812834,Left,AUB_TIG,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.1635,-2.671677,-2.878064,2428.98667,205.558031,12:45,6.70375,1.70746,5.78698,-10.21871,21.44726,9.77445,3.36171,-0.1578,86.09346,-4.665409,-1.130584,0.405012,76.4736,51.850249,-131.200269,3676.134531,,,,,44.74848,,,-5.77437,11.97642,-1.47613,50,6.4772,6.42491,-136.52645,-6.63414,-10.92288,29.43472,-9.51928,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,fedddea0-2b99-11f1-9300-6b39d59295a1,93.06503,49.92852,,8.07004,,,,0.58927,3.35634,0.15641,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:06:22.57,2026-03-29T13:06:22.5782272-05:00,2026-03-29T18:06:22.5782272Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,28987fbb-2060-45c4-9e43-ee605f83cea7,54.71308,-137.53883,14.71736,6.69974,-6.30674,-4.75964,-1.70357,6.80059,-5.46144,30.630704,0.58927,-45.63736,-5.3321,2.47946,1.58844,-9.05977,18.53312,-18.18569,6.9506,3.35634,88.20316,-30.63553,3.94352,0.17226,-3.62423,7.40046,-7.14582,2.69335,0.15641,-52.13,8.62469,-1.53237,-0.31127,2.21803,-4.4443,4.28481,-1.61467,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-03-29,13:06:50.22,3,5,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Fralick, Chase",812834,Left,AUB_TIG,Undefined,1,Top,1,1,2,Curveball,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,80.29892,-0.44691,-3.455174,2501.172461,21.450584,6:45,6.49878,1.69346,5.62495,-61.28196,-17.05627,-7.25697,0.97415,-2.13942,74.00434,-11.506923,-4.752973,0.47864,,,,,,,,,,,,2.63327,-8.18563,-1.39385,50,6.42089,7.31084,-116.46224,-3.03514,3.57638,24.14415,-43.29144,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,0f643760-2b9a-11f1-9300-6b39d59295a1,78.74909,,,6.29457,,,,,,,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:06:50.22,2026-03-29T13:06:50.2244352-05:00,2026-03-29T18:06:50.2244352Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,57da6c34-49f8-495c-8154-c5b276a7dd11,54.87965,-117.46951,12.07207,6.50984,-1.22908,-21.64572,-1.69574,7.16164,1.78819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,13:07:30.56,4,1,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Guevara, Eric",804561,Right,AUB_TIG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.50226,-2.75107,-3.973233,2166.026695,218.189492,1:15,6.60276,2.08253,5.69201,-16.73678,16.26485,11.96717,2.63591,-0.62916,84.68819,-5.902696,-1.840223,0.413465,,,,,,,,,,,,-7.12654,9.31571,-1.75554,50,6.3604,8.76062,-133.92735,-6.98774,-12.98289,28.10349,-15.20306,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,276c1a30-2b9a-11f1-9300-6b39d59295a1,91.1623,,,7.81407,,,,,,,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:07:30.56,2026-03-29T13:07:30.5657344-05:00,2026-03-29T18:07:30.5657344Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,46210679-5f7a-47ac-9f05-c543232f4d45,54.80718,-134.93232,14.05175,6.60056,-6.44408,-7.60153,-2.07712,9.22489,-6.49144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,13:07:45.81,4,2,"Upchurch, Myles",1000187374,Right,ALA_CRI,"Guevara, Eric",804561,Right,AUB_TIG,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.86764,-3.831045,-4.390612,2192.527499,214.233236,1:15,6.60316,2.07818,5.77492,-15.28879,17.37875,11.12497,1.74832,-1.08839,85.25438,-6.716226,-2.406601,0.411367,,,,,,,,,,,,-6.80953,10.17512,-1.72153,50,6.27607,9.81435,-134.29166,-9.49054,-12.50232,27.61282,-13.49249,ALA_CRI,AUB_TIG,SwellThomasStadium,D1,SEC,20260329-SwellThomasStadium-1,307f67d0-2b9a-11f1-9300-6b39d59295a1,91.62728,,,7.61326,,,,,,,81c25df6-17ab-4fc6-94ac-c0a1246a1394,2026-03-29,18:07:45.81,2026-03-29T13:07:45.8104832-05:00,2026-03-29T18:07:45.8104832Z,,v3,471226,471236,0a3b102d26ec43a59aa10abdd30634ce,"Lemm, Johnny",1000221262,Right,ALA_CRI,6f379d91-00b8-41a7-93a0-f5ef8980a5a1,54.72477,-135.25967,13.80641,6.60049,-9.01754,-6.74624,-2.07327,10.25263,-6.25116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
