PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,13:01:47.91,1,1,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Hoalcraft, Christopher",1000241287,Right,STB_BON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,90.56529,-1.790979,-3.275322,2276.615881,216.803938,1:15,5.89029,2.2027,6.12244,-21.778,12.31138,8.34182,2.41654,-0.13332,82.28553,-5.896525,-1.774406,0.420224,92.92078,9.273585,-13.951964,1051.627336,105.68092,9.86798,-30.52071,175.23348,144.4191,-17.747387,1.623955,-5.33532,7.24638,-1.95627,50,5.74169,7.17371,-131.29957,-4.79198,-9.23597,29.96899,-19.62985,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,f95ef170-2b90-11f1-86c1-ff90ae56108c,89.69605,10.3577,,8.27976,,,,1.11482,2.40289,0.15268,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:01:47.91,2026-03-29T13:01:47.9160832-04:00,2026-03-29T17:01:47.9160832Z,LineDrive,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,d34c28a4-67b7-4bb1-8237-3a67115d2834,54.37591,-132.2946,14.9845,5.88997,-4.14023,-9.81492,-2.19954,7.48036,-4.61798,120.663517,1.11482,130.53431,-23.02553,4.61081,-1.01429,0.21881,-0.04554,0.00753,-0.00066,2.40289,21.96194,-15.89491,1.13018,-0.19317,0.03924,-0.00625,0.00098,-9E-05,0.15268,-32.42965,-1.14069,0.78663,-0.2658,0.07297,-0.01721,0.00301,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-03-29,13:02:10.92,2,1,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Castro, Manuel",10971519,Right,STB_BON,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.63494,-2.632953,-3.321884,2288.778828,221.153967,1:15,5.92511,1.97881,6.21125,-19.3606,13.63993,10.99024,1.87598,-0.17453,83.80682,-6.288129,-1.340775,0.413458,,,,,,,,,,,,-6.61091,8.12737,-1.73478,50,5.71749,7.2525,-132.85419,-6.70715,-11.80949,28.59706,-17.65568,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,071adf90-2b91-11f1-86c1-ff90ae56108c,91.16383,,,7.82812,,,,,,,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:02:10.92,2026-03-29T13:02:10.9265408-04:00,2026-03-29T17:02:10.9265408Z,,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,948e76c8-1b68-4418-b8ed-1281356b0d95,54.28643,-133.77367,14.29853,5.92402,-6.13946,-8.82784,-1.97407,7.6322,-5.90474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,13:02:22.43,2,2,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Castro, Manuel",10971519,Right,STB_BON,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.62013,-1.939028,-3.015139,2651.559964,147.532966,11:00,5.80959,2.22958,5.67455,-29.23376,9.07815,-5.05532,1.56256,-1.0052,79.1029,-7.307077,-3.917172,0.44549,,,,,,,,,,,,1.78063,5.48166,-1.97189,50,5.62742,6.75057,-124.19443,-5.20158,2.79795,23.46077,-23.56051,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,0dfb47a0-2b91-11f1-86c1-ff90ae56108c,84.60887,,,6.51722,,,,,,,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:02:22.43,2026-03-29T13:02:22.4308224-04:00,2026-03-29T17:02:22.4308224Z,,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,2ac2330d-25ce-4191-a44d-1dcd8f36f9a5,54.82336,-125.10226,11.73038,5.81106,-4.28989,-11.78026,-2.23101,6.6423,1.39897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,13:02:33.91,2,3,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Castro, Manuel",10971519,Right,STB_BON,Undefined,1,Top,1,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.90114,-0.049475,-1.225843,2339.367583,37.972809,7:15,5.8137,2.41841,5.42097,-51.05105,-6.5313,-6.16426,1.51309,0.75631,73.69688,-9.303341,-2.325184,0.480228,,,,,,,,,,,,2.78469,-2.94969,-2.30508,50,5.77327,2.72417,-116.06513,-1.87532,3.79264,22.03988,-36.1914,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,14d4d1e0-2b91-11f1-86c1-ff90ae56108c,78.48857,,,6.20426,,,,,,,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:02:33.91,2026-03-29T13:02:33.9154944-04:00,2026-03-29T17:02:33.9154944Z,,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,55500468-647b-4aff-8f9e-808de77b62b5,55.08025,-117.02585,11.01994,5.82063,-0.29773,-18.0957,-2.42023,2.55885,1.89632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,13:02:49.89,2,4,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Castro, Manuel",10971519,Right,STB_BON,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.586,0.016395,-2.456976,2359.544508,207.729165,1:00,5.96724,2.06827,6.14115,-16.40249,16.21658,7.93162,4.61553,0.45731,83.62224,-3.137937,-1.028674,0.411062,,,,,,,,,,,,-4.81264,8.67461,-1.88475,50,5.95989,5.41313,-134.29522,-0.42385,-8.69871,31.87416,-16.49485,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,1e514190-2b91-11f1-86c1-ff90ae56108c,91.6953,,,8.96375,,,,,,,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:02:49.89,2026-03-29T13:02:49.8991104-04:00,2026-03-29T17:02:49.8991104Z,,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,73f87cbc-81bd-48f9-8d98-8517833ffd3f,54.35351,-135.32455,15.93708,5.96497,0.10883,-8.24742,-2.06409,5.69404,-4.34936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-29,13:03:04.08,2,5,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Castro, Manuel",10971519,Right,STB_BON,Undefined,1,Top,1,2,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.17204,-1.714098,-2.906004,2375.477009,219.353929,1:15,6.04891,1.98201,5.97186,-19.9432,13.99032,10.48934,2.79536,0.15972,82.46653,-5.490618,-1.022991,0.419262,85.46717,18.090847,16.722864,3309.518875,101.93866,26.88832,41.33245,241.1628,226.86452,29.1775,2.919346,-6.28181,8.0641,-1.75761,50,5.90207,6.25338,-132.12175,-4.58173,-10.97657,31.16121,-18.08317,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,26cd3130-2b91-11f1-86c1-ff90ae56108c,89.9018,27.87651,,8.70551,,,,0.48592,2.69552,-0.14603,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:03:04.08,2026-03-29T13:03:04.0823808-04:00,2026-03-29T17:03:04.0823808Z,LineDrive,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,9be40c24-0f4a-4b8e-ae40-d92bc4883f49,54.52445,-133.18457,15.58061,6.04782,-3.96496,-9.04158,-1.97728,6.62777,-5.48828,240.996964,0.48586,114.11777,-22.14672,4.34522,-0.87738,0.14884,-0.02118,0.00131,9E-05,2.69555,38.92375,-16.3494,1.05751,-0.04705,-0.00337,-0.00067,0.00166,-0.00033,-0.14603,34.28639,6.4932,-3.1286,0.9738,-0.23379,0.04454,-0.00575,0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-03-29,13:03:41.47,3,1,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Fernandez, Anthony",1000085064,Left,STB_BON,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.36466,-0.191141,-0.896917,2365.631975,201.069417,12:45,5.91318,2.31163,6.00454,-14.82493,18.90332,6.82189,4.50066,2.04905,82.30259,-3.067058,0.329859,0.417992,,,,,,,,,,,,-3.74433,10.07229,-2.24461,50,5.88989,1.77018,-132.53996,-0.82914,-6.57268,31.81312,-14.49341,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,3d0efa00-2b91-11f1-86c1-ff90ae56108c,90.17497,,,9.06208,,,,,,,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:03:41.47,2026-03-29T13:03:41.4737408-04:00,2026-03-29T17:03:41.4737408Z,,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,40a4d944-00a6-4916-a29b-81c7af22f423,54.48884,-133.61306,15.90656,5.90961,-0.34026,-7.2467,-2.30806,1.99188,-3.28634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,13:04:00.95,3,2,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Fernandez, Anthony",1000085064,Left,STB_BON,Undefined,1,Top,1,1,0,Slider,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.43366,-0.478509,-2.021675,2631.871906,162.343129,11:30,5.74798,2.69411,5.40294,-29.76836,10.1576,-2.83429,2.81864,0.56281,77.3537,-5.963175,-2.525391,0.454778,,,,,,,,,,,,0.86488,5.62177,-2.51193,50,5.68468,4.44449,-122.5037,-2.05198,1.31484,24.11173,-23.62771,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,48bd8bf0-2b91-11f1-86c1-ff90ae56108c,82.88102,,,7.07996,,,,,,,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:04:00.95,2026-03-29T13:04:00.9565184-04:00,2026-03-29T17:04:00.9565184Z,,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,c6bb51fc-8a6a-45f1-a65d-2d90348ce402,55.09413,-123.50228,12.05586,5.7494,-1.07345,-11.81385,-2.69487,4.39004,0.65742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,13:04:19.72,3,3,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Fernandez, Anthony",1000085064,Left,STB_BON,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.65636,-2.709167,-3.535641,2377.614482,207.942975,1:00,5.94667,2.25725,6.11879,-15.67666,18.38887,9.13174,2.12898,-0.25466,82.32851,-5.717883,-1.894037,0.420077,84.25198,68.666911,-51.093422,3885.436738,,,,,47.33207,,,-5.78831,10.66319,-1.99094,50,5.73052,7.73473,-131.30539,-6.65407,-10.03199,29.69105,-13.69321,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,53e058a0-2b91-11f1-86c1-ff90ae56108c,89.72742,100.88008,,8.32785,,,,0.96081,1.92891,0.404,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:04:19.72,2026-03-29T13:04:19.7268480-04:00,2026-03-29T17:04:19.7268480Z,,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,244de73a-6091-44e6-aeb2-c9774e48b194,54.37877,-132.29183,14.84553,5.94403,-6.19913,-6.8466,-2.25344,8.06803,-5.016,155.105764,0.96079,28.2365,-13.96983,4.60061,-1.34065,0.08827,0.68397,-0.60359,0.16231,1.92891,115.10251,-31.42904,4.17197,-0.72606,-0.02932,0.18614,-0.11767,0.02617,0.40399,-34.97896,-2.00216,1.74692,-0.72306,0.11273,0.35037,-0.33737,0.09358,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-03-29,13:04:43.70,3,4,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Fernandez, Anthony",1000085064,Left,STB_BON,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.07624,-1.729955,-2.485163,2369.501378,204.536629,12:45,5.7962,2.50129,6.01715,-16.79304,17.25501,7.31079,2.79236,0.80711,82.05716,-4.954365,-1.171445,0.419969,94.27609,15.048574,-17.949637,2606.37981,101.87302,24.21179,-41.49363,264.6714,258.81729,-27.451044,2.724956,-4.5528,9.78221,-2.31038,50,5.65144,5.41265,-131.97796,-4.46712,-7.90796,32.07374,-15.18281,VCU_RAM,STB_BON,TheDiamond,D1,A10,20260329-TheDiamond-1,6228f660-2b91-11f1-86c1-ff90ae56108c,89.7505,25.96688,,9.01908,,,,-0.10856,2.66637,-0.77893,615f5db7-8e60-43fe-a34d-e59db5c737fe,2026-03-29,17:04:43.70,2026-03-29T13:04:43.7003776-04:00,2026-03-29T17:04:43.7003776Z,LineDrive,v3,471479,471424,d3dcdc3d41aa4db68eaebf3053b9556d,"Lee, Jacob",1000115663,Right,VCU_RAM,fe31b186-a37b-4ef5-8200-fb72afe17fe6,54.4783,-133.06184,16.03687,5.79373,-3.95404,-7.5914,-2.49781,5.67989,-3.95398,129.514787,-0.10842,127.02344,-24.98562,5.70347,-1.08833,0.16841,-0.01579,-0.00042,0.0002,2.66609,35.91441,-14.09998,0.29492,-0.19824,0.17416,-0.07902,0.01826,-0.00166,-0.77881,-41.15713,-2.63749,0.91287,-0.17805,-0.01679,0.02397,-0.00663,0.00064,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
