PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,12:06:29.88,1,1,"Pudvar, Oliver",837539,Left,UCO_HUS,"Valdes, Jorge",807098,Left,XAV_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.11488,-1.876033,1.291532,2023.485275,150.003691,11:00,5.51499,-0.34079,5.71845,-15.85761,21.09808,-11.3628,2.44487,-0.08439,78.97454,-4.944999,-0.740912,0.437534,,,,,,,,,,,,6.16918,11.7265,0.23978,50,5.34859,-2.37558,-127.60736,-4.60146,9.96651,31.21201,-13.22951,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,4044ca40-2b89-11f1-b10c-fbf4d8986dc0,86.14739,,,9.14034,,,,,,,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:06:29.88,2026-03-29T12:06:29.8891776-04:00,2026-03-29T16:06:29.8891776Z,,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,17f3add1-f0e2-44aa-bfa2-d12656a2895b,54.77717,-128.77053,15.60601,5.51088,-4.10844,-6.61475,0.33523,-2.74699,4.98325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,12:06:44.15,1,2,"Pudvar, Oliver",837539,Left,UCO_HUS,"Valdes, Jorge",807098,Left,XAV_MUS,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.14986,1.542029,1.434237,1939.427796,279.869911,3:15,5.06373,-0.82895,5.35162,-49.0814,0.10543,10.38906,2.42073,1.38231,69.09014,-7.476838,3.279758,0.504773,,,,,,,,,,,,-4.6376,0.13248,0.69237,50,5.16836,-3.21817,-111.61193,1.3512,-5.69358,25.09183,-32.01139,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,48c303d0-2b89-11f1-b10c-fbf4d8986dc0,74.67211,,,8.05971,,,,,,,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:06:44.15,2026-03-29T12:06:44.1574400-04:00,2026-03-29T16:06:44.1574400Z,,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,017d7b29-1487-418a-b55f-c9a40d7cc14a,55.14385,-112.76241,12.54592,5.07276,2.81894,-16.0057,0.83394,-2.95711,-2.84679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,12:06:56.19,1,3,"Pudvar, Oliver",837539,Left,UCO_HUS,"Valdes, Jorge",807098,Left,XAV_MUS,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.43197,0.191648,1.462196,2017.213274,239.780984,2:00,5.00864,-0.94505,5.19708,-41.23089,9.163,12.33552,1.75306,1.4586,68.49175,-7.410817,3.646897,0.510929,,,,,,,,,,,,-5.57784,5.09016,0.79992,50,4.99615,-3.32434,-110.54854,-0.97281,-6.71993,24.56627,-26.04165,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,4ff29d50-2b89-11f1-b10c-fbf4d8986dc0,73.7724,,,7.94022,,,,,,,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:06:56.19,2026-03-29T12:06:56.1963520-04:00,2026-03-29T16:06:56.1963520Z,,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,a8fde795-397c-46c9-a9bb-727816a5b4ed,55.29721,-111.7195,12.28314,5.01293,0.26846,-13.02083,0.95074,-3.00404,-3.35996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,12:07:09.15,1,4,"Pudvar, Oliver",837539,Left,UCO_HUS,"Valdes, Jorge",807098,Left,XAV_MUS,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,88.04393,-1.317806,1.07615,2149.142561,145.060604,10:45,5.54319,-0.21658,5.80669,-15.86682,21.1243,-13.74902,2.99497,-0.36141,78.62771,-4.404303,-1.387309,0.437744,81.10723,61.166516,-23.515571,,88.81096,119.51422,-64.90449,153.64678,151.12465,-37.83719,5.70662,7.3767,11.63197,0.13653,50,5.42595,-1.80282,-127.54582,-3.34762,11.85446,32.21187,-13.48126,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,57a54980-2b89-11f1-b10c-fbf4d8986dc0,86.10612,132.08359,,9.41622,,,,1.22828,3.13012,0.32776,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:07:09.15,2026-03-29T12:07:09.1504640-04:00,2026-03-29T16:07:09.1504640Z,Popup,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,fd19bbb7-f70a-4960-8aa9-c54c9170a7c6,54.68981,-128.72479,16.10594,5.53945,-2.8542,-6.74063,0.21046,-2.2367,5.92723,167.297512,1.23274,52.49523,-18.57103,5.15919,-0.66462,-0.08433,0.04983,-0.00752,0.00039,3.1121,104.51636,-26.71959,3.81525,-1.19693,0.32417,-0.05283,0.00414,-0.00011,0.32246,-22.80062,1.62459,0.31694,-0.3401,0.12141,-0.02257,0.00211,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-03-29,12:07:45.03,2,1,"Pudvar, Oliver",837539,Left,UCO_HUS,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.52361,-0.552188,2.341409,1496.587633,101.285523,9:30,5.1718,-0.6717,6.13231,-33.95049,5.42229,-19.9854,1.83176,-0.17176,76.3021,-6.896305,-1.263784,0.451616,,,,,,,,,,,,11.02749,3.42177,0.50258,50,5.11238,-4.2143,-122.59604,-2.25837,16.49086,28.17165,-27.05701,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,6d0abc10-2b89-11f1-b10c-fbf4d8986dc0,83.46125,,,8.22151,,,,,,,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:07:45.03,2026-03-29T12:07:45.0370560-04:00,2026-03-29T16:07:45.0370560Z,,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,606361b5-6c26-4960-9f2e-05fda366045e,54.36642,-123.59534,14.08582,5.17547,-1.29861,-13.5285,0.66245,-4.79926,8.24543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-29,12:08:00.03,2,2,"Pudvar, Oliver",837539,Left,UCO_HUS,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.16871,-0.509396,1.575455,1589.059271,103.245278,9:30,5.04253,-0.64303,5.79928,-33.49234,7.61237,-24.79399,1.77751,-1.24346,74.35852,-6.794684,-2.870787,0.461442,,,,,,,,,,,,13.22599,4.57752,0.52838,50,4.98123,-2.31088,-121.78274,-2.16922,19.05261,32.98825,-25.5799,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,75f6d2a0-2b89-11f1-b10c-fbf4d8986dc0,81.684,,,9.81019,,,,,,,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:08:00.03,2026-03-29T12:08:00.0327168-04:00,2026-03-29T16:08:00.0327168Z,,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,b60335cc-b9b7-4309-b94f-f8a321846736,54.6968,-123.04842,16.49412,5.04563,-1.18778,-12.78995,0.63107,-3.04188,9.52631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,12:08:14.54,2,3,"Pudvar, Oliver",837539,Left,UCO_HUS,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.91333,-0.559921,3.293837,1597.791241,105.3831,9:30,5.05244,-0.59902,6.00817,-30.84604,7.4993,-22.12934,1.96231,0.61189,77.40125,-6.332193,-0.683571,0.445685,,,,,,,,,,,,12.45107,4.44252,0.35209,50,4.9917,-6.26504,-124.50058,-2.21048,19.20209,29.06159,-25.32279,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,7e9ba700-2b89-11f1-b10c-fbf4d8986dc0,84.57197,,,8.51208,,,,,,,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:08:14.54,2026-03-29T12:08:14.5431040-04:00,2026-03-29T16:08:14.5431040Z,,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,e70a1a5b-fe07-44e1-81b7-158fdfee1e13,54.49153,-125.54464,14.5308,5.05477,-1.30074,-12.66139,0.58956,-6.95489,9.60105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,12:08:30.45,2,4,"Pudvar, Oliver",837539,Left,UCO_HUS,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.08591,-2.631781,3.491927,1578.789657,94.405805,9:15,4.96589,-0.56138,5.83242,-35.42152,3.73146,-27.22903,-0.43853,0.41946,76.75454,-9.200066,-1.394836,0.450354,,,,,,,,,,,,15.42288,3.29504,0.29302,50,4.7298,-6.48484,-124.41761,-6.91798,23.3303,33.08139,-27.18964,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,881b23f0-2b89-11f1-b10c-fbf4d8986dc0,83.69516,,,9.33137,,,,,,,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:08:30.45,2026-03-29T12:08:30.4587264-04:00,2026-03-29T16:08:30.4587264Z,,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,4cc85d82-283a-46d2-bc94-8a4d8b195bdb,54.66817,-125.6527,16.54069,4.96914,-5.90286,-13.59482,0.55139,-7.35588,11.66515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,12:08:49.41,2,5,"Pudvar, Oliver",837539,Left,UCO_HUS,"Burdette, Clay",812185,Right,XAV_MUS,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,85.17634,-0.269839,2.195169,1533.045977,112.122287,9:45,5.06599,-0.88093,6.02724,-28.67911,9.60107,-20.6667,2.42597,-0.56912,77.98846,-5.622237,-1.52344,0.445306,97.88613,19.814633,-26.253718,2095.537015,96.30076,28.78089,-53.16148,261.77744,236.02474,-34.61022,2.625231,11.34449,5.36402,0.72076,50,5.02919,-3.94583,-123.76806,-1.48239,17.58677,24.83788,-23.85847,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,936798b0-2b89-11f1-b10c-fbf4d8986dc0,84.64391,30.63229,,7.18787,,,,2.89203,2.54925,0.56988,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:08:49.41,2026-03-29T12:08:49.4172672-04:00,2026-03-29T16:08:49.4172672Z,LineDrive,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,ea50d9f0-2a36-4b5f-af08-f79048dafd77,54.47526,-124.66292,12.41894,5.06711,-0.62281,-11.92924,0.87433,-4.57946,8.79338,95.019891,2.89207,121.13302,-21.88315,4.0855,-1.02445,0.32706,-0.1084,0.02229,-0.00192,2.54926,48.66604,-23.8066,2.89649,-0.67478,0.19194,-0.05269,0.01011,-0.00087,0.56993,-59.74702,-1.46599,1.83273,-0.72626,0.34131,-0.12944,0.02894,-0.00267,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-03-29,12:09:31.64,3,1,"Pudvar, Oliver",837539,Left,UCO_HUS,"Fitz, Jonathan",812192,Right,XAV_MUS,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.82005,-1.320877,2.145342,2025.306685,134.544657,10:30,5.54561,-0.78389,5.30398,-19.75458,17.79017,-16.69631,2.65831,-0.16033,79.21305,-5.047968,-0.817322,0.441008,94.23482,24.484116,35.329473,3100.57905,84.31139,42.30635,70.6501,362.40138,276.89271,48.879775,4.093018,9.01815,9.7065,0.60155,50,5.41179,-4.00782,-127.19167,-3.5746,14.57966,29.27714,-16.48153,UCO_HUS,XAV_MUS,UConn,D1,BEAST,20260329-UConn-1,ac9277b0-2b89-11f1-b10c-fbf4d8986dc0,85.46892,52.97823,,8.607,,,,0.10165,2.68637,0.15395,25ab3a9f-695c-442b-b24e-406b487d1bb5,2026-03-29,16:09:31.64,2026-03-29T12:09:31.6418560-04:00,2026-03-29T16:09:31.6418560Z,FlyBall,v3,471275,471497,c69b41c8a06f48a9946b8cc944a46a70,"Tirado, Gabriel",815559,Right,UCO_HUS,4f3e827a-8c5a-4562-95e1-83b06e5902c6,55.19397,-128.38166,14.63857,5.54347,-2.90469,-8.24076,0.7765,-4.60041,7.28983,,0.10332,102.57366,-20.77735,4.5141,-0.62392,-0.05331,0.0399,-0.00659,0.00041,2.68556,57.29943,-18.43509,1.39696,-0.16923,0.01374,0.01068,-0.00341,0.00029,0.15406,72.73486,0.31521,-1.63639,0.64251,-0.16261,0.02769,-0.00251,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
