PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,13:05:04.76,1,1,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Afework, Isaiah",10269851,Right,TEX_ISL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.34524,-2.877614,-1.45264,2321.197134,189.253269,12:15,6.16913,1.00736,5.87331,-16.29918,19.73533,3.01827,2.13488,-0.0907,80.51596,-5.984861,-0.911262,0.432047,,,,,,,,,,,,-1.96976,11.30335,-0.89156,50,5.92669,3.12251,-128.10331,-6.89917,-3.25867,27.56205,-13.47431,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,d0697980-2b99-11f1-8ead-a17e840a7bf0,87.24158,,,7.82928,,,,,,,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:05:04.76,2026-03-29T13:05:04.7690000-05:00,2026-03-29T18:05:04.7690000Z,,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,009231b1-04aa-4816-9e72-9055559631f2,54.62718,-129.09503,13.78103,6.16621,-6.41434,-6.73715,-1.00603,3.23976,-1.62934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,13:05:19.64,1,2,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Afework, Isaiah",10269851,Right,TEX_ISL,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.25144,-1.818313,-1.170255,2671.877771,162.606629,11:30,6.16897,0.90991,5.48913,-37.92301,4.2028,-0.88516,1.30666,-0.25885,75.42978,-8.746147,-1.328243,0.467138,,,,,,,,,,,,0.10811,3.01583,-0.80672,50,5.98372,2.47292,-119.33247,-5.08652,0.15506,24.10282,-27.84842,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,d9478650-2b99-11f1-8ead-a17e840a7bf0,80.68795,,,6.82166,,,,,,,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:05:19.64,2026-03-29T13:05:19.6490000-05:00,2026-03-29T18:05:19.6490000Z,,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,43e70f02-3e9a-4b85-b150-ba49824f66b0,55.01327,-120.34079,12.05141,6.17214,-3.9215,-13.92421,-0.91004,2.46643,0.07753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,13:05:34.72,1,3,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Afework, Isaiah",10269851,Right,TEX_ISL,Undefined,1,Top,0,0,2,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,81.29713,-2.687373,-0.979205,2886.728178,64.53253,8:15,6.16849,0.92611,5.50449,-43.69317,-0.57681,-4.11697,0.0117,-0.33291,74.9528,-10.601734,-1.71544,0.472599,,,,,,,,,,,,1.8265,0.79398,-0.8376,50,5.90362,2.1743,-117.92693,-7.02694,2.55816,23.56111,-31.06202,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,e240e350-2b99-11f1-8ead-a17e840a7bf0,79.7557,,,6.34433,,,,,,,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:05:34.72,2026-03-29T13:05:34.7230000-05:00,2026-03-29T18:05:34.7230000Z,,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,ca323153-ab54-4443-9db4-4379f142ca93,54.99949,-118.92161,11.78055,6.1726,-5.7156,-15.53101,-0.92711,2.0663,1.27908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,13:05:55.20,1,4,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Afework, Isaiah",10269851,Right,TEX_ISL,Undefined,1,Top,0,1,2,Slider,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.88189,-2.243884,-0.67472,1731.7029,239.021171,2:00,6.24483,0.66188,6.16233,-32.80821,9.35823,13.43194,1.43669,1.15787,74.65372,-8.324405,1.752782,0.467364,,,,,,,,,,,,-7.21418,5.83296,-0.61774,50,6.05751,0.90763,-117.54499,-5.57088,-10.1087,21.963,-24.00077,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,ee7ac550-2b99-11f1-8ead-a17e840a7bf0,80.64907,,,6.22817,,,,,,,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:05:55.20,2026-03-29T13:05:55.2000000-05:00,2026-03-29T18:05:55.2000000Z,,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,fe236e1a-2b7d-4c99-b9c5-96547d8e012d,54.34122,-118.35336,10.9815,6.24629,-4.68751,-12.00038,-0.658,1.27969,-5.05435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,13:06:15.55,1,5,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Afework, Isaiah",10269851,Right,TEX_ISL,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Error,0,0,,82.27759,-1.283871,-0.965602,2583.790934,91.279919,9:00,6.20437,0.84967,5.58803,-40.37605,1.3263,-1.71193,1.64041,-0.19479,75.82696,-8.652534,-1.27178,0.464784,92.75525,-8.278551,-16.096337,,,,,14.89306,13.42693,-12.769266,0.092884,0.60748,1.35744,-0.76554,50,6.06741,2.08119,-119.50196,-4.05713,0.87828,23.0714,-30.21148,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,fa9fbfc0-2b99-11f1-8ead-a17e840a7bf0,81.0966,1.82167,,6.45063,,,,2.49561,1.82167,0.17945,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:06:15.55,2026-03-29T13:06:15.5570000-05:00,2026-03-29T18:06:15.5570000Z,GroundBall,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,dd5a8f5e-a771-4699-83e8-dd24f5e629ff,54.91536,-120.4472,11.5357,6.20827,-2.81937,-15.10574,-0.85007,2.04521,0.43914,180,2.49321,129.50684,,,,,,,,1.82204,-19.61236,,,,,,,,0.18014,-37.37126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-29,13:09:38.10,2,1,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Sanchez, Cade",1000125037,Right,TEX_ISL,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.74675,-0.86963,-0.575037,2529.275839,96.577906,9:15,6.33248,1.06058,5.19797,-43.56994,1.99677,-3.62299,1.88354,0.21774,72.66977,-8.799734,-1.218328,0.485842,,,,,,,,,,,,1.63488,1.70843,-1.00439,50,6.21899,1.30846,-115.6132,-3.28202,2.18684,23.91245,-29.88881,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,7357fc20-2b9a-11f1-8ead-a17e840a7bf0,77.58163,,,7.07698,,,,,,,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:09:38.10,2026-03-29T13:09:38.1060000-05:00,2026-03-29T18:09:38.1060000Z,,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,d54f6860-3a67-46e9-8967-c42bd7284b10,55.30281,-116.70484,11.95622,6.33768,-1.91756,-14.94441,-1.06184,1.20863,1.09342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,13:09:56.54,2,2,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Sanchez, Cade",1000125037,Right,TEX_ISL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.12411,-1.119238,-1.788714,2327.791063,208.434147,1:00,6.34298,1.04117,5.80115,-14.52839,22.39324,11.34768,4.09063,0.32256,78.68432,-3.967609,0.243193,0.437333,,,,,,,,,,,,-6.36256,12.1702,-0.90083,50,6.24254,3.48842,-127.61886,-2.84581,-10.25097,31.91165,-12.56618,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,7e50d2a0-2b9a-11f1-8ead-a17e840a7bf0,86.18712,,,9.43979,,,,,,,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:09:56.54,2026-03-29T13:09:56.5420000-05:00,2026-03-29T18:09:56.5420000Z,,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,7ecac286-530b-45ee-8eaa-ae1a38202b3a,54.69564,-128.78767,15.95583,6.33835,-2.38555,-6.28309,-1.03547,3.86387,-5.12548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,13:10:15.33,2,3,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Sanchez, Cade",1000125037,Right,TEX_ISL,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,79.79458,-0.522824,-1.622772,2648.061229,90.992039,9:00,6.30301,0.99788,5.29161,-43.59309,1.57642,-4.73532,2.17911,-0.92093,73.00865,-8.459337,-2.464127,0.48372,94.28335,13.703693,11.074009,2352.120229,106.83462,21.42176,26.19741,262.05272,262.05272,17.117745,2.597262,1.9076,1.32685,-0.84638,50,6.22336,3.46737,-115.74251,-2.56113,2.56831,23.1127,-30.38764,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,898a0d80-2b9a-11f1-8ead-a17e840a7bf0,77.92201,22.94542,,6.78593,,,,2.61816,2.37986,0.88145,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:10:15.33,2026-03-29T13:10:15.3340000-05:00,2026-03-29T18:10:15.3340000Z,LineDrive,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,9c9ade7e-77d8-4088-8876-f50ff4ce4a5b,55.21074,-116.77841,11.55635,6.30762,-1.19917,-15.19382,-0.99921,3.35225,1.28415,220.224231,2.6181,131.84806,-23.09494,5.37318,-1.02738,0.14472,-0.00938,-0.00114,0.00023,2.37997,32.75136,-12.63997,-0.59968,0.25965,-0.00972,-0.02083,0.00699,-0.00073,0.88149,25.80138,3.15845,-1.28277,0.35442,-0.05827,0.00117,0.00157,-0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-03-29,13:11:02.84,3,1,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Smith, Jackson",1000116497,Left,TEX_ISL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.37261,-2.315122,-2.018531,2439.720732,191.545951,12:30,6.17397,1.25854,5.98682,-10.28375,25.44903,4.90996,3.16867,-0.20399,79.7353,-4.401687,-1.136845,0.430234,66.5045,39.764808,-47.666133,3477.396467,65.7534,55.5847,-88.18421,208.80152,120.33277,-57.081213,3.723596,-3.21756,14.24528,-1.1018,50,5.98546,4.34785,-129.36521,-5.40312,-5.31864,33.16393,-8.6264,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,a5d7fe70-2b9a-11f1-8ead-a17e840a7bf0,87.60912,55.57995,,9.63731,,,,0.44482,3.15509,0.21395,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:11:02.84,2026-03-29T13:11:02.8400000-05:00,2026-03-29T18:11:02.8400000Z,FlyBall,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,d8850f26-31ed-4bee-a889-c1578525933a,54.51036,-130.51636,16.58197,6.16781,-5.10369,-4.3132,-1.25593,4.53247,-2.65932,137.279305,0.44441,50.50882,-11.35297,3.17553,-1.00765,0.39601,-0.12387,0.02167,-0.00152,3.15596,62.36239,-20.63939,1.31864,0.16145,-0.23759,0.08394,-0.01313,0.00077,0.21402,-55.4278,3.91495,-0.7347,0.15531,-0.06195,0.0238,-0.00492,0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-03-29,13:11:24.18,3,2,"Cienfuegos, Kike",1000239822,Right,UTR_VAQ,"Smith, Jackson",1000116497,Left,TEX_ISL,Undefined,1,Top,0,0,1,Slider,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,81.65206,-4.067903,-2.622412,1777.929361,237.084597,2:00,6.19872,1.0832,6.11669,-29.551,13.78202,18.35367,-0.03535,0.18627,72.55244,-9.638101,0.689317,0.473785,,,,,,,,,,,,-10.67068,9.24418,-0.89199,50,5.87093,4.7203,-117.88977,-9.22352,-14.41399,30.78251,-19.68701,UTR_VAQ,TEX_ISL,UTRGVStadium,D1,SLAND,20260329-UTRGVStadium-1,b28e6370-2b9a-11f1-8ead-a17e840a7bf0,79.55606,,,9.09962,,,,,,,8a57fb45-c644-4dd6-a672-ddac530006c1,2026-03-29,18:11:24.18,2026-03-29T13:11:24.1800000-05:00,2026-03-29T18:11:24.1800000Z,,v3,471407,4764,,"Gonzalez, Rudy",831171,Right,UTR_VAQ,e98d1894-92d9-4222-a5df-c71865536569,54.38318,-119.02878,15.39125,6.19874,-8.49507,-9.84351,-1.07652,5.25364,-7.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
