PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,12:05:29.99,1,1,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Musacchia, Carmelo",809694,Right,NOR_HUS,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.03095,-0.901139,-4.631633,1784.54073,243.931713,2:15,5.23218,2.85821,6.51404,-23.44198,9.93012,17.9154,2.44898,0.09169,82.37574,-5.346647,-1.390821,0.41578,,,,,,,,,,,,-10.76493,5.82311,-2.5416,50,5.15902,9.95857,-131.87258,-2.78135,-18.76699,30.66185,-22.02238,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,1c8295b0-2b89-11f1-b70e-8f7d58d28a75,90.65485,,,8.65521,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:05:29.99,2026-03-29T12:05:29.9934208-04:00,2026-03-29T16:05:29.9934208Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,70f30a12-ecfc-40e4-81b4-6aa8d93c02e5,53.98538,-132.79599,15.33093,5.23279,-2.11812,-11.01119,-2.85003,10.52376,-9.38349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,12:05:47.02,1,2,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Musacchia, Carmelo",809694,Right,NOR_HUS,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.09319,-0.394558,-4.860199,1767.247148,232.885104,1:45,5.34282,2.63832,6.3411,-22.92273,12.28056,14.5617,3.06802,-0.63358,80.32369,-4.750028,-2.237889,0.427035,,,,,,,,,,,,-9.04886,6.87693,-2.29022,50,5.30324,10.36457,-128.92854,-1.56369,-15.03837,29.97163,-20.74525,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,26a53070-2b89-11f1-b70e-8f7d58d28a75,88.26555,,,8.7695,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:05:47.02,2026-03-29T12:05:47.0203392-04:00,2026-03-29T16:05:47.0203392Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,8949525a-d9f5-4547-9d08-5016812065b0,54.15656,-129.89121,14.98581,5.34276,-0.89737,-10.37263,-2.63088,10.84759,-7.51918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-29,12:06:09.37,1,3,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Musacchia, Carmelo",809694,Right,NOR_HUS,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.23514,1.454417,-4.806704,2026.333906,228.400337,1:30,5.43287,2.66684,6.33966,-17.8145,15.18048,15.73505,5.29241,-0.45779,82.55965,-1.980066,-1.974197,0.413424,,,,,,,,,,,,-9.60646,7.72469,-2.32255,50,5.53045,10.52269,-133.36552,2.91263,-17.02078,33.02745,-18.48738,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,33f600b0-2b89-11f1-b70e-8f7d58d28a75,91.17148,,,9.67549,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:06:09.37,2026-03-29T12:06:09.3718528-04:00,2026-03-29T16:06:09.3718528Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,870db137-5fe5-446f-93f6-562f445c7117,54.15577,-134.39074,16.51373,5.43113,3.48651,-9.24369,-2.65739,11.05104,-8.51039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,12:06:29.54,1,4,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Musacchia, Carmelo",809694,Right,NOR_HUS,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,85.04751,-1.083933,-6.266852,1639.15076,277.966128,3:15,4.78027,3.0502,6.76659,-39.53754,-1.04299,18.00836,0.48951,-1.19516,76.47358,-8.492897,-3.002168,0.446551,,,,,,,,,,,,-11.56973,0.33291,-2.64461,50,4.69528,12.811,-122.8105,-3.51692,-17.27782,29.35297,-31.67688,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,40077320-2b89-11f1-b70e-8f7d58d28a75,84.40794,,,8.57394,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:06:29.54,2026-03-29T12:06:29.5478784-04:00,2026-03-29T16:06:29.5478784Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,8d5fc601-594a-4028-8b83-7b6c44b067cf,53.73183,-123.69923,14.67648,4.78724,-2.55783,-15.83844,-3.04041,13.33412,-8.63891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,12:06:49.05,1,5,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Musacchia, Carmelo",809694,Right,NOR_HUS,Undefined,1,Top,0,2,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.93668,-0.423189,-4.704479,1951.402522,222.691809,1:30,5.15437,3.062,6.59715,-18.82383,14.43875,12.27749,3.19668,-0.2348,82.39873,-4.035646,-2.482776,0.415097,,,,,,,,,,,,-7.77174,8.02666,-2.74428,50,5.11724,10.33874,-131.73066,-1.47819,-13.56373,29.75333,-18.16538,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,4b9adbf0-2b89-11f1-b70e-8f7d58d28a75,90.80399,,,8.53795,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:06:49.05,2026-03-29T12:06:49.0570000-04:00,2026-03-29T16:06:49.0570000Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,26ccb139-e2c7-459d-a1e0-9c5647a69eda,53.90018,-132.60865,14.87666,5.15296,-0.94215,-9.08269,-3.05528,10.73899,-6.78187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.37643,3.026968,1.959219,1.067749,-1.66779,2.97213,0.36503,1.49922,5.08926,2.3539,73.84466,7.70412,-50.95845,1.50345,70.44086,-2.5223,5.10761,16.34252,-13.04111,2.2627,-59.44313,9.0471,High,High,High,,,High,Medium,Medium
6,2026-03-29,12:07:21.23,2,1,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Gerety, Ryan",822815,Left,NOR_HUS,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.00353,-2.086444,-4.940121,1792.11746,241.419779,2:00,5.14869,2.85779,6.57697,-24.29021,7.85741,12.26257,1.20421,-0.65944,83.87911,-6.67836,-2.720934,0.40808,,,,,,,,,,,,-8.06642,5.14803,-2.52277,50,4.99484,11.13494,-134.5387,-5.66506,-14.53953,33.70634,-22.89485,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,5ecdb710-2b89-11f1-b70e-8f7d58d28a75,92.36524,,,9.12442,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:07:21.23,2026-03-29T12:07:21.2354560-04:00,2026-03-29T16:07:21.2354560Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,f9048367-c262-4894-a58c-7202a5153479,53.92217,-135.51777,16.85317,5.14973,-5.00003,-11.44743,-2.85234,11.55727,-7.26976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,12:07:37.46,2,2,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Gerety, Ryan",822815,Left,NOR_HUS,Undefined,1,Top,1,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,91.04387,-0.559506,-4.686078,1789.527016,247.145216,2:15,5.04183,3.05276,6.42303,-26.05167,7.40949,14.83871,2.3548,-0.02791,82.47821,-5.465545,-2.007346,0.416334,90.92573,6.849211,3.344104,1988.539429,,,,,54.61984,,,-9.18485,4.37729,-2.72428,50,4.99006,10.21227,-131.88403,-2.10925,-16.02316,30.53718,-24.53779,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,687c3340-2b89-11f1-b70e-8f7d58d28a75,90.53412,6.00352,,8.56567,,,,0.551,2.29172,0.04945,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:07:37.46,2026-03-29T12:07:37.4686208-04:00,2026-03-29T16:07:37.4686208Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,acd28125-822d-4853-aa62-7cd48ccc9fa0,54.07695,-132.82467,15.26859,5.04339,-1.3534,-12.26889,-3.04645,10.70584,-8.01158,95.724954,0.56288,131.81402,-17.27196,,,,,,,2.29742,15.72807,-16.59606,,,,,,,0.05732,7.47954,-7.20854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-03-29,12:08:19.98,3,1,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Feinberg, Harrison",695664,Right,NOR_HUS,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.74012,1.606456,-2.68807,2330.774311,137.72873,10:30,4.85325,3.48057,5.93813,-38.06518,8.83579,-6.52839,3.17349,0.441,70.21223,-5.500219,-3.85754,0.492904,,,,,,,,,,,,2.45079,4.52685,-3.26252,50,4.96054,5.53429,-112.60126,2.03403,3.09996,23.26968,-26.44811,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,81dffc90-2b89-11f1-b70e-8f7d58d28a75,76.47014,,,7.5279,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:08:19.98,2026-03-29T12:08:19.9853056-04:00,2026-03-29T16:08:19.9853056Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,91e1cf7f-dacd-4d73-a213-11886e82548b,54.55767,-113.53922,11.63484,4.85707,3.10011,-13.22406,-3.48307,5.40933,1.54998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,12:08:37.95,3,2,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Feinberg, Harrison",695664,Right,NOR_HUS,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.76288,-1.302476,-5.618583,2014.49262,241.877278,2:00,5.24791,3.28802,6.29356,-23.35202,10.95339,18.02918,2.09569,-0.4037,81.29959,-5.734688,-2.378944,0.421554,,,,,,,,,,,,-11.09985,6.50276,-2.88093,50,5.14056,12.11283,-131.05331,-3.7083,-18.93273,32.6668,-21.08247,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,8c8ada20-2b89-11f1-b70e-8f7d58d28a75,89.41316,,,9.46329,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:08:37.95,2026-03-29T12:08:37.9513856-04:00,2026-03-29T16:08:37.9513856Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,4a1b3758-2183-4a40-a13e-91be886d239c,54.2025,-132.09668,16.3334,5.24825,-3.03492,-10.54123,-3.27747,12.71754,-9.46637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,12:09:15.67,3,3,"Hamilton, Sean",1000218126,Right,HOF_PRI,"Feinberg, Harrison",695664,Right,NOR_HUS,Undefined,1,Top,1,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.57953,0.759044,-4.205101,2468.526512,118.080399,10:00,4.91346,3.38901,6.258,-36.60073,7.19307,-10.94052,2.56526,-1.40725,72.96204,-6.048431,-6.169867,0.476297,,,,,,,,,,,,4.44532,3.9563,-3.07158,50,4.95223,8.87717,-115.3479,0.47311,5.97074,22.0701,-26.86015,HOF_PRI,NOR_HUS,UniversityField,D1,CAA,20260329-UniversityField-1,a3087370-2b89-11f1-b70e-8f7d58d28a75,79.13645,,,6.61749,,,,,,,ef8fc5dc-091a-47c7-ace7-b985a573bfb9,2026-03-29,16:09:15.67,2026-03-29T12:09:15.6730880-04:00,2026-03-29T16:09:15.6730880Z,,v3,471312,343,3f507e78165544c7a2e623685e5b82ec,"Griggs, CJ",10147390,Right,HOF_PRI,7a637277-8e53-46ab-bb73-ae95068f83b8,54.24096,-116.15651,11.03505,4.91687,1.45722,-13.43007,-3.39282,8.65841,2.98537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
