PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,13:06:43.90,1,1,"Schmitz, Paul",812367,Right,HOU_COU,"Sanders, Travis",702533,Right,BAY_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.18638,-4.035245,-2.361227,2208.562958,186.2158,12:15,6.96798,0.79217,6.52043,-12.61375,20.25222,2.09276,2.205,-1.20121,83.70702,-6.475986,-1.981679,0.412615,,,,,,,,,,,,-1.73232,12.02379,-0.62853,50,6.68043,5.36921,-132.21702,-9.62113,-3.07533,27.42773,-10.82849,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,0bf612b0-2b9a-11f1-a83f-d9665565f8c2,91.35023,,,7.47936,,,,,,,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:06:43.90,2026-03-29T13:06:43.9084032-05:00,2026-03-29T18:06:43.9084032Z,,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Vanderheyden, Mikey",1000178600,Right,HOU_COU,5c085c27-2844-41b5-af50-00aaa9ab595f,53.9802,-133.04013,13.71386,6.96429,-9.29616,-5.41425,-0.79104,5.4615,-1.53767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,13:06:58.31,1,2,"Schmitz, Paul",812367,Right,HOU_COU,"Sanders, Travis",702533,Right,BAY_BEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.57243,-3.89408,-0.765536,2143.906034,184.761987,12:15,6.92777,0.8089,6.61367,-15.69422,17.46666,1.36791,2.04741,0.22168,83.17833,-6.896298,-0.516567,0.414462,94.74285,49.663207,20.001972,,97.11155,113.72601,51.66558,296.66234,149.79027,37.357153,5.984387,-0.93386,10.60493,-0.75739,50,6.65583,1.70506,-131.47591,-9.34892,-1.63677,27.53262,-13.58713,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,147f6fd0-2b9a-11f1-a83f-d9665565f8c2,90.94308,136.4864,,7.3941,,,,1.56395,2.11907,-0.2095,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:06:58.31,2026-03-29T13:06:58.3194112-05:00,2026-03-29T18:06:58.3194112Z,FlyBall,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Vanderheyden, Mikey",1000178600,Right,HOU_COU,84e7e044-3528-4aba-a27e-c78a64361db0,53.88803,-132.28761,13.76631,6.92554,-8.94836,-6.79357,-0.80837,1.75332,-0.81838,211.352933,1.591,83.99961,-20.02762,2.64927,1.06811,-0.67808,0.15815,-0.01731,0.00073,2.10084,106.19292,-26.74837,3.80645,-1.00008,0.1826,-0.01317,-0.00056,9E-05,-0.22566,31.05149,1.77515,0.00799,-0.64391,0.3086,-0.06605,0.0068,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-03-29,13:07:33.07,2,1,"Schmitz, Paul",812367,Right,HOU_COU,"Riebock, Pearson",815606,Left,BAY_BEA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,88.39408,-3.264724,-1.700886,2209.62086,184.860727,12:15,7.01268,0.91531,6.34235,-16.49166,18.71119,1.49559,2.6281,-0.52645,81.03809,-6.413169,-1.430285,0.427032,63.04676,16.183931,43.048345,2239.922102,76.89938,9.01582,78.65352,139.1766,120.00381,46.570103,1.795177,-1.25547,11.01882,-0.79228,50,6.76699,3.75189,-128.28592,-7.75402,-2.09274,26.47333,-13.80673,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,2939fc60-2b9a-11f1-a83f-d9665565f8c2,88.26608,13.34108,,7.356,,,,1.74787,2.87683,0.43474,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:07:33.07,2026-03-29T13:07:33.0739712-05:00,2026-03-29T18:07:33.0739712Z,GroundBall,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Vanderheyden, Mikey",1000178600,Right,HOU_COU,36aca2d1-709a-4288-b9aa-f2e78dcc1d89,54.1591,-129.14135,13.23667,7.01033,-7.30788,-6.90337,-0.91461,3.81951,-1.04637,,1.74787,64.89627,-9.38759,1.81157,-0.34885,0.05783,-0.00983,0.00148,-0.00011,2.87683,25.77266,-16.52119,0.90408,-0.15211,0.02859,-0.00369,0.00087,-0.00012,0.43474,60.61892,-3.39807,0.63156,-0.10705,0.01568,-0.00283,0.00055,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-29,13:08:06.39,3,1,"Schmitz, Paul",812367,Right,HOU_COU,"Janusek, Brady",828582,Right,BAY_BEA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.82732,-3.835438,-1.089423,2245.69303,184.648325,12:15,6.97731,0.83121,6.36316,-15.5032,16.65733,1.28244,2.14972,-0.06463,85.37059,-6.761103,-0.857156,0.408162,,,,,,,,,,,,-0.92539,9.88556,-0.75296,50,6.69178,2.48604,-133.39881,-9.38211,-1.69373,24.471,-14.08087,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,3d14b040-2b9a-11f1-a83f-d9665565f8c2,92.34666,,,6.45673,,,,,,,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:08:06.39,2026-03-29T13:08:06.3950336-05:00,2026-03-29T18:08:06.3950336Z,,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Vanderheyden, Mikey",1000178600,Right,HOU_COU,dfa06c78-d602-4ba3-95e9-65a8ecead9bc,54.13944,-134.15601,12.2355,6.97535,-8.9464,-7.04043,-0.83069,2.53844,-0.84686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,13:08:24.77,3,2,"Schmitz, Paul",812367,Right,HOU_COU,"Janusek, Brady",828582,Right,BAY_BEA,Undefined,1,Top,2,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.13423,-1.27771,-0.942115,2395.508263,353.885184,5:45,7.12643,0.75964,5.86799,-50.28802,-6.24016,0.79327,1.74849,-0.0495,74.16721,-10.40803,-0.799239,0.477677,40.56059,-41.3743,3.662624,,,,,,67.19911,,,-0.64083,-2.64028,-0.6838,50,6.99288,1.86576,-115.1716,-4.18047,-0.87127,18.9419,-35.76371,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,480c7550-2b9a-11f1-a83f-d9665565f8c2,78.90787,-17.48967,,4.96702,,,,,,,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:08:24.77,2026-03-29T13:08:24.7781888-05:00,2026-03-29T18:08:24.7781888Z,,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Vanderheyden, Mikey",1000178600,Right,HOU_COU,70910990-ffe8-491c-ab36-a7b47877bc6c,54.6379,-115.93187,9.47095,7.13187,-2.74503,-17.88186,-0.75939,1.90073,-0.43564,,63.30096,44.78745,,,,,,,,-17.48864,-39.5305,,,,,,,,-7.64222,2.86694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2026-03-29,13:08:50.53,3,3,"Schmitz, Paul",812367,Right,HOU_COU,"Janusek, Brady",828582,Right,BAY_BEA,Undefined,1,Top,2,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.03159,-3.639168,-1.641022,2251.182558,182.527291,12:00,6.96644,0.74855,6.55376,-13.78028,17.56784,0.73406,2.47522,-0.69546,85.77114,-6.278638,-1.507676,0.402974,,,,,,,,,,,,-0.80756,10.45926,-0.63552,50,6.70851,3.84062,-135.07678,-8.94477,-1.5028,27.43161,-12.7102,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,57cb3850-2b9a-11f1-a83f-d9665565f8c2,93.53561,,,7.26045,,,,,,,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:08:50.53,2026-03-29T13:08:50.5310000-05:00,2026-03-29T18:08:50.5310000Z,,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Vanderheyden, Mikey",1000178600,Right,HOU_COU,690cd60d-8e6d-40fc-8894-b8e5ccdfffaf,53.94755,-135.87609,13.7158,6.96374,-8.57441,-6.3551,-0.74807,3.88441,-0.7514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9134,3.464022,1.894246,1.569775,-0.88571,2.21904,0.75594,-4.6695,6.25268,-1.17188,73.14724,0.93762,51.63784,-4.57978,56.20999,-4.33327,6.33498,19.79721,-14.88019,-1.16322,35.35012,-1.0975,High,High,High,,,High,High,High
7,2026-03-29,13:11:27.95,1,1,"Calder, Ethan",822753,Left,BAY_BEA,"Cox, Tyler",831690,Right,HOU_COU,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.34092,-0.567928,1.380786,2051.761744,146.490229,11:00,5.59054,-1.63729,6.13779,-14.79666,19.80237,-12.39961,3.83242,-1.39418,81.66776,-3.42,-0.85426,0.423354,,,,,,,,,,,,6.7378,10.68552,1.53792,50,5.53922,-2.61123,-129.8285,-1.66515,11.51839,26.77403,-13.90703,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,b5331da0-2b9a-11f1-a83f-d9665565f8c2,89.03299,,,7.67316,,,,,,,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:11:27.95,2026-03-29T13:11:27.9561728-05:00,2026-03-29T18:11:27.9561728Z,,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Kennett, JJ",831097,Right,BAY_BEA,b8dc43c4-d3a2-4941-8875-b6eb61eab798,54.36203,-130.72497,13.38701,5.58718,-1.19951,-6.95351,1.63181,-2.9969,5.75919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,13:11:43.68,1,2,"Calder, Ethan",822753,Left,BAY_BEA,"Cox, Tyler",831690,Right,HOU_COU,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.3531,-1.705745,2.952767,2142.561799,156.707376,11:15,5.48792,-1.38746,6.17224,-13.69631,21.113,-8.59189,2.76853,0.62622,81.29719,-4.367845,1.405741,0.424638,78.27387,81.969412,-4.658171,,,,,,38.04199,,,5.34055,11.80142,1.16823,50,5.35167,-6.34354,-129.63814,-4.20519,9.04719,28.25007,-12.18172,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,be99bb60-2b9a-11f1-a83f-d9665565f8c2,88.76365,103.73301,,8.0559,,,,3.95014,1.96465,-0.59412,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:11:43.68,2026-03-29T13:11:43.6858368-05:00,2026-03-29T18:11:43.6858368Z,,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Kennett, JJ",831097,Right,BAY_BEA,d9251c3a-e76b-4434-839a-f25b38ad5852,54.32924,-130.57814,14.12504,5.48485,-3.79986,-6.09086,1.38431,-6.64458,4.5236,185.337582,3.95015,15.98346,-8.82366,2.61691,-0.09554,-0.77367,0.73886,-0.30319,0.04604,1.96465,113.67578,-28.55148,3.59211,-0.73664,0.2056,-0.09985,0.0406,-0.0074,-0.59412,-1.3013,5.41712,-1.73495,0.03528,0.58956,-0.55883,0.22962,-0.03499,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-03-29,13:12:29.80,2,1,"Calder, Ethan",822753,Left,BAY_BEA,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.44197,-1.860919,3.38549,2186.685032,144.107327,10:45,5.62225,-1.52062,6.14729,-18.743,15.00418,-10.11418,2.33711,0.76859,83.08132,-5.400665,1.56554,0.41811,,,,,,,,,,,,6.0876,8.55414,1.26753,50,5.47044,-7.34062,-131.2304,-4.83067,10.67655,26.28478,-17.1717,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,da1938c0-2b9a-11f1-a83f-d9665565f8c2,90.14961,,,7.36065,,,,,,,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:12:29.80,2026-03-29T13:12:29.8029568-05:00,2026-03-29T18:12:29.8029568Z,,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Kennett, JJ",831097,Right,BAY_BEA,4ebd7237-0e35-430a-947b-3a94b0c5df9c,54.35325,-132.09946,13.14239,5.62077,-4.26292,-8.58585,1.51607,-7.69362,5.33827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,13:12:48.52,2,2,"Calder, Ethan",822753,Left,BAY_BEA,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Bottom,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.27982,0.704034,2.43195,2394.525536,280.730453,3:15,5.32526,-1.82814,5.55215,-45.37884,-0.56846,9.8178,2.2022,1.26391,73.32958,-7.564645,4.180988,0.481793,,,,,,,,,,,,-4.31859,-0.04906,1.61106,50,5.3562,-5.27282,-115.12767,-0.11342,-5.82762,20.28813,-32.24024,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20260329-UofHouston-1,e5488890-2b9a-11f1-a83f-d9665565f8c2,78.23363,,,5.95023,,,,,,,743d4108-d713-4667-a5d8-1b72bc7a4e27,2026-03-29,18:12:48.52,2026-03-29T13:12:48.5298176-05:00,2026-03-29T18:12:48.5298176Z,,v3,3030,3033,a0be41e42c9c441f8bd73c99b65301bd,"Kennett, JJ",831097,Right,BAY_BEA,cbe5f343-eb0d-4b71-89cf-6ea8e8b89881,54.95034,-115.99676,10.14407,5.33148,1.26766,-16.12012,1.83158,-5.02319,-2.91381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
