PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,11:02:08.90,1,1,"Kranzler, Alex",702962,Right,VAN_COM,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.75879,-0.094714,-5.183003,2116.252446,251.933412,2:30,5.56896,2.50334,5.7375,-24.19773,7.6787,20.00414,3.46393,-0.66905,85.27055,-4.61275,-1.621759,0.406356,,,,,,,,,,,,-11.72194,4.27516,-2.08299,50,5.54644,11.47751,-136.95179,-1.11364,-21.98476,33.76747,-24.15592,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,a479fa40-2b88-11f1-8add-f9b309f84ebc,92.75725,,,9.48824,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:02:08.90,2026-03-29T11:02:08.9029120-05:00,2026-03-29T16:02:08.9029120Z,,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,fb124c2d-2e0d-47e0-b91f-4b3aaecf44ae,54.75872,-138.12014,16.88373,5.57052,-0.27784,-12.07796,-2.49326,12.23818,-10.99238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,11:02:20.09,1,2,"Kranzler, Alex",702962,Right,VAN_COM,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,1,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.56788,-0.797783,-3.257012,2118.166137,247.296886,2:15,5.52464,2.53762,5.75301,-22.826,8.24658,17.14198,2.87858,0.93094,86.50881,-5.059814,-0.192316,0.401199,44.22749,-25.191658,-52.474921,,,,,7.22024,7.1002,-50.509013,0.097845,-9.80115,4.74646,-2.27811,50,5.44452,7.10461,-138.53059,-2.76419,-18.85534,33.84113,-23.04282,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,ab24ac50-2b88-11f1-8add-f9b309f84ebc,93.94944,2.76275,,9.05907,,,,1.11362,2.76275,-1.05351,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:02:20.09,2026-03-29T11:02:20.0919040-05:00,2026-03-29T16:02:20.0919040Z,GroundBall,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,a6ce7f95-2db8-478a-9045-1b1d4e416715,54.74556,-139.68505,16.92056,5.52541,-1.9781,-11.52141,-2.53145,7.74784,-9.42767,187.63562,1.11364,35.75042,-2.07911,,,,,,,2.76275,-27.61111,-6.39,,,,,,,-1.05354,-46.54803,3.76443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
3,2026-03-29,11:03:06.18,1,3,"Kranzler, Alex",702962,Right,VAN_COM,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.95212,0.238642,-1.678064,2191.317226,119.305242,10:00,5.38034,2.89839,5.18155,-36.15841,7.44004,-10.35481,2.59177,0.45621,73.70236,-6.418971,-3.510888,0.475233,,,,,,,,,,,,4.56386,4.11185,-2.7343,50,5.37568,3.92351,-118.61183,-0.77584,6.36844,27.02416,-26.43635,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,c6a959d0-2b88-11f1-8add-f9b309f84ebc,79.31352,,,8.24976,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:03:06.18,2026-03-29T11:03:06.1854720-05:00,2026-03-29T16:03:06.1854720Z,,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,5403f244-dfdf-44b2-8fe8-32819d7b25a3,55.31189,-119.81597,13.51208,5.38401,0.4021,-13.21817,-2.9028,3.63975,3.18422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,11:03:19.12,1,4,"Kranzler, Alex",702962,Right,VAN_COM,"Wright, Garrett",835226,Right,TEN_VOL,Undefined,1,Top,0,1,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,95.46196,-1.900284,-4.375655,2053.218806,247.78381,2:15,5.67022,2.62473,5.61244,-22.96643,8.265,17.69442,1.97691,0.00733,86.94327,-6.15817,-1.225719,0.402224,36.44452,-45.301606,-163.073679,,,,,3.6242,3.62421,-12.991284,0.06335,-10.25217,5.03685,-2.26217,50,5.49266,9.75128,-138.18153,-5.45896,-19.75782,31.72698,-22.46709,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,ce530550-2b88-11f1-8add-f9b309f84ebc,93.71018,2.43902,,8.5187,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:03:19.12,2026-03-29T11:03:19.1251456-05:00,2026-03-29T16:03:19.1251456Z,GroundBall,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,d42f58c4-2ff2-419e-b438-c6013a32ac39,54.88624,-139.29891,15.86349,5.67099,-4.6677,-11.23355,-2.61785,10.44712,-9.87891,,5.84525,-36.44715,,,,,,,,2.44418,-38.50076,,,,,,,,-0.11058,-11.09179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-03-29,11:03:52.04,2,1,"Kranzler, Alex",702962,Right,VAN_COM,"Brown, Blaine",825579,Left,TEN_VOL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.36007,-2.293766,-5.710819,2138.766071,209.450732,1:00,5.58228,2.67254,5.62632,-14.44981,17.9993,9.4865,2.226,-1.88339,84.90061,-5.064053,-4.030662,0.40999,,,,,,,,,,,,-6.57181,10.15481,-2.19063,50,5.37685,13.15212,-136.04247,-5.9059,-12.15263,33.54136,-13.39567,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,e1f40b90-2b88-11f1-8add-f9b309f84ebc,91.9351,,,9.45945,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:03:52.04,2026-03-29T11:03:52.0431104-05:00,2026-03-29T16:03:52.0431104Z,,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,ebb7f4ef-a6da-4953-89b0-a3a66863fbec,54.86747,-137.2373,16.77068,5.57873,-5.42871,-6.69783,-2.66685,13.58502,-6.07632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-29,11:04:07.84,2,2,"Kranzler, Alex",702962,Right,VAN_COM,"Brown, Blaine",825579,Left,TEN_VOL,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.78705,-1.410543,-4.298566,2487.696263,162.60067,11:30,5.43732,2.92969,5.39185,-28.91458,7.23402,-1.92665,1.70183,-1.26701,81.7663,-6.692384,-4.639585,0.43273,,,,,,,,,,,,-0.17055,4.34343,-2.54391,50,5.29075,9.74927,-128.57697,-4.24186,-0.28676,25.54737,-24.87057,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,eb661b00-2b88-11f1-8add-f9b309f84ebc,87.10378,,,7.02075,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:04:07.84,2026-03-29T11:04:07.8465536-05:00,2026-03-29T16:04:07.8465536Z,,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,09cab39a-e54d-4a38-a486-c5422e3519b3,55.10609,-129.58755,12.77369,5.43909,-3.25806,-12.43529,-2.92979,9.76061,-0.14338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,11:04:21.28,2,3,"Kranzler, Alex",702962,Right,VAN_COM,"Brown, Blaine",825579,Left,TEN_VOL,Undefined,1,Top,1,2,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.62407,-0.481288,-4.287278,2470.154051,138.345798,10:30,5.48888,2.84486,5.36223,-31.88466,4.38099,-2.9465,2.37924,-1.42841,81.66305,-6.291118,-4.808387,0.43343,,,,,,,,,,,,0.35457,2.66162,-2.45713,50,5.4229,9.75561,-128.38652,-2.28395,0.59514,25.18597,-27.70667,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,f36587a0-2b88-11f1-8add-f9b309f84ebc,86.96313,,,6.96102,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:04:21.28,2026-03-29T11:04:21.2804608-05:00,2026-03-29T16:04:21.2804608Z,,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,70967739-dbf1-4088-b7fb-66c33a3f24e0,55.13566,-129.39008,12.59299,5.49191,-1.17996,-13.85333,-2.84537,9.73189,0.29757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,11:04:34.96,2,4,"Kranzler, Alex",702962,Right,VAN_COM,"Brown, Blaine",825579,Left,TEN_VOL,Undefined,1,Top,1,3,0,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,93.16084,-2.381786,-6.067153,2154.5414,228.932741,1:45,5.58457,2.57792,5.77327,-20.49485,12.08284,12.68556,1.64657,-2.03183,85.35059,-6.198601,-3.814499,0.410801,,,,,,,,,,,,-8.07272,7.10634,-2.08265,50,5.37426,13.73274,-134.53586,-6.33043,-14.85762,28.04407,-19.095,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,fb8b6800-2b88-11f1-8add-f9b309f84ebc,91.75354,,,7.81025,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:04:34.96,2026-03-29T11:04:34.9630976-05:00,2026-03-29T16:04:34.9630976Z,,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,071b1f76-ec20-4170-9728-d173dc3196b7,54.72466,-135.51714,14.02204,5.58407,-5.66228,-9.5475,-2.57226,14.25261,-7.42881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,11:05:04.15,3,1,"Kranzler, Alex",702962,Right,VAN_COM,"Ford, Henry",814822,Right,TEN_VOL,Undefined,1,Top,1,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.63919,-0.671659,-4.824658,2484.935583,201.510806,12:45,5.48415,2.68479,5.49148,-25.32576,9.9139,3.5002,2.74311,-1.54746,82.5615,-5.332196,-4.204901,0.427255,,,,,,,,,,,,-2.99221,5.49528,-2.264,50,5.40807,10.80119,-129.80251,-2.4378,-5.14824,25.01515,-22.71914,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,0cf17260-2b89-11f1-8add-f9b309f84ebc,88.21996,,,7.07769,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:05:04.15,2026-03-29T11:05:04.1528320-05:00,2026-03-29T16:05:04.1528320Z,,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,aea9b036-e4ff-496d-9841-c1dd24d4a89a,55.00623,-130.76373,12.50758,5.48497,-1.5648,-11.35957,-2.68284,10.99901,-2.57412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,11:05:19.87,3,2,"Kranzler, Alex",702962,Right,VAN_COM,"Ford, Henry",814822,Right,TEN_VOL,Undefined,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.488,-1.453404,-2.520141,2514.052017,98.84368,9:15,5.34458,3.09193,5.30744,-39.6462,4.33107,-17.42359,0.67486,-0.72713,73.75881,-8.686916,-5.610584,0.477294,,,,,,,,,,,,7.90359,3.11973,-2.84993,50,5.18415,5.90882,-117.91769,-4.36948,10.87993,27.0839,-27.8795,VAN_COM,TEN_VOL,Vanderbilt,D1,SEC,20260329-Vanderbilt-1,16690010-2b89-11f1-8add-f9b309f84ebc,78.97118,,,7.72918,,,,,,,bc81c9af-0b16-49a7-b0a3-362538bf713b,2026-03-29,16:05:19.87,2026-03-29T11:05:19.8740480-05:00,2026-03-29T16:05:19.8740480Z,,v3,5046,471459,20c4d30de9eb4eb3881d59336b762f60,"Reynolds, Korbin",828066,Right,VAN_COM,72d74c86-a33b-44b4-bcde-e2360829d703,55.18898,-119.10356,13.54195,5.34874,-3.14878,-13.93975,-3.09822,5.43244,5.43997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
