PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,15:58:11.98,1,1,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Casso, Cam",1000544430,Right,WIL_WOO,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.99486,-0.797472,1.613492,2280.307421,135.367021,10:30,5.68433,-0.68042,6.39834,-20.7345,14.76583,-13.68245,3.22273,-0.33638,81.04909,-4.699601,-0.865625,0.428833,,,,,,,,,,,,7.50343,8.19217,0.57059,50,5.61724,-3.05338,-126.68408,-2.35147,12.43813,21.02001,-18.59417,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,aaf91780-2a1f-11f1-8f01-5f24cc025812,87.89548,,,5.94577,,,,,,,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,20:58:11.98,2026-03-27T15:58:11.9875584-05:00,2026-03-27T20:58:11.9875584Z,,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,9983541d-05e7-46f9-8d95-40c28a5bb7d5,54.10292,-127.36303,10.51,5.68349,-1.75087,-9.29708,0.67571,-3.45514,6.21907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,15:58:25.15,1,2,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Casso, Cam",1000544430,Right,WIL_WOO,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.04769,-1.748239,1.573359,2174.692242,139.030072,10:45,5.83723,-0.47238,5.9595,-16.63808,17.84824,-14.72091,2.82845,-0.23976,82.92344,-4.876922,-1.071798,0.422664,,,,,,,,,,,,7.90205,9.84855,0.35558,50,5.68881,-2.95232,-129.55655,-4.44995,13.70243,21.9319,-15.09628,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,b2d01490-2a1f-11f1-8f01-5f24cc025812,89.17836,,,6.12425,,,,,,,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,20:58:25.15,2026-03-27T15:58:25.1571200-05:00,2026-03-27T20:58:25.1571200Z,,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,26cc2a9e-d3c5-4853-ac1a-dd0989caf9a6,54.54166,-130.32311,10.96595,5.83512,-3.92231,-7.54814,0.46714,-3.43124,6.85121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,15:58:41.77,1,3,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Casso, Cam",1000544430,Right,WIL_WOO,Undefined,1,Top,0,0,2,Fastball,Slider,InPlay,Undefined,Popup,Single,0,0,,88.95915,-0.87276,0.858127,2180.441905,136.888759,10:30,5.96058,-0.04165,5.90647,-18.18304,16.89465,-14.83087,3.63505,-0.48096,81.69545,-4.309931,-1.804677,0.426272,69.29968,24.337629,1.921627,2041.380752,109.4069,34.59658,11.40642,234.86573,233.28331,10.242016,3.308412,7.85626,9.22355,-0.01863,50,5.88009,-1.32318,-129.3223,-2.51902,13.36603,25.80691,-16.48182,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,bcb6ded0-2a1f-11f1-8f01-5f24cc025812,88.42341,35.11771,,7.2637,,,,0.84227,3.61248,0.5025,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,20:58:41.77,2026-03-27T15:58:41.7705984-05:00,2026-03-27T20:58:41.7705984Z,LineDrive,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,8b034b62-a2bf-45f4-ae2e-a63d135d672b,54.59382,-130.23579,12.90345,5.95893,-1.9356,-8.24091,0.03658,-1.7963,6.68302,219.788003,0.8423,92.555,-10.87027,1.94692,-0.42265,0.12961,-0.04471,0.00994,-0.00088,3.61258,41.8819,-14.74506,0.51142,0.12067,-0.13423,0.06348,-0.01385,0.00113,0.50248,3.10549,4.81787,-1.07834,0.25115,-0.05783,0.01446,-0.00284,0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-27,15:59:31.74,2,1,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Gremillion, Jude",10031838,Right,WIL_WOO,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.67323,-1.338516,2.487085,2151.59612,132.492859,10:30,5.77007,-0.89965,5.97491,-21.75218,12.98383,-13.20603,2.71514,0.30692,82.7102,-5.382848,0.114666,0.424191,65.49369,36.660308,118.221119,3278.981312,-58.39852,43.4908,93.21751,216.53638,66.71354,124.669682,3.118407,7.35292,7.26193,0.7102,50,5.65175,-5.0705,-128.99094,-3.71605,12.65491,21.41937,-19.67572,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,da841cc0-2a1f-11f1-8f01-5f24cc025812,88.85727,43.49473,,5.96303,,,,-0.02503,2.59349,-0.27856,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,20:59:31.74,2026-03-27T15:59:31.7475840-05:00,2026-03-27T20:59:31.7475840Z,Popup,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,f7f1338a-0979-48e8-8564-a7a4e2c67a38,54.52693,-129.74047,10.70969,5.76974,-3.02753,-9.83786,0.89539,-5.51334,6.32746,,-0.02519,-36.43169,-2.37311,0.89881,-0.34057,0.14232,-0.0469,0.00898,-0.00068,2.59355,57.3506,-22.33102,1.98072,-0.34571,0.01184,0.01244,-0.00306,0.00024,-0.27878,67.90609,-4.9824,1.0315,-0.44827,0.26089,-0.10669,0.02192,-0.00174,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2026-03-27,16:00:02.90,2,2,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Gremillion, Jude",10031838,Right,WIL_WOO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.00823,-2.072388,1.197939,2259.471616,143.47056,10:45,5.90352,-0.47988,5.8892,-15.91627,18.50796,-12.91103,2.65162,-0.44331,82.46021,-5.099043,-1.119309,0.422283,72.57394,49.862057,71.685721,4429.315683,14.98842,78.79256,108.97399,201.63611,72.48741,87.423808,4.251676,6.94796,10.37634,0.39083,50,5.72724,-2.18705,-130.71426,-5.19385,12.04456,27.04775,-14.18624,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,ed0f4630-2a1f-11f1-8f01-5f24cc025812,89.25875,78.90811,,7.54802,,,,0.37985,2.55845,0.46398,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,21:00:02.90,2026-03-27T16:00:02.9005312-05:00,2026-03-27T21:00:02.9005312Z,Popup,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,36261b78-5843-4625-9e31-9edbd040c473,54.6103,-131.66478,13.52388,5.90101,-4.69531,-7.09312,0.47512,-2.61032,6.02228,,0.3882,21.37988,-11.31929,2.50581,0.05422,-0.14823,-0.0021,0.01081,-0.00132,2.55138,81.56426,-26.62747,4.83305,-2.60514,1.24591,-0.36609,0.05614,-0.00344,0.45707,65.32351,-6.51425,2.41145,-2.00278,1.11515,-0.34278,0.05275,-0.00318,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2026-03-27,16:00:23.56,2,3,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Gremillion, Jude",10031838,Right,WIL_WOO,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.48067,-1.447905,2.257055,1777.357585,126.173143,10:15,5.18081,-1.43531,5.86534,-35.88411,7.77894,-9.01886,0.8441,-0.0891,74.11869,-8.033617,0.638048,0.475585,,,,,,,,,,,,5.18906,4.67969,1.25781,50,5.04217,-4.22757,-115.55337,-4.0341,7.12111,18.51052,-25.75194,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,f96a44c0-2a1f-11f1-8f01-5f24cc025812,79.25486,,,5.36199,,,,,,,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,21:00:23.56,2026-03-27T16:00:23.5699200-05:00,2026-03-27T21:00:23.5699200Z,,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,068efc0a-050c-47c0-b85a-ad57fafd5be3,54.63634,-116.2937,9.25526,5.18291,-3.00416,-12.87597,1.43258,-4.51238,3.56055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,16:00:42.18,2,4,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Gremillion, Jude",10031838,Right,WIL_WOO,Undefined,1,Top,0,1,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.44903,-1.151392,1.657366,2600.170432,263.286525,2:45,5.41102,-1.18997,5.43642,-45.46152,2.78347,12.0615,0.54376,1.36761,71.21564,-9.38507,3.806561,0.499917,,,,,,,,,,,,-5.73099,2.04996,1.03442,50,5.27716,-3.6554,-111.08449,-3.70257,-7.21514,18.49119,-29.59323,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,0484ad00-2a20-11f1-8f01-5f24cc025812,75.39745,,,5.23339,,,,,,,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,21:00:42.18,2026-03-27T16:00:42.1883392-05:00,2026-03-27T21:00:42.1883392Z,,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,7bcbcb21-f31f-4331-9f05-14bb17b38ec8,55.06586,-111.92458,9.2456,5.41484,-2.35809,-14.79661,1.19304,-3.32761,-3.60757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,16:01:01.78,2,5,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Gremillion, Jude",10031838,Right,WIL_WOO,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.14733,0.144364,1.859682,2472.90306,266.000453,2:45,5.49244,-1.39916,5.43004,-48.71034,2.05929,11.31536,1.56852,1.28608,69.64508,-8.668285,3.873631,0.51283,,,,,,,,,,,,-5.34177,1.35496,1.22605,50,5.47082,-3.90381,-107.86288,-1.26699,-6.41078,15.47457,-30.54791,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,10319140-2a20-11f1-8f01-5f24cc025812,73.49889,,,4.50225,,,,,,,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,21:01:01.78,2026-03-27T16:01:01.7815552-05:00,2026-03-27T21:01:01.7815552Z,,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,ac3a40a5-aceb-4e2b-bd68-6e83c1149574,55.07301,-108.58824,7.73728,5.49665,0.16492,-15.27396,1.402,-3.60331,-3.20539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,16:01:18.72,2,6,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Gremillion, Jude",10031838,Right,WIL_WOO,Undefined,1,Top,0,3,2,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.91403,-2.872587,1.377892,2272.233428,127.349327,10:15,5.66379,-0.67983,6.12021,-21.28029,12.89997,-15.52706,1.23172,-0.69963,82.72625,-6.855314,-1.423151,0.420784,,,,,,,,,,,,8.43441,7.76804,0.58243,50,5.43242,-2.51367,-130.57832,-7.21787,14.60792,26.6926,-18.72022,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,1a3c1020-2a20-11f1-8f01-5f24cc025812,89.5767,,,7.18778,,,,,,,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,21:01:18.72,2026-03-27T16:01:18.7236352-05:00,2026-03-27T21:01:18.7236352Z,,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,8e30a9a7-2815-4166-b2ea-b870584b67c9,54.38051,-131.47073,13.3463,5.66327,-6.592,-9.36011,0.67464,-3.00205,7.30396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-27,16:01:45.71,3,1,"Bonilla, Jaymal",1000516725,Left,MID_NAZ,"Kinsler, Kaden",10268134,Left,WIL_WOO,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.44051,-0.567412,2.487878,2467.42807,256.155524,2:30,5.59878,-1.2311,5.44773,-48.27707,4.29118,11.0443,1.04394,2.01998,68.09238,-9.334212,4.453075,0.521835,,,,,,,,,,,,-4.93032,2.76551,1.00333,50,5.5152,-5.02662,-106.59813,-2.55163,-5.68702,17.90061,-28.98409,MID_NAZ,WIL_WOO,DixonField,NAIA,NAIA,20260327-DixonField-2,2a679eb0-2a20-11f1-8f01-5f24cc025812,72.23057,,,5.34813,,,,,,,e90a6dbb-5662-4f4e-bd84-aaae0faba420,2026-03-27,21:01:45.71,2026-03-27T16:01:45.7181184-05:00,2026-03-27T21:01:45.7181184Z,,v3,,,,"Ramos, Christian",1000516726,Right,MID_NAZ,b430d81b-8604-4ec8-b186-bc4a64e95f65,55.05293,-107.4433,8.95031,5.60337,-1.18317,-14.49204,1.23432,-4.75811,-2.84351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
