PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,14:04:42.75,1,1,"Daniel, Carson",10147292,Right,PAT_HEN,"Hartley, Walker",10870227,Left,CLE_CLE2,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.11126,1.977021,-1.113321,2028.932189,69.942785,8:15,5.67269,1.68316,5.61941,-61.65747,-2.55295,-11.93859,2.38073,-0.35088,63.79241,-9.275863,-3.246366,0.553327,,,,,,,,,,,,5.83733,-1.49437,-1.5799,50,5.80092,2.33783,-100.37854,1.70185,5.94591,16.49863,-33.69622,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,6ea41220-2a07-11f1-a867-71736e0e1745,68.11967,,,5.31885,,,,,,,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:04:42.75,2026-03-27T14:04:42.7577344-04:00,2026-03-27T18:04:42.7577344Z,,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,1716f011-9dc6-4178-978d-8595d07cb166,54.88488,-101.17825,8.24931,5.67884,3.33515,-16.84811,-1.68623,2.04963,2.97296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,14:05:40.32,1,2,"Daniel, Carson",10147292,Right,PAT_HEN,"Hartley, Walker",10870227,Left,CLE_CLE2,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,67.89916,1.595218,-2.009192,1956.978788,62.673872,8:00,5.69612,1.91857,5.34295,-65.97858,-2.62063,-9.698,1.69568,-0.77517,61.47718,-10.437043,-3.733001,0.572891,,,,,,,,,,,,4.22429,-1.37992,-1.72989,50,5.79251,3.77537,-98.30057,0.81331,4.02764,19.2973,-33.48975,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,9100ea50-2a07-11f1-a867-71736e0e1745,65.7934,,,6.42198,,,,,,,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:05:40.32,2026-03-27T14:05:40.3244032-04:00,2026-03-27T18:05:40.3244032Z,,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,e595098f-93f4-4960-82bc-28b13d2f871a,55.15837,-99.30804,9.64865,5.70441,2.56175,-16.74487,-1.9215,3.5651,2.01382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,14:05:56.87,1,3,"Daniel, Carson",10147292,Right,PAT_HEN,"Hartley, Walker",10870227,Left,CLE_CLE2,Undefined,1,Top,0,1,1,ChangeUp,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,71.01547,1.975475,-0.020044,1786.562197,47.220661,7:30,5.59939,1.75399,5.63414,-64.26842,-7.06394,-9.96504,2.08756,0.90487,64.1173,-9.813587,-1.803552,0.54436,89.32315,0.749859,12.236893,1004.58948,,,,51.61872,51.29062,11.675428,0.403091,5.05697,-3.7039,-1.74567,50,5.72646,0.38553,-102.91799,1.61884,5.28769,21.07806,-36.04694,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,9ad4a1c0-2a07-11f1-a867-71736e0e1745,69.24172,2.18286,,6.89817,,,,1.59693,2.14277,-0.90602,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:05:56.87,2026-03-27T14:05:56.8744960-04:00,2026-03-27T18:05:56.8744960Z,GroundBall,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,e0c3ae1f-68dc-46db-9c09-4e62ad4b3d61,54.86683,-103.90995,10.53903,5.61036,3.31526,-18.02347,-1.75796,0.13669,2.64385,290.151732,1.60395,127.78671,-15.81518,,,,,,,2.14757,1.55562,-17.10563,,,,,,,-0.90768,27.82037,0.86802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-03-27,14:06:26.27,2,1,"Daniel, Carson",10147292,Right,PAT_HEN,"Negron, Timothy",10901797,Right,CLE_CLE2,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.32209,0.096725,-2.898817,2264.295275,84.759719,8:45,5.48477,2.00893,5.48486,-55.08184,0.69106,-10.73264,0.98523,-1.59994,66.13934,-9.893305,-4.809008,0.537506,,,,,,,,,,,,4.60733,0.87476,-1.74719,50,5.45602,5.62039,-103.48368,-1.50491,5.00165,17.08959,-31.22442,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,ac690f20-2a07-11f1-a867-71736e0e1745,70.12474,,,5.18275,,,,,,,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:06:26.27,2026-03-27T14:06:26.2738432-04:00,2026-03-27T18:06:26.2738432Z,,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,46add26b-f5e3-4787-8d3c-a76b7dd70c21,55.01643,-104.30882,8.5448,5.49229,0.0027,-15.61221,-2.01273,5.3789,2.50082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,14:06:40.37,2,2,"Daniel, Carson",10147292,Right,PAT_HEN,"Negron, Timothy",10901797,Right,CLE_CLE2,Undefined,1,Top,1,1,0,ChangeUp,Curveball,InPlay,Undefined,LineDrive,Out,1,0,,70.82667,1.186198,-1.679239,2348.574046,92.47387,9:00,5.45578,2.10959,5.32126,-54.35113,1.9374,-9.18008,2.04037,-0.23179,66.00629,-8.66304,-3.309491,0.539985,87.99756,21.184424,-3.556931,2778.175339,109.90199,36.49576,-4.63874,312.34133,306.1701,0.176428,3.843289,4.23107,1.09764,-1.95051,50,5.5234,3.33673,-102.92147,0.46594,4.58902,15.29609,-30.98355,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,b4c4cc90-2a07-11f1-a867-71736e0e1745,69.80281,44.41431,,4.82038,,,,1.63416,2.07456,0.22442,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:06:40.37,2026-03-27T14:06:40.3714560-04:00,2026-03-27T18:06:40.3714560Z,LineDrive,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,d74db65d-2dab-41aa-aa31-84f253a6105f,55.18207,-103.68876,7.64804,5.46104,2.02016,-15.49178,-2.11211,3.10653,2.29451,191.390236,1.63389,120.11552,-19.12124,4.07061,-0.75724,0.12052,-0.01491,0.00111,-2E-05,2.07506,46.6289,-13.41563,0.46515,-0.18453,0.09375,-0.02809,0.00475,-0.00034,0.22442,-7.46631,3.16098,-0.56356,0.1337,-0.03532,0.00771,-0.00095,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-27,14:07:15.16,3,1,"Daniel, Carson",10147292,Right,PAT_HEN,"Guertin, Reese",10124430,Left,CLE_CLE2,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.50139,0.505276,-0.748592,1789.638734,212.147043,1:00,5.78008,1.84136,5.82085,-33.07325,10.67288,5.95012,3.49381,1.64116,73.65862,-5.613235,0.31811,0.476037,,,,,,,,,,,,-3.21244,5.72205,-1.78362,50,5.80171,1.28554,-115.62067,0.00151,-4.40573,18.90123,-24.32644,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,c9765870-2a07-11f1-a867-71736e0e1745,79.17957,,,5.84277,,,,,,,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:07:15.16,2026-03-27T14:07:15.1617024-04:00,2026-03-27T18:07:15.1617024Z,,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,bc4bd84d-56c1-46d7-80ef-0f787c22ab4a,54.67958,-116.38315,9.45062,5.78185,0.98285,-12.16322,-1.83906,1.46327,-2.20286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,14:07:29.17,3,2,"Daniel, Carson",10147292,Right,PAT_HEN,"Guertin, Reese",10124430,Left,CLE_CLE2,Undefined,1,Top,2,1,0,ChangeUp,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.71375,1.676133,-0.115003,2028.01847,75.97811,8:30,5.65765,1.76686,5.79112,-57.30542,-1.16823,-11.70812,2.4419,0.6842,65.07721,-8.837728,-2.215143,0.539258,,,,,,,,,,,,5.91201,-0.48992,-1.75044,50,5.76157,0.60819,-102.71475,1.33757,6.3016,17.37518,-32.69625,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,d1e1f460-2a07-11f1-a867-71736e0e1745,69.89684,,,5.63654,,,,,,,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:07:29.17,2026-03-27T14:07:29.1791872-04:00,2026-03-27T18:07:29.1791872Z,,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,341a9a95-73d8-48d1-ae0b-6b94a2bb1ed5,54.71031,-103.50848,8.68759,5.66636,2.83119,-16.34813,-1.77164,0.32032,3.1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,14:07:45.17,3,3,"Daniel, Carson",10147292,Right,PAT_HEN,"Guertin, Reese",10124430,Left,CLE_CLE2,Undefined,1,Top,2,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.47281,0.665107,-0.861657,1833.472002,215.594022,1:15,5.67316,1.78397,5.76215,-32.21195,11.95449,7.62166,3.608,1.61704,73.12195,-5.314115,0.503014,0.478319,,,,,,,,,,,,-4.09437,6.32937,-1.7172,50,5.70871,1.44385,-115.48207,0.35263,-5.56398,20.23539,-23.57285,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,db590ce0-2a07-11f1-a867-71736e0e1745,78.8019,,,6.35086,,,,,,,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:07:45.17,2026-03-27T14:07:45.1741184-04:00,2026-03-27T18:07:45.1741184Z,,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,d756dc95-4ad8-41d2-9b5c-94192c633661,54.73733,-116.30921,10.1177,5.67461,1.31619,-11.78642,-1.78087,1.67129,-2.78199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,14:08:04.30,3,4,"Daniel, Carson",10147292,Right,PAT_HEN,"Guertin, Reese",10124430,Left,CLE_CLE2,Undefined,1,Top,2,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.11074,3.176161,0.056099,1883.870724,71.017887,8:15,5.64299,1.84441,5.61721,-59.60082,-1.76973,-10.61985,3.64362,1.01178,64.01606,-7.757589,-1.839738,0.547333,,,,,,,,,,,,5.35374,-1.20161,-1.84235,50,5.87637,0.27494,-101.65224,3.87138,5.56873,17.58312,-33.4239,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,e6d28510-2a07-11f1-a867-71736e0e1745,68.86559,,,6.09468,,,,,,,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:08:04.30,2026-03-27T14:08:04.3088384-04:00,2026-03-27T18:08:04.3088384Z,,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,69f5f0db-6682-4551-be67-41841b5234b5,54.88336,-102.49345,8.79156,5.6529,5.47045,-16.71195,-1.84913,0.00852,2.78436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-27,14:08:23.56,3,5,"Daniel, Carson",10147292,Right,PAT_HEN,"Guertin, Reese",10124430,Left,CLE_CLE2,Undefined,1,Top,2,3,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.13025,-1.095206,-2.920544,1666.514691,225.092386,1:30,5.66154,1.85776,5.88663,-34.80388,11.333,9.80079,1.74276,-0.03988,71.29309,-7.563573,-1.162826,0.488872,,,,,,,,,,,,-5.85429,6.60575,-1.6275,50,5.55321,5.40943,-113.26812,-3.2007,-7.55787,21.89953,-23.64605,PAT_HEN,CLE_CLE2,HookerField,JUCO,NJCAA,20260327-HookerField-2,f24aebd0-2a07-11f1-a867-71736e0e1745,77.10077,,,6.83716,,,,,,,01c3c062-5ba0-4029-af21-a1e7dc16ec1b,2026-03-27,18:08:23.56,2026-03-27T14:08:23.5645952-04:00,2026-03-27T18:08:23.5645952Z,,v3,643-147519,643-147292,,"Androvett, Evan",10106481,Right,PAT_HEN,1fcdd544-ad19-463c-a55f-86915bffc471,54.61141,-114.15622,10.94977,5.66357,-2.24177,-11.82303,-1.85308,5.71592,-3.77894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
