PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,13:01:01.58,1,1,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Hahm-Taklender, Orion",1000304525,Right,LIN_WIL1,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.68563,-2.564272,-1.752531,2128.211977,227.822552,1:30,6.18903,1.56373,5.18604,-18.3904,18.15182,18.44784,2.24124,1.45172,80.23975,-6.045187,1.515528,0.43508,,,,,,,,,,,,-10.05816,10.42489,-1.4163,50,5.9377,3.15044,-129.73714,-6.42828,-16.71227,33.49779,-14.85242,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,b360cc80-2ac7-11f1-a410-0bf2ac604895,86.63342,,,9.44588,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:01:01.58,2026-03-28T13:01:01.5811072-04:00,2026-03-28T17:01:01.5811072Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,166e898a-9e99-49a9-8005-0a15ccd40ee6,55.31491,-131.10225,16.7489,6.18733,-5.82301,-7.42621,-1.55856,3.8315,-8.35614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,13:01:15.76,1,2,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Hahm-Taklender, Orion",1000304525,Right,LIN_WIL1,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.11779,-0.967783,-2.684714,2106.772208,235.239396,1:45,6.04148,1.56335,5.24387,-25.36702,12.16701,15.14721,3.01694,0.30065,78.39445,-5.737708,-0.000563,0.440945,74.99518,-8.608549,-22.603092,,,,,21.29392,19.84048,-22.375156,0.181612,-8.6441,6.9013,-1.32845,50,5.9345,5.32496,-128.64293,-3.06978,-13.9028,36.6699,-21.07429,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,bbe98d60-2ac7-11f1-a410-0bf2ac604895,85.48114,3.03754,,10.72334,,,,1.51664,3.03754,-0.46657,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:01:15.76,2026-03-28T13:01:15.7670400-04:00,2026-03-28T17:01:15.7670400Z,GroundBall,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,04712508-c239-4e83-8091-4fbf16f23af7,55.25068,-130.13104,18.33495,6.04173,-2.21456,-10.53715,-1.55599,5.88915,-6.9514,171.181023,1.51668,100.39739,-1.80046,,,,,,,3.0375,-16.4613,-1.45236,,,,,,,-0.46657,-41.79907,-1.45983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
3,2026-03-28,13:01:48.46,2,1,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Duran, Andres",1000403179,Right,LIN_WIL1,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.35919,-2.045899,-2.142238,2130.504052,240.425033,2:00,6.02767,1.57878,5.34957,-25.03698,11.99233,18.33733,2.02011,1.0966,79.08676,-6.740858,1.117168,0.43797,,,,,,,,,,,,-9.95339,7.23056,-1.3993,50,5.82616,3.96671,-129.06021,-5.4902,-16.19176,35.73636,-20.41171,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,cf5b9460-2ac7-11f1-a410-0bf2ac604895,86.06173,,,10.27243,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:01:48.46,2026-03-28T13:01:48.4665344-04:00,2026-03-28T17:01:48.4665344Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,a25819ca-9f07-4b7c-919b-c0ab95e7660c,55.14458,-130.47695,17.86818,6.02778,-4.681,-10.20585,-1.56928,4.60862,-8.09588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,13:02:01.24,2,2,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Duran, Andres",1000403179,Right,LIN_WIL1,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.38444,-2.991631,-3.68155,2165.706913,231.212648,1:45,6.033,1.70265,5.03508,-20.14871,16.06505,18.23261,1.52306,-0.25613,81.03489,-6.763512,-0.466925,0.43312,,,,,,,,,,,,-10.3406,9.37741,-1.36621,50,5.73117,7.53326,-130.45728,-7.54554,-17.46038,32.61792,-16.34008,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,d6f98010-2ac7-11f1-a410-0bf2ac604895,87.0254,,,9.34955,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:02:01.24,2026-03-28T13:02:01.2464640-04:00,2026-03-28T17:02:01.2464640Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,14bd2232-4ec0-446a-ae13-5d5d127d154c,55.46346,-131.81621,16.30896,6.03136,-6.86477,-8.17004,-1.69522,8.2607,-8.73019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,13:02:16.29,2,3,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Duran, Andres",1000403179,Right,LIN_WIL1,Undefined,1,Top,1,1,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.6961,-2.517928,-2.931395,1980.565279,180.015399,12:00,6.01529,1.54703,5.626,-36.54541,2.72693,0.00035,0.61567,-1.19073,77.56725,-9.217387,-2.931334,0.45104,,,,,,,,,,,,-0.99106,2.5937,-1.29705,50,5.77689,6.3489,-123.98482,-6.73342,-1.51122,29.50661,-28.21912,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,dfeb14e0-2ac7-11f1-a410-0bf2ac604895,83.5679,,,8.12886,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:02:16.29,2026-03-28T13:02:16.2951168-04:00,2026-03-28T17:02:16.2951168Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,243cc57b-7b4b-4355-999c-a09e34575cc8,54.87336,-125.13924,14.75331,6.01873,-5.62938,-14.10956,-1.5466,6.40803,-0.75561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,13:02:30.05,2,4,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Duran, Andres",1000403179,Right,LIN_WIL1,Undefined,1,Top,1,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.09367,-0.720465,-3.077796,1661.639086,268.390623,3:00,5.81525,1.60863,5.95592,-39.01124,2.05307,19.66792,1.89517,0.39058,75.11102,-7.949531,0.457867,0.461215,,,,,,,,,,,,-11.11024,1.72063,-1.3749,50,5.7363,5.70015,-120.43318,-2.78862,-16.02892,27.24847,-29.69166,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,e826a020-2ac7-11f1-a410-0bf2ac604895,81.72415,,,7.98265,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:02:30.05,2026-03-28T13:02:30.0540000-04:00,2026-03-28T17:02:30.0540000Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,4a2c68b1-ea8e-4c3b-a30b-2a14686b8c20,54.5439,-121.4569,13.62424,5.82012,-1.67311,-14.84583,-1.60037,6.30236,-8.01446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.54143,2.661955,1.293107,1.368848,0.81998,1.81137,-0.39556,-2.57819,4.84207,0.28239,76.86953,5.7409,-47.92205,-2.52925,62.69324,-3.44573,4.9181,21.16076,-15.05514,0.20905,-40.39937,3.85677,High,High,High,,,High,High,High
7,2026-03-28,13:02:58.42,3,1,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Bradford, Blane",7783,Right,LIN_WIL1,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.14251,-2.165317,-2.156372,2120.877874,218.102008,1:15,6.10583,1.42044,5.00082,-15.22934,21.16418,15.47694,2.79012,0.6735,80.56548,-5.085058,0.574002,0.434194,,,,,,,,,,,,-8.39607,11.61044,-1.2264,50,5.88633,4.16141,-130.29653,-5.40331,-14.11868,32.94954,-12.65011,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,f90aa940-2ac7-11f1-a410-0bf2ac604895,86.8102,,,9.57704,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:02:58.42,2026-03-28T13:02:58.4212992-04:00,2026-03-28T17:02:58.4212992Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,99bf454f-f495-49fb-9891-7a1def29e9d4,55.49576,-131.67897,16.47477,6.10189,-4.87256,-6.32506,-1.41343,4.75378,-7.05934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,13:03:13.01,3,2,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Bradford, Blane",7783,Right,LIN_WIL1,Undefined,1,Top,2,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.70534,-3.348273,-3.585466,2173.860798,225.958455,1:30,6.07489,1.53441,5.16538,-18.95009,17.26076,16.25528,1.33461,-0.48996,80.44355,-6.938223,-0.712117,0.433103,,,,,,,,,,,,-9.38524,10.24402,-1.21267,50,5.74821,7.40689,-130.70773,-8.2928,-15.73131,35.53268,-15.00328,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,01bc00c0-2ac8-11f1-a410-0bf2ac604895,87.02889,,,10.26179,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:03:13.01,2026-03-28T13:03:13.0182144-04:00,2026-03-28T17:03:13.0182144Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,c98eb060-123e-4fdd-a718-cc6b58195cdb,55.32929,-132.14855,17.76634,6.07215,-7.68443,-7.50164,-1.52595,8.04478,-7.86565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,13:03:28.53,3,3,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Bradford, Blane",7783,Right,LIN_WIL1,Undefined,1,Top,2,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.64115,0.282657,-2.156074,2123.813266,84.724501,8:45,6.03115,1.47551,4.99717,-46.06365,0.66327,-8.38012,2.45956,-1.25938,72.39756,-8.040448,-3.634905,0.491988,,,,,,,,,,,,3.57024,0.65972,-1.26087,50,6.02082,4.63698,-114.06994,-1.08252,4.70521,20.93768,-31.30462,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,0b00e5b0-2ac8-11f1-a410-0bf2ac604895,76.61244,,,6.24359,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:03:28.53,2026-03-28T13:03:28.5309440-04:00,2026-03-28T17:03:28.5309440Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,2c21d25b-5fcc-4fd7-bc5a-ffd792aab2ec,55.50375,-115.07573,10.46884,6.0367,0.42126,-15.65231,-1.47819,4.41096,2.35261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,13:03:45.15,3,4,"Tharle, Stuart",1000389892,Right,CUM_PAT,"Bradford, Blane",7783,Right,LIN_WIL1,Undefined,1,Top,2,1,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.50166,-1.454256,-4.135985,2167.994082,225.659478,1:30,6.07766,1.54499,5.20442,-16.23784,18.68993,17.78647,3.35291,-0.86946,82.12593,-4.547928,-0.994952,0.42536,,,,,,,,,,,,-10.14784,10.13402,-1.17542,50,5.93116,8.70123,-132.205,-3.88636,-17.6883,32.16493,-14.50986,CUM_PAT,LIN_WIL1,Cumberlands,NAIA,NAIA,20260328-Cumberlands-1,14f1e920-2ac8-11f1-a410-0bf2ac604895,88.61299,,,9.37572,,,,,,,3e6db145-bdb4-44a4-a1a8-ef66b010de52,2026-03-28,17:03:45.15,2026-03-28T13:03:45.1520000-04:00,2026-03-28T17:03:45.1520000Z,,v3,10045143,,,"Shelton, Clay",1000098175,Right,CUM_PAT,c31a28ed-d1ad-4aaa-8344-ab5b9c34bee3,55.29258,-133.48646,16.08246,6.07448,-3.30828,-7.25493,-1.53611,9.40594,-8.84415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.16944,,,1.116064,,,,0.39093,5.71807,2.82151,80.28198,1.90759,-44.49887,0.40885,75.9881,-4.02544,5.73461,11.9073,-13.80822,2.79343,-48.09201,5.2225,High,High,High,,,High,High,High
