PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,12:02:31.26,1,1,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Kai",1000233526,Right,COL_INT,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,85c534d0-2abf-11f1-9bc4-09307ad0f116,,,,,,,,,,,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:02:31.26,2026-03-28T12:02:31.2649600-04:00,2026-03-28T16:02:31.2649600Z,,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,e5c946b6-6502-40c5-894a-8decd79ad847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-28,12:02:32.26,1,2,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Kai",1000233526,Right,COL_INT,Undefined,1,Top,0,1,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.61706,-2.141164,-2.454728,1944.549904,222.137463,1:30,6.1955,-0.62589,5.50049,-24.89753,18.20875,15.07666,2.11528,-1.66684,73.97873,-6.806174,0.230702,0.472543,,,,,,,,,,,,-8.32146,10.2867,0.83019,50,5.99181,4.44229,-118.17939,-5.17711,-11.64382,24.75059,-17.78037,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,87b4cfd0-2abf-11f1-9bc4-09307ad0f116,79.76504,,,7.63833,,,,,,,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:02:32.26,2026-03-28T12:02:32.2649600-04:00,2026-03-28T16:02:32.2649600Z,,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,911d97fb-1d30-4af8-9322-f04846aec3d3,54.99532,-119.22098,12.3753,6.19394,-4.42885,-8.89019,0.63293,4.9323,-5.82191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,12:02:48.58,1,3,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Kai",1000233526,Right,COL_INT,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.06306,-1.084818,-1.781889,1965.801086,142.884313,10:45,6.02324,-0.46618,5.4409,-42.44152,7.18815,-4.14229,1.47007,-2.48039,69.43503,-8.859432,-2.519793,0.50704,,,,,,,,,,,,1.53579,4.4661,0.62672,50,5.89829,3.58801,-110.24795,-3.43612,1.87047,21.51444,-26.73475,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,916fcf20-2abf-11f1-9bc4-09307ad0f116,74.33821,,,6.62803,,,,,,,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:02:48.58,2026-03-28T12:02:48.5820928-04:00,2026-03-28T16:02:48.5820928Z,,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,d3ceff6f-7099-47c6-b4d4-65df4c3fbe7d,55.05578,-111.23019,10.75722,6.0273,-2.21555,-13.36738,0.46486,3.50261,0.93523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,12:03:05.76,1,4,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Kai",1000233526,Right,COL_INT,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.12277,-1.763689,-2.350189,1916.939682,211.561755,1:00,6.2507,-0.66568,5.48076,-20.678,21.90541,12.51981,2.87542,-1.82257,74.31073,-5.685654,-0.122181,0.469669,,,,,,,,,,,,-7.02307,12.01839,0.8632,50,6.08231,4.36285,-118.94357,-4.25571,-9.95365,25.0898,-15.1406,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,9ba72a60-2abf-11f1-9bc4-09307ad0f116,80.25328,,,7.81204,,,,,,,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:03:05.76,2026-03-28T12:03:05.7610752-04:00,2026-03-28T16:03:05.7610752Z,,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,35f52c65-e96c-48a0-93eb-ad9b630677ff,55.0153,-119.99683,12.5449,6.24762,-3.62011,-7.5703,0.67127,4.7807,-4.97682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,12:03:30.68,1,5,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Kai",1000233526,Right,COL_INT,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,Popup,Single,0,0,,77.42462,-0.652659,-2.383664,1522.856456,238.862658,2:00,5.42598,2.0428,5.51002,-36.95128,11.35071,15.71895,1.73582,1.12235,69.63215,-7.515824,0.418202,0.500212,67.73953,39.5073,-9.13451,,109.71323,64.02768,-7.93417,211.95241,208.22072,-0.078843,4.380699,-8.89859,6.4263,-1.84622,50,5.3445,4.07885,-112.12465,-2.41317,-11.06672,24.63594,-24.18196,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,aa7af120-2abf-11f1-9bc4-09307ad0f116,75.35295,64.81776,,7.79247,,,,2.21629,1.9822,-1.13236,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:03:30.68,2026-03-28T12:03:30.6804736-04:00,2026-03-28T16:03:30.6804736Z,FlyBall,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,2a567c0b-737b-418d-8c38-d1d390fc0f04,54.98868,-113.21546,12.31797,5.42764,-1.34247,-12.09098,-2.03767,4.56885,-5.53336,207.791421,2.218,75.64045,-13.11388,2.57311,-0.15557,-0.12362,0.04628,-0.00654,0.00034,1.98127,63.21965,-17.3209,0.80949,-0.03365,-0.04575,0.02763,-0.00581,0.00042,-1.13328,-12.14863,7.28088,-1.96398,0.26053,0.04027,-0.02391,0.00368,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-03-28,12:04:09.47,2,1,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Maddux",808174,Left,COL_INT,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,74.95319,1.007981,-1.857023,1527.317699,242.140946,2:00,5.3875,2.19466,5.27424,-41.49612,9.81225,15.26186,2.87684,1.72164,68.15514,-6.62796,0.850619,0.515544,,,,,,,,,,,,-8.13071,5.1437,-2.03647,50,5.44962,2.92383,-108.62908,0.59355,-9.64389,20.33693,-26.07308,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,c1a174a0-2abf-11f1-9bc4-09307ad0f116,73.11199,,,6.79805,,,,,,,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:04:09.47,2026-03-28T12:04:09.4759936-04:00,2026-03-28T16:04:09.4759936Z,,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,626395ab-a002-4271-a472-6231cf11ccc1,55.2219,-109.60234,10.16846,5.39135,1.84131,-13.03654,-2.18744,3.38535,-4.82195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,12:04:28.65,2,2,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Maddux",808174,Left,COL_INT,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.18559,-1.572476,-2.906204,1928.837067,227.843242,1:30,5.50108,2.04649,5.50032,-28.15568,15.30958,15.23166,1.68175,0.59524,73.75578,-6.814624,-0.194277,0.474507,48.42096,-14.738805,-68.707751,,,,,7.73731,5.46147,-57.106985,0.092661,-8.58241,8.64394,-1.80302,50,5.34485,5.35591,-117.60236,-4.1158,-11.91461,24.11735,-20.17403,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,cd0fc940-2abf-11f1-9bc4-09307ad0f116,79.43497,1.68256,,7.42981,,,,1.87942,1.68256,-0.53762,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:04:28.65,2026-03-28T12:04:28.6538752-04:00,2026-03-28T16:04:28.6538752Z,GroundBall,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,bc9d1ffa-8de3-425f-bb8c-6f9a067b471f,54.99731,-118.62276,12.05868,5.50093,-3.26224,-10.08702,-2.04029,5.86001,-5.95731,180,1.87756,25.06446,,,,,,,,1.6839,-18.15816,,,,,,,,-0.53284,-64.31272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-03-28,12:04:53.80,2,3,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Maddux",808174,Left,COL_INT,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.61042,-0.723267,-1.676519,1809.26678,242.55258,2:00,5.46245,2.08017,5.48382,-34.2486,11.58973,18.8567,1.93139,2.08256,71.35223,-7.099547,1.684498,0.487288,,,,,,,,,,,,-9.95241,6.62725,-1.94577,50,5.37653,2.58593,-115.22549,-2.54758,-13.05899,26.20163,-23.47817,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,dc14d930-2abf-11f1-9bc4-09307ad0f116,77.35143,,,8.2582,,,,,,,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:04:53.80,2026-03-28T12:04:53.8055168-04:00,2026-03-28T16:04:53.8055168Z,,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,05e89265-4dcf-4765-8afd-95046355ed48,55.00932,-116.359,13.10081,5.46477,-1.53188,-11.73909,-2.06986,3.15088,-6.5295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,12:05:12.83,2,4,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Maddux",808174,Left,COL_INT,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.51001,-0.312456,-2.337584,1872.002442,241.828995,2:00,5.46302,2.02716,5.61788,-32.94856,11.30934,18.08166,2.42546,1.35117,72.60733,-6.451928,0.891004,0.478814,,,,,,,,,,,,-9.85886,6.30792,-1.83927,50,5.41556,4.02738,-116.64144,-1.67739,-13.36088,25.27557,-23.62547,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,e764a950-2abf-11f1-9bc4-09307ad0f116,78.72045,,,7.90269,,,,,,,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:05:12.83,2026-03-28T12:05:12.8385536-04:00,2026-03-28T16:05:12.8385536Z,,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,25276bef-0c05-44d4-bf13-922cb6e0e165,54.87796,-117.69372,12.63779,5.46492,-0.69381,-11.81273,-2.01851,4.58362,-6.68044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,12:05:43.89,2,5,"Brodeur, Kameron",1000311746,Right,UNI_PIK,"Smith, Maddux",808174,Left,COL_INT,Undefined,1,Top,0,2,2,Fastball,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,80.10979,0.07649,-2.613924,1740.189651,237.154896,2:00,5.51113,2.14798,5.52896,-32.76742,12.29792,16.3895,2.85209,1.06854,71.8682,-6.041911,0.305892,0.483162,,,,,,,,,,,,-9.05048,6.68355,-1.93156,50,5.49654,4.61239,-115.94042,-0.8806,-12.07201,25.73197,-23.2592,UNI_PIK,COL_INT,JohnnieLemasterField,NAIA,NAIA,20260328-JohnnieLemasterField-1,f9ed61c0-2abf-11f1-9bc4-09307ad0f116,78.01202,,,8.24159,,,,,,,90823476-6d8b-43a6-9583-5cb021603449,2026-03-28,16:05:43.89,2026-03-28T12:05:43.8901760-04:00,2026-03-28T16:05:43.8901760Z,,v3,,,,"Brook, Tyler",1000078727,Right,UNI_PIK,2213d82f-fd70-4142-b6bf-4a96d57bf78a,54.96472,-117.03711,12.86598,5.51295,0.1107,-11.6296,-2.1391,5.12689,-6.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
