PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,13:02:50.01,1,1,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Luderer, James",10974469,Left,VEN_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.40253,-1.350268,-4.210914,2152.57715,249.703962,2:15,4.9174,3.24786,5.8167,-26.75179,10.32906,23.75852,1.4289,1.30513,78.47834,-6.391006,0.03778,0.438275,,,,,,,,,,,,-13.49934,6.20319,-2.91586,50,4.79108,8.33592,-127.67879,-3.9004,-21.60745,33.71924,-22.24503,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,19522ca0-2ae1-11f1-a596-f94af128d576,86.00189,,,9.92418,,,,,,,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:02:50.01,2026-03-28T13:02:50.0136448-07:00,2026-03-28T20:02:50.0136448Z,,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,453a7454-4137-47c2-ba3b-532be9b4d5b2,54.68094,-128.90907,16.85962,4.91858,-3.08877,-11.12252,-3.23439,9.12429,-10.80372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,13:03:02.62,1,2,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Luderer, James",10974469,Left,VEN_COL,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.59426,0.089581,-3.662138,2215.083657,241.659846,2:00,4.85129,3.49794,5.88652,-23.94234,12.37268,20.42186,2.93946,1.79432,79.42669,-4.436888,-0.005532,0.433725,,,,,,,,,,,,-11.52508,6.67941,-3.21325,50,4.84497,7.30798,-128.24261,-0.56122,-18.8503,30.94098,-21.24928,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,20d2a540-2ae1-11f1-a596-f94af128d576,86.90397,,,9.16757,,,,,,,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:03:02.62,2026-03-28T13:03:02.6288128-07:00,2026-03-28T20:03:02.6288128Z,,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,705c6d39-f1a6-48a3-b48e-e0db7df7d749,54.61246,-129.35067,15.47049,4.85144,0.19975,-10.62464,-3.48705,7.98304,-9.42515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,13:03:16.60,1,3,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Luderer, James",10974469,Left,VEN_COL,Undefined,1,Top,0,2,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.99018,0.11787,-4.382753,2254.319645,235.480828,1:45,4.87177,3.28663,6.04048,-23.66726,12.95867,16.86206,3.00896,0.62566,78.93744,-4.369641,-1.359973,0.435578,84.73339,30.279319,-39.93359,4009.902133,79.76482,55.70264,-75.74626,282.91822,122.66699,-49.07948,4.18609,-10.10898,7.01004,-2.95309,50,4.86837,9.05628,-127.31864,-0.45939,-16.30232,30.41505,-20.86923,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,2924c5c0-2ae1-11f1-a596-f94af128d576,86.53431,63.71807,,9.05274,,,,0.57567,2.9816,-0.49086,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:03:16.60,2026-03-28T13:03:16.6050304-07:00,2026-03-28T20:03:16.6050304Z,FlyBall,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,ce8e90a6-946a-46f1-bca0-ee6cbaf0fa41,54.46003,-128.37967,15.20753,4.87169,0.26864,-10.43462,-3.27894,9.62498,-8.15116,152.108072,0.57513,82.3093,-20.8587,5.74815,-1.42338,0.34458,-0.07063,0.00919,-0.00052,2.98259,62.63405,-16.71768,-0.18154,0.52162,-0.22597,0.05363,-0.00646,0.0003,-0.49061,-68.8971,9.54926,-2.41455,0.53325,-0.12404,0.02654,-0.00367,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2026-03-28,13:03:36.89,1,4,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Luderer, James",10974469,Left,VEN_COL,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.08333,-0.330555,-6.124972,2338.670405,227.96927,1:30,4.9643,3.26788,6.1771,-18.89536,17.3504,17.83493,3.08264,-0.92433,79.52493,-3.94919,-2.934793,0.433311,,,,,,,,,,,,-10.98351,9.41126,-2.81133,50,4.9294,12.91021,-127.21766,-1.25112,-17.85617,28.04783,-16.87393,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,353ffc30-2ae1-11f1-a596-f94af128d576,86.98697,,,8.5584,,,,,,,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:03:36.89,2026-03-28T13:03:36.8956928-07:00,2026-03-28T20:03:36.8956928Z,,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,410feeb9-cfc5-4d93-a26a-bf8b2ea5a835,54.3233,-128.16728,14.02391,4.96209,-0.67982,-8.43697,-3.25866,13.51477,-8.92808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,13:03:51.10,1,5,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Luderer, James",10974469,Left,VEN_COL,Undefined,1,Top,0,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.59603,-0.236175,-3.907996,2347.037613,249.343379,2:15,4.88328,3.34533,6.145,-26.30627,9.35871,21.53206,2.47233,1.52258,80.17344,-5.183456,-0.033773,0.429826,,,,,,,,,,,,-12.24792,5.27599,-3.05766,50,4.8518,7.87439,-128.41023,-1.3665,-20.25154,29.00399,-23.4504,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,3db4bfe0-2ae1-11f1-a596-f94af128d576,87.69236,,,8.42259,,,,,,,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:03:51.10,2026-03-28T13:03:51.1016960-07:00,2026-03-28T20:03:51.1016960Z,,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,d6518289-8c26-4a76-a29a-6d8cbfab6062,54.35679,-129.39056,14.502,4.88459,-0.57388,-11.7252,-3.33538,8.55889,-10.12577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,13:04:21.28,1,6,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Luderer, James",10974469,Left,VEN_COL,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,89.5064,-0.568525,-4.5603,2345.5314,224.832555,1:30,4.89325,3.23327,6.15873,-17.60938,18.07186,16.50969,2.89887,0.38697,79.31733,-3.996639,-1.595685,0.429924,82.4219,11.982908,24.270496,1291.268114,99.20354,11.19765,47.52521,170.76091,170.76091,26.7373,1.663018,-10.18241,9.93638,-2.89441,50,4.84107,9.61802,-129.33651,-1.74917,-16.72979,34.5195,-15.8485,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,4fb47230-2ae1-11f1-a596-f94af128d576,87.67241,12.17823,,10.18907,,,,1.74228,2.87854,-0.40038,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:04:21.28,2026-03-28T13:04:21.2809728-07:00,2026-03-28T20:04:21.2809728Z,LineDrive,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,2882b98d-1842-4838-b0df-ef981246c5c5,54.3398,-130.48964,17.25975,4.89066,-1.21974,-7.92425,-3.22504,10.17688,-8.3649,253.570015,1.74228,107.80005,-13.52643,2.56692,-0.36915,-0.08028,0.06822,-0.01591,0.00089,2.87854,25.0979,-17.71157,1.20007,-0.25854,0.11702,-0.04736,0.01102,-0.00085,-0.40037,48.60597,-0.94826,-0.34766,0.014,0.12227,-0.07736,0.01901,-0.00137,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-28,13:04:52.11,2,1,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Ramirez, Matthew",10321771,Right,VEN_COL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.60607,0.266879,-6.823679,2618.88182,101.811787,9:30,5.01683,3.15794,5.54806,-44.58207,3.53847,-9.24524,1.55285,-4.01984,70.86431,-7.847363,-8.448526,0.499271,,,,,,,,,,,,2.52693,2.22421,-2.55805,50,5.011,13.73397,-111.78403,-0.91313,3.16247,22.20336,-29.39041,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,62207ae0-2ae1-11f1-a596-f94af128d576,75.49489,,,6.74176,,,,,,,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:04:52.11,2026-03-28T13:04:52.1129472-07:00,2026-03-28T20:04:52.1129472Z,,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,4a5d858e-096c-4589-a9ed-ccc80e864c98,54.95211,-112.76336,11.10168,5.02269,0.38321,-14.6952,-3.16074,13.59449,1.58124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,13:05:26.99,2,2,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Ramirez, Matthew",10321771,Right,VEN_COL,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.18155,2.243708,-4.265274,2442.407313,95.383097,9:15,5.01853,3.24947,5.47276,-44.92613,2.53835,-9.13997,3.38139,-1.51127,70.59223,-6.007386,-5.881972,0.495856,,,,,,,,,,,,3.17792,1.08051,-2.8675,50,5.18631,8.78855,-112.93149,2.95121,4.03718,23.69268,-30.80139,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,76e826d0-2ae1-11f1-a596-f94af128d576,76.01487,,,7.58932,,,,,,,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:05:26.99,2026-03-28T13:05:26.9927424-07:00,2026-03-28T20:05:26.9927424Z,,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,001c27d3-63ab-43cb-84fc-850a4a5d61a6,55.02646,-113.98115,11.84634,5.02533,4.3158,-15.4007,-3.25289,8.60969,2.01859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,13:05:43.78,2,3,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Ramirez, Matthew",10321771,Right,VEN_COL,Undefined,1,Top,0,2,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.54871,-1.801545,-4.557234,2356.104443,227.645064,1:30,5.05202,3.14513,6.2213,-18.99623,17.09107,17.21214,1.80073,0.3652,79.26422,-5.460567,-1.46151,0.432363,75.88325,25.466326,38.751485,5639.363086,79.62893,36.54759,75.88926,233.31188,174.31649,49.028637,3.259844,-10.42973,9.84808,-2.81145,50,4.90726,9.49378,-128.02429,-4.55255,-16.94586,31.61812,-16.17323,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,80de8170-2ae1-11f1-a596-f94af128d576,87.17779,37.4307,,9.28449,,,,0.45094,1.66836,-0.39123,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:05:43.78,2026-03-28T13:05:43.7890560-07:00,2026-03-28T20:05:43.7890560Z,LineDrive,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,63035a10-1640-467e-8247-750e95e29240,54.27835,-129.07659,15.80906,5.04982,-4.01428,-8.08661,-3.1368,10.05776,-8.47293,228.1328,0.45075,78.3692,-17.71588,4.45593,-1.09721,0.27996,-0.0686,0.01123,-0.00077,1.66851,47.84957,-17.03351,0.62144,0.11475,-0.08218,0.02445,-0.00268,2E-05,-0.39131,62.89869,-3.25583,-0.00341,0.10926,-0.01725,-0.00348,0.00167,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-03-28,13:06:06.62,2,4,"Collins, Maddox",1000475198,Right,SAN_BAR1,"Ramirez, Matthew",10321771,Right,VEN_COL,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.50891,0.718769,-5.252628,2394.733954,222.594029,1:30,5.03769,3.14803,6.21076,-19.4484,16.43383,13.93642,4.08323,-0.55228,79.6539,-3.007904,-2.753313,0.431133,,,,,,,,,,,,-8.76087,8.61835,-2.75905,50,5.08197,11.17608,-127.95297,1.07979,-14.35719,29.23172,-18.05037,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20260328-PershingPark-1,8e7a3d60-2ae1-11f1-a596-f94af128d576,87.42652,,,8.85501,,,,,,,d210bd2e-3ef3-4333-a62e-70974fa3a3ee,2026-03-28,20:06:06.62,2026-03-28T13:06:06.6288128-07:00,2026-03-28T20:06:06.6288128Z,,v3,,,,"Garcia, Elijah",1000072129,Right,SAN_BAR1,2e9e9529-ffc8-466f-baae-8ed0b646f28f,54.28793,-128.92885,14.61586,5.03586,1.6824,-9.02518,-3.14016,11.65539,-7.1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
