PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,17:03:24.24,1,1,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Staggs, Caleb",1000518026,Right,AUS_COL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.60719,-3.005057,-1.825195,2346.196424,206.732089,1:00,6.37263,1.19878,5.54248,-22.41922,15.09032,7.0417,1.69175,0.07913,80.06999,-7.150146,-0.569362,0.440801,,,,,,,,,,,,-4.03709,8.74028,-1.04537,50,6.09695,3.70973,-125.66265,-7.34421,-6.5157,23.23495,-18.06757,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,f1594380-2af1-11f1-92be-93c46c7cf600,85.50906,,,6.5372,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:03:24.24,2026-03-28T17:03:24.2492416-05:00,2026-03-28T22:03:24.2492416Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,3f95dd36-5db7-4b4e-856f-a6d550a05439,54.95991,-126.57642,11.61747,6.3718,-6.63366,-9.03379,-1.1963,3.96598,-3.25785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,17:03:39.09,1,2,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Staggs, Caleb",1000518026,Right,AUS_COL,Undefined,1,Top,0,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.28536,-0.443132,-1.521633,2223.203026,50.273974,7:45,6.22327,1.19817,4.84787,-56.76094,-7.82996,-11.32095,1.0735,-1.18619,71.16511,-10.601754,-3.520217,0.503458,,,,,,,,,,,,5.14796,-3.29579,-1.03756,50,6.13059,3.43972,-112.08284,-2.93887,6.50145,21.62222,-36.33636,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,fa3358b0-2af1-11f1-92be-93c46c7cf600,74.86709,,,6.12026,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:03:39.09,2026-03-28T17:03:39.0995456-05:00,2026-03-28T22:03:39.0995456Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,6adf9e73-5189-4028-be18-76faf65a00b7,55.65618,-113.16873,10.81111,6.23236,-1.11403,-18.16818,-1.20211,3.11321,3.25073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,17:03:56.87,1,3,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Staggs, Caleb",1000518026,Right,AUS_COL,Undefined,1,Top,0,1,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.0098,0.421728,-0.760396,2316.623759,190.832626,12:15,6.36383,1.31238,5.35785,-21.44273,15.24804,2.7024,4.9725,0.8244,80.50594,-3.57957,-0.280312,0.435963,,,,,,,,,,,,-1.54902,7.86874,-1.24595,50,6.38672,1.57302,-127.75756,0.21321,-2.5692,25.45398,-19.1231,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,04e08030-2af2-11f1-92be-93c46c7cf600,86.45783,,,7.50386,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:03:56.87,2026-03-28T17:03:56.8719360-05:00,2026-03-28T22:03:56.8719360Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,50e1e343-5eee-4365-b51f-cf662b957535,55.14122,-128.77781,12.72699,6.36281,0.9797,-9.56155,-1.31106,1.676,-1.2846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,17:04:16.22,1,4,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Staggs, Caleb",1000518026,Right,AUS_COL,Undefined,1,Top,0,2,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.63473,-1.373055,-1.688667,2348.676966,216.939767,1:15,6.26128,1.27679,5.57387,-24.03734,13.51473,9.29319,2.97483,0.47342,79.55645,-5.838011,-0.030506,0.441051,74.1742,-4.682792,33.092078,3731.977274,,,,23.98398,23.98398,35.104326,0.232908,-5.16642,7.56115,-1.13758,50,6.12728,3.31574,-125.7824,-3.8178,-8.30778,24.62158,-20.01545,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,105871c0-2af2-11f1-92be-93c46c7cf600,85.46059,2.73804,,7.07827,,,,-0.55487,2.73804,-0.21333,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:04:16.22,2026-03-28T17:04:16.2223616-05:00,2026-03-28T22:04:16.2223616Z,GroundBall,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,94afd715-d662-4d00-8cdc-c85b2439c126,54.92778,-126.74333,12.31079,6.26103,-3.03664,-10.00772,-1.27332,3.63998,-4.15389,,-0.55346,90.75829,-17.78577,,,,,,,2.7384,-8.9015,-12.27219,,,,,,,-0.21441,59.26049,3.79025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-28,17:04:51.99,2,1,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Villalobos, Jorge",1000274890,Right,AUS_COL,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.05293,-1.258708,-2.488994,2349.771967,194.355519,12:30,6.33731,1.01465,5.50711,-21.02194,16.25662,3.87008,3.40698,-0.99213,79.95425,-5.180574,-1.800314,0.439441,,,,,,,,,,,,-2.60106,8.88036,-0.79986,50,6.2133,5.32288,-126.31057,-3.46356,-4.22551,24.38638,-17.74757,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,25acf460-2af2-11f1-92be-93c46c7cf600,85.77353,,,7.09869,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:04:51.99,2026-03-28T17:04:51.9977472-05:00,2026-03-28T22:04:51.9977472Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,54c441aa-73fc-4abc-bdca-23199c0a9271,54.99335,-127.27097,12.19319,6.33594,-2.76462,-8.87379,-1.01276,5.48929,-2.11275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,17:05:06.59,2,2,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Villalobos, Jorge",1000274890,Right,AUS_COL,Undefined,1,Top,1,1,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.27495,2.255797,1.172271,2246.181844,66.495558,8:15,6.21698,1.20382,4.43522,-55.97948,-4.94544,-15.2406,3.70552,1.05221,69.5875,-7.776812,-1.492259,0.514164,,,,,,,,,,,,7.68611,-2.50339,-1.31234,50,6.40158,-1.60038,-110.46363,2.22585,9.44752,20.63403,-35.25114,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,2e7444e0-2af2-11f1-92be-93c46c7cf600,73.30827,,,6.68745,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:05:06.59,2026-03-28T17:05:06.5974272-05:00,2026-03-28T22:05:06.5974272Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,9d4d96e7-7963-46a7-ae5f-44b2a5952289,56.06725,-111.5912,10.31701,6.22732,4.1522,-17.62557,-1.21078,-2.11665,4.72376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,17:05:22.46,2,3,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Villalobos, Jorge",1000274890,Right,AUS_COL,Undefined,1,Top,1,2,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.97607,-3.087289,-2.107394,2370.315391,199.419864,12:45,6.22012,1.16838,5.56489,-21.9758,15.42824,5.02477,1.4998,-0.38258,79.93454,-7.16669,-1.211179,0.44018,,,,,,,,,,,,-3.11441,9.0013,-0.98985,50,5.93895,4.42622,-126.07964,-7.52515,-5.02868,24.88602,-17.64002,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,37d600a0-2af2-11f1-92be-93c46c7cf600,85.62957,,,7.04153,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:05:22.46,2026-03-28T17:05:22.4609792-05:00,2026-03-28T22:05:22.4609792Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,e2939da3-c644-4261-ae03-c692a3d20a38,54.93625,-127.05023,12.44301,6.21903,-6.83717,-8.82001,-1.1663,4.62235,-2.51434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,17:05:37.55,2,4,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Villalobos, Jorge",1000274890,Right,AUS_COL,Undefined,1,Top,1,3,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.6752,-2.45844,-1.780062,2412.807315,215.948266,1:15,6.20862,1.18269,5.71397,-20.10761,16.66001,11.19485,2.24011,0.45669,79.98891,-6.238529,0.222565,0.43642,,,,,,,,,,,,-6.19276,9.54174,-1.04066,50,5.99033,3.47256,-127.13336,-6.08583,-10.10209,26.86565,-16.60888,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,40c94320-2af2-11f1-92be-93c46c7cf600,86.36744,,,7.68629,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:05:37.55,2026-03-28T17:05:37.5520256-05:00,2026-03-28T22:05:37.5520256Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,f50df798-7353-43f8-9b3f-0af3ba11dcb1,54.78625,-128.14079,13.43282,6.20686,-5.46301,-8.30444,-1.17798,3.85137,-5.05104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,17:05:52.11,2,5,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Villalobos, Jorge",1000274890,Right,AUS_COL,Undefined,1,Top,1,3,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.77105,-1.637208,-2.556992,2382.156694,212.579085,1:00,6.20392,1.23989,5.58258,-22.60643,15.33906,8.95493,2.78908,-0.4035,78.67168,-5.876822,-0.960547,0.443355,,,,,,,,,,,,-5.33343,8.65374,-1.02597,50,6.04852,5.23413,-125.72838,-4.32552,-8.45468,27.78998,-18.45595,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,497b36e0-2af2-11f1-92be-93c46c7cf600,85.01643,,,8.09936,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:05:52.11,2026-03-28T17:05:52.1104384-05:00,2026-03-28T22:05:52.1104384Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,3f1eef82-8a83-4dd3-9c63-aee2c5ed7517,54.91779,-126.81071,13.89499,6.20299,-3.60672,-9.22798,-1.23623,5.56341,-4.22734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,17:06:13.70,2,6,"Broussard, Jacob",1000102924,Right,CEN_COL1,"Villalobos, Jorge",1000274890,Right,AUS_COL,Undefined,1,Top,1,3,2,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.39728,-3.53399,-2.845373,2369.953935,216.052697,1:15,6.19662,0.99951,5.64082,-21.58497,15.66749,10.48784,1.09271,-0.78317,79.78815,-7.560567,-0.973251,0.439288,,,,,,,,,,,,-6.14115,9.34678,-0.76437,50,5.882,5.83908,-126.49364,-8.51405,-9.91167,26.73301,-17.08858,CEN_COL1,AUS_COL,SheheeStadium,D3,Team,20260328-SheheeStadium-2,565eed70-2af2-11f1-92be-93c46c7cf600,85.80356,,,7.60913,,,,,,,93b0dab2-f262-4a75-810f-0716654ad86a,2026-03-28,22:06:13.70,2026-03-28T17:06:13.7054720-05:00,2026-03-28T22:06:13.7054720Z,,v3,643-144606,643-144438,g0nx3ytw1yxo0z1z,"Bunch, Jackson",10300833,Right,CEN_COL1,eb1ca45d-dc68-421d-b4d9-e5088ca5e7e9,54.85961,-127.51653,13.36651,6.19527,-7.86018,-8.54429,-0.99505,6.21833,-4.95584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
