PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,12:00:20.74,1,1,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Hall, Masin",1000544424,Right,MAR_SCT,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.70621,0.406697,0.371896,2380.926105,185.399766,12:15,6.05158,1.13152,6.99906,-18.23682,15.25048,1.35791,4.90161,1.58279,82.17911,-3.090917,0.620757,0.416497,,,,,,,,,,,,-0.63508,8.33666,-1.15464,50,6.06977,-0.88715,-129.25066,0.48,-1.09023,23.19887,-17.86256,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,6849b4d0-2ac9-11f1-95ba-7d07fd6e82e8,90.49878,,,6.52709,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:00:20.74,2026-03-28T12:00:20.7429120-05:00,2026-03-28T17:00:20.7429120Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,99c42802-afd4-4b2d-8442-808656409c70,53.4992,-129.8772,11.59943,6.05029,0.96242,-8.93128,-1.13107,-0.85771,-0.54511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,12:00:36.52,1,2,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Hall, Masin",1000544424,Right,MAR_SCT,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.98679,-1.541064,-1.845504,2408.744714,186.234083,12:15,6.04719,1.08711,6.88374,-18.99407,15.48745,1.58189,3.05913,-0.46319,81.13076,-5.173822,-1.556365,0.422634,,,,,,,,,,,,-1.31413,8.95189,-0.97087,50,5.94245,4.06772,-128.00527,-3.91289,-2.19638,24.61139,-17.21243,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,71b66d10-2ac9-11f1-95ba-7d07fd6e82e8,89.18452,,,6.85604,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:00:36.52,2026-03-28T12:00:36.5244928-05:00,2026-03-28T17:00:36.5244928Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,b6607868-23e5-4d86-a90e-bd05fbdfac0a,53.61408,-128.69827,12.30569,6.0458,-3.42824,-8.60621,-1.08628,4.12957,-1.09819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,12:00:52.82,1,3,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Hall, Masin",1000544424,Right,MAR_SCT,Undefined,1,Top,0,1,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.31683,-0.513582,-1.425002,2687.70092,127.837194,10:15,6.01091,1.19005,6.47116,-31.72419,7.27032,-7.94394,2.89542,-0.78087,77.13987,-6.432098,-2.86651,0.449442,,,,,,,,,,,,3.79843,4.29449,-1.08643,50,5.96068,3.30127,-121.23554,-2.00942,5.70084,21.83613,-25.72872,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,7b738f40-2ac9-11f1-95ba-7d07fd6e82e8,83.86505,,,6.17695,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:00:52.82,2026-03-28T12:00:52.8296960-05:00,2026-03-28T17:00:52.8296960Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,5d1605cb-9441-4c06-a76c-3ab6d4163e58,54.02759,-121.9588,10.91806,6.01313,-1.15722,-12.86436,-1.19265,3.11245,2.85042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,12:01:11.38,1,4,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Hall, Masin",1000544424,Right,MAR_SCT,Undefined,1,Top,0,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.35873,-1.465288,-3.340832,2730.050702,133.629333,10:30,5.98407,1.3613,6.58702,-31.33415,7.81469,-6.96394,2.02762,-2.28382,76.88862,-7.313974,-4.604028,0.45033,,,,,,,,,,,,2.76244,4.87544,-1.12983,50,5.87055,7.30985,-121.05334,-3.98328,4.10515,23.30636,-24.92888,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,8680ff30-2ac9-11f1-95ba-7d07fd6e82e8,83.69962,,,6.47011,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:01:11.38,2026-03-28T12:01:11.3828352-05:00,2026-03-28T17:01:11.3828352Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,58c6eeef-3263-420b-a9dc-6b1ba8c1eda4,53.9116,-121.80411,11.65318,5.98593,-3.18024,-12.46444,-1.36317,7.17762,2.05258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,12:01:28.61,1,5,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Hall, Masin",1000544424,Right,MAR_SCT,Undefined,1,Top,0,2,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.46689,-0.727168,-0.039722,2459.088882,191.278572,12:30,6.0117,1.13587,6.92209,-16.72965,17.29371,3.25146,3.95546,1.37066,81.4282,-3.95679,0.555419,0.419817,,,,,,,,,,,,-1.73508,9.70197,-1.13429,50,5.95972,-0.02837,-128.80208,-2.01853,-2.93445,25.05905,-15.76542,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,90c41a40-2ac9-11f1-95ba-7d07fd6e82e8,89.78303,,,7.0387,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:01:28.61,2026-03-28T12:01:28.6137344-05:00,2026-03-28T17:01:28.6137344Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,6d80d1c2-a9a5-4fe6-a3bb-30d96aa0273d,53.57537,-129.49582,12.52952,6.00956,-1.58207,-7.88271,-1.13463,0.05287,-1.46723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-28,12:01:47.32,1,6,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Hall, Masin",1000544424,Right,MAR_SCT,Undefined,1,Top,0,3,2,Undefined,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,87.60376,-0.555145,-0.615506,2392.622167,179.1029,12:00,6.02307,1.17021,6.88118,-19.37166,15.33351,-0.22457,3.90287,0.59063,80.7759,-4.26425,-0.656575,0.424003,,,,,,,,,,,,-0.0374,8.60796,-1.13121,50,5.98054,1.37834,-127.55044,-1.71251,-0.06216,24.18995,-17.87507,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,9be58760-2ac9-11f1-95ba-7d07fd6e82e8,88.8967,,,6.82786,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:01:47.32,2026-03-28T12:01:47.3240576-05:00,2026-03-28T17:01:47.3240576Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,d2488d99-59e2-4a0e-a7d6-f91ee7cd84ff,53.61646,-128.23447,12.09497,6.02182,-1.20706,-8.93753,-1.17021,1.3801,-0.03108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,12:02:15.88,2,1,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Evans, Brayden",1000378299,Right,MAR_SCT,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.60406,-1.920691,-1.128273,2415.790041,190.824886,12:15,5.97796,1.03489,6.94387,-16.66465,18.02036,3.25142,2.84021,0.27886,80.77957,-5.133094,-0.532971,0.423879,,,,,,,,,,,,-2.02299,10.42489,-0.96568,50,5.85213,2.39649,-127.48348,-4.65247,-3.35379,24.39524,-14.89124,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,acef19e0-2ac9-11f1-95ba-7d07fd6e82e8,88.92255,,,6.82448,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:02:15.88,2026-03-28T12:02:15.8856192-05:00,2026-03-28T17:02:15.8856192Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,ef6f0537-7d52-4982-8091-b31e488ccf6e,53.55432,-128.16183,12.19762,5.97574,-4.2384,-7.44562,-1.03361,2.48975,-1.6769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,12:02:32.34,2,2,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Evans, Brayden",1000378299,Right,MAR_SCT,Undefined,1,Top,0,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.00116,-1.209007,-2.198118,2619.41939,147.286206,11:00,5.95567,1.02777,6.60213,-28.78265,11.10201,-6.44729,2.4486,-1.52412,76.36418,-6.59086,-3.369871,0.454542,,,,,,,,,,,,2.88008,6.48548,-0.87547,50,5.86108,4.80006,-119.32159,-3.30077,4.21168,19.88126,-22.69007,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,b6d37320-2ac9-11f1-95ba-7d07fd6e82e8,82.92394,,,5.63698,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:02:32.34,2026-03-28T12:02:32.3495936-05:00,2026-03-28T17:02:32.3495936Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,2a559618-8d6b-4252-b84a-02046f1f9741,53.89701,-119.96915,9.94063,5.95655,-2.56173,-11.34503,-1.02958,4.66287,2.10584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-28,12:03:03.16,2,3,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Evans, Brayden",1000378299,Right,MAR_SCT,Undefined,1,Top,0,1,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.86574,0.730608,-0.801807,2573.522621,32.856923,7:00,6.08886,1.04934,6.09057,-57.17039,-11.59446,-8.35851,2.00057,-0.38892,72.07617,-9.739372,-2.312036,0.485891,,,,,,,,,,,,4.1217,-5.86217,-0.98309,50,6.11475,1.8777,-113.29489,-0.32819,5.35614,20.73517,-39.79193,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,c9253d10-2ac9-11f1-95ba-7d07fd6e82e8,77.57379,,,5.78957,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:03:03.16,2026-03-28T12:03:03.1601664-05:00,2026-03-28T17:03:03.1601664Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,060f78e0-8e11-412e-8c24-cf2d8c41934d,54.41215,-114.09954,10.36759,6.09752,1.21598,-19.89597,-1.05193,1.66985,2.67807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,12:03:22.88,2,4,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Evans, Brayden",1000378299,Right,MAR_SCT,Undefined,1,Top,0,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.0718,-0.115134,-0.676291,2410.372045,183.561721,12:00,6.03185,1.30206,6.97677,-18.36918,15.91926,0.92854,4.39636,0.7643,80.96413,-3.653834,-0.506184,0.421449,,,,,,,,,,,,-0.66976,8.83178,-1.26065,50,6.01795,1.48021,-128.22288,-0.68843,-1.12147,25.07973,-17.38575,EAS_TEX,MAR_SCT,TIGERBALLPARK,D3,Team,20260328-TIGERBALLPARK-1,d4e18aa0-2ac9-11f1-95ba-7d07fd6e82e8,89.43531,,,7.10766,,,,,,,9fe04ded-b818-4ba0-9ea7-ca6ef0b2e064,2026-03-28,17:03:22.88,2026-03-28T12:03:22.8800000-05:00,2026-03-28T17:03:22.8800000Z,,v3,643-144807,643-145282,9316,"Nolen, Kahne",1000460703,Right,EAS_TEX,a853b98c-ca33-48bf-a2b4-8470f307fc25,53.52035,-128.90961,12.53987,6.03028,-0.21238,-8.69288,-1.3016,1.51092,-0.56073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
