PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-29,12:06:22.20,1,1,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.79925,-1.202035,-3.267335,1850.494167,246.841683,2:15,5.63101,1.48636,5.1312,-28.51604,9.44552,18.80107,2.12062,-0.0273,79.10173,-6.463669,0.056702,0.443449,,,,,,,,,,,,-10.39044,5.48874,-1.19471,50,5.49644,6.38135,-126.99679,-3.72667,-16.70448,29.79265,-23.34994,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,3b223ed0-2b89-11f1-b993-456111ef689f,84.99841,,,8.69752,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:06:22.20,2026-03-29T12:06:22.2092800-04:00,2026-03-29T16:06:22.2092800Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,dbeb1c39-128a-4474-b3c4-c90c27f809a3,55.36661,-128.24958,14.89633,5.6325,-2.7448,-11.67497,-1.47782,7.08378,-8.35224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-29,12:06:34.24,1,2,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Calandrelli, Paul",1000143071,Right,RHO_RAM,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,79.86681,1.382468,-1.608182,2269.021239,127.359401,10:15,5.44666,1.55774,4.86893,-38.20593,8.26906,-8.55532,3.57191,-0.67751,71.67207,-5.628318,-3.112991,0.49066,65.12813,-6.337431,-9.534894,2923.172979,,,,22.95039,21.95243,-7.177857,0.231534,3.69106,4.07162,-1.39164,50,5.55103,3.60825,-115.51853,1.43709,4.88366,25.70082,-26.78685,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,42561e10-2b89-11f1-b993-456111ef689f,76.8198,3.60125,,8.19474,,,,1.67823,3.60125,0.66686,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:06:34.24,2026-03-29T12:06:34.2430000-04:00,2026-03-29T16:06:34.2430000Z,GroundBall,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,45af0d85-2368-481e-ac92-3f587d214dac,55.62805,-116.76396,12.85041,5.44994,2.73515,-13.39343,-1.56076,3.37159,2.44183,358.736612,1.67839,93.61624,-10.88223,,,,,,,3.60258,-10.61984,-21.3592,,,,,,,0.66682,-15.72368,1.98006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-03-29,12:07:03.69,2,1,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.57947,-1.136812,-2.635527,2058.223011,166.805255,11:30,5.54551,1.56416,5.50119,-32.44746,7.81185,-1.49319,1.77701,-1.02706,76.56023,-7.126603,-2.901333,0.456672,,,,,,,,,,,,-0.09272,4.70784,-1.33266,50,5.42439,5.70073,-122.49309,-3.54546,-0.13871,27.65768,-25.1308,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,53dbbe60-2b89-11f1-b993-456111ef689f,82.53719,,,8.01924,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:07:03.69,2026-03-29T12:07:03.6972032-04:00,2026-03-29T16:07:03.6972032Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,0afa8225-70de-4367-8b21-194a159e00e2,54.99704,-123.61622,13.82884,5.54764,-2.52494,-12.5654,-1.56427,5.70636,-0.06935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-29,12:07:17.78,2,2,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.92068,0.992706,-1.985153,2074.31367,161.599103,11:30,5.61269,1.60157,5.1808,-32.85372,8.56445,-2.35118,3.80958,-0.46296,75.55276,-5.073028,-2.40109,0.463198,,,,,,,,,,,,0.52028,4.39843,-1.41511,50,5.68066,4.31513,-121.4638,0.93251,0.76534,27.1906,-25.70371,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,5c449b30-2b89-11f1-b993-456111ef689f,81.37431,,,8.36792,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:07:17.78,2026-03-29T12:07:17.7868288-04:00,2026-03-29T16:07:17.7868288Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,a63b0d22-e6a0-410f-bf5e-c9d23689a70a,55.31403,-122.64761,13.5953,5.6157,2.05159,-12.85186,-1.60225,4.28181,0.38267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-29,12:07:34.18,2,3,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,1,1,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.3866,-0.94964,-2.804688,2060.554805,203.851661,12:45,5.57619,1.46416,5.45624,-31.76848,7.69512,2.78921,2.03872,-0.93097,77.40957,-6.810228,-2.308643,0.452137,,,,,,,,,,,,-2.2813,4.57736,-1.21867,50,5.47084,5.93865,-123.6648,-3.16463,-3.49101,27.38309,-25.16948,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,660bcf80-2b89-11f1-b993-456111ef689f,83.36514,,,7.97703,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:07:34.18,2026-03-29T12:07:34.1845504-04:00,2026-03-29T16:07:34.1845504Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,ead75ead-ba0d-4199-a1ad-29c8f34e0779,55.04124,-124.77608,13.69154,5.57854,-2.14317,-12.58474,-1.46256,6.08032,-1.74551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-29,12:07:51.18,2,4,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.38511,0.676523,-0.89228,2056.002493,211.498806,1:00,5.88859,1.32002,4.89971,-17.72611,19.74292,11.14776,5.05138,1.405,78.93634,-2.719601,1.071237,0.440563,,,,,,,,,,,,-5.72859,9.8391,-1.24229,50,5.94119,1.44889,-129.09556,0.96042,-9.36748,34.63863,-16.08495,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,7028c4f0-2b89-11f1-b993-456111ef689f,85.55523,,,10.44877,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:07:51.18,2026-03-29T12:07:51.1816192-04:00,2026-03-29T16:07:51.1816192Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,48b2e8ae-8ab5-4958-8b1c-1e1988a7cdd2,55.59052,-130.58698,17.31932,5.88493,1.65298,-8.04247,-1.31336,1.85222,-4.68374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-29,12:08:05.58,2,5,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,1,2,2,Cutter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.87573,-0.708154,-1.368006,2115.199836,242.620834,2:00,5.56826,1.64504,5.46913,-32.63895,6.58406,9.87603,2.18539,1.18752,77.25209,-6.74844,0.392216,0.450756,,,,,,,,,,,,-5.40866,3.99107,-1.53158,50,5.48413,2.53659,-124.38852,-2.69367,-8.30694,29.53912,-26.04436,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,78bf6880-2b89-11f1-b993-456111ef689f,83.62042,,,8.62363,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:08:05.58,2026-03-29T12:08:05.5805952-04:00,2026-03-29T16:08:05.5805952Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,5ecfd43a-322f-4a71-b3df-0eb8b83d9ab6,55.02688,-125.57661,14.76956,5.5714,-1.64615,-13.02218,-1.64032,2.87071,-4.15347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-29,12:08:24.54,2,6,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Penney, Scott",10101787,Right,RHO_RAM,Undefined,1,Top,1,3,2,Cutter,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,84.88523,-1.724619,-2.471913,2025.946883,226.945471,1:30,5.61019,1.25548,5.69906,-31.78214,7.91512,6.92882,1.35259,-0.47202,76.80288,-7.614204,-1.232572,0.453473,,,,,,,,,,,,-4.31158,5.00654,-1.05226,50,5.44577,5.01778,-122.93891,-4.77001,-6.49683,27.8813,-24.63003,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,84110d60-2b89-11f1-b993-456111ef689f,83.11941,,,8.08236,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:08:24.54,2026-03-29T12:08:24.5413888-04:00,2026-03-29T16:08:24.5413888Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,931b07c9-b08f-4734-ba81-8c9e406a8f12,54.79785,-124.02224,13.94065,5.61251,-3.81301,-12.31502,-1.25213,5.27021,-3.24842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-29,12:09:27.85,3,1,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,0,0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8246,0.131175,-2.12531,1914.412426,241.522686,2:00,5.63427,1.60287,5.04836,-25.88954,12.14477,19.79576,3.60062,1.24697,78.86761,-4.6781,1.37094,0.443873,,,,,,,,,,,,-10.41064,6.378,-1.41657,50,5.62684,3.77501,-127.11377,-0.65458,-16.7504,30.09527,-21.91206,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,a9c65f60-2b89-11f1-b993-456111ef689f,84.91709,,,8.957,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:09:27.85,2026-03-29T12:09:27.8560256-04:00,2026-03-29T16:09:27.8560256Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,9ff31dda-c761-4437-97a2-688b27a4464f,55.44767,-128.39707,15.04763,5.63483,0.27978,-10.95603,-1.59277,4.48927,-8.3752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-29,12:09:45.57,3,2,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Moroney, Reece",814964,Right,RHO_RAM,Undefined,1,Top,1,1,0,TwoSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.12739,-0.061955,-2.448097,1851.521849,241.142988,2:00,5.61699,1.65856,5.04186,-27.14246,11.44528,18.2182,3.29662,0.86596,78.43066,-5.087872,0.768455,0.447091,,,,,,,,,,,,-9.74627,6.09744,-1.44,50,5.59004,4.53673,-126.10879,-1.13216,-15.4686,29.10116,-22.49658,RIC_SPI,RHO_RAM,PittFieldUOR,D1,A10,20260329-PittFieldUOR-1,b45cca90-2b89-11f1-b993-456111ef689f,84.30594,,,8.69673,,,,,,,286fa203-5957-48b5-a5de-92543e02abea,2026-03-29,16:09:45.57,2026-03-29T12:09:45.5711744-04:00,2026-03-29T16:09:45.5711744Z,,v3,471420,471418,11918,"Winebrenner, Dylan",1000127404,Right,RIC_SPI,c38acc48-42fb-42d8-8fae-14a3256d5620,55.45472,-127.36132,14.55058,5.61793,-0.1639,-11.24829,-1.64959,5.2025,-7.7343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
