PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:02:22.14,1,1,"Radbill, Henry",10094769,Left,RUT_SCA,"Brown, Michael",1000182043,Right,HOF_PRI,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.17897,1.544829,-1.347028,2287.319841,295.590244,3:45,5.03034,-1.43779,5.43875,-55.34499,-5.22429,14.05493,1.86556,-1.52812,69.35055,-8.519244,1.157977,0.509542,,,,,,,,,,,,-7.43319,-2.57406,1.54698,50,5.12865,2.03846,-109.20303,1.12535,-8.99688,18.81195,-35.28962,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,4b86e760-2d4d-11f1-ba45-a548929bdee0,73.97318,,,5.82842,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:02:22.14,2026-03-31T18:02:22.1410000-04:00,2026-03-31T22:02:22.1410000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,39f87ea1-542d-4d5b-8434-c82ee074d82e,55.06285,-110.07173,9.40597,5.03906,2.75495,-17.64481,1.44325,2.45392,-4.49844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,18:02:35.57,1,2,"Radbill, Henry",10094769,Left,RUT_SCA,"Brown, Michael",1000182043,Right,HOF_PRI,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.35475,-2.493958,2.308158,2359.375098,132.401112,10:30,5.08206,-1.43466,5.87559,-24.16234,10.70489,-10.5763,0.74889,-0.17113,82.38467,-6.974748,0.410247,0.424991,,,,,,,,,,,,6.05284,6.45422,1.25431,50,4.86612,-4.79198,-129.71348,-6.46132,10.3745,25.60785,-21.11156,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,53742b90-2d4d-11f1-ba45-a548929bdee0,88.68988,,,6.97009,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:02:35.57,2026-03-31T18:02:35.5720000-04:00,2026-03-31T22:02:35.5720000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,9ab1a24c-0b42-4be6-8cc2-06445805ecbf,54.62445,-130.62324,12.80392,5.08235,-5.71129,-10.55578,1.43111,-5.16055,5.18725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,18:02:54.45,1,3,"Radbill, Henry",10094769,Left,RUT_SCA,"Brown, Michael",1000182043,Right,HOF_PRI,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.1914,-1.971032,1.844295,2324.284623,116.426894,10:00,5.09648,-1.25932,6.08803,-28.35565,6.5604,-10.96272,0.90853,-0.46622,81.74967,-7.236744,-0.132483,0.425289,,,,,,,,,,,,6.21347,4.26847,1.1229,50,4.9293,-3.72813,-129.51678,-5.39928,10.5328,27.56272,-24.93834,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,5eb1d340-2d4d-11f1-ba45-a548929bdee0,88.62785,,,7.44173,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:02:54.45,2026-03-31T18:02:54.4500000-04:00,2026-03-31T22:02:54.4500000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,eb44ccab-1317-4db1-975c-581d3a017781,54.41153,-130.45223,13.78136,5.09818,-4.5529,-12.46917,1.2555,-4.0856,5.2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,18:03:11.74,1,4,"Radbill, Henry",10094769,Left,RUT_SCA,"Brown, Michael",1000182043,Right,HOF_PRI,Undefined,1,Top,0,3,0,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.17909,-0.140115,1.385173,2334.61524,90.413532,9:00,5.07903,-1.40125,6.00193,-34.84041,1.35949,-12.57205,2.0458,-1.16523,79.84201,-6.607158,-0.878327,0.433037,,,,,,,,,,,,6.86138,1.15075,1.29895,50,5.04929,-2.56298,-127.97163,-1.5221,11.22197,29.79539,-30.29197,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,69087650-2d4d-11f1-ba45-a548929bdee0,87.04205,,,8.33708,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:03:11.74,2026-03-31T18:03:11.7410000-04:00,2026-03-31T22:03:11.7410000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,1a8b4519-dacf-4651-9dc6-fe0a8819d2e2,54.49505,-129.01396,14.89769,5.084,-0.4624,-15.14598,1.39548,-2.95556,5.61098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,18:03:43.19,2,1,"Radbill, Henry",10094769,Left,RUT_SCA,"Devito, JJ",1000120207,Right,HOF_PRI,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.47933,-1.349397,2.914087,2428.762438,134.828094,10:30,5.05053,-1.45613,6.01207,-20.34848,13.80595,-12.74918,2.10292,0.18332,82.35968,-5.192327,0.623579,0.420625,,,,,,,,,,,,7.36918,7.82327,1.23409,50,4.93341,-6.1343,-131.23796,-3.72862,12.79998,28.82803,-18.58535,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,7bc9a3e0-2d4d-11f1-ba45-a548929bdee0,89.61059,,,8.11965,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:03:43.19,2026-03-31T18:03:43.1990000-04:00,2026-03-31T22:03:43.1990000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,7abf079c-b262-438d-a2ac-31b21fb27816,54.4852,-132.21952,14.41402,5.04959,-3.09581,-9.29267,1.45038,-6.57012,6.39999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,18:04:23.76,2,2,"Radbill, Henry",10094769,Left,RUT_SCA,"Devito, JJ",1000120207,Right,HOF_PRI,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.6172,-1.437433,3.432638,1454.005823,134.037899,10:30,4.9372,-1.65577,6.53116,-31.93502,6.37296,-5.30095,0.95471,1.05508,77.42617,-7.412553,2.471138,0.445467,,,,,,,,,,,,3.80823,4.11866,1.41953,50,4.82352,-7.17646,-122.80395,-4.01374,5.78554,25.48945,-25.91688,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,93f3dbc0-2d4d-11f1-ba45-a548929bdee0,84.61322,,,7.19103,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:04:23.76,2026-03-31T18:04:23.7660000-04:00,2026-03-31T22:04:23.7660000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,a55ca9d6-9471-49c2-a7f7-d26f12e12b31,53.96815,-123.62484,12.74472,4.93934,-3.17908,-12.95844,1.65365,-7.36278,2.89277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,18:04:42.64,2,3,"Radbill, Henry",10094769,Left,RUT_SCA,"Devito, JJ",1000120207,Right,HOF_PRI,Undefined,1,Top,0,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.97332,0.179668,2.264862,2455.85148,115.179445,9:45,5.02951,-1.57156,5.96436,-27.80537,6.87374,-12.12859,2.87912,-0.48117,81.61706,-5.01262,0.085988,0.423844,78.86732,29.780992,139.500983,2656.685539,,,,,60.07763,,,6.90189,3.82158,1.39863,50,5.02837,-4.6469,-130.56408,-0.53642,11.81385,29.64553,-25.63273,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,9f38fd80-2d4d-11f1-ba45-a548929bdee0,88.93009,28.77225,,8.35626,,,,0.28921,2.55627,0.73659,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:04:42.64,2026-03-31T18:04:42.6470000-04:00,2026-03-31T22:04:42.6470000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,154c430f-9183-4feb-9a5c-6818b6d6e050,54.53334,-131.58938,14.82277,5.03159,0.3501,-12.81636,1.56641,-5.05548,5.90693,,0.28921,-76.34206,3.41443,1.0055,-0.31444,-0.05056,0.26141,-0.24845,0.09154,2.55627,57.4527,-27.81034,3.59033,-0.72887,0.02505,0.19115,-0.18845,0.06986,0.73659,65.2002,-13.70508,2.49976,-0.49281,-0.03989,0.20444,-0.192,0.07058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-03-31,18:05:09.86,2,4,"Radbill, Henry",10094769,Left,RUT_SCA,"Devito, JJ",1000120207,Right,HOF_PRI,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.95813,3.358501,-0.556238,2438.37482,277.620337,3:15,4.90086,-1.63195,5.59201,-46.15479,-0.22898,13.53666,4.19425,-1.02327,71.31013,-5.147737,1.857538,0.487753,,,,,,,,,,,,-6.95225,-0.63469,1.6709,50,5.1597,0.56535,-114.36061,5.1696,-9.09981,23.38108,-33.00481,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,af78d760-2d4d-11f1-ba45-a548929bdee0,77.27775,,,7.648,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:05:09.86,2026-03-31T18:05:09.8630000-04:00,2026-03-31T22:05:09.8630000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,72cc5a37-b9d4-4deb-a3d4-9ca43c2534e5,54.905,-115.35909,11.69054,4.90885,6.57904,-16.50241,1.63845,0.95395,-4.54991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,18:05:29.76,2,5,"Radbill, Henry",10094769,Left,RUT_SCA,"Devito, JJ",1000120207,Right,HOF_PRI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.95496,-1.098395,3.029407,2276.263978,157.802169,11:15,5.07862,-1.21219,5.98831,-16.72899,17.52269,-6.63504,2.665,1.04515,81.73997,-4.317835,1.838935,0.421223,,,,,,,,,,,,4.38181,9.70485,0.97664,50,4.98273,-6.68203,-131.73535,-3.00012,7.5708,32.36997,-15.40625,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,bb4e2b30-2d4d-11f1-ba45-a548929bdee0,89.48327,,,9.21499,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:05:29.76,2026-03-31T18:05:29.7630000-04:00,2026-03-31T22:05:29.7630000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,1aa0f2b1-5326-4dc7-9eef-b09623708725,54.50666,-132.83811,16.18499,5.07599,-2.47527,-7.70313,1.20867,-6.93995,3.7854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,18:05:52.89,2,6,"Radbill, Henry",10094769,Left,RUT_SCA,"Devito, JJ",1000120207,Right,HOF_PRI,Undefined,1,Top,0,2,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.10501,-0.548289,1.879794,2322.226478,120.118637,10:00,5.04628,-1.34613,5.81966,-27.3199,6.73429,-9.59508,2.25957,-0.39737,82.60406,-5.633552,0.159688,0.420007,,,,,,,,,,,,5.48422,3.94559,1.19809,50,4.98532,-3.9195,-132.18006,-2.22853,9.60444,30.83412,-25.26418,RUT_SCA,HOF_PRI,BaintonField,D1,BIG10,20260331-BaintonField-2,c9127dc0-2d4d-11f1-ba45-a548929bdee0,89.74237,,,8.50096,,,,,,,57bd1129-24ee-4028-bc18-db2917345616,2026-03-31,22:05:52.89,2026-03-31T18:05:52.8980000-04:00,2026-03-31T22:05:52.8980000Z,,v3,471422,471312,6fcaac1fa94e416e9d030145f01f93be,"Chatelle, Matthew",836042,Right,RUT_SCA,3321141b-d891-4b97-bde2-321046e000b0,54.67803,-133.26686,15.41706,5.04817,-1.33806,-12.63209,1.3422,-4.25802,4.80222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
