PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:37:28.84,1,1,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Essex, Ezra",816098,Right,OKL_COW,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.61113,-2.379357,4.337848,2076.341811,123.289275,10:00,5.88676,-2.07561,6.41466,-23.74871,7.36894,-9.86024,1.71255,1.0986,86.55976,-6.805171,2.55658,0.40149,,,,,,,,,,,,6.24902,4.72642,1.7693,50,5.70517,-9.90233,-135.78148,-6.42967,11.78316,26.9415,-23.26196,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,94ce2340-2d5a-11f1-9f00-9d44cccafee1,93.88139,,,7.05136,,,,,,,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:37:28.84,2026-03-31T18:37:28.8448000-05:00,2026-03-31T23:37:28.8448000Z,,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,f09d844b-2b10-4cee-9f04-0582d0c4587c,54.08901,-136.5904,13.47075,5.88774,-5.73123,-11.63098,2.07193,-10.25612,5.89158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,18:37:42.96,1,2,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Essex, Ezra",816098,Right,OKL_COW,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.7242,-2.489934,3.621525,2022.241181,116.778989,10:00,5.91057,-1.97467,6.25716,-22.60147,8.48701,-15.09276,1.72495,0.11168,86.8719,-6.696135,0.898161,0.401302,,,,,,,,,,,,8.73422,5.28449,1.71279,50,5.71402,-7.99072,-136.07561,-6.68012,16.59285,26.16602,-22.13485,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,9d3db6d0-2d5a-11f1-9f00-9d44cccafee1,93.9254,,,6.8523,,,,,,,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:37:42.96,2026-03-31T18:37:42.9609984-05:00,2026-03-31T23:37:42.9609984Z,,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,c13de8cc-ee2c-4a6f-8474-6e9e77944795,54.24731,-136.88989,13.08301,5.91118,-5.99129,-11.06742,1.96949,-8.50708,8.29642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,18:37:57.88,1,3,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Essex, Ezra",816098,Right,OKL_COW,Undefined,1,Top,0,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.23347,-1.549266,3.981053,1995.00277,120.422601,10:00,5.92056,-2.10496,6.11652,-19.58119,11.58548,-18.09513,2.85251,0.07399,86.40065,-5.231199,0.728125,0.401806,,,,,,,,,,,,10.48737,6.69213,1.80894,50,5.79114,-8.75363,-136.71723,-4.34699,19.92795,29.02847,-19.45774,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,a61b4e70-2d5a-11f1-9f00-9d44cccafee1,93.80751,,,7.83282,,,,,,,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:37:57.88,2026-03-31T18:37:57.8897920-05:00,2026-03-31T23:37:57.8897920Z,,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,da91ea1d-e7be-4d5a-878b-4c054e923387,54.38793,-137.64575,14.51424,5.92023,-3.72461,-9.72887,2.09913,-9.39105,9.96397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,18:38:25.86,1,4,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Essex, Ezra",816098,Right,OKL_COW,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2713,-2.717803,2.83803,1336.603216,116.945181,10:00,5.62848,-2.38761,6.01944,-29.37013,5.81654,-9.13438,0.65846,-0.51776,81.56908,-8.153681,1.194285,0.426934,,,,,,,,,,,,5.56528,4.13831,2.17004,50,5.39906,-6.04037,-129.39758,-7.14094,9.37538,28.61602,-25.20261,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,b6d2a240-2d5a-11f1-9f00-9d44cccafee1,88.28638,,,7.70222,,,,,,,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:38:25.86,2026-03-31T18:38:25.8687488-05:00,2026-03-31T23:38:25.8687488Z,,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,08b444a7-8f0f-49ba-9573-8ce5b2c79150,54.4827,-130.38515,14.30801,5.63049,-6.27116,-12.6013,2.38408,-6.36393,4.68769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,18:38:42.01,1,5,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Essex, Ezra",816098,Right,OKL_COW,Undefined,1,Top,0,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.03864,-1.692532,1.742625,1971.977967,118.229991,10:00,5.89344,-2.08606,6.23493,-22.23052,9.28642,-15.25414,2.47828,-1.74908,85.20031,-5.881634,-1.014198,0.404058,,,,,,,,,,,,8.37056,5.6728,1.96281,50,5.75618,-3.47818,-136.45479,-4.76295,15.60556,33.16567,-21.59802,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,c06a3b10-2d5a-11f1-9f00-9d44cccafee1,93.28477,,,8.83834,,,,,,,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:38:42.01,2026-03-31T18:38:42.0107776-05:00,2026-03-31T23:38:42.0107776Z,,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,e010932f-b38c-40da-be16-e376fec94aab,54.26461,-137.48741,16.58284,5.89401,-4.09049,-10.79901,2.07867,-3.96407,7.80278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,18:38:57.58,1,6,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Essex, Ezra",816098,Right,OKL_COW,Undefined,1,Top,0,3,2,Sinker,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,94.4965,-1.377846,3.363473,2011.286952,116.084992,9:45,5.91074,-2.09742,6.28556,-23.5145,7.30933,-12.97583,2.67885,-0.07518,86.59739,-5.777732,1.020734,0.39959,94.03799,19.359378,13.160185,3034.518382,105.6579,33.05733,30.60055,306.56499,296.45222,20.747522,3.394964,7.68741,4.4637,1.85532,50,5.79751,-7.51963,-137.18314,-4.0918,14.6717,29.91632,-23.65493,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,c9acd610-2d5a-11f1-9f00-9d44cccafee1,94.32772,38.51328,,7.89912,,,,0.80889,2.68214,0.06438,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:38:57.58,2026-03-31T18:38:57.5884288-05:00,2026-03-31T23:38:57.5884288Z,LineDrive,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,0ae42f2d-bed4-4f4e-859b-6b66f76aa73b,54.21762,-138.09984,14.95816,5.91178,-3.36696,-11.82747,2.09263,-7.9692,7.33585,222.601021,0.80883,126.70817,-23.42856,5.67091,-1.22287,0.24057,-0.04254,0.00547,-0.00031,2.68215,45.7204,-14.92616,-0.07341,0.27922,-0.0765,0.00901,0.00098,-0.00026,0.06437,29.62636,3.35823,-1.86073,0.61856,-0.15698,0.03041,-0.00377,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-31,18:39:27.91,2,1,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Thompson, Brock",815558,Left,OKL_COW,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.46838,-1.066451,2.202602,1915.611694,130.907787,10:15,5.96368,-1.98666,6.20416,-21.03159,9.92162,-10.32064,3.22579,-0.81252,86.33071,-5.022482,0.34014,0.400428,,,,,,,,,,,,5.94067,5.73744,1.82596,50,5.87288,-4.82955,-137.20851,-3.24817,11.31869,30.51459,-21.24251,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,dbc56790-2d5a-11f1-9f00-9d44cccafee1,94.13043,,,8.13767,,,,,,,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:39:27.91,2026-03-31T18:39:27.9176192-05:00,2026-03-31T23:39:27.9176192Z,,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,3af87403-8840-4d55-823a-69c4ee903d13,54.2971,-138.16086,15.2573,5.96391,-2.5852,-10.62126,1.9822,-5.1828,5.65934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,18:39:43.23,2,2,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Thompson, Brock",815558,Left,OKL_COW,Undefined,1,Top,1,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.99836,0.00948,1.736617,2157.798911,274.964795,3:15,5.77613,-2.35495,5.66057,-39.0749,0.61602,6.13555,2.52873,-0.22364,77.61317,-7.136558,2.833328,0.453437,,,,,,,,,,,,-2.66288,0.675,2.204,50,5.75211,-3.95008,-122.05903,-1.34595,-4.04168,22.65603,-31.14954,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,e4f0f820-2d5a-11f1-9f00-9d44cccafee1,83.12607,,,6.3852,,,,,,,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:39:43.23,2026-03-31T18:39:43.2326144-05:00,2026-03-31T23:39:43.2326144Z,,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,dc6aaa9c-a35c-47cd-9a23-d98eac31dbf6,54.84246,-122.95458,11.32802,5.78097,-0.11467,-15.57477,2.35698,-3.79032,-2.02084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,18:39:57.96,2,3,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Thompson, Brock",815558,Left,OKL_COW,Undefined,1,Top,1,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.06415,-1.221054,2.848971,1948.424601,124.914502,10:15,5.90906,-2.03755,6.39022,-22.99989,7.98465,-10.05473,2.86767,-0.25269,86.13162,-5.54042,1.029131,0.40063,97.1301,10.414635,-49.449513,3937.28487,66.70929,14.43594,-87.46297,221.56168,191.61248,-56.607022,2.025428,6.03851,4.79965,1.83694,50,5.8105,-6.38291,-136.62157,-3.66144,11.41867,29.96354,-23.098,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,edaf9610-2d5a-11f1-9f00-9d44cccafee1,94.0828,14.45343,,7.93253,,,,0.12143,2.78961,0.2035,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:39:57.96,2026-03-31T18:39:57.9674624-05:00,2026-03-31T23:39:57.9674624Z,LineDrive,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,a3f52c90-9d4f-4344-8931-abb23d26c627,54.11215,-137.52048,14.98177,5.90995,-2.9685,-11.549,2.03357,-6.72547,5.70933,,0.12143,91.08796,-21.83706,4.6967,-1.05692,0.2519,-0.06431,0.01444,-0.00173,2.7896,25.75221,-15.20269,1.27704,-0.15604,-0.17385,0.18486,-0.07652,0.01164,0.2035,-106.4603,10.8661,-2.42637,0.49105,-0.06446,-0.01573,0.01115,-0.00182,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-03-31,18:40:17.12,2,4,"VanDeHatert, Aiden",1000527399,Left,DAL_PAT,"Thompson, Brock",815558,Left,OKL_COW,Undefined,1,Top,1,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.93186,-0.454753,2.589296,2213.205468,312.225517,4:30,5.75308,-2.21542,5.43933,-41.27057,-2.00134,3.48166,1.88758,0.50108,78.43829,-7.949122,3.208814,0.451022,,,,,,,,,,,,-1.06732,-0.5385,1.98364,50,5.68408,-5.72173,-123.29133,-2.49691,-1.64952,23.57989,-33.00631,DAL_PAT,OKL_COW,DallasBaptist,D1,CUSA,20260331-DallasBaptist-2,f922a5a0-2d5a-11f1-9f00-9d44cccafee1,83.57118,,,6.49357,,,,,,,836507ed-5c53-45cb-8f4e-68b2580435a3,2026-03-31,23:40:17.12,2026-03-31T18:40:17.1230000-05:00,2026-03-31T23:40:17.1230000Z,,v3,471502,4245,8767,"Rose, Mac",814779,Right,DAL_PAT,02dd5a32-e960-49d2-bf87-660f500088ca,55.06408,-124.25608,11.78994,5.75862,-1.14649,-16.50315,2.21636,-5.65424,-0.82476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.56325,2.537546,1.661594,0.875952,-0.22922,1.65376,-0.59363,2.57597,4.91633,-3.34064,77.70972,7.93228,-47.10924,2.63836,91.85991,-6.99161,4.96608,16.31408,-14.727,-3.39973,-54.91686,5.69239,High,High,High,,,High,High,High
