PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:32:41.38,1,1,"Hayes, Adam",833404,Right,TEX_RAI,"Payne, Zandt",822830,Left,ABI_WIL,Undefined,1,Top,0,0,0,Cutter,Slider,InPlay,Undefined,Popup,Out,1,0,,84.77181,-0.844593,-1.625773,2523.609073,157.68886,11:15,6.14264,1.2867,5.8366,-33.17663,5.33465,-1.75185,2.59252,-0.3708,78.67625,-6.942029,-1.940012,0.446648,70.95801,45.38494,34.248215,3508.238792,87.39114,78.65193,66.80406,231.94274,226.58434,38.763537,4.649197,0.50346,3.24823,-1.15304,50,6.05392,3.56713,-123.26992,-2.92568,0.78352,21.89302,-27.11915,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,4fe5c1c0-2d5a-11f1-a933-edf124598eb9,84.3896,80.29433,,6.09556,,,,1.35267,2.56779,0.32474,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:32:41.38,2026-03-31T18:32:41.3885440-05:00,2026-03-31T23:32:41.3885440Z,Popup,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,053cc984-e487-41b4-9eee-42b8c835208d,54.66578,-124.0958,10.94651,6.14499,-1.90264,-13.55958,-1.28705,3.53757,0.39176,200.382137,1.35471,60.36394,-11.8218,2.54105,0.08874,-0.28908,0.09543,-0.01361,0.00074,2.56505,74.14032,-20.1532,1.82669,-0.54212,0.14183,-0.01773,0.00028,8E-05,0.32543,41.11865,-4.07067,0.5975,0.02763,-0.05107,0.0146,-0.00188,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-03-31,18:33:25.12,2,1,"Hayes, Adam",833404,Right,TEX_RAI,"Cardenas, Diego",830790,Left,ABI_WIL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.30115,4.0237,0.989326,2285.475491,32.853041,7:00,6.2368,1.08281,5.78473,-65.73275,-13.50296,-9.73532,4.50936,1.19206,67.36157,-7.987505,-0.754261,0.520152,,,,,,,,,,,,5.20138,-7.41874,-1.15856,50,6.52974,-1.48776,-106.36595,5.42846,5.96671,18.0191,-40.68439,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,6a040170-2d5a-11f1-a933-edf124598eb9,72.46422,,,5.93958,,,,,,,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:33:25.12,2026-03-31T18:33:25.1202560-05:00,2026-03-31T23:33:25.1202560Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,6f7df5a5-4b66-4c32-97e7-0c188addc68d,54.72076,-107.16269,9.00955,6.24995,7.22739,-20.3422,-1.08694,-1.75159,2.98336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,18:33:43.98,2,2,"Hayes, Adam",833404,Right,TEX_RAI,"Cardenas, Diego",830790,Left,ABI_WIL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.59005,-2.605404,0.15907,2482.826695,197.345056,12:30,6.37318,0.99639,6.24756,-16.63595,16.74399,4.91918,2.58222,1.55303,83.47665,-5.760216,1.048187,0.415828,,,,,,,,,,,,-2.5111,9.67788,-1.01054,50,6.17088,-0.5651,-131.64738,-6.46093,-4.43725,26.1437,-15.07277,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,7533c670-2d5a-11f1-a933-edf124598eb9,90.64421,,,7.11341,,,,,,,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:33:43.98,2026-03-31T18:33:43.9866880-05:00,2026-03-31T23:33:43.9866880Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,689f771c-c4a4-4598-969a-beab78a8460a,54.25279,-132.48925,13.07185,6.37112,-5.97556,-7.53638,-0.99465,-0.42221,-2.21863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,18:34:08.59,2,3,"Hayes, Adam",833404,Right,TEX_RAI,"Cardenas, Diego",830790,Left,ABI_WIL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.74392,-0.145817,-0.544363,1132.334962,222.123686,1:30,6.05119,1.17632,6.07435,-35.67974,5.87929,4.11886,2.94295,1.01583,74.84516,-6.775125,0.198216,0.463985,,,,,,,,,,,,-2.29914,3.43823,-1.13644,50,6.0208,0.97694,-118.80537,-1.39814,-3.2748,23.48922,-27.27674,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,83dcaca0-2d5a-11f1-a933-edf124598eb9,81.23631,,,6.89876,,,,,,,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:34:08.59,2026-03-31T18:34:08.5978624-05:00,2026-03-31T23:34:08.5978624Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,b0041a51-53e2-4264-a7e6-36381cdf50d5,54.42682,-119.6774,11.74461,6.05391,-0.3855,-13.63837,-1.17496,1.09852,-1.6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,18:34:35.92,2,4,"Hayes, Adam",833404,Right,TEX_RAI,"Cardenas, Diego",830790,Left,ABI_WIL,Undefined,1,Top,1,1,2,ChangeUp,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.34506,-1.709768,-1.078343,995.516515,248.365541,2:15,6.02952,1.05927,5.94195,-36.15762,3.73008,6.45563,1.4296,0.59682,77.16641,-8.352935,0.083788,0.45456,,,,,,,,,,,,-3.61725,2.70146,-0.97704,50,5.87262,2.03442,-121.14613,-4.79366,-5.40696,22.37841,-28.13595,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,942dc490-2d5a-11f1-a933-edf124598eb9,82.92076,,,6.17865,,,,,,,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:34:35.92,2026-03-31T18:34:35.9210000-05:00,2026-03-31T23:34:35.9210000Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,821a5c97-c8f4-4c34-817d-875fac5b4da6,54.56013,-121.98557,11.1892,6.03265,-3.73824,-14.06798,-1.05716,2.23724,-2.70348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.08667,2.795594,1.620838,1.174756,0.95315,1.36128,-0.59754,0.18307,5.40719,-1.03992,73.37652,11.54362,-51.44754,0.27079,67.42616,-4.4006,5.49026,22.37239,-14.6339,-1.12163,-47.28362,3.76246,High,High,High,,,High,High,High
6,2026-03-31,18:35:13.93,3,1,"Hayes, Adam",833404,Right,TEX_RAI,"Watkins, Grant",830787,Left,ABI_WIL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.25135,-1.04222,0.397006,2539.596202,200.189784,12:45,6.2942,1.00205,6.36801,-16.73926,17.55099,6.07079,3.94009,1.87328,81.8649,-4.246037,1.496348,0.42146,,,,,,,,,,,,-3.0402,9.73662,-1.03329,50,6.21072,-1.14291,-129.77635,-2.80198,-5.20252,26.28863,-15.51223,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,aacd3dc0-2d5a-11f1-a933-edf124598eb9,89.43296,,,7.38645,,,,,,,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:35:13.93,2026-03-31T18:35:13.9311104-05:00,2026-03-31T23:35:13.9311104Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,708813a2-124a-4864-8096-779a57b28b56,54.13105,-130.61049,13.14431,6.29181,-2.30977,-7.75612,-0.99965,-0.97783,-2.60126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,18:35:32.22,3,2,"Hayes, Adam",833404,Right,TEX_RAI,"Watkins, Grant",830787,Left,ABI_WIL,Undefined,1,Top,2,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.80478,-0.753427,-1.429102,2366.643373,34.02915,7:15,6.09246,0.83895,5.83395,-61.44149,-13.36465,-10.12225,0.27176,-1.33323,70.51421,-11.921244,-3.252435,0.499045,,,,,,,,,,,,4.75197,-6.22288,-0.7162,50,5.99452,3.14523,-111.52218,-3.4237,5.88395,23.20329,-39.87928,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,b5c06ef0-2d5a-11f1-a933-edf124598eb9,75.52919,,,6.29057,,,,,,,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:35:32.22,2026-03-31T18:35:32.2242560-05:00,2026-03-31T23:35:32.2242560Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,ac965e86-b913-4241-bde9-da6381b8690f,54.67012,-112.48964,11.60164,6.10261,-1.76092,-19.93964,-0.84222,2.8999,2.94198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,18:35:53.01,3,3,"Hayes, Adam",833404,Right,TEX_RAI,"Watkins, Grant",830787,Left,ABI_WIL,Undefined,1,Top,2,2,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.63746,-0.514961,-1.312899,2603.444461,152.127457,11:00,6.01753,1.29645,5.9964,-31.87395,6.12803,-2.60043,2.88402,-0.13711,78.36338,-6.431906,-1.780725,0.443685,72.00615,9.855504,-172.44471,3014.440421,,,,,33.43086,,,0.93807,3.74481,-1.19183,50,5.96008,2.9604,-124.33372,-2.17888,1.46661,25.21816,-26.31931,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,c21f8c30-2d5a-11f1-a933-edf124598eb9,84.95316,8.52519,,7.27407,,,,1.44058,3.11572,-0.00643,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:35:53.01,2026-03-31T18:35:53.0173440-05:00,2026-03-31T23:35:53.0173440Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,4913661c-36a3-4ba5-83ce-ba8ac5950b9c,54.49916,-125.24294,12.60908,6.02153,-1.22995,-13.15966,-1.29761,2.90752,0.73331,196.311435,1.43474,-102.92608,13.76014,,,,,,,3.11352,18.16042,-7.86056,,,,,,,-0.00559,-13.71308,-1.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-03-31,18:36:17.33,3,4,"Hayes, Adam",833404,Right,TEX_RAI,"Watkins, Grant",830787,Left,ABI_WIL,Undefined,1,Top,2,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.22491,-3.860291,-1.279095,2550.192665,181.597248,12:00,6.17436,0.99438,6.64648,-18.07485,15.07328,0.39335,1.12842,-0.14385,83.50875,-7.277032,-1.207456,0.414382,,,,,,,,,,,,-0.53181,9.24658,-0.9083,50,5.9061,2.91147,-131.04687,-9.3337,-0.93301,25.38969,-15.95167,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,d09a8490-2d5a-11f1-a933-edf124598eb9,90.96059,,,6.71616,,,,,,,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:36:17.33,2026-03-31T18:36:17.3338624-05:00,2026-03-31T23:36:17.3338624Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,581acebb-5f6a-4746-b76d-4a425876c0d5,53.85529,-131.7917,12.69484,6.17304,-8.86575,-7.97583,-0.99411,2.93885,-0.4665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,18:36:36.37,3,5,"Hayes, Adam",833404,Right,TEX_RAI,"Watkins, Grant",830787,Left,ABI_WIL,Undefined,1,Top,2,3,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.97356,-1.553193,-0.575298,2492.979947,137.294198,10:30,5.97667,1.30214,5.9628,-32.42958,5.45512,-3.88292,1.83355,0.44509,78.57499,-7.557223,-1.274211,0.443,,,,,,,,,,,,1.83673,3.61374,-1.25428,50,5.83528,1.4073,-124.84088,-4.45314,2.87913,26.71443,-26.50942,TEX_RAI,ABI_WIL,DanLawField,D1,BIG12,20260331-DanLawField-2,dbf48de0-2d5a-11f1-a933-edf124598eb9,85.0846,,,7.39857,,,,,,,ed1b483f-1966-45b4-abe0-1c36f01af019,2026-03-31,23:36:36.37,2026-03-31T18:36:36.3745792-05:00,2026-03-31T23:36:36.3745792Z,,v3,2330,471223,,"Quintanar, Matt",825578,Right,TEX_RAI,af6bfddf-8a69-49c6-b0bd-e195fc41db8d,54.53777,-125.80816,13.35721,5.97914,-3.49328,-13.25471,-1.30335,1.30306,1.43957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
