PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:06:38.50,1,1,"Albright, Blaine",1000150163,Left,MAR_THU,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.7177,0.66725,3.794517,2064.761811,115.904256,9:45,5.16029,-1.93101,5.94206,-27.71151,7.31374,-12.5906,3.47131,0.54464,81.19774,-4.509544,1.53929,0.425953,,,,,,,,,,,,7.56536,3.91063,1.63527,50,5.19813,-8.07628,-129.97691,0.57573,12.83129,29.41855,-25.54139,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,e4422d70-2d4d-11f1-925f-f3bd0e006617,88.48959,,,8.51996,,,,,,,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:06:38.50,2026-03-31T18:06:38.5098752-04:00,2026-03-31T22:06:38.5098752Z,,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,46b783b8-0c38-4182-96f8-9ed1420a59a4,54.55354,-131.00349,14.70928,5.16249,1.46701,-12.7707,1.9249,-8.52404,6.41565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,18:06:52.44,1,2,"Albright, Blaine",1000150163,Left,MAR_THU,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.62893,-0.337015,4.678924,2075.44422,94.070734,9:15,5.18656,-1.91343,5.95866,-32.1625,1.87512,-11.41989,2.19279,1.4833,83.0186,-6.27145,2.635001,0.419905,,,,,,,,,,,,7.13351,1.38854,1.54762,50,5.1418,-10.26098,-131.31724,-1.9226,12.47427,27.42968,-29.74591,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,ec9e8720-2d4d-11f1-925f-f3bd0e006617,89.76425,,,7.61034,,,,,,,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:06:52.44,2026-03-31T18:06:52.4463104-04:00,2026-03-31T22:06:52.4463104Z,,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,5c964728-f178-4c40-8644-16c15023bea2,54.5394,-132.26204,13.71484,5.19038,-0.89802,-14.87296,1.90845,-10.69065,6.23713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,18:07:07.91,1,3,"Albright, Blaine",1000150163,Left,MAR_THU,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.15393,1.872933,2.75873,2091.982911,85.016583,8:45,5.25333,-1.88432,5.57736,-35.08734,-0.17004,-14.80587,4.08125,-0.53965,82.057,-4.574554,0.120525,0.425296,,,,,,,,,,,,8.23957,-0.26173,1.65668,50,5.39178,-5.6317,-130.72691,2.94122,14.2257,28.15027,-32.6259,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,f5c20160-2d4d-11f1-925f-f3bd0e006617,88.62628,,,8.09694,,,,,,,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:07:07.91,2026-03-31T18:07:07.9190016-04:00,2026-03-31T22:07:07.9190016Z,,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,dea6c135-1f5a-4c32-9c6f-37678745d1fb,54.92041,-131.7822,14.07513,5.2586,4.16428,-16.31295,1.87779,-6.16498,7.11285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,18:07:25.96,1,4,"Albright, Blaine",1000150163,Left,MAR_THU,"Shirley, Colton",1000218385,Left,OHI_BOB,Undefined,1,Top,0,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,91.80796,-1.994154,4.493048,2166.538666,106.074881,9:30,5.17478,-1.85441,5.64756,-27.9221,6.17693,-17.11871,0.98147,0.9184,82.89626,-7.163747,1.44294,0.420284,,,,,,,,,,,,10.10237,4.13382,1.4838,50,4.98758,-9.65086,-132.70735,-5.65844,17.75937,32.17171,-24.90702,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,0089dcd0-2d4e-11f1-925f-f3bd0e006617,89.68335,,,8.9117,,,,,,,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:07:25.96,2026-03-31T18:07:25.9604480-04:00,2026-03-31T22:07:25.9604480Z,,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,5d87f48f-db23-43a7-a540-e3f0cd91bced,54.84864,-133.87763,16.08586,5.17693,-4.75242,-12.45351,1.84661,-10.29688,8.87969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,18:07:56.03,2,1,"Albright, Blaine",1000150163,Left,MAR_THU,"Harris, Taylor",1000277312,Right,OHI_BOB,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.00967,-1.040858,5.096957,2059.264052,108.148032,9:30,5.186,-1.7771,5.77575,-27.81671,6.7915,-16.81662,1.8955,1.57669,81.91301,-6.218366,2.099543,0.42341,,,,,,,,,,,,10.14316,4.18205,1.36525,50,5.08325,-10.96806,-131.48539,-3.38634,17.48474,31.86575,-24.96501,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,12859780-2d4e-11f1-925f-f3bd0e006617,89.02113,,,9.09666,,,,,,,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:07:56.03,2026-03-31T18:07:56.0354816-04:00,2026-03-31T22:07:56.0354816Z,,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,51bb20c0-897b-4397-8477-83f86c656de0,54.71917,-132.62416,15.93287,5.18833,-2.49418,-12.4825,1.76837,-11.59291,8.74237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,18:08:14.50,2,2,"Albright, Blaine",1000150163,Left,MAR_THU,"Harris, Taylor",1000277312,Right,OHI_BOB,Undefined,1,Top,0,1,0,ChangeUp,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.25679,0.272957,2.930473,1921.426347,354.783773,5:45,5.27427,-1.99088,5.03571,-49.51574,-2.03343,0.32878,1.40581,0.80354,71.59778,-8.680173,2.98854,0.495949,,,,,,,,,,,,0.70953,-0.65567,1.71061,50,5.26058,-5.81696,-113.37095,-1.2214,0.91714,22.04977,-33.02157,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,1d91a7e0-2d4e-11f1-925f-f3bd0e006617,76.00056,,,6.65901,,,,,,,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:08:14.50,2026-03-31T18:08:14.5060864-04:00,2026-03-31T22:08:14.5060864Z,,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,04db05fb-5ac4-446f-b3e3-99437cc73d48,55.46209,-114.42835,11.02489,5.28118,0.36216,-16.51078,1.99062,-5.86095,0.45857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,18:08:32.97,2,3,"Albright, Blaine",1000150163,Left,MAR_THU,"Harris, Taylor",1000277312,Right,OHI_BOB,Undefined,1,Top,0,1,1,ChangeUp,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.25242,-0.962984,2.397052,2018.140412,355.619441,5:45,5.30236,-1.93125,5.12633,-49.24739,-2.23221,0.28303,0.29058,0.35123,72.24482,-9.839059,2.447216,0.493504,,,,,,,,,,,,0.53138,-0.47787,1.70586,50,5.17327,-4.76262,-113.50578,-3.63536,0.69255,20.97442,-32.79682,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,288e4ef0-2d4e-11f1-925f-f3bd0e006617,76.37722,,,6.0076,,,,,,,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:08:32.97,2026-03-31T18:08:32.9725440-04:00,2026-03-31T22:08:32.9725440Z,,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,b0b25f03-d13d-4ea4-9139-ab1ab0e42d70,55.37306,-114.49435,10.48721,5.30819,-2.08958,-16.39841,1.9311,-4.79526,0.34627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,18:08:59.11,2,4,"Albright, Blaine",1000150163,Left,MAR_THU,"Harris, Taylor",1000277312,Right,OHI_BOB,Undefined,1,Top,0,1,2,ChangeUp,Slider,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,77.35569,1.33401,0.941065,1905.046134,352.924262,5:45,5.26426,-1.93341,5.09019,-50.78408,-2.41866,0.49713,2.28989,-1.005,70.67193,-7.882262,1.029056,0.50054,72.53356,-15.09499,-31.150379,,,,,10.78887,10.78887,-22.142413,0.085338,0.02988,-1.19008,1.84405,50,5.35018,-1.86275,-112.19572,0.84132,0.03786,21.47828,-33.68155,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,381ed600-2d4e-11f1-925f-f3bd0e006617,75.30355,2.37142,,6.68377,,,,2.46894,2.37142,0.48151,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:08:59.11,2026-03-31T18:08:59.1109120-04:00,2026-03-31T22:08:59.1109120Z,GroundBall,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,09ce3516-62ae-469b-9b06-c7db32f07543,55.40823,-113.22631,10.73914,5.27104,2.45746,-16.84077,1.93347,-1.86456,0.01893,180,2.46526,88.17018,,,,,,,,2.37258,-27.78864,,,,,,,,0.48374,-53.29345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-03-31,18:09:40.51,3,1,"Albright, Blaine",1000150163,Left,MAR_THU,"Shepherd, Dylan",10075515,Left,OHI_BOB,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.29677,-0.617127,4.490632,2103.232101,116.201468,9:45,5.13022,-1.82154,5.77682,-25.02856,9.23536,-16.24095,2.4685,1.01199,82.24203,-5.299274,1.592782,0.421298,,,,,,,,,,,,9.6254,5.26748,1.45979,50,5.0643,-9.63362,-132.04539,-2.29541,16.76661,31.63374,-22.99859,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,50c73e90-2d4e-11f1-925f-f3bd0e006617,89.46733,,,9.05473,,,,,,,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:09:40.51,2026-03-31T18:09:40.5155328-04:00,2026-03-31T22:09:40.5155328Z,,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,0ad5604e-321c-41f7-bef0-fec17eaea34c,54.71791,-133.17085,15.81687,5.13141,-1.47717,-11.49929,1.81315,-10.23013,8.3833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,18:09:58.48,3,2,"Albright, Blaine",1000150163,Left,MAR_THU,"Shepherd, Dylan",10075515,Left,OHI_BOB,Undefined,1,Top,1,1,0,ChangeUp,Slider,InPlay,Undefined,GroundBall,Out,2,0,,76.57761,0.958471,1.434007,1896.259184,345.123396,5:30,5.32408,-1.82772,5.21139,-51.75932,-3.27858,1.23835,1.91245,-0.3758,70.99528,-8.402887,1.653713,0.501137,76.74809,-15.153159,45.750387,,,,,9.66119,9.39132,37.653979,0.069428,-0.25622,-1.5335,1.69421,50,5.37313,-2.83257,-111.2584,0.09815,-0.32359,18.54257,-34.11082,MAR_THU,OHI_BOB,JackCookField,D1,SBELT,20260331-JackCookField-1,5b85a420-2d4e-11f1-925f-f3bd0e006617,75.2139,2.04764,,5.58234,,,,2.37296,2.04764,0.48596,828fae0e-481a-47d3-b086-cebd3f33c2fa,2026-03-31,22:09:58.48,2026-03-31T18:09:58.4830976-04:00,2026-03-31T22:09:58.4830976Z,GroundBall,v3,471347,471399,4bfb70181ef943ef8705db97803a88c1,"Gubba, Wil",10054378,Right,MAR_THU,5cf9a8f5-204e-4826-a2c8-d01de928396f,55.28906,-112.13642,9.27129,5.33024,1.71335,-17.05541,1.82797,-2.81724,-0.16179,180,2.37098,75.99197,,,,,,,,2.04841,-29.49311,,,,,,,,0.48392,78.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
