PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,16:02:04.20,1,1,"Bryan, Drew",813886,Right,DUK_BLU,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.20703,-2.319505,-3.159942,2156.40064,212.545729,1:00,5.82509,1.63532,5.85094,-16.43745,16.94332,10.0517,2.29559,-0.46619,83.32812,-5.457418,-1.360635,0.415834,73.18329,42.91985,-20.543335,,,,,,74.80052,,,-6.13933,9.73812,-1.38433,50,5.62685,6.92969,-133.51853,-5.91138,-10.95031,31.95226,-14.80487,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,7d2e9ad0-2d3c-11f1-b69c-6d1e553f7dc5,90.64307,61.49686,,8.87891,,,,1.20162,2.39542,0.44872,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:02:04.20,2026-03-31T16:02:04.2023424-04:00,2026-03-31T20:02:04.2023424Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Strand, Matthew",1000068590,Right,DUK_BLU,b145e40e-566e-4bbe-8188-707e6c16fbca,54.64586,-134.62574,15.97613,5.82281,-5.39836,-7.40243,-1.63103,7.30914,-5.47515,152.766366,1.20162,73.60385,-16.56007,3.7984,-0.82272,0.17176,-0.03643,0.00647,-0.00064,2.39542,73.09263,-20.2959,1.65009,-0.26536,0.03861,-0.00448,0.00067,-3E-05,0.44872,-27.58282,-0.11066,0.54262,-0.20391,0.05638,-0.01373,0.0027,-0.0003,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-03-31,16:02:35.59,2,1,"Bryan, Drew",813886,Right,DUK_BLU,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.90913,-2.637505,-3.594759,2144.097402,215.224352,1:15,5.84184,1.51866,5.84474,-15.48965,17.39233,11.45556,2.09346,-0.87167,84.05064,-5.599851,-1.545809,0.412715,,,,,,,,,,,,-6.92729,10.0204,-1.23248,50,5.61772,7.92939,-134.4455,-6.66252,-12.55414,31.83464,-14.01438,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,8fe95fc0-2d3c-11f1-b69c-6d1e553f7dc5,91.32795,,,8.85849,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:02:35.59,2026-03-31T16:02:35.5933184-04:00,2026-03-31T20:02:35.5933184Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Strand, Matthew",1000068590,Right,DUK_BLU,e51b80d3-aa55-4f02-932c-d8cb337bf7bc,54.65113,-135.54234,15.91732,5.83896,-6.17967,-7.00719,-1.51314,8.36194,-6.27707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,16:02:50.83,2,2,"Bryan, Drew",813886,Right,DUK_BLU,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.29043,-0.74575,-1.570317,1372.972386,224.773789,1:30,5.9125,1.45688,5.8242,-27.8245,13.26343,11.63997,2.9002,0.96666,74.93933,-5.979325,0.516737,0.461348,,,,,,,,,,,,-6.39335,7.46063,-1.33513,50,5.83544,2.82516,-120.69672,-2.42458,-9.26012,27.46196,-21.36803,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,99064a50-2d3c-11f1-b69c-6d1e553f7dc5,81.70068,,,8.35109,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:02:50.83,2026-03-31T16:02:50.8323328-04:00,2026-03-31T20:02:50.8323328Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Strand, Matthew",1000068590,Right,DUK_BLU,67360ca4-8366-43ea-975c-0952ee746425,54.66887,-121.75439,13.73098,5.91297,-1.60162,-10.68402,-1.45081,3.18181,-4.63006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,16:03:06.18,2,3,"Bryan, Drew",813886,Right,DUK_BLU,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,1,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.45849,-0.444625,-2.695051,2257.253368,223.225876,1:30,5.62015,1.73528,5.65249,-37.70112,4.01323,2.19059,2.06325,-0.59756,74.46691,-7.43574,-2.303824,0.464851,,,,,,,,,,,,-2.08902,2.71378,-1.50819,50,5.55919,5.58827,-120.69092,-2.22233,-2.98915,30.02951,-28.29091,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,a2313ea0-2d3c-11f1-b69c-6d1e553f7dc5,81.08492,,,8.99158,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:03:06.18,2026-03-31T16:03:06.1896192-04:00,2026-03-31T20:03:06.1896192Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Strand, Matthew",1000068590,Right,DUK_BLU,f8ed63b7-b9ee-4b6c-9cff-c3a223250924,54.83986,-121.88919,15.01476,5.62534,-1.09343,-14.14546,-1.73356,5.70754,-1.49458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,16:03:22.91,2,4,"Bryan, Drew",813886,Right,DUK_BLU,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.04061,0.914719,-1.242698,2149.648329,161.144223,11:15,5.69924,1.7577,5.61534,-36.48167,6.81914,-1.83201,3.51308,0.44505,73.64287,-5.835253,-1.569774,0.473608,,,,,,,,,,,,0.54827,3.63803,-1.65044,50,5.75417,2.62441,-117.54455,0.67499,0.7612,23.87478,-27.1231,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,ac2946f0-2d3c-11f1-b69c-6d1e553f7dc5,79.58567,,,7.39774,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:03:22.91,2026-03-31T16:03:22.9170000-04:00,2026-03-31T20:03:22.9170000Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Strand, Matthew",1000068590,Right,DUK_BLU,1831554b-4fb5-43b5-89bb-0c63a2e24b25,54.87984,-118.53156,11.93739,5.70309,1.79629,-13.56155,-1.75829,2.59294,0.3806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75314,,,1.302197,,,,-0.77275,5.77147,-0.68236,78.05886,8.05519,-46.73252,-0.7226,65.01377,-3.47162,5.85302,21.41759,-15.15549,-0.75399,-40.08298,3.67288,High,High,High,,,High,Medium,High
6,2026-03-31,16:03:53.92,3,1,"Bryan, Drew",813886,Right,DUK_BLU,"Torreso, Anthony",811245,Right,DAV_WIL,Undefined,1,Top,2,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.72715,-0.396932,-1.696544,2257.803756,150.671199,11:00,5.71669,1.60839,5.68835,-35.94352,5.90603,-2.45654,2.35128,-0.178,74.6537,-7.056811,-2.135895,0.465604,,,,,,,,,,,,0.69272,3.53276,-1.46408,50,5.66091,3.6493,-119.91695,-2.01306,0.98923,27.35981,-27.12911,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,bea88980-2d3c-11f1-b69c-6d1e553f7dc5,80.95383,,,8.07345,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:03:53.92,2026-03-31T16:03:53.9236864-04:00,2026-03-31T20:03:53.9236864Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Strand, Matthew",1000068590,Right,DUK_BLU,bd272a8e-5fa0-4afc-8e54-ae5a21d87eb1,54.80874,-121.00912,13.67991,5.71966,-0.9301,-13.56455,-1.60897,3.60982,0.49462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,16:04:16.01,3,2,"Bryan, Drew",813886,Right,DUK_BLU,"Torreso, Anthony",811245,Right,DAV_WIL,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.7841,-2.769176,-2.517403,2131.761142,212.520221,1:00,5.83352,1.43251,5.72339,-16.30198,17.15336,10.10575,1.89128,-0.07159,83.06385,-5.89216,-0.710911,0.416298,,,,,,,,,,,,-5.96012,10.01473,-1.22842,50,5.59223,5.42986,-134.17451,-6.98583,-10.62963,34.89809,-14.31325,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,cbc2b960-2d3c-11f1-b69c-6d1e553f7dc5,90.54205,,,9.72025,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:04:16.01,2026-03-31T16:04:16.0105472-04:00,2026-03-31T20:04:16.0105472Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Strand, Matthew",1000068590,Right,DUK_BLU,f2f0f9bc-eb8a-4b36-91f1-441165ac0966,54.77012,-135.40951,17.44905,5.83049,-6.4793,-7.15663,-1.42723,5.80603,-5.31482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,16:04:31.65,3,3,"Bryan, Drew",813886,Right,DUK_BLU,"Torreso, Anthony",811245,Right,DAV_WIL,Undefined,1,Top,2,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.54205,-1.888431,-3.514758,2202.950316,211.469815,1:00,5.95576,1.39677,5.74355,-15.55855,17.19072,9.77343,2.89703,-1.06532,84.01548,-4.87359,-1.770122,0.411881,,,,,,,,,,,,-6.06087,9.67607,-1.11006,50,5.7891,7.84988,-135.29427,-4.93168,-11.05055,34.01386,-14.53202,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,d51e5aa0-2d3c-11f1-b69c-6d1e553f7dc5,91.51289,,,9.52657,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:04:31.65,2026-03-31T16:04:31.6570000-04:00,2026-03-31T20:04:31.6570000Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Strand, Matthew",1000068590,Right,DUK_BLU,f0d6b7cd-f690-4b66-923d-457696b65bba,54.74987,-136.48319,17.00693,5.95261,-4.42372,-7.26601,-1.3912,8.23614,-5.52528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.93596,3.456541,1.788621,1.66792,-1.63032,2.63153,1.15684,-5.4852,3.91216,2.94635,72.90804,5.8259,51.87934,-5.38189,52.30544,-3.24882,4.02636,26.68587,-15.39523,2.95347,30.70164,-0.8217,High,High,High,,,High,High,High
9,2026-03-31,16:07:16.40,1,1,"Vokal, Jacob",10077468,Right,DAV_WIL,"Albright, Tyler",703486,Right,DUK_BLU,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.65831,-1.720216,-2.361257,2265.717413,202.393968,12:45,5.91101,1.34749,5.13426,-16.40288,21.0093,8.05725,2.92233,-0.20591,79.2797,-4.86056,-0.937041,0.440228,,,,,,,,,,,,-4.75855,11.38977,-1.13237,50,5.73775,4.89853,-128.14845,-4.34445,-7.75119,31.53136,-13.62127,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,37474a70-2d3d-11f1-b69c-6d1e553f7dc5,85.62022,,,9.37861,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:07:16.40,2026-03-31T16:07:16.4050944-04:00,2026-03-31T20:07:16.4050944Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Fritch, Brendan",10125071,Right,DAV_WIL,cb9b51dc-748b-498f-aef9-07322a8bf58c,55.35751,-129.45997,15.76568,5.90667,-3.77788,-6.81064,-1.34282,5.22093,-3.87559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,16:07:29.26,1,2,"Vokal, Jacob",10077468,Right,DAV_WIL,"Albright, Tyler",703486,Right,DUK_BLU,Undefined,1,Bottom,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.9563,-0.450355,-3.254464,2517.520772,96.657587,9:15,5.76948,1.46143,4.73524,-40.69203,2.40162,-7.56851,1.95054,-2.25997,75.27715,-7.800444,-4.581095,0.472474,,,,,,,,,,,,2.65366,1.80634,-1.1263,50,5.68849,7.1656,-119.92871,-2.52446,3.81306,26.09331,-29.57848,DUK_BLU,DAV_WIL,JackCoombs,D1,ACC,20260331-JackCoombs-1,3f03baa0-2d3d-11f1-b69c-6d1e553f7dc5,79.77675,,,7.67915,,,,,,,a6355c81-0535-42f8-a423-b683f9b31e04,2026-03-31,20:07:29.26,2026-03-31T16:07:29.2603392-04:00,2026-03-31T20:07:29.2603392Z,,v3,471284,471280,e0d01678a7f74f74bbdbdfbf34e84d31,"Fritch, Brendan",10125071,Right,DAV_WIL,33f81edc-9935-4d5d-9144-5b74e1466dc4,55.75961,-121.17537,13.04666,5.77534,-1.11129,-14.78924,-1.4643,6.98343,1.90653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
