PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,15:04:31.18,1,1,"Sites, Aiden",831362,Right,TOW_TIG,"Hogan, Noah",1000072059,Left,COP_STA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.50401,-3.479586,-1.97058,2118.806952,206.01981,12:45,5.94893,1.95425,5.21908,-15.45902,19.46084,8.85504,1.38317,0.83868,82.32621,-6.41887,-0.401754,0.425312,,,,,,,,,,,,-5.08555,11.24583,-1.77939,50,5.61655,4.13492,-132.26168,-8.54028,-8.85494,32.6916,-12.59288,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,7312b070-2d34-11f1-b8dd-15eb1e0d1cdd,88.62304,,,9.1778,,,,,,,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:04:31.18,2026-03-31T15:04:31.1870000-04:00,2026-03-31T19:04:31.1870000Z,,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,3dee3e7b-247d-42bd-b18b-5e05a86d8ec2,55.2768,-133.5596,16.3458,5.94569,-8.04032,-6.29644,-1.95053,4.48648,-4.42747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,15:04:45.33,1,2,"Sites, Aiden",831362,Right,TOW_TIG,"Hogan, Noah",1000072059,Left,COP_STA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.80703,-4.139007,-1.741155,2281.653093,204.643644,12:45,5.9508,1.96364,5.45338,-14.07296,21.42092,9.16382,0.8949,1.09686,81.0427,-6.861691,-0.110335,0.428793,,,,,,,,,,,,-5.25362,12.67906,-1.81668,50,5.57621,3.56726,-131.1013,-9.88515,-8.90301,34.50913,-10.68759,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,7b829220-2d34-11f1-b8dd-15eb1e0d1cdd,87.90349,,,9.76433,,,,,,,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:04:45.33,2026-03-31T15:04:45.3360000-04:00,2026-03-31T19:04:45.3360000Z,,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,5e0dd25f-c511-4f5a-990f-bc90c5582573,55.04151,-132.4217,17.25456,5.94661,-9.47622,-5.3438,-1.95969,3.90791,-4.4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,15:05:00.63,1,3,"Sites, Aiden",831362,Right,TOW_TIG,"Hogan, Noah",1000072059,Left,COP_STA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.94856,-2.045182,-2.420591,2194.92276,207.850585,1:00,5.88674,1.90244,5.3696,-16.36095,19.06029,9.31548,2.60327,0.40787,80.97162,-5.18655,-0.766535,0.428354,,,,,,,,,,,,-5.49603,10.65697,-1.69207,50,5.69229,5.11263,-131.4326,-5.19316,-9.363,34.62817,-14.01888,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,84a34d40-2d34-11f1-b8dd-15eb1e0d1cdd,87.99359,,,9.97694,,,,,,,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:05:00.63,2026-03-31T15:05:00.6310000-04:00,2026-03-31T19:05:00.6310000Z,,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,7a6afdf4-3f98-4df8-b382-013b5706c476,55.12262,-132.77538,17.31409,5.88312,-4.64954,-7.00944,-1.89736,5.47571,-4.6815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,15:05:17.25,1,4,"Sites, Aiden",831362,Right,TOW_TIG,"Hogan, Noah",1000072059,Left,COP_STA,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.51661,-1.004504,-1.226155,2138.71188,204.741881,12:45,6.09233,1.91604,5.22035,-15.13678,20.87489,8.93863,3.8862,1.50793,80.24073,-3.939405,0.357789,0.43191,,,,,,,,,,,,-4.83831,11.11969,-1.80968,50,5.98915,2.36188,-130.83924,-2.72684,-8.14437,35.04678,-13.45624,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,8e8ed270-2d34-11f1-b8dd-15eb1e0d1cdd,87.26925,,,10.27588,,,,,,,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:05:17.25,2026-03-31T15:05:17.2500000-04:00,2026-03-31T19:05:17.2500000Z,,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,eb8a23d1-fc2b-460d-ac00-84bb48493fcb,55.26953,-132.24321,17.52339,6.08759,-2.18779,-6.72812,-1.91083,2.68814,-4.07219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,15:05:33.77,1,5,"Sites, Aiden",831362,Right,TOW_TIG,"Hogan, Noah",1000072059,Left,COP_STA,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.44617,-3.032228,-1.551339,2314.533641,209.993872,1:00,5.88711,1.91791,5.41715,-16.9745,18.87954,10.04355,1.62842,1.3013,80.4634,-6.282304,0.235452,0.430963,,,,,,,,,,,,-5.60796,10.99969,-1.78736,50,5.60643,3.07325,-130.67468,-7.4421,-9.41358,35.02673,-13.70984,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,98654900-2d34-11f1-b8dd-15eb1e0d1cdd,87.46087,,,9.98277,,,,,,,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:05:33.77,2026-03-31T15:05:33.7710000-04:00,2026-03-31T19:05:33.7710000Z,,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,1a1f59c2-d0d2-4aa0-b45e-080604f83950,55.07615,-132.02831,17.51336,5.8838,-6.91228,-6.85492,-1.91316,3.43705,-4.70679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,15:06:03.37,2,1,"Sites, Aiden",831362,Right,TOW_TIG,"Agosto, Pedro",1000299686,Right,COP_STA,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.12009,1.555571,-2.024257,2151.664888,63.904575,8:15,5.9435,1.93558,5.23931,-51.2781,-3.9791,-12.04804,3.13361,-0.97173,70.47498,-7.830092,-4.15902,0.494991,,,,,,,,,,,,5.17457,-1.91571,-1.74037,50,6.04938,4.55398,-114.33503,1.27952,6.62022,27.65526,-34.62498,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,aa141c30-2d34-11f1-b8dd-15eb1e0d1cdd,76.14771,,,8.64512,,,,,,,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:06:03.37,2026-03-31T15:06:03.3770000-04:00,2026-03-31T19:06:03.3770000Z,,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,a24159bc-c108-4e04-9494-69b5cc72ecd2,55.25373,-115.59881,13.82763,5.95475,2.86181,-17.31249,-1.94156,4.25145,3.31011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,15:06:21.50,2,2,"Sites, Aiden",831362,Right,TOW_TIG,"Agosto, Pedro",1000299686,Right,COP_STA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.9371,-0.840331,-2.763616,2217.834299,198.6623,12:30,6.01047,1.80033,5.4522,-13.39536,22.03084,6.94945,4.10655,-0.20969,80.55209,-3.47547,-1.528926,0.428384,,,,,,,,,,,,-4.43764,11.69776,-1.56106,50,5.92756,6.00499,-131.37898,-2.25999,-7.53228,35.31662,-12.3188,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,b4db5b60-2d34-11f1-b8dd-15eb1e0d1cdd,87.98743,,,10.385,,,,,,,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:06:21.50,2026-03-31T15:06:21.5040000-04:00,2026-03-31T19:06:21.5040000Z,,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,52428941-d0a3-42ab-ad1e-dec26d5d7670,55.03708,-132.72612,17.65831,6.00481,-1.79009,-6.1594,-1.7956,6.2923,-3.76614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,15:06:37.99,2,3,"Sites, Aiden",831362,Right,TOW_TIG,"Agosto, Pedro",1000299686,Right,COP_STA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.65026,-1.858172,-2.515188,2228.814898,204.924653,12:45,5.83193,1.90691,5.61805,-15.33981,20.79044,8.98138,2.81719,0.30656,79.75033,-4.840229,-0.913482,0.43262,78.41797,30.116579,16.463684,5006.081996,102.04589,52.31003,41.06823,270.95066,234.21845,29.486804,4.047603,-5.4215,11.57241,-1.69804,50,5.66387,5.28535,-129.61926,-4.62285,-8.97293,33.95268,-13.02102,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,beaa7ef0-2d34-11f1-b8dd-15eb1e0d1cdd,87.12593,57.27944,,9.89993,,,,0.20291,2.83339,-0.22762,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:06:37.99,2026-03-31T15:06:37.9950000-04:00,2026-03-31T19:06:37.9950000Z,FlyBall,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,b3e66d07-1f9a-4e61-8c4c-c9866f649013,54.87455,-130.88988,16.97634,5.82776,-4.13556,-6.51051,-1.90212,5.62115,-4.48647,216.496233,0.2021,95.4313,-19.54336,4.89474,-1.08269,0.24581,-0.05336,0.00776,-0.00049,2.83485,57.66786,-15.80616,0.00629,0.33283,-0.16596,0.04591,-0.00634,0.00033,-0.22737,28.18791,2.91443,-0.98042,0.2731,-0.06151,0.01089,-0.00125,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-03-31,15:07:09.15,3,1,"Sites, Aiden",831362,Right,TOW_TIG,"Hurtado, AJ",1000216893,Right,COP_STA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,,90.91561,-2.590063,-3.089945,2119.131377,206.876357,1:00,5.96064,1.9663,5.45049,-14.64174,21.00938,9.87375,2.31057,-0.10642,80.37106,-5.44544,-1.335902,0.429742,98.68767,5.479398,-12.693753,1899.829493,,,,100.80584,100.80584,-14.193336,0.766918,-6.11878,11.94926,-1.70041,50,5.72243,6.61913,-131.19334,-6.34488,-10.30497,36.45795,-12.04958,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,d13cad40-2d34-11f1-b8dd-15eb1e0d1cdd,87.70941,4.35279,,10.54455,,,,1.42448,2.3142,0.11488,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:07:09.15,2026-03-31T15:07:09.1590000-04:00,2026-03-31T19:07:09.1590000Z,GroundBall,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Allman, Coy",1000106896,Right,TOW_TIG,8afbc639-ace4-4dda-b9f5-1885153c709e,55.0417,-132.587,18.22898,5.95616,-5.88427,-6.02479,-1.96096,7.01305,-5.15249,46.790282,1.48256,139.52836,-18.38601,,,,,,,2.37256,12.78369,-20.79352,,,,,,,0.13147,-31.95858,-0.60129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-31,15:10:08.01,1,1,"Ortiz, Abel",10171227,Left,COP_STA,"LoBello, Nick",824588,Right,TOW_TIG,Undefined,1,Bottom,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,81.67827,-2.264255,1.379619,2041.287523,148.400864,11:00,6.21634,-0.35025,5.57714,-21.99092,20.95958,-11.93497,2.26732,-0.05607,73.89982,-6.423541,-0.750335,0.471689,93.08224,23.698589,15.656696,4158.18425,103.40485,44.92544,37.51413,384.1215,131.11232,31.493205,4.503677,6.46111,11.7628,0.23953,50,6.00748,-2.36348,-118.32282,-5.30725,9.04269,25.2693,-15.71134,TOW_TIG,COP_STA,John B. Schuerholz Park,D1,CAA,20260331-John B. Schuerholz Park-1,3be07b40-2d35-11f1-b8dd-15eb1e0d1cdd,79.90958,60.2822,,7.77845,,,,0.17556,2.27175,0.11021,5a9868f9-a1b1-460e-b9f0-cbc4df45583f,2026-03-31,19:10:08.01,2026-03-31T15:10:08.0100000-04:00,2026-03-31T19:10:08.0100000Z,LineDrive,v3,471469,471276,5d1d3057e922474bb344bdd57bc2fd24,"Grajales, Nelson",1000148645,Right,COP_STA,61496588-1786-46c6-9725-41d63634e446,54.91794,-119.36848,12.63465,6.21365,-4.6571,-7.85567,0.34507,-2.73768,4.52135,217.384989,0.17496,120.38489,-24.76913,6.34745,-1.44836,0.31196,-0.05213,0.00538,-0.00025,2.27209,54.86304,-12.51605,-0.99582,0.65045,-0.19902,0.04007,-0.00475,0.00024,0.11016,33.73577,2.64634,-0.13092,0.06423,-0.04504,0.01776,-0.00318,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
