PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,15:02:28.29,1,1,"Brown, Zachary",1000334133,Right,GEO_BUL,"Carlson, Hunter",830762,Left,GEO_PAN,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,91.329,-0.499371,-4.326624,2055.993615,258.63082,2:30,5.01579,2.78717,6.19738,-28.74757,4.50398,17.0969,2.15782,0.21004,83.40412,-5.853698,-1.249588,0.415028,94.10161,27.739404,-4.952715,4148.99901,108.85733,53.25293,-15.81395,328.17812,325.8323,-15.736058,4.59291,-10.12233,2.77488,-2.46964,50,4.96355,9.32095,-132.44053,-2.12592,-17.95152,28.68669,-27.25295,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,2c0db080-2d34-11f1-beac-13eabb0e9341,90.81908,70.4739,,7.92488,,,,1.2104,2.21621,-0.20906,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:02:28.29,2026-03-31T15:02:28.2963456-04:00,2026-03-31T19:02:28.2963456Z,FlyBall,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,770f8311-e959-4a8f-a2dc-a0c070231710,54.30516,-133.36977,14.34334,5.01812,-1.24312,-13.62647,-2.78099,9.90245,-8.97576,151.924889,1.20977,121.71296,-25.66414,6.34649,-1.50468,0.35042,-0.06566,0.00756,-0.00037,2.2174,64.21074,-16.05361,0.19339,0.32366,-0.15972,0.03736,-0.00419,0.00018,-0.2091,-10.54453,-4.92317,1.53685,-0.43264,0.10541,-0.01883,0.00202,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-03-31,15:03:01.80,2,1,"Brown, Zachary",1000334133,Right,GEO_BUL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.64387,0.041908,-3.651368,2165.15495,261.677825,2:45,4.9952,2.70501,6.28883,-29.33943,3.69197,17.6719,2.58895,0.80806,83.23552,-5.442966,-0.461645,0.413652,,,,,,,,,,,,-10.19949,2.2615,-2.44355,50,4.98441,7.7359,-132.93575,-0.89394,-18.12752,30.30667,-28.15468,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,40014390-2d34-11f1-beac-13eabb0e9341,91.12119,,,8.40835,,,,,,,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:03:01.80,2026-03-31T15:03:01.8011136-04:00,2026-03-31T19:03:01.8011136Z,,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,9d872895-e050-4a3f-bd42-14a209c562d6,54.21154,-133.89245,15.15333,4.9986,-0.00517,-14.07734,-2.69678,8.30814,-9.06376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,15:03:23.59,2,2,"Brown, Zachary",1000334133,Right,GEO_BUL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.68368,-0.706104,-5.120361,1749.638749,290.418509,3:45,5.11709,2.57954,6.61114,-44.22046,-5.43229,18.44623,0.78266,-0.58585,76.50276,-8.940027,-1.773028,0.448251,,,,,,,,,,,,-11.40784,-2.18398,-2.23709,50,5.05146,10.30214,-122.5848,-2.88173,-17.01149,28.75311,-35.4308,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,4d072820-2d34-11f1-beac-13eabb0e9341,84.08785,,,8.18093,,,,,,,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:03:23.59,2026-03-31T15:03:23.5961856-04:00,2026-03-31T19:03:23.5961856Z,,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,ddca4539-533a-4d45-ac5c-b1bb24607015,53.89043,-123.49396,14.37655,5.12487,-1.76143,-17.7154,-2.57134,10.84004,-8.50575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,15:03:40.33,2,3,"Brown, Zachary",1000334133,Right,GEO_BUL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.3653,-0.188463,-4.553485,2104.078212,269.902849,3:00,5.03175,2.84213,6.39619,-31.46242,1.19445,18.31879,2.236,0.17196,83.39102,-6.071974,-1.244858,0.4113,,,,,,,,,,,,-11.04422,1.00067,-2.52276,50,5.00388,9.9076,-133.81051,-1.49795,-19.73808,32.7233,-30.38569,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,56f3e5d0-2d34-11f1-beac-13eabb0e9341,91.64219,,,8.97429,,,,,,,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:03:40.33,2026-03-31T15:03:40.3371008-04:00,2026-03-31T19:03:40.3371008Z,,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,8b66704f-49fe-4948-a7c6-c29c22c39147,54.10532,-134.81073,16.36165,5.03547,-0.56918,-15.19284,-2.83482,10.51091,-9.86904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,15:04:07.38,2,4,"Brown, Zachary",1000334133,Right,GEO_BUL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.62537,-0.019976,-3.289545,2611.458426,103.998727,9:30,4.96011,2.72086,6.3012,-36.49219,5.12953,-15.23654,1.90066,-1.58307,74.70998,-6.803096,-6.034975,0.464335,,,,,,,,,,,,6.91563,3.09752,-2.47225,50,4.94141,7.36788,-118.43744,-1.12702,9.7475,24.24602,-27.8081,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,6726ee70-2d34-11f1-beac-13eabb0e9341,81.17511,,,6.91538,,,,,,,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:04:07.38,2026-03-31T15:04:07.3848320-04:00,2026-03-31T19:04:07.3848320Z,,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,20efd0f1-8dcc-4cb9-8c68-9cab2d5bd5ff,54.19903,-119.29395,12.12301,4.96387,-0.14467,-13.90405,-2.72644,7.02354,4.87375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,15:04:25.16,2,5,"Brown, Zachary",1000334133,Right,GEO_BUL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,2,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.60679,-0.17343,-4.135626,2157.139855,262.725433,2:45,5.01988,2.74619,6.36287,-28.73198,3.18977,17.47926,2.46553,0.39018,85.05011,-5.526168,-0.978845,0.406644,74.2762,-22.551631,-15.637946,,,,,7.81838,7.79607,-14.728992,0.058908,-10.24426,1.98547,-2.45444,50,4.9938,9.01642,-134.44856,-1.37061,-18.84157,27.83596,-28.52226,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,71ae8c90-2d34-11f1-beac-13eabb0e9341,92.69142,2.46884,,7.55668,,,,1.83639,2.46884,-0.38525,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:04:25.16,2026-03-31T15:04:25.1654656-04:00,2026-03-31T19:04:25.1654656Z,GroundBall,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,a77dd150-266e-434f-8f57-590553febb62,54.14051,-135.30309,13.91798,5.02244,-0.49501,-14.26113,-2.74011,9.59483,-9.42079,180,1.83352,97.18673,,,,,,,,2.47008,-41.91003,,,,,,,,-0.38444,-27.20442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-03-31,15:04:56.06,3,1,"Brown, Zachary",1000334133,Right,GEO_BUL,"Garagozzo, Nick",824774,Left,GEO_PAN,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.86525,-0.143749,-3.968986,1698.385552,286.784881,3:30,5.22327,2.69489,6.39848,-42.89144,-3.79189,16.67402,1.51647,0.42837,76.93141,-8.086232,-0.950525,0.450046,,,,,,,,,,,,-9.83438,-1.56193,-2.41695,50,5.19358,7.83016,-121.73734,-1.65453,-14.72434,24.41088,-34.51264,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,8422d2a0-2d34-11f1-beac-13eabb0e9341,83.75236,,,6.93384,,,,,,,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:04:56.06,2026-03-31T15:04:56.0647168-04:00,2026-03-31T19:04:56.0647168Z,,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,0938cc79-3b34-4253-9074-47ebbae3203a,54.10481,-122.55767,12.20544,5.22969,-0.49472,-17.25632,-2.6884,8.32498,-7.36217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,15:05:12.17,3,2,"Brown, Zachary",1000334133,Right,GEO_BUL,"Garagozzo, Nick",824774,Left,GEO_PAN,Undefined,1,Top,2,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.42994,-0.501057,-1.485283,2208.694663,261.407431,2:45,4.88144,2.86309,6.0524,-29.59679,3.73445,17.54485,1.95104,2.9499,83.39325,-6.000678,1.675726,0.415525,,,,,,,,,,,,-9.4152,2.42102,-2.75652,50,4.82679,2.68483,-132.81511,-2.20208,-16.73228,29.79347,-27.87152,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,8dbd2a90-2d34-11f1-beac-13eabb0e9341,90.71038,,,8.03669,,,,,,,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:05:12.17,2026-03-31T15:05:12.1782784-04:00,2026-03-31T19:05:12.1782784Z,,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,7c327d1e-9cdb-4346-89e5-f88844f91c63,54.44815,-133.80921,14.89674,4.88475,-1.27211,-13.93576,-2.85541,3.24312,-8.36614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,15:05:30.55,3,3,"Brown, Zachary",1000334133,Right,GEO_BUL,"Garagozzo, Nick",824774,Left,GEO_PAN,Undefined,1,Top,2,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.5557,-1.207326,-5.672556,1748.708188,284.132137,3:30,5.28021,2.63975,6.53542,-42.10589,-2.73398,15.83552,0.65832,-1.26102,76.76575,-9.000579,-2.808871,0.451611,,,,,,,,,,,,-9.97756,-0.76445,-2.25169,50,5.17806,11.46032,-120.9946,-3.82921,-14.7618,24.04207,-33.30503,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,98aed520-2d34-11f1-beac-13eabb0e9341,83.46216,,,6.78995,,,,,,,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:05:30.55,2026-03-31T15:05:30.5585664-04:00,2026-03-31T19:05:30.5585664Z,,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,2c7bddf2-ca8c-4ed1-8fe2-53d7598cf032,53.96838,-121.78058,12.02104,5.28545,-2.74041,-16.65252,-2.63424,11.94291,-7.3809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,15:05:51.81,3,4,"Brown, Zachary",1000334133,Right,GEO_BUL,"Garagozzo, Nick",824774,Left,GEO_PAN,Undefined,1,Top,2,2,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.43267,-0.037562,-4.167529,2061.661589,258.182044,2:30,5.0241,2.5731,6.37152,-28.28588,4.55512,16.90028,2.63229,0.13996,83.69388,-5.322147,-1.115607,0.412458,76.27872,8.511119,-168.134937,1571.133435,,,,,43.01612,,,-9.98249,2.68165,-2.27932,50,5.00819,8.99258,-132.69314,-1.01234,-17.8261,27.97526,-27.38532,GEO_BUL,GEO_PAN,UGeorgia,D1,SEC,20260331-UGeorgia-1,a5592c30-2d34-11f1-beac-13eabb0e9341,91.38491,8.26803,,7.73879,,,,2.5858,2.68929,0.0104,6086e438-0a5c-4ab6-9d07-6051772bc9a5,2026-03-31,19:05:51.81,2026-03-31T15:05:51.8107136-04:00,2026-03-31T19:05:51.8107136Z,,v3,226,471304,d419ea6682984ef1bf60046233db6e47,"Jackson, Daniel",828714,Right,GEO_BUL,e3a3ad37-d7ba-42af-b2ec-98664f70acd7,54.13119,-133.56126,13.98763,5.02641,-0.16253,-13.69266,-2.56696,9.54575,-8.91305,223.913604,2.57428,-107.92743,15.71054,,,,,,,2.68606,16.65787,-8.86762,,,,,,,0.01714,-22.9568,-5.14694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
