PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:05:55.55,1,1,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Almonte, Erick",808539,Right,BET_WIL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.81815,-0.727608,3.294229,2326.419884,129.581309,10:15,6.08428,-2.85543,5.77145,-24.27182,12.57599,-13.64091,3.38336,-0.92319,79.40711,-5.2842,0.855853,0.436895,,,,,,,,,,,,7.90961,7.00788,2.59093,50,6.00956,-6.72862,-127.20946,-2.40582,12.82428,28.66259,-20.81182,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,cab72d10-2d4d-11f1-aed8-2f1e222bb90d,86.27341,,,8.41104,,,,,,,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:05:55.55,2026-03-31T18:05:55.5542016-04:00,2026-03-31T22:05:55.5542016Z,,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,f0ce804b-b6d6-4c6c-bdca-0fb73967ab76,54.72534,-128.26975,14.3313,6.08432,-1.63595,-10.40591,2.84861,-7.20301,6.41214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,18:06:12.06,1,2,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Almonte, Erick",808539,Right,BET_WIL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.83685,-2.158972,4.017428,2378.368877,144.517495,10:45,6.04216,-2.70786,5.9441,-18.61261,18.22245,-12.0178,2.48259,0.02328,79.12498,-5.718308,1.865599,0.43682,69.68801,22.815225,166.241394,2188.195535,-107.26519,18.13436,24.3748,160.51417,48.37569,167.783691,2.036827,7.49079,10.44528,2.39428,50,5.85947,-8.42821,-127.06701,-5.33011,12.05632,29.82078,-15.36252,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,d4858d50-2d4d-11f1-aed8-2f1e222bb90d,86.28832,20.69954,,8.71187,,,,2.64616,2.56421,0.02909,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:06:12.06,2026-03-31T18:06:12.0606720-04:00,2026-03-31T22:06:12.0606720Z,LineDrive,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,66759aac-42dc-4efd-a5e4-22b4f7513bf6,54.55414,-128.13134,14.91039,6.03991,-4.78181,-7.68126,2.70277,-8.85851,6.02816,335.540191,2.64621,-91.51302,6.63653,-0.3762,0.48131,-0.49386,0.31465,-0.10003,0.01224,2.56421,39.63253,-23.41625,2.23665,-0.44279,0.10427,-0.02689,0.00873,-0.00144,0.02908,22.40777,-3.66154,0.64739,-0.24694,0.16283,-0.09267,0.02927,-0.00365,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-03-31,18:06:34.39,1,3,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Almonte, Erick",808539,Right,BET_WIL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.07483,-2.138894,3.546878,1702.046641,111.991884,9:45,6.18565,-2.89056,5.9161,-35.4386,6.26485,-12.12536,1.24265,-0.60503,75.26115,-8.672848,1.37071,0.464791,59.18347,-39.435653,-69.01537,,,,,3.49144,3.49144,-16.59566,0.026028,7.28559,4.21504,2.61307,50,5.99357,-6.91388,-118.95494,-5.57317,10.39997,23.61983,-26.15719,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,e1d8f5a0-2d4d-11f1-aed8-2f1e222bb90d,81.09554,1.43937,,6.81369,,,,2.71926,1.43937,0.63681,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:06:34.39,2026-03-31T18:06:34.3977984-04:00,2026-03-31T22:06:34.3977984Z,GroundBall,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,ea33ef0b-61c0-4e5d-98b5-421e38089950,54.5845,-119.86178,11.80992,6.18826,-4.56891,-13.07859,2.88619,-7.31317,5.19999,,2.71896,24.07977,,,,,,,,1.44005,-55.30155,,,,,,,,0.63759,-62.78027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2026-03-31,18:07:14.62,1,4,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Almonte, Erick",808539,Right,BET_WIL,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.4953,-0.214911,3.180404,2372.974251,139.337793,10:45,6.0751,-2.87234,5.52457,-19.04635,16.61127,-13.22989,4.28667,-0.99839,81.08736,-3.813673,0.827035,0.429781,,,,,,,,,,,,7.59807,8.79308,2.60449,50,6.04398,-6.6102,-129.67431,-1.09871,12.85609,28.70971,-17.29597,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,f9e06340-2d4d-11f1-aed8-2f1e222bb90d,87.7014,,,8.40793,,,,,,,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:07:14.62,2026-03-31T18:07:14.6292736-04:00,2026-03-31T22:07:14.6292736Z,,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,39b89d25-c6d5-465f-9e39-1e5d5fa1544f,54.97329,-130.77076,14.35485,6.07332,-0.43817,-8.64799,2.86632,-7.10118,6.42804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,18:07:30.98,1,5,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Almonte, Erick",808539,Right,BET_WIL,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.40078,-1.218021,3.14602,2374.543056,134.412801,10:30,6.00237,-2.88225,5.85493,-21.52155,14.28308,-13.42776,3.07532,-1.0752,80.9088,-5.256742,0.74143,0.430666,85.95824,36.373255,34.525165,3824.663615,82.95264,70.43107,72.24111,284.51649,166.86566,50.017609,4.869854,7.77756,7.98567,2.63467,50,5.89076,-6.49757,-128.27323,-3.41423,12.9761,26.19589,-18.85077,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,038e9150-2d4e-11f1-aed8-2f1e222bb90d,87.52124,82.41701,,7.49198,,,,1.39739,3.20767,1.10378,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:07:30.98,2026-03-31T18:07:30.9836288-04:00,2026-03-31T22:07:30.9836288Z,FlyBall,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,2d21f311-3dc8-4149-8631-1279803dd587,54.6458,-129.21851,13.09794,6.00169,-2.734,-9.42538,2.87759,-6.96581,6.48805,,1.40291,83.51575,-23.03172,5.57605,-0.84592,0.02817,0.00946,-0.0005,-6E-05,3.2093,74.72109,-19.46292,0.44819,0.58837,-0.34316,0.09844,-0.01385,0.00075,1.10553,57.49394,-3.14649,-0.62726,0.55976,-0.21744,0.04967,-0.00602,0.0003,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-03-31,18:08:03.83,2,1,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Lee, Darryl",835960,Left,BET_WIL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.3672,-2.719954,5.029739,2350.271633,130.962197,10:15,6.20247,-2.79597,5.61209,-23.15159,13.47335,-14.07591,1.72269,0.73779,80.45317,-7.03048,2.529005,0.435572,,,,,,,,,,,,8.61937,7.9902,2.37455,50,5.95426,-10.63067,-127.67015,-6.8606,14.15998,27.43036,-19.04767,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,172d4da0-2d4e-11f1-aed8-2f1e222bb90d,86.53555,,,7.91403,,,,,,,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:08:03.83,2026-03-31T18:08:03.8342656-04:00,2026-03-31T22:08:03.8342656Z,,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,64d16fe9-1d92-4c7e-9534-0f9b0bf18fb1,54.88734,-128.71593,13.71518,6.20197,-6.13441,-9.52384,2.79013,-11.17052,7.07999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,18:08:20.85,2,2,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Lee, Darryl",835960,Left,BET_WIL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.05213,-1.421378,4.461812,2419.661696,142.157509,10:45,6.19876,-2.8746,5.62052,-19.35198,17.84284,-12.77623,3.25532,0.23305,79.07416,-5.102365,2.190382,0.438947,86.71609,-8.637643,16.872885,,,,,21.27133,20.4956,15.283637,0.163016,7.96335,9.90843,2.50186,50,6.06518,-9.37763,-127.25654,-3.75707,12.83466,30.29111,-16.20445,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,21444fa0-2d4e-11f1-aed8-2f1e222bb90d,85.87005,3.31788,,8.97798,,,,1.37302,3.31788,-0.2194,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:08:20.85,2026-03-31T18:08:20.8542720-04:00,2026-03-31T22:08:20.8542720Z,GroundBall,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,e1e65d8b-68b2-4f00-a7db-6461de39d0f4,54.87729,-128.41224,15.14556,6.19673,-3.13882,-8.10222,2.86898,-9.86732,6.41733,187.789375,1.37371,120.27153,-17.36809,,,,,,,3.31779,-19.09356,-7.71973,,,,,,,-0.21923,36.48233,-4.55584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-03-31,18:08:53.74,3,1,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Martinez, Andrey",816222,Right,BET_WIL,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.25512,-3.673495,4.587576,1730.899378,122.397866,10:00,5.94658,-2.91558,6.08554,-29.62805,10.17508,-13.79532,0.06357,0.18794,76.67874,-9.179053,2.109009,0.454077,,,,,,,,,,,,8.64343,6.79142,2.56837,50,5.64607,-9.25021,-121.74941,-8.74297,12.82084,26.52969,-22.10028,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,34e22190-2d4e-11f1-aed8-2f1e222bb90d,83.00884,,,7.57638,,,,,,,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:08:53.74,2026-03-31T18:08:53.7447424-04:00,2026-03-31T22:08:53.7447424Z,,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,d0094e09-1d4d-43c6-8f76-3cf0d1245991,54.41501,-122.70768,13.26485,5.94745,-7.94469,-11.05014,2.91086,-9.71331,6.41042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,18:09:14.09,3,2,"Pointbrant, Dominic",10966745,Left,USF_BUL,"Martinez, Andrey",816222,Right,BET_WIL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,87.64367,-2.182639,4.569964,2269.954387,139.721198,10:45,6.12109,-2.73488,5.82269,-22.48281,14.79013,-11.35312,2.21086,0.57677,78.92378,-6.422913,2.543684,0.439408,87.4234,79.943735,3.58745,,,,,,14.78151,,,7.30926,8.66422,2.36733,50,5.92892,-9.64665,-126.64624,-5.53969,11.67336,29.88749,-18.3367,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,41093ee0-2d4e-11f1-aed8-2f1e222bb90d,85.77999,74.17964,,8.71989,,,,2.41309,2.32233,-0.53218,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:09:14.09,2026-03-31T18:09:14.0973568-04:00,2026-03-31T22:09:14.0973568Z,,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Trippel, Lance",804841,Right,USF_BUL,03c601a8-cac8-4a89-b8c4-6865a9d6629c,54.67513,-127.74477,14.94375,6.12015,-4.86571,-9.16835,2.72978,-10.07571,5.83668,,2.41309,22.34571,-8.59988,2.62715,-0.65569,-0.86975,3.62766,-4.60618,2.03068,2.32233,126.25085,-32.72718,4.54401,-0.80702,-0.13708,0.44769,-0.34395,0.09621,-0.53217,1.40037,10.75956,-4.00143,1.13073,1.60091,-6.85208,8.78827,-3.89451,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
10,2026-03-31,18:11:55.74,1,1,"Turner, Dawson",807527,Left,BET_WIL,"Pruitt, Ryan",832552,Left,USF_BUL,Undefined,1,Bottom,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.63107,-1.671428,1.521509,2227.246201,172.329923,11:45,6.3242,-0.83574,6.57971,-21.83733,12.05075,-1.47862,2.9716,0.43582,82.05994,-5.808401,1.252642,0.418982,,,,,,,,,,,,1.20248,7.1339,0.73197,50,6.20025,-3.40252,-130.25884,-4.42346,2.06384,27.63026,-19.93007,USF_BUL,BET_WIL,USFBaseballStadium,D1,AMER,20260331-USFBaseballStadium-1,a166e490-2d4e-11f1-aed8-2f1e222bb90d,89.962,,,7.57113,,,,,,,000b942d-255f-4009-a812-0750276112d0,2026-03-31,22:11:55.74,2026-03-31T18:11:55.7490176-04:00,2026-03-31T22:11:55.7490176Z,,v3,471443,471241,d361e15c66bc495ab9375503c25b7e65,"Lucena, Maikol",834956,Right,BET_WIL,b252c0dc-3ec5-4721-bbc9-c824566f84e3,53.91887,-131.08746,13.81513,6.32394,-3.82576,-9.96504,0.83494,-3.46441,1.03192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
