PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,16:05:16.57,1,1,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.0075,-1.247627,2.904961,2211.029928,151.580387,11:00,5.79124,-1.9395,6.14806,-18.51851,18.30332,-9.23044,3.0935,-0.02207,79.02558,-4.791107,1.2432,0.436741,,,,,,,,,,,,5.59784,10.17808,1.72268,50,5.68647,-6.02702,-126.18732,-3.25004,8.9709,27.13991,-15.86306,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,51c19330-2d45-11f1-8e56-1150f1af85ed,86.30383,,,7.98192,,,,,,,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:05:16.57,2026-03-31T16:05:16.5711872-05:00,2026-03-31T21:05:16.5711872Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,25a42d41-3907-427c-a7be-67866e6a2003,54.35047,-127.11956,13.56996,5.78874,-2.70515,-7.93153,1.935,-6.33517,4.48545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,16:05:30.48,1,2,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,0,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.34629,-2.426709,3.50293,2465.921157,270.390893,3:00,5.37868,-2.16149,5.50679,-43.88707,1.34724,6.73532,-0.55374,1.67996,73.46312,-10.359053,4.702228,0.484067,,,,,,,,,,,,-2.46669,1.69063,1.85047,50,5.13633,-7.28957,-114.96058,-6.3335,-3.29611,21.61029,-29.91498,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,59fcf760-2d45-11f1-8e56-1150f1af85ed,77.86617,,,5.88317,,,,,,,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:05:30.48,2026-03-31T16:05:30.4878080-05:00,2026-03-31T21:05:30.4878080Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,160d3959-d19c-4b1c-936d-b25556987028,54.99672,-115.89606,10.80514,5.38246,-5.03853,-14.95749,2.16293,-7.14688,-1.64805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,16:05:46.64,1,3,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,0,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.68344,-1.396643,2.969069,2196.522526,142.001124,10:45,5.57804,-1.94575,6.10576,-22.32608,15.12434,-10.75611,2.42395,-0.09388,78.22614,-5.637004,1.033548,0.440453,,,,,,,,,,,,6.58622,8.66292,1.72326,50,5.45898,-6.09826,-125.65523,-3.71822,10.36453,29.19865,-18.54146,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,63a38450-2d45-11f1-8e56-1150f1af85ed,85.57652,,,8.4573,,,,,,,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:05:46.64,2026-03-31T16:05:46.6419200-05:00,2026-03-31T21:05:46.6419200Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,a0fb4318-bb46-493a-8e91-c33bece56f76,54.39532,-126.67246,14.59933,5.57726,-3.07227,-9.27073,1.942,-6.45934,5.18227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,16:06:10.54,1,4,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,0,1,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.74744,-1.41667,3.201104,2396.131703,328.884124,5:00,5.47933,-2.12533,5.51842,-53.63156,-6.96024,5.21614,-0.31695,1.30562,71.73968,-11.137019,4.131941,0.491696,,,,,,,,,,,,-1.5687,-2.6341,1.84258,50,5.31962,-6.57591,-113.99526,-4.63173,-2.02078,25.0664,-35.56727,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,71eeba20-2d45-11f1-8e56-1150f1af85ed,76.65804,,,7.00776,,,,,,,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:06:10.54,2026-03-31T16:06:10.5489920-05:00,2026-03-31T21:06:10.5489920Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,bb6ab88a-1177-439d-85ef-b3690112df71,54.98349,-115.08586,12.5332,5.48747,-3.08425,-17.78363,2.12677,-6.48799,-1.01039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,16:06:27.34,1,5,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,0,2,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.28257,-0.435235,1.822536,2318.517757,150.959947,11:00,5.66583,-1.8673,6.04113,-21.91816,14.65942,-7.47701,3.43612,-0.8023,79.50127,-4.578293,0.477488,0.43529,,,,,,,,,,,,4.3517,8.02296,1.729,50,5.62002,-3.72361,-126.72242,-1.61898,7.05226,26.71605,-19.17221,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,7bf393b0-2d45-11f1-8e56-1150f1af85ed,86.5915,,,7.7813,,,,,,,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:06:27.34,2026-03-31T16:06:27.3464320-05:00,2026-03-31T21:06:27.3464320Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,13d0e9f3-b7fd-49d9-9a1d-5cff4cd71dda,54.45778,-127.65876,13.35803,5.66498,-0.94703,-9.58611,1.86384,-3.97077,3.52613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,16:06:42.27,1,6,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Tidwell, Eli",1000087968,Right,NEW_PRI,Undefined,1,Top,0,3,2,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,87.0319,-1.842858,2.499273,2257.113072,150.248318,11:00,5.58501,-1.93142,6.05918,-22.53304,14.3843,-7.50989,1.99929,-0.24245,79.22531,-6.09066,1.148215,0.437307,86.31892,64.638747,17.757249,,,,,132.0791,62.4541,11.181709,6.110463,4.64717,8.33847,1.74133,50,5.42969,-5.21396,-126.25334,-4.74262,7.44868,27.37595,-18.80882,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,84c9d850-2d45-11f1-8e56-1150f1af85ed,86.1921,154.04595,,7.8066,,,,2.26043,2.17046,0.26961,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:06:42.27,2026-03-31T16:06:42.2707200-05:00,2026-03-31T21:06:42.2707200Z,Popup,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,4d44696c-eb10-42ca-8cd9-7b7ed95fa2be,54.44187,-127.21284,13.68798,5.58436,-4.08339,-9.40441,1.92865,-5.47503,3.72434,175.957456,2.25709,51.68668,-18.22559,5.56529,-1.14898,0.15425,-0.00998,-0.00015,4E-05,2.14588,114.79572,-28.22069,4.55757,-1.60906,0.48768,-0.09284,0.00928,-0.00037,0.26556,16.6023,-8.0829,2.789,-0.70221,0.13247,-0.01658,0.00115,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2026-03-31,16:07:17.63,2,1,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,1,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.64762,0.315849,1.477991,2473.891737,315.43971,4:30,5.43401,-2.00826,5.45115,-56.27349,-9.01375,10.33867,1.04036,0.23731,71.52812,-9.879675,3.322548,0.494786,,,,,,,,,,,,-4.79555,-4.22508,1.8704,50,5.4229,-3.30599,-112.75874,-1.29202,-6.14151,21.51687,-37.58496,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,99e52280-2d45-11f1-8e56-1150f1af85ed,76.17934,,,6.11951,,,,,,,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:07:17.63,2026-03-31T16:07:17.6345088-05:00,2026-03-31T21:07:17.6345088Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,1890551b-d07d-48a4-b4c1-063d99550000,55.05301,-113.71888,10.75844,5.44313,0.38512,-18.79248,2.0118,-3.03194,-3.07075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,16:07:34.06,2,2,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,1,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.0536,0.406187,1.869225,2276.666837,147.634206,11:00,5.62864,-1.91251,6.03712,-21.91285,14.8558,-8.66126,4.1789,-0.9028,79.22338,-3.74166,0.311652,0.436426,,,,,,,,,,,,4.95303,7.8739,1.77098,50,5.64846,-3.76413,-126.38136,0.24548,7.98745,26.4573,-19.47625,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,a3b9eb60-2d45-11f1-8e56-1150f1af85ed,86.36622,,,7.83022,,,,,,,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:07:34.06,2026-03-31T16:07:34.0694528-05:00,2026-03-31T21:07:34.0694528Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,7ac17347-f546-4d9a-a60f-ca0c32190dc0,54.46126,-127.31187,13.22865,5.62778,0.93047,-9.73813,1.90831,-4.04505,3.99372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,16:07:49.64,2,3,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,1,2,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.73184,-0.617025,1.807475,2413.364674,307.45232,4:15,5.40784,-2.11739,5.43831,-52.13078,-5.1926,8.60481,0.4855,0.29282,72.05446,-10.043382,3.342095,0.493099,,,,,,,,,,,,-3.8578,-2.05099,1.95121,50,5.31686,-3.89118,-112.90042,-2.97841,-4.98453,20.3524,-34.82407,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,ad00a510-2d45-11f1-8e56-1150f1af85ed,76.43984,,,5.67738,,,,,,,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:07:49.64,2026-03-31T16:07:49.6428032-05:00,2026-03-31T21:07:49.6428032Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,9630b02e-4785-4eda-b934-00b22bcfb373,55.0655,-113.80991,10.1762,5.41519,-1.42223,-17.41203,2.12012,-3.66844,-2.49226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,16:08:06.10,2,4,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Biddick, Dylan",1000180319,Left,NEW_PRI,Undefined,1,Top,1,3,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.24636,-0.946785,2.937494,2256.248609,141.292686,10:45,5.57353,-1.95377,5.98015,-23.11037,14.4569,-10.60481,2.76879,-0.11212,78.67641,-5.296627,1.033806,0.44114,71.71617,40.193843,-129.455358,4806.450431,,,,,48.77445,,,6.30111,8.06485,1.72732,50,5.4858,-5.99591,-125.13615,-2.77122,9.96529,25.86579,-19.4194,SAL_JAG,NEW_PRI,USouthAlabama,D1,SBELT,20260331-USouthAlabama-1,b6c5b680-2d45-11f1-8e56-1150f1af85ed,85.44332,35.94282,,7.56996,,,,-0.33034,2.61551,-0.07306,d774f118-6beb-4216-8a36-c6b8b0973369,2026-03-31,21:08:06.10,2026-03-31T16:08:06.1010432-05:00,2026-03-31T21:08:06.1010432Z,,v3,471440,471381,12667,"Mathews, Duncan",835060,Right,SAL_JAG,731fd209-f0a5-4d6c-9f74-3051a6396efd,54.52058,-126.0671,12.93289,5.57297,-2.07229,-9.7097,1.94957,-6.35457,4.98264,,-0.33034,-51.05807,-2.1915,2.63684,-0.96149,0.28469,-0.07493,0.01751,-0.00243,2.61551,67.8829,-28.45422,3.69154,-0.70786,0.11806,-0.02041,0.00411,-0.00074,-0.07306,-62.03681,16.93125,-4.07093,0.9191,-0.18036,0.03837,-0.00777,0.00122,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
